epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1571666555281,2019-10-21T3.02.35.281 pm,0.000,-0.103,0.046,-1.048
1571666555301,2019-10-21T3.02.35.301 pm,0.020,-0.102,0.053,-1.067
1571666555320,2019-10-21T3.02.35.320 pm,0.039,-0.083,0.078,-1.080
1571666555341,2019-10-21T3.02.35.341 pm,0.060,-0.070,0.118,-1.086
1571666555361,2019-10-21T3.02.35.361 pm,0.080,-0.090,0.122,-1.056
1571666555380,2019-10-21T3.02.35.380 pm,0.099,-0.101,0.127,-1.041
1571666555401,2019-10-21T3.02.35.401 pm,0.120,-0.061,0.136,-1.063
1571666555421,2019-10-21T3.02.35.421 pm,0.140,-0.028,0.157,-1.071
1571666555442,2019-10-21T3.02.35.442 pm,0.161,-0.041,0.168,-1.040
1571666555461,2019-10-21T3.02.35.461 pm,0.180,-0.036,0.161,-1.028
1571666555481,2019-10-21T3.02.35.481 pm,0.200,-0.021,0.166,-1.025
1571666555502,2019-10-21T3.02.35.502 pm,0.221,0.002,0.191,-1.049
1571666555521,2019-10-21T3.02.35.521 pm,0.240,0.021,0.228,-1.062
1571666555541,2019-10-21T3.02.35.541 pm,0.260,-0.015,0.257,-1.040
1571666555562,2019-10-21T3.02.35.562 pm,0.281,-0.041,0.269,-1.028
1571666555582,2019-10-21T3.02.35.582 pm,0.301,-0.027,0.314,-1.033
1571666555602,2019-10-21T3.02.35.602 pm,0.321,-0.050,0.311,-1.007
1571666555622,2019-10-21T3.02.35.622 pm,0.341,-0.050,0.307,-0.992
1571666555643,2019-10-21T3.02.35.643 pm,0.362,-0.027,0.351,-1.011
1571666555662,2019-10-21T3.02.35.662 pm,0.381,-0.051,0.403,-0.990
1571666555682,2019-10-21T3.02.35.682 pm,0.401,-0.079,0.362,-0.941
1571666555703,2019-10-21T3.02.35.703 pm,0.422,-0.021,0.358,-0.981
1571666555722,2019-10-21T3.02.35.722 pm,0.441,-0.000,0.417,-1.003
1571666555742,2019-10-21T3.02.35.742 pm,0.461,-0.030,0.432,-0.959
1571666555763,2019-10-21T3.02.35.763 pm,0.482,-0.043,0.399,-0.935
1571666555783,2019-10-21T3.02.35.783 pm,0.502,-0.008,0.373,-0.958
1571666555802,2019-10-21T3.02.35.802 pm,0.521,0.041,0.428,-1.008
1571666555823,2019-10-21T3.02.35.823 pm,0.542,0.033,0.523,-0.974
1571666555843,2019-10-21T3.02.35.843 pm,0.562,-0.028,0.459,-0.902
1571666555862,2019-10-21T3.02.35.862 pm,0.581,0.005,0.481,-0.936
1571666555883,2019-10-21T3.02.35.883 pm,0.602,0.023,0.499,-0.921
1571666555903,2019-10-21T3.02.35.903 pm,0.622,-0.000,0.487,-0.896
1571666555924,2019-10-21T3.02.35.924 pm,0.643,0.002,0.481,-0.892
1571666555943,2019-10-21T3.02.35.943 pm,0.662,0.021,0.495,-0.904
1571666555963,2019-10-21T3.02.35.963 pm,0.682,0.029,0.513,-0.897
1571666555984,2019-10-21T3.02.35.984 pm,0.703,0.023,0.514,-0.879
1571666556003,2019-10-21T3.02.36.003 pm,0.722,0.014,0.508,-0.878
1571666556023,2019-10-21T3.02.36.023 pm,0.742,0.007,0.528,-0.895
1571666556044,2019-10-21T3.02.36.044 pm,0.763,-0.020,0.520,-0.898
1571666556064,2019-10-21T3.02.36.064 pm,0.783,-0.057,0.445,-0.878
1571666556083,2019-10-21T3.02.36.083 pm,0.802,-0.064,0.349,-0.876
1571666556104,2019-10-21T3.02.36.104 pm,0.823,-0.071,0.381,-0.985
1571666556124,2019-10-21T3.02.36.124 pm,0.843,-0.042,0.433,-1.078
1571666556143,2019-10-21T3.02.36.143 pm,0.862,-0.017,0.370,-1.090
