epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572007600964,2019-10-25T13:46:40.964,0.000,-0.150,0.106,-1.013
1572007600983,2019-10-25T13:46:40.983,0.019,-0.158,0.090,-1.041
1572007601003,2019-10-25T13:46:41.003,0.039,-0.165,0.080,-1.048
1572007601024,2019-10-25T13:46:41.024,0.060,-0.169,0.083,-1.041
1572007601043,2019-10-25T13:46:41.043,0.079,-0.155,0.106,-1.003
1572007601063,2019-10-25T13:46:41.063,0.099,-0.181,0.124,-0.973
1572007601084,2019-10-25T13:46:41.084,0.120,-0.206,0.082,-1.018
1572007601103,2019-10-25T13:46:41.103,0.139,-0.201,0.066,-1.020
1572007601123,2019-10-25T13:46:41.123,0.159,-0.172,0.084,-1.014
1572007601144,2019-10-25T13:46:41.144,0.180,-0.155,0.111,-0.993
1572007601164,2019-10-25T13:46:41.164,0.200,-0.163,0.112,-1.008
1572007601183,2019-10-25T13:46:41.183,0.219,-0.208,0.090,-1.009
1572007601204,2019-10-25T13:46:41.204,0.240,-0.220,0.083,-0.997
1572007601224,2019-10-25T13:46:41.224,0.260,-0.189,0.070,-1.027
1572007601243,2019-10-25T13:46:41.243,0.279,-0.171,0.087,-0.999
1572007601264,2019-10-25T13:46:41.264,0.300,-0.169,0.101,-0.996
1572007601284,2019-10-25T13:46:41.284,0.320,-0.179,0.087,-0.996
1572007601304,2019-10-25T13:46:41.304,0.340,-0.170,0.064,-1.019
1572007601324,2019-10-25T13:46:41.324,0.360,-0.157,0.074,-1.021
1572007601345,2019-10-25T13:46:41.345,0.381,-0.177,0.086,-0.994
1572007601364,2019-10-25T13:46:41.364,0.400,-0.191,0.084,-0.984
1572007601384,2019-10-25T13:46:41.384,0.420,-0.180,0.067,-0.989
1572007601405,2019-10-25T13:46:41.405,0.441,-0.144,0.043,-1.011
1572007601424,2019-10-25T13:46:41.424,0.460,-0.121,0.028,-1.024
1572007601444,2019-10-25T13:46:41.444,0.480,-0.154,0.007,-1.031
1572007601465,2019-10-25T13:46:41.465,0.501,-0.148,0.023,-1.008
1572007601485,2019-10-25T13:46:41.485,0.521,-0.107,0.038,-1.003
1572007601504,2019-10-25T13:46:41.504,0.540,-0.121,0.035,-0.977
1572007601525,2019-10-25T13:46:41.525,0.561,-0.120,0.017,-1.044
1572007601545,2019-10-25T13:46:41.545,0.581,-0.112,-0.009,-1.104
1572007601564,2019-10-25T13:46:41.564,0.600,-0.127,-0.006,-1.070
1572007601585,2019-10-25T13:46:41.585,0.621,-0.165,0.017,-1.026
1572007601605,2019-10-25T13:46:41.605,0.641,-0.171,0.030,-0.998
1572007601624,2019-10-25T13:46:41.624,0.660,-0.142,0.016,-1.015
1572007601645,2019-10-25T13:46:41.645,0.681,-0.122,-0.012,-1.055
1572007601665,2019-10-25T13:46:41.665,0.701,-0.146,-0.007,-1.039
1572007601684,2019-10-25T13:46:41.684,0.720,-0.157,0.028,-0.987
1572007601705,2019-10-25T13:46:41.705,0.741,-0.147,0.041,-0.981
1572007601725,2019-10-25T13:46:41.725,0.761,-0.155,0.030,-0.973
1572007601746,2019-10-25T13:46:41.746,0.782,-0.153,0.002,-1.020
1572007601765,2019-10-25T13:46:41.765,0.801,-0.127,-0.005,-1.045
1572007601785,2019-10-25T13:46:41.785,0.821,-0.127,0.005,-1.019
1572007601806,2019-10-25T13:46:41.806,0.842,-0.117,0.020,-0.991
1572007601825,2019-10-25T13:46:41.825,0.861,-0.109,0.025,-0.991
1572007601846,2019-10-25T13:46:41.846,0.882,-0.111,0.005,-1.018
