epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572008117684,2019-10-25T13:55:17.684,0.000,-0.153,0.105,-1.005
1572008117704,2019-10-25T13:55:17.704,0.020,-0.157,0.106,-1.012
1572008117723,2019-10-25T13:55:17.723,0.039,-0.154,0.106,-1.012
1572008117744,2019-10-25T13:55:17.744,0.060,-0.154,0.106,-1.010
1572008117765,2019-10-25T13:55:17.765,0.081,-0.158,0.107,-1.007
1572008117785,2019-10-25T13:55:17.785,0.101,-0.156,0.109,-1.010
1572008117804,2019-10-25T13:55:17.804,0.120,-0.151,0.113,-1.013
1572008117825,2019-10-25T13:55:17.825,0.141,-0.152,0.111,-1.009
1572008117845,2019-10-25T13:55:17.845,0.161,-0.160,0.111,-1.005
1572008117864,2019-10-25T13:55:17.864,0.180,-0.157,0.111,-1.004
1572008117885,2019-10-25T13:55:17.885,0.201,-0.152,0.113,-1.010
1572008117905,2019-10-25T13:55:17.905,0.221,-0.149,0.116,-1.010
1572008117924,2019-10-25T13:55:17.924,0.240,-0.154,0.115,-1.009
1572008117945,2019-10-25T13:55:17.945,0.261,-0.156,0.113,-1.008
1572008117965,2019-10-25T13:55:17.965,0.281,-0.157,0.114,-1.008
1572008117984,2019-10-25T13:55:17.984,0.300,-0.154,0.113,-1.005
1572008118005,2019-10-25T13:55:18.005,0.321,-0.149,0.112,-1.010
1572008118025,2019-10-25T13:55:18.025,0.341,-0.156,0.112,-1.010
1572008118046,2019-10-25T13:55:18.046,0.362,-0.161,0.112,-1.008
1572008118065,2019-10-25T13:55:18.065,0.381,-0.155,0.113,-1.009
1572008118085,2019-10-25T13:55:18.085,0.401,-0.154,0.112,-1.011
1572008118106,2019-10-25T13:55:18.106,0.422,-0.156,0.112,-1.008
1572008118125,2019-10-25T13:55:18.125,0.441,-0.153,0.112,-1.008
1572008118145,2019-10-25T13:55:18.145,0.461,-0.150,0.112,-1.009
1572008118166,2019-10-25T13:55:18.166,0.482,-0.153,0.112,-1.011
1572008118185,2019-10-25T13:55:18.185,0.501,-0.159,0.111,-1.006
1572008118205,2019-10-25T13:55:18.205,0.521,-0.160,0.111,-1.004
1572008118226,2019-10-25T13:55:18.226,0.542,-0.154,0.112,-1.009
1572008118245,2019-10-25T13:55:18.245,0.561,-0.153,0.114,-1.009
1572008118265,2019-10-25T13:55:18.265,0.581,-0.153,0.112,-1.010
1572008118286,2019-10-25T13:55:18.286,0.602,-0.161,0.107,-1.006
1572008118306,2019-10-25T13:55:18.306,0.622,-0.158,0.107,-1.007
1572008118326,2019-10-25T13:55:18.326,0.642,-0.151,0.110,-1.012
1572008118346,2019-10-25T13:55:18.346,0.662,-0.154,0.109,-1.010
1572008118367,2019-10-25T13:55:18.367,0.683,-0.151,0.107,-1.011
1572008118386,2019-10-25T13:55:18.386,0.702,-0.158,0.102,-1.009
1572008118406,2019-10-25T13:55:18.406,0.722,-0.163,0.100,-1.007
1572008118427,2019-10-25T13:55:18.427,0.743,-0.161,0.098,-1.011
1572008118446,2019-10-25T13:55:18.446,0.762,-0.158,0.097,-1.014
1572008118466,2019-10-25T13:55:18.466,0.782,-0.163,0.093,-1.010
1572008118487,2019-10-25T13:55:18.487,0.803,-0.156,0.089,-1.014
1572008118506,2019-10-25T13:55:18.506,0.822,-0.164,0.089,-1.013
1572008118526,2019-10-25T13:55:18.526,0.842,-0.156,0.078,-1.014
1572008118547,2019-10-25T13:55:18.547,0.863,-0.165,0.076,-1.006
1572008118566,2019-10-25T13:55:18.566,0.882,-0.166,0.063,-1.016
1572008118586,2019-10-25T13:55:18.586,0.902,-0.147,0.088,-1.014
1572008118607,2019-10-25T13:55:18.607,0.923,-0.139,0.086,-1.025
1572008118627,2019-10-25T13:55:18.627,0.943,-0.146,0.068,-1.019
1572008118646,2019-10-25T13:55:18.646,0.962,-0.145,0.058,-1.020
1572008118667,2019-10-25T13:55:18.667,0.983,-0.170,0.091,-1.005
1572008118687,2019-10-25T13:55:18.687,1.003,-0.195,0.095,-1.002
1572008118706,2019-10-25T13:55:18.706,1.022,-0.169,0.072,-1.022
1572008118727,2019-10-25T13:55:18.727,1.043,-0.136,0.057,-1.034
1572008118747,2019-10-25T13:55:18.747,1.063,-0.153,0.044,-1.027
1572008118766,2019-10-25T13:55:18.766,1.082,-0.180,0.039,-1.013
1572008118787,2019-10-25T13:55:18.787,1.103,-0.207,0.027,-1.007
1572008118807,2019-10-25T13:55:18.807,1.123,-0.221,0.005,-1.011
1572008118827,2019-10-25T13:55:18.827,1.143,-0.227,0.004,-1.030
1572008118847,2019-10-25T13:55:18.847,1.163,-0.206,-0.012,-1.048
1572008118868,2019-10-25T13:55:18.868,1.184,-0.197,-0.017,-1.037
1572008118888,2019-10-25T13:55:18.888,1.204,-0.233,0.020,-1.011
1572008118907,2019-10-25T13:55:18.907,1.223,-0.243,0.020,-0.992
1572008118928,2019-10-25T13:55:18.928,1.244,-0.238,-0.017,-1.037
1572008118948,2019-10-25T13:55:18.948,1.264,-0.237,-0.014,-1.043
1572008118967,2019-10-25T13:55:18.967,1.283,-0.295,0.011,-0.994
1572008118988,2019-10-25T13:55:18.988,1.304,-0.306,0.015,-0.976
1572008119008,2019-10-25T13:55:19.008,1.324,-0.292,0.026,-0.953
1572008119027,2019-10-25T13:55:19.027,1.343,-0.297,-0.040,-0.999
1572008119048,2019-10-25T13:55:19.048,1.364,-0.310,-0.060,-1.030
1572008119068,2019-10-25T13:55:19.068,1.384,-0.309,-0.001,-0.993
1572008119087,2019-10-25T13:55:19.087,1.403,-0.274,0.018,-0.964
1572008119108,2019-10-25T13:55:19.108,1.424,-0.263,0.022,-0.944
1572008119128,2019-10-25T13:55:19.128,1.444,-0.282,0.006,-0.936
1572008119149,2019-10-25T13:55:19.149,1.465,-0.283,-0.069,-1.010
1572008119168,2019-10-25T13:55:19.168,1.484,-0.296,-0.060,-1.035
1572008119188,2019-10-25T13:55:19.188,1.504,-0.342,-0.014,-0.995
1572008119209,2019-10-25T13:55:19.209,1.525,-0.332,-0.006,-0.980
1572008119228,2019-10-25T13:55:19.228,1.544,-0.299,-0.007,-0.982
1572008119248,2019-10-25T13:55:19.248,1.564,-0.280,0.006,-0.973
1572008119269,2019-10-25T13:55:19.269,1.585,-0.269,-0.013,-0.992
1572008119288,2019-10-25T13:55:19.288,1.604,-0.269,-0.018,-1.009
1572008119308,2019-10-25T13:55:19.308,1.624,-0.271,-0.046,-1.010
1572008119329,2019-10-25T13:55:19.329,1.645,-0.297,0.007,-0.987
1572008119348,2019-10-25T13:55:19.348,1.664,-0.299,-0.004,-0.986
1572008119369,2019-10-25T13:55:19.369,1.685,-0.262,-0.039,-1.020
1572008119389,2019-10-25T13:55:19.389,1.705,-0.250,-0.030,-1.017
