epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572008117564,2019-10-25T13:55:17.564,0.000,-1.540,0.739,0.652
1572008117584,2019-10-25T13:55:17.584,0.020,-1.574,0.564,-0.088
1572008117603,2019-10-25T13:55:17.603,0.039,-0.473,-0.423,-0.484
1572008117624,2019-10-25T13:55:17.624,0.060,0.168,-0.495,-0.404
1572008117644,2019-10-25T13:55:17.644,0.080,0.057,-0.091,-0.400
1572008117663,2019-10-25T13:55:17.663,0.099,-0.339,0.164,-0.335
1572008117684,2019-10-25T13:55:17.684,0.120,-0.892,0.404,-0.290
1572008117704,2019-10-25T13:55:17.704,0.140,-1.037,-0.072,-0.274
1572008117723,2019-10-25T13:55:17.723,0.159,-1.330,0.080,-0.320
1572008117744,2019-10-25T13:55:17.744,0.180,-2.039,-0.126,-0.393
1572008117765,2019-10-25T13:55:17.765,0.201,-2.946,-0.194,-0.362
1572008117785,2019-10-25T13:55:17.785,0.221,-3.754,0.602,-0.324
1572008117804,2019-10-25T13:55:17.804,0.240,-4.829,1.189,-0.473
1572008117825,2019-10-25T13:55:17.825,0.261,-3.384,-0.796,-0.617
1572008117845,2019-10-25T13:55:17.845,0.281,-2.973,-0.861,-0.579
1572008117864,2019-10-25T13:55:17.864,0.300,-2.370,1.037,-0.419
1572008117885,2019-10-25T13:55:17.885,0.321,-0.301,0.835,-0.286
1572008117905,2019-10-25T13:55:17.905,0.341,-0.099,0.400,-0.320
1572008117924,2019-10-25T13:55:17.924,0.360,-0.255,-0.335,-0.446
1572008117945,2019-10-25T13:55:17.945,0.381,-0.202,-0.572,-0.648
1572008117965,2019-10-25T13:55:17.965,0.401,-0.389,-0.137,-0.526
1572008117984,2019-10-25T13:55:17.984,0.420,-0.175,0.415,-0.343
1572008118005,2019-10-25T13:55:18.005,0.441,0.541,0.450,-0.320
1572008118025,2019-10-25T13:55:18.025,0.461,1.467,-0.614,-0.412
1572008118046,2019-10-25T13:55:18.046,0.482,1.582,-0.450,-0.438
1572008118065,2019-10-25T13:55:18.065,0.501,1.902,0.160,-0.553
1572008118085,2019-10-25T13:55:18.085,0.521,1.395,-0.008,-0.595
1572008118106,2019-10-25T13:55:18.106,0.542,0.274,0.023,-0.636
1572008118125,2019-10-25T13:55:18.125,0.561,-0.442,0.244,-0.625
1572008118145,2019-10-25T13:55:18.145,0.581,-0.846,0.004,-0.511
1572008118166,2019-10-25T13:55:18.166,0.602,-0.457,-0.816,-0.476
1572008118185,2019-10-25T13:55:18.185,0.621,-0.008,-1.456,-0.534
1572008118205,2019-10-25T13:55:18.205,0.641,-0.229,-0.347,-0.514
1572008118226,2019-10-25T13:55:18.226,0.662,-0.789,1.353,-0.419
1572008118245,2019-10-25T13:55:18.245,0.681,-0.050,0.617,-0.370
1572008118265,2019-10-25T13:55:18.265,0.701,1.608,-0.995,-0.476
1572008118286,2019-10-25T13:55:18.286,0.722,2.485,-1.319,-0.492
1572008118306,2019-10-25T13:55:18.306,0.742,2.268,0.267,-0.198
1572008118326,2019-10-25T13:55:18.326,0.762,1.917,1.361,0.004
1572008118346,2019-10-25T13:55:18.346,0.782,2.755,-0.263,-0.107
1572008118367,2019-10-25T13:55:18.367,0.803,4.512,-2.058,-0.236
1572008118386,2019-10-25T13:55:18.386,0.822,4.722,-3.075,-0.335
1572008118406,2019-10-25T13:55:18.406,0.842,6.040,-2.237,-0.236
1572008118427,2019-10-25T13:55:18.427,0.863,6.902,-0.648,-0.137
1572008118446,2019-10-25T13:55:18.446,0.882,8.925,-0.732,0.118
1572008118466,2019-10-25T13:55:18.466,0.902,10.507,-1.216,0.255
1572008118487,2019-10-25T13:55:18.487,0.923,9.040,0.198,0.621
1572008118506,2019-10-25T13:55:18.506,0.942,6.658,0.347,0.602
1572008118526,2019-10-25T13:55:18.526,0.962,6.490,0.983,0.648
1572008118547,2019-10-25T13:55:18.547,0.983,6.597,2.020,1.235
1572008118567,2019-10-25T13:55:18.567,1.003,4.310,4.066,3.392
1572008118586,2019-10-25T13:55:18.586,1.022,5.465,0.518,13.933
1572008118607,2019-10-25T13:55:18.607,1.043,7.569,-1.806,11.566
1572008118627,2019-10-25T13:55:18.627,1.063,11.886,-7.111,6.932
1572008118646,2019-10-25T13:55:18.646,1.082,13.430,-11.963,9.154
1572008118667,2019-10-25T13:55:18.667,1.103,9.729,-14.230,7.649
1572008118687,2019-10-25T13:55:18.687,1.123,6.677,-9.337,0.621
1572008118706,2019-10-25T13:55:18.706,1.142,11.265,-5.206,-2.527
1572008118727,2019-10-25T13:55:18.727,1.163,15.644,-9.017,-2.713
1572008118747,2019-10-25T13:55:18.747,1.183,14.070,-16.623,-0.713
