epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572007711709,2019-10-25T13:48:31.709,0.000,2.462,0.667,-0.823
1572007711730,2019-10-25T13:48:31.730,0.021,3.064,1.479,-0.553
1572007711750,2019-10-25T13:48:31.750,0.041,2.603,0.877,1.220
1572007711769,2019-10-25T13:48:31.769,0.060,0.160,-2.081,2.260
1572007711790,2019-10-25T13:48:31.790,0.081,-1.056,-3.133,1.707
1572007711810,2019-10-25T13:48:31.810,0.101,-2.001,-1.570,1.490
1572007711829,2019-10-25T13:48:31.829,0.120,-3.365,-2.241,2.740
1572007711850,2019-10-25T13:48:31.850,0.141,-3.819,-2.820,1.368
1572007711870,2019-10-25T13:48:31.870,0.161,-4.074,-5.492,-0.419
1572007711891,2019-10-25T13:48:31.891,0.182,-2.363,-2.306,1.033
1572007711910,2019-10-25T13:48:31.910,0.201,-0.991,0.434,2.561
1572007711930,2019-10-25T13:48:31.930,0.221,-0.114,-1.006,1.086
1572007711951,2019-10-25T13:48:31.951,0.242,-1.604,-1.178,0.339
1572007711970,2019-10-25T13:48:31.970,0.261,-1.612,-1.059,0.107
1572007711990,2019-10-25T13:48:31.990,0.281,3.083,0.076,0.983
1572007712011,2019-10-25T13:48:32.011,0.302,3.098,-1.883,4.013
1572007712030,2019-10-25T13:48:32.030,0.321,-4.623,0.949,2.233
1572007712051,2019-10-25T13:48:32.051,0.342,-6.452,-0.259,-0.152
1572007712071,2019-10-25T13:48:32.071,0.362,-2.580,-3.735,0.854
1572007712090,2019-10-25T13:48:32.090,0.381,0.008,-1.654,1.761
1572007712111,2019-10-25T13:48:32.111,0.402,-2.012,1.528,1.578
1572007712131,2019-10-25T13:48:32.131,0.422,-2.774,0.019,1.235
1572007712150,2019-10-25T13:48:32.150,0.441,-3.117,-4.356,0.621
1572007712171,2019-10-25T13:48:32.171,0.462,-3.487,-2.938,0.522
1572007712191,2019-10-25T13:48:32.191,0.482,-1.574,-0.225,2.279
1572007712212,2019-10-25T13:48:32.212,0.503,-0.438,1.883,0.610
1572007712231,2019-10-25T13:48:32.231,0.522,0.263,2.988,-1.139
1572007712251,2019-10-25T13:48:32.251,0.542,0.736,-0.503,0.652
1572007712272,2019-10-25T13:48:32.272,0.563,-0.183,-2.168,0.514
1572007712291,2019-10-25T13:48:32.291,0.582,0.114,0.103,1.677
1572007712311,2019-10-25T13:48:32.311,0.602,-0.171,2.176,3.975
1572007712332,2019-10-25T13:48:32.332,0.623,1.402,0.534,1.978
1572007712351,2019-10-25T13:48:32.351,0.642,3.857,-5.617,-0.404
1572007712371,2019-10-25T13:48:32.371,0.662,1.380,-3.758,0.198
1572007712392,2019-10-25T13:48:32.392,0.683,-1.338,3.868,-0.389
1572007712411,2019-10-25T13:48:32.411,0.702,0.579,1.349,0.461
1572007712431,2019-10-25T13:48:32.431,0.722,2.896,-0.896,1.951
1572007712452,2019-10-25T13:48:32.452,0.743,1.673,-0.015,-0.587
1572007712472,2019-10-25T13:48:32.472,0.763,-3.144,-2.104,-3.243
1572007712491,2019-10-25T13:48:32.491,0.782,-3.361,-3.697,-2.229
1572007712512,2019-10-25T13:48:32.512,0.803,2.161,0.385,3.087
1572007712532,2019-10-25T13:48:32.532,0.823,2.763,5.454,5.236
1572007712552,2019-10-25T13:48:32.552,0.843,-1.841,2.927,1.726
1572007712572,2019-10-25T13:48:32.572,0.863,-3.529,-1.330,-3.605
1572007712593,2019-10-25T13:48:32.593,0.884,-3.068,-0.926,-2.580
1572007712612,2019-10-25T13:48:32.612,0.903,-4.478,1.109,1.700
1572007712632,2019-10-25T13:48:32.632,0.923,-4.779,1.833,2.450
1572007712653,2019-10-25T13:48:32.653,0.944,-1.742,-1.521,0.518
1572007712672,2019-10-25T13:48:32.672,0.963,-0.983,-4.074,-2.515
1572007712692,2019-10-25T13:48:32.692,0.983,-3.460,-1.845,-3.152
1572007712713,2019-10-25T13:48:32.713,1.004,-4.284,1.052,0.945
1572007712732,2019-10-25T13:48:32.732,1.023,0.320,1.509,2.900
1572007712752,2019-10-25T13:48:32.752,1.043,5.061,1.018,1.372
1572007712773,2019-10-25T13:48:32.773,1.064,1.829,0.175,-0.507
1572007712793,2019-10-25T13:48:32.793,1.084,-3.941,-0.442,-2.645
1572007712812,2019-10-25T13:48:32.812,1.103,-0.602,1.193,-1.277
1572007712833,2019-10-25T13:48:32.833,1.124,3.792,1.814,1.818
1572007712853,2019-10-25T13:48:32.853,1.144,3.575,1.547,1.662
1572007712872,2019-10-25T13:48:32.872,1.163,2.405,-0.248,1.372
1572007712893,2019-10-25T13:48:32.893,1.184,1.025,-1.947,-0.030
1572007712913,2019-10-25T13:48:32.913,1.204,-0.610,-2.999,-2.740
1572007712932,2019-10-25T13:48:32.932,1.223,-1.719,-0.991,-2.843
1572007712953,2019-10-25T13:48:32.953,1.244,-0.473,0.076,-0.880
1572007712973,2019-10-25T13:48:32.973,1.264,2.740,-0.675,0.389
1572007712992,2019-10-25T13:48:32.992,1.283,4.661,-1.467,-1.311
1572007713013,2019-10-25T13:48:33.013,1.304,2.984,0.587,-3.998
1572007713033,2019-10-25T13:48:33.033,1.324,-1.376,-0.149,-3.777
1572007713054,2019-10-25T13:48:33.054,1.345,-7.214,-2.073,-3.449
1572007713073,2019-10-25T13:48:33.073,1.364,-6.928,0.091,-2.146
1572007713094,2019-10-25T13:48:33.094,1.385,-1.841,2.172,2.100
1572007713114,2019-10-25T13:48:33.114,1.405,0.202,1.570,3.152
1572007713133,2019-10-25T13:48:33.133,1.424,1.124,0.099,2.153
1572007713154,2019-10-25T13:48:33.154,1.445,2.736,-1.071,0.941
1572007713174,2019-10-25T13:48:33.174,1.465,0.495,1.132,-2.027
1572007713193,2019-10-25T13:48:33.193,1.484,-1.044,1.681,-2.614
1572007713214,2019-10-25T13:48:33.214,1.505,-1.185,-0.385,0.297
1572007713234,2019-10-25T13:48:33.234,1.525,-2.378,0.469,-0.671
1572007713253,2019-10-25T13:48:33.253,1.544,-2.241,1.505,-2.729
1572007713274,2019-10-25T13:48:33.274,1.565,-2.706,1.555,-3.739
1572007713294,2019-10-25T13:48:33.294,1.585,0.210,0.979,-2.107
1572007713313,2019-10-25T13:48:33.313,1.604,4.707,0.267,1.212
1572007713334,2019-10-25T13:48:33.334,1.625,1.726,0.591,0.911
1572007713354,2019-10-25T13:48:33.354,1.645,-3.445,-2.142,-2.481
1572007713375,2019-10-25T13:48:33.375,1.666,-3.666,-1.764,-3.369
1572007713394,2019-10-25T13:48:33.394,1.685,-1.300,0.091,-0.816
1572007713414,2019-10-25T13:48:33.414,1.705,0.419,-0.751,1.521
1572007713435,2019-10-25T13:48:33.435,1.726,1.509,0.255,1.616
1572007713454,2019-10-25T13:48:33.454,1.745,1.772,-0.526,0.625
1572007713474,2019-10-25T13:48:33.474,1.765,0.789,-0.229,-2.073
1572007713495,2019-10-25T13:48:33.495,1.786,-0.739,-1.890,-2.599
1572007713514,2019-10-25T13:48:33.514,1.805,0.728,-1.654,-1.319
1572007713534,2019-10-25T13:48:33.534,1.825,2.717,0.537,0.499
1572007713555,2019-10-25T13:48:33.555,1.846,-0.724,0.354,2.008
1572007713574,2019-10-25T13:48:33.574,1.865,-3.944,-1.452,0.484
1572007713594,2019-10-25T13:48:33.594,1.885,-0.305,-1.235,-0.831
1572007713615,2019-10-25T13:48:33.615,1.906,3.258,-1.448,-1.025
1572007713636,2019-10-25T13:48:33.636,1.927,2.188,-0.903,-2.485
1572007713655,2019-10-25T13:48:33.655,1.946,1.471,-0.293,-3.270
1572007713675,2019-10-25T13:48:33.675,1.966,-0.534,0.629,-1.612
1572007713696,2019-10-25T13:48:33.696,1.987,-3.083,0.781,-0.095
1572007713715,2019-10-25T13:48:33.715,2.006,-2.748,0.198,-1.471
1572007713735,2019-10-25T13:48:33.735,2.026,1.631,-1.227,-2.233
1572007713756,2019-10-25T13:48:33.756,2.047,5.156,-0.244,-2.001
1572007713775,2019-10-25T13:48:33.775,2.066,3.914,0.957,-2.207
