epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1571665803179,2019-10-21T2.50.03.179 pm,0.000,-11.982,-5.518,7.622
1571665803200,2019-10-21T2.50.03.200 pm,0.021,-18.659,-7.561,10.518
1571665803220,2019-10-21T2.50.03.220 pm,0.041,6.677,-11.220,-4.787
1571665803240,2019-10-21T2.50.03.240 pm,0.061,16.524,-11.982,-12.104
1571665803260,2019-10-21T2.50.03.260 pm,0.081,-3.262,-6.677,-10.823
1571665803281,2019-10-21T2.50.03.281 pm,0.102,-9.848,0.335,-7.713
1571665803301,2019-10-21T2.50.03.301 pm,0.122,4.543,2.317,-9.482
1571665803320,2019-10-21T2.50.03.320 pm,0.141,-5.579,4.512,-8.201
1571665803341,2019-10-21T2.50.03.341 pm,0.162,-33.963,11.433,1.341
1571665803361,2019-10-21T2.50.03.361 pm,0.182,-34.573,9.451,3.140
1571665803380,2019-10-21T2.50.03.380 pm,0.201,-10.610,4.116,-8.720
1571665803401,2019-10-21T2.50.03.401 pm,0.222,1.646,0.183,-10.579
1571665803421,2019-10-21T2.50.03.421 pm,0.242,2.683,-10.488,3.110
1571665803442,2019-10-21T2.50.03.442 pm,0.263,5.549,-4.024,-4.665
1571665803461,2019-10-21T2.50.03.461 pm,0.282,17.134,-1.341,-13.445
1571665803481,2019-10-21T2.50.03.481 pm,0.302,20.610,-3.384,-0.152
1571665803502,2019-10-21T2.50.03.502 pm,0.323,18.323,3.171,9.543
1571665803521,2019-10-21T2.50.03.521 pm,0.342,3.384,9.451,7.683
1571665803541,2019-10-21T2.50.03.541 pm,0.362,2.774,14.878,3.171
1571665803562,2019-10-21T2.50.03.562 pm,0.383,18.567,11.128,4.390
1571665803581,2019-10-21T2.50.03.581 pm,0.402,19.146,8.384,7.043
1571665803601,2019-10-21T2.50.03.601 pm,0.422,15.335,15.488,11.616
1571665803622,2019-10-21T2.50.03.622 pm,0.443,5.671,17.896,12.165
1571665803642,2019-10-21T2.50.03.642 pm,0.463,1.220,7.317,10.701
1571665803661,2019-10-21T2.50.03.661 pm,0.482,-8.720,4.360,12.927
1571665803682,2019-10-21T2.50.03.682 pm,0.503,2.317,-1.829,10.701
1571665803702,2019-10-21T2.50.03.702 pm,0.523,14.421,-7.622,5.701
1571665803721,2019-10-21T2.50.03.721 pm,0.542,15.274,-8.537,6.220
1571665803742,2019-10-21T2.50.03.742 pm,0.563,10.701,-2.195,10.518
1571665803762,2019-10-21T2.50.03.762 pm,0.583,11.189,1.585,14.970
1571665803783,2019-10-21T2.50.03.783 pm,0.604,19.512,5.640,23.841
1571665803802,2019-10-21T2.50.03.802 pm,0.623,0.823,1.341,12.835
1571665803823,2019-10-21T2.50.03.823 pm,0.644,-4.299,-1.768,5.976
1571665803843,2019-10-21T2.50.03.843 pm,0.664,2.561,1.128,6.311
1571665803862,2019-10-21T2.50.03.862 pm,0.683,0.732,-2.622,4.665
1571665803883,2019-10-21T2.50.03.883 pm,0.704,-7.713,-5.976,0.396
1571665803903,2019-10-21T2.50.03.903 pm,0.724,-8.506,-2.957,-1.006
1571665803922,2019-10-21T2.50.03.922 pm,0.743,-3.232,-1.128,-0.945
1571665803943,2019-10-21T2.50.03.943 pm,0.764,-3.354,1.341,-3.689
1571665803963,2019-10-21T2.50.03.963 pm,0.784,-2.896,0.427,-5.579
1571665803984,2019-10-21T2.50.03.984 pm,0.805,2.805,-0.030,-6.433
1571665804003,2019-10-21T2.50.04.003 pm,0.824,-1.098,1.037,-7.835
1571665804023,2019-10-21T2.50.04.023 pm,0.844,-8.506,-0.061,-9.146
1571665804044,2019-10-21T2.50.04.044 pm,0.865,-6.707,-0.549,-9.665
1571665804063,2019-10-21T2.50.04.063 pm,0.884,-4.055,1.646,-9.329
1571665804083,2019-10-21T2.50.04.083 pm,0.904,-1.951,4.756,-7.988
1571665804104,2019-10-21T2.50.04.104 pm,0.925,-1.829,10.091,-5.549
1571665804124,2019-10-21T2.50.04.124 pm,0.945,1.463,11.616,-9.726
1571665804143,2019-10-21T2.50.04.143 pm,0.964,5.274,4.543,-9.634
1571665804164,2019-10-21T2.50.04.164 pm,0.985,3.902,4.421,-3.811
1571665804184,2019-10-21T2.50.04.184 pm,1.005,-2.713,5.671,0.396
1571665804203,2019-10-21T2.50.04.203 pm,1.024,-1.829,3.445,2.195
1571665804224,2019-10-21T2.50.04.224 pm,1.045,5.915,2.256,1.616
1571665804244,2019-10-21T2.50.04.244 pm,1.065,6.951,3.171,0.000
1571665804263,2019-10-21T2.50.04.263 pm,1.084,1.585,3.262,-0.427
1571665804284,2019-10-21T2.50.04.284 pm,1.105,3.902,-1.067,-0.152
1571665804304,2019-10-21T2.50.04.304 pm,1.125,8.232,-3.720,1.098
1571665804325,2019-10-21T2.50.04.325 pm,1.146,1.799,2.957,3.201
1571665804344,2019-10-21T2.50.04.344 pm,1.165,1.646,7.652,4.055
1571665804365,2019-10-21T2.50.04.365 pm,1.186,2.652,6.341,5.061
1571665804385,2019-10-21T2.50.04.385 pm,1.206,1.768,2.012,5.945
1571665804404,2019-10-21T2.50.04.404 pm,1.225,4.299,-0.244,5.274
1571665804425,2019-10-21T2.50.04.425 pm,1.246,3.659,0.213,3.171
1571665804445,2019-10-21T2.50.04.445 pm,1.266,-2.256,-2.713,2.134
1571665804466,2019-10-21T2.50.04.466 pm,1.287,1.402,-3.079,6.677
1571665804485,2019-10-21T2.50.04.485 pm,1.306,-0.701,2.470,1.372
1571665804505,2019-10-21T2.50.04.505 pm,1.326,1.890,0.457,2.988
1571665804526,2019-10-21T2.50.04.526 pm,1.347,5.000,-2.500,5.579
1571665804545,2019-10-21T2.50.04.545 pm,1.366,5.244,-2.378,9.329
1571665804565,2019-10-21T2.50.04.565 pm,1.386,-0.732,-0.396,7.927
1571665804586,2019-10-21T2.50.04.586 pm,1.407,-6.098,0.854,3.720
1571665804606,2019-10-21T2.50.04.606 pm,1.427,-5.915,0.213,1.006
1571665804625,2019-10-21T2.50.04.625 pm,1.446,-3.628,-0.305,-0.793
1571665804646,2019-10-21T2.50.04.646 pm,1.467,-3.963,0.122,-0.945
1571665804666,2019-10-21T2.50.04.666 pm,1.487,-0.549,0.488,-1.646
1571665804685,2019-10-21T2.50.04.685 pm,1.506,1.402,-1.677,-2.470
1571665804706,2019-10-21T2.50.04.706 pm,1.527,0.091,-0.610,-2.256
1571665804726,2019-10-21T2.50.04.726 pm,1.547,-2.713,3.049,-2.287
