epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1571665462373,2019-10-21T2.44.22.373 pm,0.000,0.292,-0.892,-0.307
1571665462394,2019-10-21T2.44.22.394 pm,0.021,0.360,-0.915,-0.235
1571665462413,2019-10-21T2.44.22.413 pm,0.040,0.354,-0.878,-0.185
1571665462433,2019-10-21T2.44.22.433 pm,0.060,0.271,-0.838,-0.224
1571665462454,2019-10-21T2.44.22.454 pm,0.081,0.300,-0.919,-0.215
1571665462474,2019-10-21T2.44.22.474 pm,0.101,0.289,-1.036,-0.199
1571665462493,2019-10-21T2.44.22.493 pm,0.120,0.237,-0.963,-0.217
1571665462514,2019-10-21T2.44.22.514 pm,0.141,0.242,-0.972,-0.194
1571665462534,2019-10-21T2.44.22.534 pm,0.161,0.230,-0.971,-0.178
1571665462553,2019-10-21T2.44.22.553 pm,0.180,0.216,-0.955,-0.117
1571665462574,2019-10-21T2.44.22.574 pm,0.201,0.230,-0.933,-0.096
1571665462594,2019-10-21T2.44.22.594 pm,0.221,0.222,-0.986,-0.130
1571665462615,2019-10-21T2.44.22.615 pm,0.242,0.216,-1.039,-0.112
1571665462634,2019-10-21T2.44.22.634 pm,0.261,0.158,-0.990,-0.135
1571665462654,2019-10-21T2.44.22.654 pm,0.281,0.147,-0.989,-0.130
1571665462675,2019-10-21T2.44.22.675 pm,0.302,0.209,-1.105,-0.073
1571665462694,2019-10-21T2.44.22.694 pm,0.321,0.189,-1.031,-0.082
1571665462714,2019-10-21T2.44.22.714 pm,0.341,0.144,-0.955,-0.106
1571665462735,2019-10-21T2.44.22.735 pm,0.362,0.152,-0.995,-0.085
1571665462755,2019-10-21T2.44.22.755 pm,0.382,0.147,-0.928,-0.062
1571665462775,2019-10-21T2.44.22.775 pm,0.402,0.185,-1.011,-0.064
1571665462795,2019-10-21T2.44.22.795 pm,0.422,0.151,-0.946,-0.071
1571665462816,2019-10-21T2.44.22.816 pm,0.443,0.157,-0.970,-0.059
1571665462835,2019-10-21T2.44.22.835 pm,0.462,0.153,-1.069,-0.068
1571665462855,2019-10-21T2.44.22.855 pm,0.482,0.144,-1.003,-0.038
1571665462876,2019-10-21T2.44.22.876 pm,0.503,0.140,-0.960,-0.053
1571665462896,2019-10-21T2.44.22.896 pm,0.523,0.140,-0.999,-0.064
1571665462915,2019-10-21T2.44.22.915 pm,0.542,0.146,-1.013,-0.039
1571665462936,2019-10-21T2.44.22.936 pm,0.563,0.134,-1.004,-0.036
1571665462956,2019-10-21T2.44.22.956 pm,0.583,0.128,-1.009,-0.031
1571665462975,2019-10-21T2.44.22.975 pm,0.602,0.093,-0.957,-0.077
1571665462996,2019-10-21T2.44.22.996 pm,0.623,0.110,-0.967,-0.072
1571665463016,2019-10-21T2.44.23.016 pm,0.643,0.141,-1.006,-0.040
1571665463037,2019-10-21T2.44.23.037 pm,0.664,0.127,-1.014,-0.060
1571665463056,2019-10-21T2.44.23.056 pm,0.683,0.115,-1.011,-0.099
1571665463076,2019-10-21T2.44.23.076 pm,0.703,0.137,-1.026,-0.089
1571665463097,2019-10-21T2.44.23.097 pm,0.724,0.129,-1.012,-0.108
1571665463116,2019-10-21T2.44.23.116 pm,0.743,0.145,-1.031,-0.098
1571665463136,2019-10-21T2.44.23.136 pm,0.763,0.146,-1.010,-0.086
1571665463157,2019-10-21T2.44.23.157 pm,0.784,0.110,-0.946,-0.107
1571665463177,2019-10-21T2.44.23.177 pm,0.804,0.120,-0.927,-0.124
1571665463196,2019-10-21T2.44.23.196 pm,0.823,0.162,-0.993,-0.081
1571665463217,2019-10-21T2.44.23.217 pm,0.844,0.179,-1.080,-0.061
1571665463237,2019-10-21T2.44.23.237 pm,0.864,0.123,-0.966,-0.112
1571665463256,2019-10-21T2.44.23.256 pm,0.883,0.109,-0.883,-0.131
1571665463277,2019-10-21T2.44.23.277 pm,0.904,0.121,-0.949,-0.117
1571665463297,2019-10-21T2.44.23.297 pm,0.924,0.140,-1.078,-0.104
1571665463318,2019-10-21T2.44.23.318 pm,0.945,0.115,-1.076,-0.113
1571665463337,2019-10-21T2.44.23.337 pm,0.964,0.096,-1.002,-0.124
1571665463358,2019-10-21T2.44.23.358 pm,0.985,0.095,-0.972,-0.132
1571665463378,2019-10-21T2.44.23.378 pm,1.005,0.112,-0.993,-0.115
1571665463397,2019-10-21T2.44.23.397 pm,1.024,0.123,-1.037,-0.118
1571665463418,2019-10-21T2.44.23.418 pm,1.045,0.111,-1.016,-0.136
1571665463438,2019-10-21T2.44.23.438 pm,1.065,0.093,-0.956,-0.160
1571665463459,2019-10-21T2.44.23.459 pm,1.086,0.111,-0.981,-0.151
1571665463478,2019-10-21T2.44.23.478 pm,1.105,0.104,-0.979,-0.173
1571665463498,2019-10-21T2.44.23.498 pm,1.125,0.116,-0.981,-0.173
1571665463519,2019-10-21T2.44.23.519 pm,1.146,0.117,-1.001,-0.167
1571665463538,2019-10-21T2.44.23.538 pm,1.165,0.104,-1.006,-0.154
1571665463558,2019-10-21T2.44.23.558 pm,1.185,0.101,-0.972,-0.187
1571665463579,2019-10-21T2.44.23.579 pm,1.206,0.106,-1.018,-0.208
1571665463599,2019-10-21T2.44.23.599 pm,1.226,0.103,-1.041,-0.208
1571665463618,2019-10-21T2.44.23.618 pm,1.245,0.084,-0.961,-0.232
1571665463639,2019-10-21T2.44.23.639 pm,1.266,0.087,-0.947,-0.238
1571665463659,2019-10-21T2.44.23.659 pm,1.286,0.095,-0.995,-0.251
1571665463680,2019-10-21T2.44.23.680 pm,1.307,0.072,-0.974,-0.254
1571665463699,2019-10-21T2.44.23.699 pm,1.326,0.091,-1.009,-0.215
1571665463719,2019-10-21T2.44.23.719 pm,1.346,0.077,-1.058,-0.249
1571665463740,2019-10-21T2.44.23.740 pm,1.367,0.616,-0.939,-0.117
1571665463759,2019-10-21T2.44.23.759 pm,1.386,0.229,-0.109,0.007
1571665463779,2019-10-21T2.44.23.779 pm,1.406,-0.090,-0.194,-0.220
1571665463800,2019-10-21T2.44.23.800 pm,1.427,0.161,-0.198,-0.154
1571665463819,2019-10-21T2.44.23.819 pm,1.446,-0.202,-0.230,-0.100
1571665463839,2019-10-21T2.44.23.839 pm,1.466,-0.267,-0.224,-0.021
1571665463860,2019-10-21T2.44.23.860 pm,1.487,-0.383,-0.397,-0.045
1571665463880,2019-10-21T2.44.23.880 pm,1.507,-0.228,-0.469,-0.042
1571665463900,2019-10-21T2.44.23.900 pm,1.527,-0.003,-0.915,0.189
1571665463920,2019-10-21T2.44.23.920 pm,1.547,0.270,-0.623,0.294
1571665463941,2019-10-21T2.44.23.941 pm,1.568,0.146,-0.271,0.191
1571665463960,2019-10-21T2.44.23.960 pm,1.587,0.706,-0.137,1.381
1571665463980,2019-10-21T2.44.23.980 pm,1.607,0.112,1.010,1.427
1571665464001,2019-10-21T2.44.24.001 pm,1.628,-0.333,-0.587,-0.402
1571665464021,2019-10-21T2.44.24.021 pm,1.648,0.253,-0.783,0.341
1571665464040,2019-10-21T2.44.24.040 pm,1.667,0.268,-0.405,0.333
1571665464061,2019-10-21T2.44.24.061 pm,1.688,0.208,-0.213,0.093
1571665464081,2019-10-21T2.44.24.081 pm,1.708,-0.210,0.546,1.336
1571665464100,2019-10-21T2.44.24.100 pm,1.727,0.021,-0.084,0.470
1571665464121,2019-10-21T2.44.24.121 pm,1.748,0.146,-0.347,0.220
1571665464141,2019-10-21T2.44.24.141 pm,1.768,-0.141,-0.388,0.102
1571665464162,2019-10-21T2.44.24.162 pm,1.789,0.003,0.587,1.480
1571665464181,2019-10-21T2.44.24.181 pm,1.808,0.224,-0.235,0.448
1571665464201,2019-10-21T2.44.24.201 pm,1.828,-0.174,-0.356,-0.171
1571665464222,2019-10-21T2.44.24.222 pm,1.849,-0.086,0.633,1.222
1571665464241,2019-10-21T2.44.24.241 pm,1.868,0.352,-0.169,0.909
1571665464261,2019-10-21T2.44.24.261 pm,1.888,-0.293,-0.267,-0.317
1571665464282,2019-10-21T2.44.24.282 pm,1.909,0.352,0.530,1.630
1571665464301,2019-10-21T2.44.24.301 pm,1.928,0.156,-0.366,0.515
1571665464321,2019-10-21T2.44.24.321 pm,1.948,-0.253,0.161,-0.064
1571665464342,2019-10-21T2.44.24.342 pm,1.969,0.505,0.013,1.527
1571665464362,2019-10-21T2.44.24.362 pm,1.989,-0.233,-0.175,-0.107
1571665464381,2019-10-21T2.44.24.381 pm,2.008,0.309,0.249,1.509
1571665464402,2019-10-21T2.44.24.402 pm,2.029,0.023,-0.315,0.555
1571665464422,2019-10-21T2.44.24.422 pm,2.049,0.091,0.273,0.885
1571665464442,2019-10-21T2.44.24.442 pm,2.069,0.103,-0.331,0.970
1571665464462,2019-10-21T2.44.24.462 pm,2.089,0.042,0.209,0.686
1571665464483,2019-10-21T2.44.24.483 pm,2.110,0.047,-0.168,0.923
1571665464503,2019-10-21T2.44.24.503 pm,2.130,0.065,-0.007,0.611
1571665464522,2019-10-21T2.44.24.522 pm,2.149,-0.034,-0.037,0.702
1571665464543,2019-10-21T2.44.24.543 pm,2.170,-0.012,-0.041,0.941
1571665464563,2019-10-21T2.44.24.563 pm,2.190,-0.047,-0.028,1.010
1571665464582,2019-10-21T2.44.24.582 pm,2.209,0.005,-0.092,0.993
1571665464603,2019-10-21T2.44.24.603 pm,2.230,-0.093,0.212,0.972
1571665464623,2019-10-21T2.44.24.623 pm,2.250,-0.008,-0.035,0.961
1571665464642,2019-10-21T2.44.24.642 pm,2.269,0.080,-0.314,0.979
1571665464663,2019-10-21T2.44.24.663 pm,2.290,0.136,-0.725,0.941
1571665464683,2019-10-21T2.44.24.683 pm,2.310,-0.237,0.825,1.019
1571665464704,2019-10-21T2.44.24.704 pm,2.331,-0.141,0.021,1.015
1571665464723,2019-10-21T2.44.24.723 pm,2.350,0.015,-0.176,0.940
1571665464743,2019-10-21T2.44.24.743 pm,2.370,0.019,-0.070,0.965
1571665464764,2019-10-21T2.44.24.764 pm,2.391,0.022,0.012,0.990
1571665464783,2019-10-21T2.44.24.783 pm,2.410,-0.023,-0.009,0.996
1571665464803,2019-10-21T2.44.24.803 pm,2.430,-0.075,-0.033,0.982
1571665464824,2019-10-21T2.44.24.824 pm,2.451,-0.066,-0.076,0.958
1571665464844,2019-10-21T2.44.24.844 pm,2.471,-0.132,-0.085,0.975
1571665464863,2019-10-21T2.44.24.863 pm,2.490,-0.157,-0.093,0.969
1571665464884,2019-10-21T2.44.24.884 pm,2.511,-0.109,-0.105,0.954
1571665464904,2019-10-21T2.44.24.904 pm,2.531,-0.119,-0.153,1.123
1571665464923,2019-10-21T2.44.24.923 pm,2.550,-0.132,-0.066,1.012
1571665464944,2019-10-21T2.44.24.944 pm,2.571,-0.144,-0.018,0.935
1571665464964,2019-10-21T2.44.24.964 pm,2.591,-0.088,0.005,0.923
1571665464984,2019-10-21T2.44.24.984 pm,2.611,-0.071,0.157,1.000
1571665465004,2019-10-21T2.44.25.004 pm,2.631,-0.115,0.140,1.071
