epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1571665462334,2019-10-21T2.44.22.334 pm,0.000,32.012,21.280,4.116
1571665462342,2019-10-21T2.44.22.342 pm,0.008,33.567,22.287,5.823
1571665462353,2019-10-21T2.44.22.353 pm,0.019,38.780,24.024,-4.146
1571665462363,2019-10-21T2.44.22.363 pm,0.029,49.817,33.140,-4.055
1571665462373,2019-10-21T2.44.22.373 pm,0.039,60.518,37.409,2.957
1571665462383,2019-10-21T2.44.22.383 pm,0.049,68.262,35.671,9.482
1571665462394,2019-10-21T2.44.22.394 pm,0.060,59.421,30.762,27.988
1571665462404,2019-10-21T2.44.22.404 pm,0.070,56.890,18.872,27.256
1571665462414,2019-10-21T2.44.22.414 pm,0.080,55.366,22.805,33.841
1571665462423,2019-10-21T2.44.22.423 pm,0.089,46.738,14.116,38.110
1571665462433,2019-10-21T2.44.22.433 pm,0.099,38.171,18.780,47.744
1571665462443,2019-10-21T2.44.22.443 pm,0.109,33.872,22.591,49.543
1571665462454,2019-10-21T2.44.22.454 pm,0.120,31.037,25.091,71.921
1571665462464,2019-10-21T2.44.22.464 pm,0.130,34.604,24.878,58.659
1571665462474,2019-10-21T2.44.22.474 pm,0.140,32.988,24.207,43.354
1571665462483,2019-10-21T2.44.22.483 pm,0.149,28.567,29.909,51.463
1571665462493,2019-10-21T2.44.22.493 pm,0.159,28.720,35.213,50.976
1571665462504,2019-10-21T2.44.22.504 pm,0.170,30.915,31.220,40.640
1571665462514,2019-10-21T2.44.22.514 pm,0.180,27.226,35.610,47.622
1571665462524,2019-10-21T2.44.22.524 pm,0.190,26.646,39.055,43.720
1571665462534,2019-10-21T2.44.22.534 pm,0.200,26.494,45.244,48.171
1571665462545,2019-10-21T2.44.22.545 pm,0.211,27.500,47.744,45.427
1571665462553,2019-10-21T2.44.22.553 pm,0.219,27.073,43.841,40.976
1571665462564,2019-10-21T2.44.22.564 pm,0.230,25.305,37.500,42.043
1571665462574,2019-10-21T2.44.22.574 pm,0.240,20.427,38.018,41.402
1571665462584,2019-10-21T2.44.22.584 pm,0.250,13.262,31.738,40.396
1571665462594,2019-10-21T2.44.22.594 pm,0.260,9.024,29.665,36.738
1571665462605,2019-10-21T2.44.22.605 pm,0.271,7.774,41.707,34.421
1571665462615,2019-10-21T2.44.22.615 pm,0.281,4.421,34.177,27.835
1571665462624,2019-10-21T2.44.22.624 pm,0.290,9.787,40.610,28.902
1571665462634,2019-10-21T2.44.22.634 pm,0.300,12.988,38.384,24.634
1571665462644,2019-10-21T2.44.22.644 pm,0.310,6.951,31.982,15.518
1571665462654,2019-10-21T2.44.22.654 pm,0.320,13.659,45.884,16.738
1571665462665,2019-10-21T2.44.22.665 pm,0.331,11.768,32.317,16.951
1571665462675,2019-10-21T2.44.22.675 pm,0.341,0.549,32.866,-4.116
1571665462685,2019-10-21T2.44.22.685 pm,0.351,5.000,31.220,1.707
1571665462694,2019-10-21T2.44.22.694 pm,0.360,1.159,34.451,-0.762
1571665462704,2019-10-21T2.44.22.704 pm,0.370,12.713,33.262,6.037
1571665462714,2019-10-21T2.44.22.714 pm,0.380,17.165,36.067,12.744
1571665462725,2019-10-21T2.44.22.725 pm,0.391,-3.598,31.189,2.713
1571665462735,2019-10-21T2.44.22.735 pm,0.401,-6.280,40.732,-17.165
1571665462745,2019-10-21T2.44.22.745 pm,0.411,15.915,38.994,15.945
1571665462755,2019-10-21T2.44.22.755 pm,0.421,17.378,29.055,19.726
1571665462764,2019-10-21T2.44.22.764 pm,0.430,13.720,24.055,11.585
1571665462775,2019-10-21T2.44.22.775 pm,0.441,-0.884,30.732,-5.915
1571665462785,2019-10-21T2.44.22.785 pm,0.451,6.982,25.030,7.073
1571665462795,2019-10-21T2.44.22.795 pm,0.461,15.244,21.921,15.061
1571665462805,2019-10-21T2.44.22.805 pm,0.471,12.591,16.341,10.030
1571665462816,2019-10-21T2.44.22.816 pm,0.482,10.701,15.915,8.262
1571665462826,2019-10-21T2.44.22.826 pm,0.492,6.860,12.713,12.104
1571665462835,2019-10-21T2.44.22.835 pm,0.501,3.780,16.250,11.677
1571665462845,2019-10-21T2.44.22.845 pm,0.511,4.817,15.671,5.518
1571665462855,2019-10-21T2.44.22.855 pm,0.521,3.415,8.262,6.128
1571665462865,2019-10-21T2.44.22.865 pm,0.531,4.360,7.713,12.043
1571665462876,2019-10-21T2.44.22.876 pm,0.542,5.945,10.610,15.183
1571665462886,2019-10-21T2.44.22.886 pm,0.552,5.854,8.902,14.848
1571665462896,2019-10-21T2.44.22.896 pm,0.562,6.341,11.220,14.024
1571665462905,2019-10-21T2.44.22.905 pm,0.571,4.665,7.500,14.299
1571665462915,2019-10-21T2.44.22.915 pm,0.581,5.549,6.006,15.640
