epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1571830278992,2019-10-23T12.31.18.992 pm,0.000,0.020,-0.121,0.985
1571830279002,2019-10-23T12.31.19.002 pm,0.010,0.019,-0.122,0.995
1571830279013,2019-10-23T12.31.19.013 pm,0.021,0.016,-0.122,0.989
1571830279023,2019-10-23T12.31.19.023 pm,0.031,0.017,-0.124,0.991
1571830279032,2019-10-23T12.31.19.032 pm,0.040,0.015,-0.127,0.995
1571830279042,2019-10-23T12.31.19.042 pm,0.050,0.012,-0.127,0.994
1571830279052,2019-10-23T12.31.19.052 pm,0.060,0.013,-0.125,0.994
1571830279062,2019-10-23T12.31.19.062 pm,0.070,0.017,-0.122,0.990
1571830279073,2019-10-23T12.31.19.073 pm,0.081,0.018,-0.120,0.992
1571830279083,2019-10-23T12.31.19.083 pm,0.091,0.021,-0.118,0.990
1571830279093,2019-10-23T12.31.19.093 pm,0.101,0.024,-0.118,0.991
1571830279103,2019-10-23T12.31.19.103 pm,0.111,0.020,-0.121,0.990
1571830279112,2019-10-23T12.31.19.112 pm,0.120,0.016,-0.126,0.991
1571830279122,2019-10-23T12.31.19.122 pm,0.130,0.013,-0.127,0.993
1571830279133,2019-10-23T12.31.19.133 pm,0.141,0.016,-0.129,0.991
1571830279143,2019-10-23T12.31.19.143 pm,0.151,0.014,-0.127,0.993
1571830279153,2019-10-23T12.31.19.153 pm,0.161,0.014,-0.125,0.992
1571830279164,2019-10-23T12.31.19.164 pm,0.172,0.019,-0.122,0.990
1571830279174,2019-10-23T12.31.19.174 pm,0.182,0.021,-0.117,0.990
1571830279184,2019-10-23T12.31.19.184 pm,0.192,0.022,-0.118,0.989
1571830279194,2019-10-23T12.31.19.194 pm,0.202,0.021,-0.120,0.992
1571830279203,2019-10-23T12.31.19.203 pm,0.211,0.019,-0.122,0.993
1571830279213,2019-10-23T12.31.19.213 pm,0.221,0.017,-0.124,0.993
1571830279224,2019-10-23T12.31.19.224 pm,0.232,0.014,-0.127,0.991
1571830279234,2019-10-23T12.31.19.234 pm,0.242,0.014,-0.129,0.992
1571830279244,2019-10-23T12.31.19.244 pm,0.252,0.015,-0.125,0.995
1571830279254,2019-10-23T12.31.19.254 pm,0.262,0.015,-0.124,0.992
1571830279265,2019-10-23T12.31.19.265 pm,0.273,0.016,-0.124,0.989
1571830279275,2019-10-23T12.31.19.275 pm,0.283,0.021,-0.122,0.992
1571830279284,2019-10-23T12.31.19.284 pm,0.292,0.021,-0.123,0.992
1571830279294,2019-10-23T12.31.19.294 pm,0.302,0.021,-0.122,0.993
1571830279304,2019-10-23T12.31.19.304 pm,0.312,0.022,-0.121,0.991
1571830279314,2019-10-23T12.31.19.314 pm,0.322,0.021,-0.120,0.993
1571830279325,2019-10-23T12.31.19.325 pm,0.333,0.016,-0.122,0.991
1571830279335,2019-10-23T12.31.19.335 pm,0.343,0.013,-0.124,0.990
1571830279345,2019-10-23T12.31.19.345 pm,0.353,0.014,-0.125,0.994
1571830279355,2019-10-23T12.31.19.355 pm,0.363,0.013,-0.127,0.994
1571830279364,2019-10-23T12.31.19.364 pm,0.372,0.015,-0.127,0.990
1571830279374,2019-10-23T12.31.19.374 pm,0.382,0.018,-0.126,0.991
1571830279385,2019-10-23T12.31.19.385 pm,0.393,0.019,-0.124,0.993
1571830279395,2019-10-23T12.31.19.395 pm,0.403,0.023,-0.121,0.993
1571830279405,2019-10-23T12.31.19.405 pm,0.413,0.022,-0.118,0.995
1571830279415,2019-10-23T12.31.19.415 pm,0.423,0.021,-0.119,0.991
1571830279426,2019-10-23T12.31.19.426 pm,0.434,0.017,-0.121,0.991
1571830279436,2019-10-23T12.31.19.436 pm,0.444,0.016,-0.125,0.994
1571830279445,2019-10-23T12.31.19.445 pm,0.453,0.015,-0.128,0.994
1571830279455,2019-10-23T12.31.19.455 pm,0.463,0.014,-0.129,0.992
1571830279465,2019-10-23T12.31.19.465 pm,0.473,0.013,-0.127,0.993
1571830279476,2019-10-23T12.31.19.476 pm,0.484,0.016,-0.126,0.993
1571830279486,2019-10-23T12.31.19.486 pm,0.494,0.021,-0.126,0.993
1571830279496,2019-10-23T12.31.19.496 pm,0.504,0.021,-0.121,0.992
1571830279506,2019-10-23T12.31.19.506 pm,0.514,0.022,-0.119,0.991
1571830279517,2019-10-23T12.31.19.517 pm,0.525,0.021,-0.120,0.992
1571830279525,2019-10-23T12.31.19.525 pm,0.533,0.020,-0.120,0.994
1571830279536,2019-10-23T12.31.19.536 pm,0.544,0.018,-0.125,0.993
1571830279546,2019-10-23T12.31.19.546 pm,0.554,0.016,-0.124,0.992
1571830279556,2019-10-23T12.31.19.556 pm,0.564,0.015,-0.127,0.996
1571830279566,2019-10-23T12.31.19.566 pm,0.574,0.015,-0.129,0.993
1571830279577,2019-10-23T12.31.19.577 pm,0.585,0.013,-0.128,0.990
