epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1571666555260,2019-10-21T3.02.35.260 pm,0.000,-21.524,5.610,2.713
1571666555281,2019-10-21T3.02.35.281 pm,0.021,-22.134,6.921,2.683
1571666555301,2019-10-21T3.02.35.301 pm,0.041,-28.049,9.299,0.976
1571666555320,2019-10-21T3.02.35.320 pm,0.060,-37.591,7.348,-3.354
1571666555341,2019-10-21T3.02.35.341 pm,0.081,-36.006,11.524,-3.506
1571666555361,2019-10-21T3.02.35.361 pm,0.101,-34.909,9.451,-1.555
1571666555380,2019-10-21T3.02.35.380 pm,0.120,-38.079,17.652,0.762
1571666555401,2019-10-21T3.02.35.401 pm,0.141,-46.189,27.348,1.006
1571666555421,2019-10-21T3.02.35.421 pm,0.161,-50.640,21.189,0.915
1571666555442,2019-10-21T3.02.35.442 pm,0.182,-47.896,13.994,1.220
1571666555461,2019-10-21T3.02.35.461 pm,0.201,-45.732,19.634,-0.366
1571666555481,2019-10-21T3.02.35.481 pm,0.221,-50.061,16.006,-1.982
1571666555502,2019-10-21T3.02.35.502 pm,0.242,-57.561,11.372,-4.543
1571666555521,2019-10-21T3.02.35.521 pm,0.261,-60.610,-0.335,-8.506
1571666555541,2019-10-21T3.02.35.541 pm,0.281,-61.067,-13.567,-8.933
1571666555562,2019-10-21T3.02.35.562 pm,0.302,-62.530,-3.415,-10.396
1571666555582,2019-10-21T3.02.35.582 pm,0.322,-56.616,10.579,-11.951
1571666555602,2019-10-21T3.02.35.602 pm,0.342,-53.841,4.299,-9.604
1571666555622,2019-10-21T3.02.35.622 pm,0.362,-53.476,6.311,-8.689
1571666555643,2019-10-21T3.02.35.643 pm,0.383,-48.293,9.024,-13.659
1571666555662,2019-10-21T3.02.35.662 pm,0.402,-39.177,-4.207,-10.396
1571666555682,2019-10-21T3.02.35.682 pm,0.422,-39.146,2.500,-3.384
1571666555703,2019-10-21T3.02.35.703 pm,0.443,-41.768,24.329,-8.171
1571666555723,2019-10-21T3.02.35.723 pm,0.463,-38.445,15.335,-14.055
1571666555742,2019-10-21T3.02.35.742 pm,0.482,-29.512,3.384,-5.152
1571666555763,2019-10-21T3.02.35.763 pm,0.503,-23.445,20.335,3.720
1571666555783,2019-10-21T3.02.35.783 pm,0.523,-34.817,33.872,-0.640
1571666555802,2019-10-21T3.02.35.802 pm,0.542,-44.360,33.232,-17.500
1571666555823,2019-10-21T3.02.35.823 pm,0.563,-30.701,10.274,-22.378
1571666555843,2019-10-21T3.02.35.843 pm,0.583,-30.366,3.598,-4.726
1571666555862,2019-10-21T3.02.35.862 pm,0.602,-42.927,26.860,-1.189
1571666555883,2019-10-21T3.02.35.883 pm,0.623,-43.689,18.354,-13.445
1571666555903,2019-10-21T3.02.35.903 pm,0.643,-42.195,6.037,-15.457
1571666555924,2019-10-21T3.02.35.924 pm,0.664,-28.110,14.146,-8.140
1571666555943,2019-10-21T3.02.35.943 pm,0.683,-22.317,13.445,-5.579
1571666555963,2019-10-21T3.02.35.963 pm,0.703,-14.207,2.043,-6.128
1571666555984,2019-10-21T3.02.35.984 pm,0.724,-0.976,-9.726,-5.030
1571666556003,2019-10-21T3.02.36.003 pm,0.743,11.128,-19.512,-4.756
1571666556023,2019-10-21T3.02.36.023 pm,0.763,31.280,-39.756,-5.640
1571666556044,2019-10-21T3.02.36.044 pm,0.784,69.329,-65.579,-1.524
1571666556064,2019-10-21T3.02.36.064 pm,0.804,106.921,-76.921,10.732
1571666556083,2019-10-21T3.02.36.083 pm,0.823,115.244,-67.835,18.201
1571666556104,2019-10-21T3.02.36.104 pm,0.844,98.811,-43.841,2.195
1571666556124,2019-10-21T3.02.36.124 pm,0.864,104.512,-28.720,-4.787
1571666556143,2019-10-21T3.02.36.143 pm,0.883,125.396,-40.061,-1.037
1571666556164,2019-10-21T3.02.36.164 pm,0.904,136.433,-74.848,-2.256
1571666556185,2019-10-21T3.02.36.185 pm,0.925,128.689,-95.427,-12.622
1571666556204,2019-10-21T3.02.36.204 pm,0.944,142.409,-50.732,-35.915
1571666556224,2019-10-21T3.02.36.224 pm,0.964,165.884,24.482,-45.701
1571666556245,2019-10-21T3.02.36.245 pm,0.985,154.970,78.415,-12.012
1571666556265,2019-10-21T3.02.36.265 pm,1.005,129.604,38.506,2.805
1571666556284,2019-10-21T3.02.36.284 pm,1.024,106.890,-16.982,3.689
1571666556305,2019-10-21T3.02.36.305 pm,1.045,88.140,-25.366,5.610
1571666556325,2019-10-21T3.02.36.325 pm,1.065,71.402,-9.451,1.921
1571666556344,2019-10-21T3.02.36.344 pm,1.084,52.774,25.732,1.189
