epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572643803239,2019-11-01T21:30:03.239,0.000,-0.800,-0.998,0.324
1572643803280,2019-11-01T21:30:03.280,0.041,0.107,-0.556,-0.396
1572643803299,2019-11-01T21:30:03.299,0.060,0.518,-0.560,-0.252
1572643803320,2019-11-01T21:30:03.320,0.081,0.659,-0.297,-0.267
1572643803339,2019-11-01T21:30:03.339,0.100,0.575,0.232,-0.335
1572643803359,2019-11-01T21:30:03.359,0.120,0.522,-0.255,-0.408
1572643803378,2019-11-01T21:30:03.378,0.139,0.415,-1.174,-0.530
1572643803399,2019-11-01T21:30:03.399,0.160,0.366,-1.018,-0.442
1572643803419,2019-11-01T21:30:03.419,0.180,0.454,0.122,-0.332
1572643803438,2019-11-01T21:30:03.438,0.199,0.747,0.732,-0.194
1572643803459,2019-11-01T21:30:03.459,0.220,0.972,0.324,-0.198
1572643803478,2019-11-01T21:30:03.478,0.239,1.162,-0.454,-0.335
1572643803499,2019-11-01T21:30:03.499,0.260,0.945,-0.690,-0.526
1572643803518,2019-11-01T21:30:03.518,0.279,0.297,-0.766,-0.770
1572643803538,2019-11-01T21:30:03.538,0.299,-0.198,-1.410,-0.739
1572643803559,2019-11-01T21:30:03.559,0.320,-0.339,-1.139,-0.450
1572643803578,2019-11-01T21:30:03.578,0.339,-0.377,-0.648,-0.400
1572643803598,2019-11-01T21:30:03.598,0.359,-0.351,-1.303,-0.640
1572643803617,2019-11-01T21:30:03.617,0.378,0.034,-2.309,-1.086
1572643803638,2019-11-01T21:30:03.638,0.399,0.671,-1.322,-1.067
1572643803657,2019-11-01T21:30:03.657,0.418,1.162,0.095,-0.332
1572643803677,2019-11-01T21:30:03.677,0.438,1.204,0.259,0.583
1572643803698,2019-11-01T21:30:03.698,0.459,1.265,0.335,0.922
1572643803717,2019-11-01T21:30:03.717,0.478,1.563,0.518,0.591
1572643803737,2019-11-01T21:30:03.737,0.498,1.509,0.080,0.160
