epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572644281379,2019-11-01T21:38:01.379,0.000,-0.121,-0.072,-1.042
1572644281400,2019-11-01T21:38:01.400,0.021,-0.118,-0.072,-1.046
1572644281421,2019-11-01T21:38:01.421,0.042,-0.110,-0.072,-1.046
1572644281440,2019-11-01T21:38:01.440,0.061,-0.108,-0.068,-1.044
1572644281460,2019-11-01T21:38:01.460,0.081,-0.118,-0.067,-1.044
1572644281479,2019-11-01T21:38:01.479,0.100,-0.126,-0.070,-1.044
1572644281500,2019-11-01T21:38:01.500,0.121,-0.124,-0.073,-1.038
1572644281519,2019-11-01T21:38:01.519,0.140,-0.115,-0.071,-1.040
1572644281539,2019-11-01T21:38:01.539,0.160,-0.108,-0.067,-1.044
1572644281558,2019-11-01T21:38:01.558,0.179,-0.117,-0.067,-1.043
1572644281579,2019-11-01T21:38:01.579,0.200,-0.125,-0.068,-1.034
1572644281599,2019-11-01T21:38:01.599,0.220,-0.118,-0.068,-1.037
1572644281618,2019-11-01T21:38:01.618,0.239,-0.111,-0.073,-1.038
1572644281639,2019-11-01T21:38:01.639,0.260,-0.112,-0.075,-1.034
1572644281658,2019-11-01T21:38:01.658,0.279,-0.114,-0.076,-1.032
1572644281678,2019-11-01T21:38:01.678,0.299,-0.116,-0.071,-1.032
1572644281697,2019-11-01T21:38:01.697,0.318,-0.117,-0.067,-1.035
1572644281718,2019-11-01T21:38:01.718,0.339,-0.126,-0.063,-1.040
1572644281738,2019-11-01T21:38:01.738,0.359,-0.137,-0.061,-1.045
1572644281757,2019-11-01T21:38:01.757,0.378,-0.140,-0.063,-1.052
1572644281778,2019-11-01T21:38:01.778,0.399,-0.137,-0.064,-1.054
1572644281797,2019-11-01T21:38:01.797,0.418,-0.129,-0.062,-1.055
1572644281817,2019-11-01T21:38:01.817,0.438,-0.123,-0.068,-1.055
1572644281837,2019-11-01T21:38:01.837,0.458,-0.119,-0.068,-1.054
1572644281857,2019-11-01T21:38:01.857,0.478,-0.117,-0.068,-1.057
1572644281878,2019-11-01T21:38:01.878,0.499,-0.121,-0.072,-1.059
1572644281897,2019-11-01T21:38:01.897,0.518,-0.126,-0.075,-1.046
1572644281917,2019-11-01T21:38:01.917,0.538,-0.118,-0.073,-1.034
1572644281936,2019-11-01T21:38:01.936,0.557,-0.112,-0.069,-1.031
1572644281957,2019-11-01T21:38:01.957,0.578,-0.124,-0.065,-1.028
1572644281976,2019-11-01T21:38:01.976,0.597,-0.132,-0.056,-1.023
1572644281996,2019-11-01T21:38:01.996,0.617,-0.140,-0.057,-1.029
1572644282017,2019-11-01T21:38:02.017,0.638,-0.139,-0.059,-1.039
1572644282036,2019-11-01T21:38:02.036,0.657,-0.130,-0.064,-1.048
1572644282056,2019-11-01T21:38:02.056,0.677,-0.128,-0.070,-1.046
1572644282075,2019-11-01T21:38:02.075,0.696,-0.125,-0.069,-1.047
1572644282096,2019-11-01T21:38:02.096,0.717,-0.121,-0.064,-1.046
1572644282115,2019-11-01T21:38:02.115,0.736,-0.123,-0.065,-1.045
1572644282135,2019-11-01T21:38:02.135,0.756,-0.127,-0.065,-1.043
1572644282154,2019-11-01T21:38:02.154,0.775,-0.128,-0.067,-1.036
1572644282175,2019-11-01T21:38:02.175,0.796,-0.128,-0.069,-1.029
1572644282195,2019-11-01T21:38:02.195,0.816,-0.128,-0.065,-1.021
1572644282214,2019-11-01T21:38:02.214,0.835,-0.131,-0.060,-1.022
1572644282235,2019-11-01T21:38:02.235,0.856,-0.134,-0.057,-1.031
1572644282254,2019-11-01T21:38:02.254,0.875,-0.130,-0.063,-1.039
1572644282275,2019-11-01T21:38:02.275,0.896,-0.128,-0.070,-1.044
1572644282294,2019-11-01T21:38:02.294,0.915,-0.124,-0.074,-1.050
1572644282314,2019-11-01T21:38:02.314,0.935,-0.121,-0.078,-1.053
1572644282335,2019-11-01T21:38:02.335,0.956,-0.125,-0.080,-1.050
1572644282354,2019-11-01T21:38:02.354,0.975,-0.126,-0.080,-1.052
1572644282374,2019-11-01T21:38:02.374,0.995,-0.120,-0.084,-1.056
1572644282393,2019-11-01T21:38:02.393,1.014,-0.118,-0.085,-1.054
1572644282414,2019-11-01T21:38:02.414,1.035,-0.113,-0.087,-1.058
1572644282433,2019-11-01T21:38:02.433,1.054,-0.112,-0.084,-1.052
1572644282453,2019-11-01T21:38:02.453,1.074,-0.117,-0.084,-1.044
1572644282474,2019-11-01T21:38:02.474,1.095,-0.118,-0.082,-1.043
1572644282493,2019-11-01T21:38:02.493,1.114,-0.119,-0.080,-1.047
1572644282513,2019-11-01T21:38:02.513,1.134,-0.121,-0.079,-1.046
1572644282532,2019-11-01T21:38:02.532,1.153,-0.129,-0.080,-1.050
1572644282553,2019-11-01T21:38:02.553,1.174,-0.132,-0.086,-1.052
1572644282572,2019-11-01T21:38:02.572,1.193,-0.127,-0.085,-1.049
1572644282592,2019-11-01T21:38:02.592,1.213,-0.123,-0.083,-1.051
1572644282613,2019-11-01T21:38:02.613,1.234,-0.123,-0.082,-1.056
1572644282632,2019-11-01T21:38:02.632,1.253,-0.127,-0.082,-1.049
1572644282652,2019-11-01T21:38:02.652,1.273,-0.128,-0.082,-1.045
1572644282671,2019-11-01T21:38:02.671,1.292,-0.120,-0.080,-1.042
1572644282692,2019-11-01T21:38:02.692,1.313,-0.120,-0.081,-1.036
1572644282711,2019-11-01T21:38:02.711,1.332,-0.125,-0.081,-1.028
1572644282732,2019-11-01T21:38:02.732,1.353,-0.129,-0.081,-1.019
1572644282751,2019-11-01T21:38:02.751,1.372,-0.130,-0.079,-1.021
1572644282771,2019-11-01T21:38:02.771,1.392,-0.133,-0.080,-1.023
1572644282792,2019-11-01T21:38:02.792,1.413,-0.134,-0.082,-1.030
1572644282811,2019-11-01T21:38:02.811,1.432,-0.131,-0.088,-1.045
1572644282831,2019-11-01T21:38:02.831,1.452,-0.130,-0.093,-1.052
1572644282850,2019-11-01T21:38:02.850,1.471,-0.135,-0.090,-1.052
1572644282871,2019-11-01T21:38:02.871,1.492,-0.133,-0.090,-1.049
1572644282890,2019-11-01T21:38:02.890,1.511,-0.123,-0.094,-1.050
1572644282910,2019-11-01T21:38:02.910,1.531,-0.122,-0.092,-1.051
1572644282931,2019-11-01T21:38:02.931,1.552,-0.127,-0.090,-1.049
1572644282950,2019-11-01T21:38:02.950,1.571,-0.130,-0.089,-1.045
1572644282970,2019-11-01T21:38:02.970,1.591,-0.130,-0.090,-1.044
1572644282989,2019-11-01T21:38:02.989,1.610,-0.124,-0.089,-1.042
1572644283010,2019-11-01T21:38:03.010,1.631,-0.119,-0.092,-1.038
1572644283029,2019-11-01T21:38:03.029,1.650,-0.115,-0.094,-1.036
1572644283049,2019-11-01T21:38:03.049,1.670,-0.117,-0.090,-1.036
1572644283070,2019-11-01T21:38:03.070,1.691,-0.119,-0.091,-1.044
1572644283089,2019-11-01T21:38:03.089,1.710,-0.118,-0.094,-1.042
1572644283109,2019-11-01T21:38:03.109,1.730,-0.117,-0.093,-1.043
1572644283129,2019-11-01T21:38:03.129,1.750,-0.118,-0.089,-1.044
1572644283149,2019-11-01T21:38:03.149,1.770,-0.122,-0.089,-1.047
1572644283168,2019-11-01T21:38:03.168,1.789,-0.123,-0.087,-1.050
1572644283189,2019-11-01T21:38:03.189,1.810,-0.124,-0.088,-1.058
1572644283209,2019-11-01T21:38:03.209,1.830,-0.121,-0.093,-1.052
1572644283228,2019-11-01T21:38:03.228,1.849,-0.115,-0.093,-1.043
1572644283249,2019-11-01T21:38:03.249,1.870,-0.106,-0.095,-1.039
1572644283268,2019-11-01T21:38:03.268,1.889,-0.108,-0.096,-1.032
1572644283288,2019-11-01T21:38:03.288,1.909,-0.118,-0.097,-1.027
1572644283307,2019-11-01T21:38:03.307,1.928,-0.123,-0.095,-1.029
