epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572644810774,2019-11-01T21:46:50.774,0.000,0.061,-0.245,-1.026
1572644810794,2019-11-01T21:46:50.794,0.020,0.056,-0.241,-1.041
1572644810815,2019-11-01T21:46:50.815,0.041,0.058,-0.237,-1.039
1572644810834,2019-11-01T21:46:50.834,0.060,0.051,-0.240,-1.038
1572644810854,2019-11-01T21:46:50.854,0.080,0.046,-0.242,-1.035
1572644810873,2019-11-01T21:46:50.873,0.099,0.049,-0.240,-1.041
1572644810894,2019-11-01T21:46:50.894,0.120,0.056,-0.242,-1.037
1572644810913,2019-11-01T21:46:50.913,0.139,0.057,-0.243,-1.031
1572644810934,2019-11-01T21:46:50.934,0.160,0.051,-0.239,-1.027
1572644810953,2019-11-01T21:46:50.953,0.179,0.042,-0.234,-1.028
1572644810973,2019-11-01T21:46:50.973,0.199,0.045,-0.231,-1.034
1572644810994,2019-11-01T21:46:50.994,0.220,0.049,-0.232,-1.035
1572644811013,2019-11-01T21:46:51.013,0.239,0.042,-0.232,-1.031
1572644811033,2019-11-01T21:46:51.033,0.259,0.034,-0.235,-1.030
1572644811052,2019-11-01T21:46:51.052,0.278,0.033,-0.229,-1.027
1572644811073,2019-11-01T21:46:51.073,0.299,0.041,-0.223,-1.032
1572644811092,2019-11-01T21:46:51.092,0.318,0.042,-0.224,-1.042
1572644811112,2019-11-01T21:46:51.112,0.338,0.037,-0.227,-1.048
1572644811133,2019-11-01T21:46:51.133,0.359,0.042,-0.233,-1.048
1572644811152,2019-11-01T21:46:51.152,0.378,0.045,-0.235,-1.050
1572644811172,2019-11-01T21:46:51.172,0.398,0.042,-0.233,-1.046
1572644811191,2019-11-01T21:46:51.191,0.417,0.045,-0.229,-1.042
1572644811212,2019-11-01T21:46:51.212,0.438,0.049,-0.227,-1.040
1572644811231,2019-11-01T21:46:51.231,0.457,0.046,-0.222,-1.031
1572644811251,2019-11-01T21:46:51.251,0.477,0.038,-0.219,-1.025
1572644811272,2019-11-01T21:46:51.272,0.498,0.034,-0.217,-1.021
1572644811291,2019-11-01T21:46:51.291,0.517,0.032,-0.208,-1.015
1572644811311,2019-11-01T21:46:51.311,0.537,0.024,-0.206,-1.012
1572644811331,2019-11-01T21:46:51.331,0.557,0.015,-0.215,-1.011
1572644811351,2019-11-01T21:46:51.351,0.577,0.014,-0.223,-1.008
1572644811370,2019-11-01T21:46:51.370,0.596,0.021,-0.222,-1.013
1572644811391,2019-11-01T21:46:51.391,0.617,0.036,-0.232,-1.022
1572644811410,2019-11-01T21:46:51.410,0.636,0.032,-0.240,-1.020
1572644811430,2019-11-01T21:46:51.430,0.656,0.026,-0.241,-1.016
1572644811451,2019-11-01T21:46:51.451,0.677,0.031,-0.241,-1.021
1572644811470,2019-11-01T21:46:51.470,0.696,0.039,-0.244,-1.029
1572644811490,2019-11-01T21:46:51.490,0.716,0.039,-0.245,-1.038
1572644811509,2019-11-01T21:46:51.509,0.735,0.032,-0.241,-1.040
1572644811530,2019-11-01T21:46:51.530,0.756,0.029,-0.241,-1.045
1572644811549,2019-11-01T21:46:51.549,0.775,0.033,-0.243,-1.050
1572644811569,2019-11-01T21:46:51.569,0.795,0.034,-0.244,-1.053
1572644811590,2019-11-01T21:46:51.590,0.816,0.030,-0.245,-1.050
1572644811609,2019-11-01T21:46:51.609,0.835,0.026,-0.242,-1.049
