epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1571830283154,2019-10-23T12.31.23.154 pm,0.000,-0.427,-0.793,-0.488
1571830283164,2019-10-23T12.31.23.164 pm,0.010,-0.610,-0.610,-0.427
1571830283174,2019-10-23T12.31.23.174 pm,0.020,-0.366,-0.549,-0.366
1571830283183,2019-10-23T12.31.23.183 pm,0.029,-0.549,-0.610,-0.427
1571830283193,2019-10-23T12.31.23.193 pm,0.039,-0.488,-0.549,-0.427
1571830283204,2019-10-23T12.31.23.204 pm,0.050,-0.549,-0.610,-0.366
1571830283214,2019-10-23T12.31.23.214 pm,0.060,-0.488,-0.610,-0.427
1571830283224,2019-10-23T12.31.23.224 pm,0.070,-0.488,-0.610,-0.427
1571830283234,2019-10-23T12.31.23.234 pm,0.080,-0.549,-0.671,-0.427
1571830283245,2019-10-23T12.31.23.245 pm,0.091,-0.549,-0.610,-0.366
1571830283253,2019-10-23T12.31.23.253 pm,0.099,-0.610,-0.610,-0.427
1571830283264,2019-10-23T12.31.23.264 pm,0.110,-0.610,-0.549,-0.427
1571830283274,2019-10-23T12.31.23.274 pm,0.120,-0.549,-0.610,-0.427
1571830283284,2019-10-23T12.31.23.284 pm,0.130,-0.488,-0.671,-0.427
1571830283294,2019-10-23T12.31.23.294 pm,0.140,-0.488,-0.549,-0.427
1571830283305,2019-10-23T12.31.23.305 pm,0.151,-0.549,-0.610,-0.366
1571830283314,2019-10-23T12.31.23.314 pm,0.160,-0.488,-0.610,-0.366
1571830283324,2019-10-23T12.31.23.324 pm,0.170,-0.488,-0.610,-0.427
1571830283334,2019-10-23T12.31.23.334 pm,0.180,-0.488,-0.549,-0.488
1571830283344,2019-10-23T12.31.23.344 pm,0.190,-0.488,-0.549,-0.427
1571830283355,2019-10-23T12.31.23.355 pm,0.201,-0.427,-0.488,-0.305
1571830283365,2019-10-23T12.31.23.365 pm,0.211,-0.427,-0.549,-0.427
1571830283375,2019-10-23T12.31.23.375 pm,0.221,-0.427,-0.549,-0.427
1571830283385,2019-10-23T12.31.23.385 pm,0.231,-0.488,-0.671,-0.488
1571830283394,2019-10-23T12.31.23.394 pm,0.240,-0.610,-0.549,-0.366
1571830283404,2019-10-23T12.31.23.404 pm,0.250,-0.427,-0.549,-0.366
1571830283415,2019-10-23T12.31.23.415 pm,0.261,-0.427,-0.549,-0.366
1571830283425,2019-10-23T12.31.23.425 pm,0.271,-0.488,-0.549,-0.366
1571830283435,2019-10-23T12.31.23.435 pm,0.281,-0.488,-0.549,-0.427
1571830283445,2019-10-23T12.31.23.445 pm,0.291,-0.549,-0.549,-0.427
1571830283454,2019-10-23T12.31.23.454 pm,0.300,-0.549,-0.549,-0.366
1571830283464,2019-10-23T12.31.23.464 pm,0.310,-0.488,-0.610,-0.366
1571830283475,2019-10-23T12.31.23.475 pm,0.321,-0.488,-0.610,-0.427
1571830283485,2019-10-23T12.31.23.485 pm,0.331,-0.488,-0.610,-0.427
1571830283495,2019-10-23T12.31.23.495 pm,0.341,-0.488,-0.610,-0.366
1571830283505,2019-10-23T12.31.23.505 pm,0.351,-0.549,-0.671,-0.305
1571830283516,2019-10-23T12.31.23.516 pm,0.362,-0.488,-0.671,-0.366
1571830283524,2019-10-23T12.31.23.524 pm,0.370,-0.488,-0.610,-0.427
1571830283535,2019-10-23T12.31.23.535 pm,0.381,-0.427,-0.549,-0.488
1571830283545,2019-10-23T12.31.23.545 pm,0.391,-0.488,-0.610,-0.366
1571830283555,2019-10-23T12.31.23.555 pm,0.401,-0.488,-0.610,-0.366
1571830283565,2019-10-23T12.31.23.565 pm,0.411,-0.549,-0.549,-0.366
1571830283576,2019-10-23T12.31.23.576 pm,0.422,-0.488,-0.549,-0.366
1571830283586,2019-10-23T12.31.23.586 pm,0.432,-0.610,-0.610,-0.305
1571830283595,2019-10-23T12.31.23.595 pm,0.441,-0.488,-0.671,-0.427
1571830283605,2019-10-23T12.31.23.605 pm,0.451,-0.488,-0.610,-0.366
1571830283615,2019-10-23T12.31.23.615 pm,0.461,-0.488,-0.549,-0.427
1571830283626,2019-10-23T12.31.23.626 pm,0.472,-0.488,-0.610,-0.427
1571830283636,2019-10-23T12.31.23.636 pm,0.482,-0.427,-0.732,-0.366
1571830283646,2019-10-23T12.31.23.646 pm,0.492,-0.549,-0.671,-0.366
1571830283656,2019-10-23T12.31.23.656 pm,0.502,-0.549,-0.610,-0.366
1571830283665,2019-10-23T12.31.23.665 pm,0.511,-0.488,-0.549,-0.427
1571830283675,2019-10-23T12.31.23.675 pm,0.521,-0.549,-0.610,-0.427
1571830283686,2019-10-23T12.31.23.686 pm,0.532,-0.488,-0.610,-0.488
1571830283696,2019-10-23T12.31.23.696 pm,0.542,-0.549,-0.610,-0.366
1571830283706,2019-10-23T12.31.23.706 pm,0.552,-0.488,-0.671,-0.366
1571830283716,2019-10-23T12.31.23.716 pm,0.562,-0.488,-0.610,-0.488
1571830283727,2019-10-23T12.31.23.727 pm,0.573,-0.488,-0.610,-0.427
1571830283735,2019-10-23T12.31.23.735 pm,0.581,-0.549,-0.671,-0.305
1571830283746,2019-10-23T12.31.23.746 pm,0.592,-0.488,-0.549,-0.366
1571830283756,2019-10-23T12.31.23.756 pm,0.602,-0.549,-0.549,-0.427
1571830283766,2019-10-23T12.31.23.766 pm,0.612,-0.549,-0.610,-0.366
1571830283776,2019-10-23T12.31.23.776 pm,0.622,-0.488,-0.549,-0.366
1571830283787,2019-10-23T12.31.23.787 pm,0.633,-0.427,-0.488,-0.305
1571830283797,2019-10-23T12.31.23.797 pm,0.643,-0.488,-0.610,-0.427
1571830283806,2019-10-23T12.31.23.806 pm,0.652,-0.488,-0.610,-0.427
1571830283816,2019-10-23T12.31.23.816 pm,0.662,-0.427,-0.610,-0.427
1571830283826,2019-10-23T12.31.23.826 pm,0.672,-0.488,-0.549,-0.427
1571830283836,2019-10-23T12.31.23.836 pm,0.682,-0.488,-0.610,-0.366
1571830283847,2019-10-23T12.31.23.847 pm,0.693,-0.488,-0.610,-0.427
1571830283857,2019-10-23T12.31.23.857 pm,0.703,-0.610,-0.488,-0.427
1571830283866,2019-10-23T12.31.23.866 pm,0.712,-0.549,-0.610,-0.427
1571830283876,2019-10-23T12.31.23.876 pm,0.722,-0.549,-0.610,-0.427
1571830283886,2019-10-23T12.31.23.886 pm,0.732,-0.488,-0.610,-0.305
1571830283897,2019-10-23T12.31.23.897 pm,0.743,-0.488,-0.549,-0.427
1571830283907,2019-10-23T12.31.23.907 pm,0.753,-0.610,-0.671,-0.427
1571830283917,2019-10-23T12.31.23.917 pm,0.763,-0.549,-0.671,-0.427
1571830283927,2019-10-23T12.31.23.927 pm,0.773,-0.488,-0.610,-0.427
1571830283938,2019-10-23T12.31.23.938 pm,0.784,-0.549,-0.610,-0.427
