epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1571665803200,2019-10-21T2.50.03.200 pm,0.000,0.041,0.145,0.963
1571665803220,2019-10-21T2.50.03.220 pm,0.020,0.061,0.164,1.013
1571665803240,2019-10-21T2.50.03.240 pm,0.040,0.043,0.198,1.003
1571665803260,2019-10-21T2.50.03.260 pm,0.060,0.073,0.173,1.038
1571665803281,2019-10-21T2.50.03.281 pm,0.081,0.100,0.174,1.047
1571665803301,2019-10-21T2.50.03.301 pm,0.101,0.055,0.197,0.983
1571665803320,2019-10-21T2.50.03.320 pm,0.120,0.054,0.181,0.975
1571665803341,2019-10-21T2.50.03.341 pm,0.141,0.046,0.172,0.947
1571665803361,2019-10-21T2.50.03.361 pm,0.161,0.055,0.169,0.949
1571665803380,2019-10-21T2.50.03.380 pm,0.180,0.063,0.138,0.975
1571665803401,2019-10-21T2.50.03.401 pm,0.201,0.027,0.120,0.934
1571665803421,2019-10-21T2.50.03.421 pm,0.221,0.089,0.142,1.010
1571665803442,2019-10-21T2.50.03.442 pm,0.242,0.076,0.170,1.006
1571665803461,2019-10-21T2.50.03.461 pm,0.261,0.023,0.123,0.959
1571665803481,2019-10-21T2.50.03.481 pm,0.281,0.028,0.082,0.956
1571665803502,2019-10-21T2.50.03.502 pm,0.302,0.040,0.155,0.961
1571665803521,2019-10-21T2.50.03.521 pm,0.321,0.067,0.171,1.007
1571665803541,2019-10-21T2.50.03.541 pm,0.341,0.068,0.133,1.029
1571665803562,2019-10-21T2.50.03.562 pm,0.362,0.027,0.145,0.967
1571665803581,2019-10-21T2.50.03.581 pm,0.381,0.040,0.141,0.976
1571665803601,2019-10-21T2.50.03.601 pm,0.401,0.044,0.156,0.988
1571665803622,2019-10-21T2.50.03.622 pm,0.422,-0.001,0.172,0.922
1571665803642,2019-10-21T2.50.03.642 pm,0.442,0.012,0.195,0.948
1571665803661,2019-10-21T2.50.03.661 pm,0.461,0.042,0.183,0.972
1571665803682,2019-10-21T2.50.03.682 pm,0.482,0.044,0.164,0.993
1571665803702,2019-10-21T2.50.03.702 pm,0.502,0.032,0.146,0.995
1571665803721,2019-10-21T2.50.03.721 pm,0.521,0.031,0.153,0.993
1571665803742,2019-10-21T2.50.03.742 pm,0.542,0.031,0.202,0.972
1571665803762,2019-10-21T2.50.03.762 pm,0.562,0.046,0.209,0.974
1571665803783,2019-10-21T2.50.03.783 pm,0.583,0.023,0.259,0.923
1571665803802,2019-10-21T2.50.03.802 pm,0.602,0.019,0.225,0.905
1571665803823,2019-10-21T2.50.03.823 pm,0.623,0.049,0.172,0.964
1571665803843,2019-10-21T2.50.03.843 pm,0.643,0.019,0.196,0.930
1571665803862,2019-10-21T2.50.03.862 pm,0.662,0.015,0.220,0.915
1571665803883,2019-10-21T2.50.03.883 pm,0.683,0.038,0.187,0.952
1571665803903,2019-10-21T2.50.03.903 pm,0.703,0.032,0.161,0.951
1571665803922,2019-10-21T2.50.03.922 pm,0.722,0.047,0.193,0.975
1571665803943,2019-10-21T2.50.03.943 pm,0.743,0.041,0.202,0.968
1571665803963,2019-10-21T2.50.03.963 pm,0.763,0.038,0.173,0.967
1571665803984,2019-10-21T2.50.03.984 pm,0.784,0.036,0.182,0.971
1571665804003,2019-10-21T2.50.04.003 pm,0.803,0.016,0.191,0.932
1571665804023,2019-10-21T2.50.04.023 pm,0.823,0.024,0.168,0.930
1571665804044,2019-10-21T2.50.04.044 pm,0.844,0.030,0.165,0.945
1571665804063,2019-10-21T2.50.04.063 pm,0.863,0.022,0.164,0.945
1571665804083,2019-10-21T2.50.04.083 pm,0.883,0.018,0.161,0.959
1571665804104,2019-10-21T2.50.04.104 pm,0.904,0.021,0.180,0.973
1571665804124,2019-10-21T2.50.04.124 pm,0.924,-0.016,0.172,0.927
1571665804143,2019-10-21T2.50.04.143 pm,0.943,-0.010,0.150,0.951
1571665804164,2019-10-21T2.50.04.164 pm,0.964,-0.007,0.177,0.954
1571665804184,2019-10-21T2.50.04.184 pm,0.984,-0.013,0.182,0.936
