epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1571828407388,2019-10-23T12.00.07.388 pm,0.000,24.268,-0.976,9.573
1571828407398,2019-10-23T12.00.07.398 pm,0.010,25.549,-0.366,9.695
1571828407408,2019-10-23T12.00.07.408 pm,0.020,27.134,0.122,10.671
1571828407419,2019-10-23T12.00.07.419 pm,0.031,25.305,0.427,9.756
1571828407429,2019-10-23T12.00.07.429 pm,0.041,26.463,3.354,6.829
1571828407438,2019-10-23T12.00.07.438 pm,0.050,25.854,3.415,5.488
1571828407448,2019-10-23T12.00.07.448 pm,0.060,20.549,0.305,3.354
1571828407458,2019-10-23T12.00.07.458 pm,0.070,23.902,-0.793,2.500
1571828407468,2019-10-23T12.00.07.468 pm,0.080,29.390,0.427,1.890
1571828407479,2019-10-23T12.00.07.479 pm,0.091,32.378,1.768,1.220
1571828407489,2019-10-23T12.00.07.489 pm,0.101,17.073,-0.244,-0.976
1571828407499,2019-10-23T12.00.07.499 pm,0.111,0.427,0.000,-1.280
1571828407508,2019-10-23T12.00.07.508 pm,0.120,15.732,4.695,-2.195
1571828407518,2019-10-23T12.00.07.518 pm,0.130,23.598,-7.073,-2.927
1571828407529,2019-10-23T12.00.07.529 pm,0.141,14.756,-54.390,5.854
1571828407539,2019-10-23T12.00.07.539 pm,0.151,11.341,-96.341,19.878
1571828407549,2019-10-23T12.00.07.549 pm,0.161,13.171,-68.780,5.732
1571828407559,2019-10-23T12.00.07.559 pm,0.171,7.378,19.573,-8.049
1571828407568,2019-10-23T12.00.07.568 pm,0.180,8.537,13.598,-3.415
1571828407578,2019-10-23T12.00.07.578 pm,0.190,1.707,-7.500,-1.463
1571828407589,2019-10-23T12.00.07.589 pm,0.201,6.402,-0.915,-1.524
1571828407599,2019-10-23T12.00.07.599 pm,0.211,3.963,1.341,-0.549
1571828407609,2019-10-23T12.00.07.609 pm,0.221,6.829,-2.195,0.427
1571828407619,2019-10-23T12.00.07.619 pm,0.231,5.793,4.146,0.610
1571828407630,2019-10-23T12.00.07.630 pm,0.242,6.341,10.122,-0.488
1571828407638,2019-10-23T12.00.07.638 pm,0.250,6.037,10.549,-0.854
1571828407649,2019-10-23T12.00.07.649 pm,0.261,4.756,10.122,-1.037
1571828407659,2019-10-23T12.00.07.659 pm,0.271,4.390,7.134,-1.220
1571828407669,2019-10-23T12.00.07.669 pm,0.281,3.171,5.488,-0.244
1571828407679,2019-10-23T12.00.07.679 pm,0.291,3.598,6.707,0.061
1571828407690,2019-10-23T12.00.07.690 pm,0.302,2.988,6.098,-2.073
1571828407698,2019-10-23T12.00.07.698 pm,0.310,2.683,6.098,-1.402
1571828407709,2019-10-23T12.00.07.709 pm,0.321,0.915,5.366,-0.732
1571828407719,2019-10-23T12.00.07.719 pm,0.331,0.122,4.695,-0.793
1571828407729,2019-10-23T12.00.07.729 pm,0.341,-1.037,4.024,-1.280
1571828407739,2019-10-23T12.00.07.739 pm,0.351,-1.220,4.024,-1.098
1571828407750,2019-10-23T12.00.07.750 pm,0.362,-0.915,5.000,-1.037
1571828407760,2019-10-23T12.00.07.760 pm,0.372,-0.976,4.878,-1.463
1571828407769,2019-10-23T12.00.07.769 pm,0.381,-0.732,4.878,-1.829
1571828407779,2019-10-23T12.00.07.779 pm,0.391,0.061,3.537,-1.463
1571828407789,2019-10-23T12.00.07.789 pm,0.401,-0.915,2.195,-1.646
1571828407800,2019-10-23T12.00.07.800 pm,0.412,-0.061,2.683,-1.402
1571828407810,2019-10-23T12.00.07.810 pm,0.422,-0.854,2.195,-1.341
1571828407820,2019-10-23T12.00.07.820 pm,0.432,-0.976,2.622,-1.524
1571828407829,2019-10-23T12.00.07.829 pm,0.441,-0.610,2.683,-1.951
1571828407839,2019-10-23T12.00.07.839 pm,0.451,-1.341,1.402,-1.037
1571828407849,2019-10-23T12.00.07.849 pm,0.461,-0.976,1.220,-0.915
1571828407860,2019-10-23T12.00.07.860 pm,0.472,-0.793,0.854,-0.793
1571828407870,2019-10-23T12.00.07.870 pm,0.482,-1.098,1.220,-1.402
1571828407880,2019-10-23T12.00.07.880 pm,0.492,-1.524,2.439,-1.037
1571828407890,2019-10-23T12.00.07.890 pm,0.502,-1.646,3.232,-0.976
1571828407899,2019-10-23T12.00.07.899 pm,0.511,-2.012,2.683,-1.098
1571828407909,2019-10-23T12.00.07.909 pm,0.521,-1.463,2.378,-1.159
1571828407920,2019-10-23T12.00.07.920 pm,0.532,-1.646,1.280,-0.732
1571828407930,2019-10-23T12.00.07.930 pm,0.542,-1.524,1.341,-0.915
1571828407940,2019-10-23T12.00.07.940 pm,0.552,-1.220,1.890,-1.159
1571828407950,2019-10-23T12.00.07.950 pm,0.562,-1.159,1.341,-1.098
1571828407959,2019-10-23T12.00.07.959 pm,0.571,-1.341,0.854,-0.793
1571828407969,2019-10-23T12.00.07.969 pm,0.581,-0.427,0.671,-0.549
1571828407980,2019-10-23T12.00.07.980 pm,0.592,-0.854,-0.122,-0.671
1571828407990,2019-10-23T12.00.07.990 pm,0.602,-1.098,0.915,-1.037
1571828408000,2019-10-23T12.00.08.000 pm,0.612,-1.037,2.561,-1.220
1571828408010,2019-10-23T12.00.08.010 pm,0.622,-1.951,1.951,-0.976
1571828408021,2019-10-23T12.00.08.021 pm,0.633,-2.683,2.744,-1.829
1571828408030,2019-10-23T12.00.08.030 pm,0.642,-2.195,3.720,-1.524
1571828408040,2019-10-23T12.00.08.040 pm,0.652,-3.841,3.659,-1.098
1571828408050,2019-10-23T12.00.08.050 pm,0.662,-3.049,4.939,-1.037
1571828408060,2019-10-23T12.00.08.060 pm,0.672,-2.683,5.061,-0.854
1571828408071,2019-10-23T12.00.08.071 pm,0.683,-1.707,3.902,-0.427
1571828408081,2019-10-23T12.00.08.081 pm,0.693,-1.341,2.378,-0.122
1571828408090,2019-10-23T12.00.08.090 pm,0.702,-2.195,4.146,-1.220
1571828408100,2019-10-23T12.00.08.100 pm,0.712,-0.244,4.939,-0.549
1571828408110,2019-10-23T12.00.08.110 pm,0.722,-1.524,2.988,-0.793
1571828408120,2019-10-23T12.00.08.120 pm,0.732,-2.439,4.329,-1.159
1571828408131,2019-10-23T12.00.08.131 pm,0.743,-0.549,3.720,-0.305
1571828408141,2019-10-23T12.00.08.141 pm,0.753,-2.317,2.378,-0.427
1571828408150,2019-10-23T12.00.08.150 pm,0.762,-2.378,4.268,-0.793
1571828408160,2019-10-23T12.00.08.160 pm,0.772,-0.671,3.963,-0.244
1571828408170,2019-10-23T12.00.08.170 pm,0.782,-2.378,0.671,0.366
1571828408180,2019-10-23T12.00.08.180 pm,0.792,-1.037,1.646,0.244
1571828408191,2019-10-23T12.00.08.191 pm,0.803,-0.671,2.073,0.122
1571828408201,2019-10-23T12.00.08.201 pm,0.813,-1.951,2.134,-0.732
1571828408211,2019-10-23T12.00.08.211 pm,0.823,-2.073,3.598,-1.524
1571828408220,2019-10-23T12.00.08.220 pm,0.832,-2.439,5.061,-1.951
1571828408230,2019-10-23T12.00.08.230 pm,0.842,-3.293,2.744,-0.976
1571828408240,2019-10-23T12.00.08.240 pm,0.852,-3.232,3.354,-1.098
1571828408251,2019-10-23T12.00.08.251 pm,0.863,-0.793,4.390,-0.976
1571828408261,2019-10-23T12.00.08.261 pm,0.873,-1.098,-1.037,0.671
1571828408271,2019-10-23T12.00.08.271 pm,0.883,-1.524,-0.915,0.305
1571828408281,2019-10-23T12.00.08.281 pm,0.893,-0.610,2.012,-0.488
1571828408290,2019-10-23T12.00.08.290 pm,0.902,-2.439,6.037,-1.829
1571828408301,2019-10-23T12.00.08.301 pm,0.913,0.366,6.463,-1.341
1571828408311,2019-10-23T12.00.08.311 pm,0.923,-1.463,0.061,-0.610
1571828408321,2019-10-23T12.00.08.321 pm,0.933,-1.402,-1.402,-0.183
1571828408331,2019-10-23T12.00.08.331 pm,0.943,0.122,-0.244,-0.183
1571828408342,2019-10-23T12.00.08.342 pm,0.954,-1.037,1.037,-0.427
1571828408350,2019-10-23T12.00.08.350 pm,0.962,-0.427,6.585,-2.195
1571828408361,2019-10-23T12.00.08.361 pm,0.973,0.183,9.512,-2.866
1571828408371,2019-10-23T12.00.08.371 pm,0.983,-0.122,6.768,-2.073
1571828408381,2019-10-23T12.00.08.381 pm,0.993,-0.854,3.598,-1.707
1571828408391,2019-10-23T12.00.08.391 pm,1.003,-0.549,2.378,-1.524
1571828408402,2019-10-23T12.00.08.402 pm,1.014,0.366,1.159,-1.037
1571828408410,2019-10-23T12.00.08.410 pm,1.022,0.122,0.183,-0.061
1571828408421,2019-10-23T12.00.08.421 pm,1.033,0.305,0.305,0.122
1571828408431,2019-10-23T12.00.08.431 pm,1.043,0.305,2.134,-0.183
1571828408441,2019-10-23T12.00.08.441 pm,1.053,0.854,2.500,0.122
1571828408451,2019-10-23T12.00.08.451 pm,1.063,1.098,2.683,-0.366
1571828408462,2019-10-23T12.00.08.462 pm,1.074,0.244,1.829,-0.610
1571828408472,2019-10-23T12.00.08.472 pm,1.084,-1.098,1.829,-1.159
1571828408481,2019-10-23T12.00.08.481 pm,1.093,-0.122,2.927,-1.707
1571828408491,2019-10-23T12.00.08.491 pm,1.103,-0.427,1.524,-0.732
1571828408501,2019-10-23T12.00.08.501 pm,1.113,-1.280,0.854,-0.732
1571828408511,2019-10-23T12.00.08.511 pm,1.123,0.366,1.829,-0.915
1571828408522,2019-10-23T12.00.08.522 pm,1.134,-0.183,0.427,0.000
1571828408532,2019-10-23T12.00.08.532 pm,1.144,0.305,1.220,0.061
1571828408541,2019-10-23T12.00.08.541 pm,1.153,1.402,1.402,0.000
1571828408551,2019-10-23T12.00.08.551 pm,1.163,-0.061,-0.427,-0.183
1571828408561,2019-10-23T12.00.08.561 pm,1.173,-0.122,0.061,-0.610
1571828408572,2019-10-23T12.00.08.572 pm,1.184,0.000,1.585,-1.341
1571828408582,2019-10-23T12.00.08.582 pm,1.194,-0.732,1.098,-1.524
1571828408592,2019-10-23T12.00.08.592 pm,1.204,-1.341,0.732,-1.341
1571828408602,2019-10-23T12.00.08.602 pm,1.214,-0.244,1.341,-1.037
1571828408611,2019-10-23T12.00.08.611 pm,1.223,-0.488,0.915,-0.793
1571828408621,2019-10-23T12.00.08.621 pm,1.233,-0.610,1.524,-1.037
1571828408632,2019-10-23T12.00.08.632 pm,1.244,0.122,1.768,-0.915
1571828408642,2019-10-23T12.00.08.642 pm,1.254,-0.305,-0.183,-0.183
1571828408652,2019-10-23T12.00.08.652 pm,1.264,-0.671,-0.183,-0.061
1571828408662,2019-10-23T12.00.08.662 pm,1.274,-0.061,0.793,-0.366
1571828408671,2019-10-23T12.00.08.671 pm,1.283,-1.159,0.244,-0.427
1571828408681,2019-10-23T12.00.08.681 pm,1.293,-1.524,0.915,-0.976
1571828408692,2019-10-23T12.00.08.692 pm,1.304,-1.829,1.220,-1.524
1571828408702,2019-10-23T12.00.08.702 pm,1.314,-2.988,3.902,-1.707
1571828408712,2019-10-23T12.00.08.712 pm,1.324,-1.402,4.329,-2.012
1571828408722,2019-10-23T12.00.08.722 pm,1.334,-0.366,5.183,-2.012
1571828408733,2019-10-23T12.00.08.733 pm,1.345,0.854,3.110,-1.341
1571828408741,2019-10-23T12.00.08.741 pm,1.353,-1.159,0.183,-0.854
1571828408752,2019-10-23T12.00.08.752 pm,1.364,-0.732,0.732,-0.854
1571828408762,2019-10-23T12.00.08.762 pm,1.374,-0.122,0.366,-0.488
1571828408772,2019-10-23T12.00.08.772 pm,1.384,0.305,-1.037,-0.061
1571828408782,2019-10-23T12.00.08.782 pm,1.394,-0.183,-1.524,0.122
1571828408793,2019-10-23T12.00.08.793 pm,1.405,0.915,-0.915,0.183
1571828408803,2019-10-23T12.00.08.803 pm,1.415,0.366,-0.976,0.183
1571828408812,2019-10-23T12.00.08.812 pm,1.424,0.427,0.549,-0.122
1571828408822,2019-10-23T12.00.08.822 pm,1.434,0.305,0.366,0.122
1571828408832,2019-10-23T12.00.08.832 pm,1.444,-0.732,0.610,-0.183
1571828408843,2019-10-23T12.00.08.843 pm,1.455,0.549,1.037,-0.122
1571828408853,2019-10-23T12.00.08.853 pm,1.465,-0.244,0.549,-0.122
1571828408862,2019-10-23T12.00.08.862 pm,1.474,0.427,0.915,-0.183
1571828408872,2019-10-23T12.00.08.872 pm,1.484,-0.183,0.305,-0.183
