epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572641386609,2019-11-01T20:49:46.609,0.000,-0.178,-0.215,0.959
1572641386628,2019-11-01T20:49:46.628,0.019,-0.176,-0.215,0.969
1572641386649,2019-11-01T20:49:46.649,0.040,-0.173,-0.216,0.969
1572641386669,2019-11-01T20:49:46.669,0.060,-0.175,-0.219,0.978
1572641386688,2019-11-01T20:49:46.688,0.079,-0.175,-0.224,0.980
1572641386709,2019-11-01T20:49:46.709,0.100,-0.180,-0.220,0.983
1572641386729,2019-11-01T20:49:46.729,0.120,-0.180,-0.220,0.985
1572641386748,2019-11-01T20:49:46.748,0.139,-0.180,-0.221,0.984
1572641386769,2019-11-01T20:49:46.769,0.160,-0.182,-0.221,0.980
1572641386789,2019-11-01T20:49:46.789,0.180,-0.183,-0.218,0.973
1572641386809,2019-11-01T20:49:46.809,0.200,-0.186,-0.219,0.971
1572641386829,2019-11-01T20:49:46.829,0.220,-0.188,-0.220,0.975
1572641386850,2019-11-01T20:49:46.850,0.241,-0.186,-0.222,0.981
1572641386870,2019-11-01T20:49:46.870,0.261,-0.188,-0.220,0.987
1572641386889,2019-11-01T20:49:46.889,0.280,-0.185,-0.217,0.986
1572641386910,2019-11-01T20:49:46.910,0.301,-0.182,-0.217,0.980
1572641386930,2019-11-01T20:49:46.930,0.321,-0.185,-0.217,0.982
1572641386949,2019-11-01T20:49:46.949,0.340,-0.182,-0.216,0.980
1572641386970,2019-11-01T20:49:46.970,0.361,-0.181,-0.215,0.978
1572641386990,2019-11-01T20:49:46.990,0.381,-0.180,-0.215,0.980
1572641387009,2019-11-01T20:49:47.009,0.400,-0.178,-0.218,0.984
1572641387030,2019-11-01T20:49:47.030,0.421,-0.179,-0.219,0.983
1572641387050,2019-11-01T20:49:47.050,0.441,-0.180,-0.218,0.978
1572641387069,2019-11-01T20:49:47.069,0.460,-0.182,-0.220,0.976
1572641387090,2019-11-01T20:49:47.090,0.481,-0.182,-0.222,0.976
1572641387110,2019-11-01T20:49:47.110,0.501,-0.182,-0.220,0.976
1572641387129,2019-11-01T20:49:47.129,0.520,-0.179,-0.219,0.979
1572641387150,2019-11-01T20:49:47.150,0.541,-0.177,-0.221,0.981
1572641387170,2019-11-01T20:49:47.170,0.561,-0.176,-0.222,0.978
1572641387191,2019-11-01T20:49:47.191,0.582,-0.180,-0.217,0.974
1572641387210,2019-11-01T20:49:47.210,0.601,-0.178,-0.211,0.966
1572641387230,2019-11-01T20:49:47.230,0.621,-0.175,-0.208,0.965
1572641387251,2019-11-01T20:49:47.251,0.642,-0.173,-0.213,0.972
1572641387270,2019-11-01T20:49:47.270,0.661,-0.176,-0.221,0.984
1572641387290,2019-11-01T20:49:47.290,0.681,-0.180,-0.228,0.991
1572641387311,2019-11-01T20:49:47.311,0.702,-0.176,-0.224,0.986
1572641387330,2019-11-01T20:49:47.330,0.721,-0.175,-0.217,0.979
1572641387351,2019-11-01T20:49:47.351,0.742,-0.175,-0.219,0.978
1572641387371,2019-11-01T20:49:47.371,0.762,-0.172,-0.221,0.981
1572641387390,2019-11-01T20:49:47.390,0.781,-0.172,-0.221,0.985
1572641387411,2019-11-01T20:49:47.411,0.802,-0.171,-0.217,0.983
1572641387431,2019-11-01T20:49:47.431,0.822,-0.169,-0.216,0.979
1572641387452,2019-11-01T20:49:47.452,0.843,-0.169,-0.216,0.976
1572641387471,2019-11-01T20:49:47.471,0.862,-0.168,-0.215,0.976
1572641387491,2019-11-01T20:49:47.491,0.882,-0.172,-0.217,0.977
1572641387512,2019-11-01T20:49:47.512,0.903,-0.173,-0.213,0.976
1572641387531,2019-11-01T20:49:47.531,0.922,-0.170,-0.210,0.972
1572641387551,2019-11-01T20:49:47.551,0.942,-0.170,-0.208,0.971
1572641387572,2019-11-01T20:49:47.572,0.963,-0.172,-0.211,0.977
1572641387591,2019-11-01T20:49:47.591,0.982,-0.177,-0.213,0.981
1572641387611,2019-11-01T20:49:47.611,1.002,-0.174,-0.212,0.982
1572641387632,2019-11-01T20:49:47.632,1.023,-0.173,-0.211,0.987
1572641387651,2019-11-01T20:49:47.651,1.042,-0.174,-0.209,0.990
1572641387671,2019-11-01T20:49:47.671,1.062,-0.173,-0.209,0.992
1572641387692,2019-11-01T20:49:47.692,1.083,-0.172,-0.212,0.997
1572641387712,2019-11-01T20:49:47.712,1.103,-0.175,-0.210,1.000
1572641387731,2019-11-01T20:49:47.731,1.122,-0.173,-0.208,0.997
1572641387752,2019-11-01T20:49:47.752,1.143,-0.171,-0.206,0.990
1572641387772,2019-11-01T20:49:47.772,1.163,-0.171,-0.207,0.987
1572641387791,2019-11-01T20:49:47.791,1.182,-0.173,-0.209,0.989
1572641387812,2019-11-01T20:49:47.812,1.203,-0.175,-0.213,0.991
1572641387832,2019-11-01T20:49:47.832,1.223,-0.179,-0.214,0.992
1572641387851,2019-11-01T20:49:47.851,1.242,-0.178,-0.215,0.987
1572641387872,2019-11-01T20:49:47.872,1.263,-0.175,-0.210,0.985
1572641387892,2019-11-01T20:49:47.892,1.283,-0.172,-0.207,0.987
1572641387912,2019-11-01T20:49:47.912,1.303,-0.168,-0.208,0.983
1572641387932,2019-11-01T20:49:47.932,1.323,-0.167,-0.206,0.985
1572641387953,2019-11-01T20:49:47.953,1.344,-0.173,-0.207,0.990
1572641387972,2019-11-01T20:49:47.972,1.363,-0.171,-0.209,0.993
1572641387992,2019-11-01T20:49:47.992,1.383,-0.170,-0.211,0.994
1572641388013,2019-11-01T20:49:48.013,1.404,-0.172,-0.211,0.999
1572641388033,2019-11-01T20:49:48.033,1.424,-0.173,-0.212,0.996
1572641388052,2019-11-01T20:49:48.052,1.443,-0.174,-0.210,0.988
1572641388073,2019-11-01T20:49:48.073,1.464,-0.176,-0.205,0.984
1572641388093,2019-11-01T20:49:48.093,1.484,-0.173,-0.204,0.982
1572641388112,2019-11-01T20:49:48.112,1.503,-0.172,-0.203,0.982
1572641388133,2019-11-01T20:49:48.133,1.524,-0.174,-0.203,0.986
1572641388153,2019-11-01T20:49:48.153,1.544,-0.172,-0.202,0.987
1572641388172,2019-11-01T20:49:48.172,1.563,-0.169,-0.200,0.993
1572641388193,2019-11-01T20:49:48.193,1.584,-0.173,-0.204,0.994
1572641388213,2019-11-01T20:49:48.213,1.604,-0.175,-0.207,0.991
1572641388232,2019-11-01T20:49:48.232,1.623,-0.174,-0.205,0.989
