epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572641864518,2019-11-01T20:57:44.518,0.000,0.034,0.088,-0.976
1572641864538,2019-11-01T20:57:44.538,0.020,0.126,0.091,-0.865
1572641864559,2019-11-01T20:57:44.559,0.041,0.282,0.381,-0.987
1572641864578,2019-11-01T20:57:44.578,0.060,0.861,0.690,-1.200
1572641864598,2019-11-01T20:57:44.598,0.080,1.490,0.595,-1.265
1572641864619,2019-11-01T20:57:44.619,0.101,1.159,0.267,-1.284
1572641864639,2019-11-01T20:57:44.639,0.121,0.099,-0.537,-1.353
1572641864658,2019-11-01T20:57:44.658,0.140,-0.320,0.107,-0.716
1572641864679,2019-11-01T20:57:44.679,0.161,0.099,0.861,-0.076
1572641864699,2019-11-01T20:57:44.699,0.181,-0.198,-0.046,-0.267
1572641864718,2019-11-01T20:57:44.718,0.200,-0.648,-0.160,-0.423
1572641864739,2019-11-01T20:57:44.739,0.221,-0.694,1.109,-0.149
1572641864759,2019-11-01T20:57:44.759,0.241,-0.610,1.315,-0.625
1572641864779,2019-11-01T20:57:44.779,0.261,-0.282,-0.053,-1.467
1572641864799,2019-11-01T20:57:44.799,0.281,-0.252,-0.751,-2.035
1572641864820,2019-11-01T20:57:44.820,0.302,-0.751,-0.381,-1.604
1572641864839,2019-11-01T20:57:44.839,0.321,-0.899,0.762,-0.697
1572641864859,2019-11-01T20:57:44.859,0.341,-0.926,0.610,-0.446
1572641864880,2019-11-01T20:57:44.880,0.362,-0.838,-0.213,-0.804
1572641864899,2019-11-01T20:57:44.899,0.381,-0.286,-0.023,-0.827
1572641864919,2019-11-01T20:57:44.919,0.401,0.404,0.412,-0.522
1572641864940,2019-11-01T20:57:44.940,0.422,0.465,0.328,-0.316
1572641864960,2019-11-01T20:57:44.960,0.442,-0.579,-0.438,-0.442
1572641864979,2019-11-01T20:57:44.979,0.461,-1.258,-1.349,-0.480
1572641865000,2019-11-01T20:57:45.000,0.482,-0.652,-0.541,-0.011
1572641865020,2019-11-01T20:57:45.020,0.502,-0.103,0.488,0.194
