epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572639884328,2019-11-01T20:24:44.328,0.000,-3.620,1.974,-0.061
1572639884348,2019-11-01T20:24:44.348,0.020,-3.708,1.734,0.000
1572639884369,2019-11-01T20:24:44.369,0.041,-3.091,1.284,0.861
1572639884388,2019-11-01T20:24:44.388,0.060,-1.341,0.442,1.905
1572639884408,2019-11-01T20:24:44.408,0.080,3.049,0.038,2.755
1572639884429,2019-11-01T20:24:44.429,0.101,7.534,-0.556,3.716
1572639884448,2019-11-01T20:24:44.448,0.120,8.224,-1.120,5.011
1572639884468,2019-11-01T20:24:44.468,0.140,5.724,-1.223,5.530
1572639884489,2019-11-01T20:24:44.489,0.161,3.403,-0.732,5.499
1572639884508,2019-11-01T20:24:44.508,0.180,2.207,0.602,5.957
1572639884528,2019-11-01T20:24:44.528,0.200,2.675,2.142,6.521
1572639884549,2019-11-01T20:24:44.549,0.221,2.256,4.295,6.871
1572639884569,2019-11-01T20:24:44.569,0.241,0.991,6.803,7.138
1572639884588,2019-11-01T20:24:44.588,0.260,-2.466,8.960,6.894
1572639884609,2019-11-01T20:24:44.609,0.281,-5.248,9.882,5.934
1572639884629,2019-11-01T20:24:44.629,0.301,-7.268,10.431,4.768
1572639884648,2019-11-01T20:24:44.648,0.320,-7.793,10.857,3.864
1572639884669,2019-11-01T20:24:44.669,0.341,-5.938,10.061,2.767
1572639884689,2019-11-01T20:24:44.689,0.361,-3.712,8.034,1.063
1572639884708,2019-11-01T20:24:44.708,0.380,-1.856,6.117,-0.972
1572639884729,2019-11-01T20:24:44.729,0.401,1.406,4.962,-2.511
1572639884749,2019-11-01T20:24:44.749,0.421,4.242,3.819,-3.632
1572639884768,2019-11-01T20:24:44.768,0.440,5.766,2.736,-4.303
1572639884789,2019-11-01T20:24:44.789,0.461,4.771,2.130,-4.950
1572639884809,2019-11-01T20:24:44.809,0.481,2.641,1.867,-4.836
1572639884830,2019-11-01T20:24:44.830,0.502,1.936,1.784,-3.506
1572639884849,2019-11-01T20:24:44.849,0.521,1.772,1.399,-2.233
1572639884870,2019-11-01T20:24:44.870,0.542,0.960,1.067,-1.082
1572639884890,2019-11-01T20:24:44.890,0.562,0.434,0.941,-0.739
1572639884909,2019-11-01T20:24:44.909,0.581,-0.225,0.903,-0.934
1572639884930,2019-11-01T20:24:44.930,0.602,0.587,1.067,-1.200
1572639884950,2019-11-01T20:24:44.950,0.622,2.854,1.749,-1.650
1572639884969,2019-11-01T20:24:44.969,0.641,3.392,2.428,-1.768
1572639884990,2019-11-01T20:24:44.990,0.662,3.274,2.873,-1.395
1572639885010,2019-11-01T20:24:45.010,0.682,2.854,3.003,-1.136
1572639885029,2019-11-01T20:24:45.029,0.701,2.450,2.496,-1.471
1572639885050,2019-11-01T20:24:45.050,0.722,2.508,2.054,-1.890
1572639885070,2019-11-01T20:24:45.070,0.742,2.557,1.681,-2.248
1572639885091,2019-11-01T20:24:45.091,0.763,1.982,1.452,-2.584
1572639885110,2019-11-01T20:24:45.110,0.782,1.128,0.850,-2.561
1572639885130,2019-11-01T20:24:45.130,0.802,1.505,0.541,-2.458
1572639885151,2019-11-01T20:24:45.151,0.823,2.694,1.025,-2.839
1572639885170,2019-11-01T20:24:45.170,0.842,3.483,1.361,-3.418
1572639885190,2019-11-01T20:24:45.190,0.862,3.049,1.719,-4.162
1572639885211,2019-11-01T20:24:45.211,0.883,2.104,1.669,-4.703
1572639885230,2019-11-01T20:24:45.230,0.902,2.298,1.208,-4.364
1572639885250,2019-11-01T20:24:45.250,0.922,2.477,0.617,-4.089
1572639885271,2019-11-01T20:24:45.271,0.943,1.482,-0.114,-4.143
1572639885290,2019-11-01T20:24:45.290,0.962,1.665,-0.301,-3.864
1572639885310,2019-11-01T20:24:45.310,0.982,1.936,-0.297,-3.418
1572639885331,2019-11-01T20:24:45.331,1.003,2.698,-0.168,-3.281
1572639885351,2019-11-01T20:24:45.351,1.023,3.335,-0.217,-2.954
1572639885370,2019-11-01T20:24:45.370,1.042,2.847,-0.736,-2.530
1572639885391,2019-11-01T20:24:45.391,1.063,0.869,-1.437,-2.511
1572639885412,2019-11-01T20:24:45.412,1.084,0.328,-1.970,-2.523
1572639885431,2019-11-01T20:24:45.431,1.103,1.380,-2.180,-2.386
1572639885451,2019-11-01T20:24:45.451,1.123,2.359,-1.631,-2.043
1572639885472,2019-11-01T20:24:45.472,1.144,1.692,-0.736,-1.917
1572639885491,2019-11-01T20:24:45.491,1.163,-0.518,0.038,-1.841
1572639885511,2019-11-01T20:24:45.511,1.183,-0.644,0.347,-1.768
1572639885532,2019-11-01T20:24:45.532,1.204,0.838,0.614,-1.806
1572639885551,2019-11-01T20:24:45.551,1.223,0.751,0.678,-2.050
1572639885571,2019-11-01T20:24:45.571,1.243,-0.366,0.476,-2.245
1572639885592,2019-11-01T20:24:45.592,1.264,-1.082,0.027,-1.898
1572639885612,2019-11-01T20:24:45.612,1.284,-0.514,-0.229,-1.608
1572639885631,2019-11-01T20:24:45.631,1.303,0.221,-0.232,-1.635
1572639885652,2019-11-01T20:24:45.652,1.324,0.183,-0.225,-2.008
1572639885672,2019-11-01T20:24:45.672,1.344,-0.720,0.149,-2.294
1572639885691,2019-11-01T20:24:45.691,1.363,-0.229,0.728,-2.313
1572639885712,2019-11-01T20:24:45.712,1.384,1.117,0.541,-1.932
1572639885732,2019-11-01T20:24:45.732,1.404,1.890,0.743,-1.947
1572639885751,2019-11-01T20:24:45.751,1.423,1.159,1.197,-2.062
1572639885772,2019-11-01T20:24:45.772,1.444,0.141,0.880,-1.982
1572639885792,2019-11-01T20:24:45.792,1.464,0.492,0.354,-1.631
1572639885811,2019-11-01T20:24:45.811,1.483,0.526,-0.038,-1.322
1572639885832,2019-11-01T20:24:45.832,1.504,-0.697,-0.705,-1.159
1572639885852,2019-11-01T20:24:45.852,1.524,-1.547,-1.220,-1.338
1572639885873,2019-11-01T20:24:45.873,1.545,-0.023,-1.261,-1.559
1572639885892,2019-11-01T20:24:45.892,1.564,1.818,-0.694,-1.665
1572639885912,2019-11-01T20:24:45.912,1.584,2.245,-0.259,-1.803
1572639885933,2019-11-01T20:24:45.933,1.605,1.395,-0.248,-1.784
1572639885952,2019-11-01T20:24:45.952,1.624,0.091,-0.225,-1.841
1572639885973,2019-11-01T20:24:45.973,1.645,-0.598,-0.526,-1.871
1572639885993,2019-11-01T20:24:45.993,1.665,-0.194,-0.575,-1.665
1572639886012,2019-11-01T20:24:46.012,1.684,0.393,0.244,-1.711
1572639886033,2019-11-01T20:24:46.033,1.705,-0.556,0.915,-1.894
1572639886053,2019-11-01T20:24:46.053,1.725,-0.861,1.460,-2.146
1572639886072,2019-11-01T20:24:46.072,1.744,0.126,1.768,-2.630
1572639886093,2019-11-01T20:24:46.093,1.765,0.983,2.336,-2.950
1572639886113,2019-11-01T20:24:46.113,1.785,0.130,2.454,-2.389
1572639886134,2019-11-01T20:24:46.134,1.806,-2.313,1.764,-2.424
1572639886153,2019-11-01T20:24:46.153,1.825,-2.081,1.250,-2.934
1572639886173,2019-11-01T20:24:46.173,1.845,-0.118,0.652,-3.117
1572639886194,2019-11-01T20:24:46.194,1.866,0.560,-0.248,-3.537
1572639886213,2019-11-01T20:24:46.213,1.885,-0.145,-1.227,-4.379
1572639886233,2019-11-01T20:24:46.233,1.905,0.293,-1.071,-4.596
1572639886254,2019-11-01T20:24:46.254,1.926,1.852,-0.667,-4.428
1572639886273,2019-11-01T20:24:46.273,1.945,3.026,0.008,-4.242
1572639886293,2019-11-01T20:24:46.293,1.965,4.131,0.777,-3.986
1572639886314,2019-11-01T20:24:46.314,1.986,5.202,0.690,-3.407
1572639886333,2019-11-01T20:24:46.333,2.005,5.865,0.564,-2.649
1572639886353,2019-11-01T20:24:46.353,2.025,5.080,0.457,-2.043
1572639886374,2019-11-01T20:24:46.374,2.046,2.538,0.293,-1.616
1572639886394,2019-11-01T20:24:46.394,2.066,-0.606,0.499,-1.330
1572639886413,2019-11-01T20:24:46.413,2.085,-1.898,0.568,-1.037
1572639886434,2019-11-01T20:24:46.434,2.106,-0.812,0.393,-0.511
1572639886454,2019-11-01T20:24:46.454,2.126,-0.095,0.072,-0.141
1572639886474,2019-11-01T20:24:46.474,2.146,-0.232,-0.530,0.000
1572639886494,2019-11-01T20:24:46.494,2.166,-0.122,-0.979,0.069
1572639886515,2019-11-01T20:24:46.515,2.187,0.210,-0.854,-0.271
1572639886534,2019-11-01T20:24:46.534,2.206,-0.229,-0.777,-0.816
1572639886554,2019-11-01T20:24:46.554,2.226,-0.343,-0.762,-1.151
1572639886575,2019-11-01T20:24:46.575,2.247,-0.522,-0.686,-1.490
1572639886594,2019-11-01T20:24:46.594,2.266,-0.004,-0.526,-1.547
1572639886614,2019-11-01T20:24:46.614,2.286,-0.179,-0.320,-1.559
1572639886635,2019-11-01T20:24:46.635,2.307,-0.446,0.027,-1.593
1572639886655,2019-11-01T20:24:46.655,2.327,0.149,0.526,-1.486
1572639886674,2019-11-01T20:24:46.674,2.346,1.277,0.934,-1.353
1572639886695,2019-11-01T20:24:46.695,2.367,1.654,1.620,-1.319
1572639886715,2019-11-01T20:24:46.715,2.387,0.377,1.905,-1.383
1572639886734,2019-11-01T20:24:46.734,2.406,-0.221,2.085,-1.303
1572639886755,2019-11-01T20:24:46.755,2.427,0.293,2.157,-0.983
1572639886775,2019-11-01T20:24:46.775,2.447,0.347,2.207,-0.389
1572639886794,2019-11-01T20:24:46.794,2.466,-1.242,1.597,0.072
1572639886815,2019-11-01T20:24:46.815,2.487,-2.100,1.018,0.560
1572639886835,2019-11-01T20:24:46.835,2.507,-1.757,0.892,0.770
1572639886854,2019-11-01T20:24:46.854,2.526,-0.915,0.777,0.716
1572639886875,2019-11-01T20:24:46.875,2.547,-2.031,0.492,0.530
1572639886895,2019-11-01T20:24:46.895,2.567,-3.800,0.171,0.446
1572639886916,2019-11-01T20:24:46.916,2.588,-4.615,-0.480,0.362
1572639886935,2019-11-01T20:24:46.935,2.607,-3.544,-1.052,0.316
1572639886955,2019-11-01T20:24:46.955,2.627,-1.658,-1.086,0.232
1572639886976,2019-11-01T20:24:46.976,2.648,0.008,-1.162,-0.069
1572639886995,2019-11-01T20:24:46.995,2.667,0.861,-1.261,-0.537
1572639887016,2019-11-01T20:24:47.016,2.688,-0.042,-1.543,-0.655
1572639887036,2019-11-01T20:24:47.036,2.708,-1.761,-0.930,-0.088
1572639887055,2019-11-01T20:24:47.055,2.727,-2.591,-0.575,0.236
1572639887076,2019-11-01T20:24:47.076,2.748,-2.649,-0.377,0.396
1572639887096,2019-11-01T20:24:47.096,2.768,-1.402,0.210,0.762
1572639887115,2019-11-01T20:24:47.115,2.787,-1.829,0.484,0.850
1572639887136,2019-11-01T20:24:47.136,2.808,-2.927,0.793,0.621
1572639887156,2019-11-01T20:24:47.156,2.828,-3.007,1.037,0.377
1572639887177,2019-11-01T20:24:47.177,2.849,-2.222,1.246,0.286
1572639887196,2019-11-01T20:24:47.196,2.868,-2.119,1.105,0.305
1572639887216,2019-11-01T20:24:47.216,2.888,-1.959,1.277,0.305
1572639887237,2019-11-01T20:24:47.237,2.909,-0.934,1.441,-0.065
1572639887256,2019-11-01T20:24:47.256,2.928,-0.046,1.563,-0.271
1572639887276,2019-11-01T20:24:47.276,2.948,0.149,1.974,-0.343
1572639887297,2019-11-01T20:24:47.297,2.969,-0.835,2.024,-0.225
1572639887316,2019-11-01T20:24:47.316,2.988,-2.226,1.143,0.053
1572639887336,2019-11-01T20:24:47.336,3.008,-3.407,0.210,0.499
1572639887357,2019-11-01T20:24:47.357,3.029,-3.171,-0.335,0.682
1572639887376,2019-11-01T20:24:47.376,3.048,-2.744,-0.770,0.423
