epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572811496174,2019-11-03T20:04:56.174,0.000,-0.018,0.025,-1.005
1572811496194,2019-11-03T20:04:56.194,0.020,-0.018,0.026,-1.014
1572811496214,2019-11-03T20:04:56.214,0.040,-0.017,0.026,-1.010
1572811496234,2019-11-03T20:04:56.234,0.060,-0.017,0.026,-1.013
1572811496254,2019-11-03T20:04:56.254,0.080,-0.016,0.027,-1.012
1572811496274,2019-11-03T20:04:56.274,0.100,-0.018,0.027,-1.011
1572811496294,2019-11-03T20:04:56.294,0.120,-0.019,0.025,-1.012
1572811496314,2019-11-03T20:04:56.314,0.140,-0.018,0.025,-1.011
1572811496334,2019-11-03T20:04:56.334,0.160,-0.018,0.026,-1.012
1572811496354,2019-11-03T20:04:56.354,0.180,-0.017,0.025,-1.013
1572811496374,2019-11-03T20:04:56.374,0.200,-0.017,0.026,-1.014
1572811496394,2019-11-03T20:04:56.394,0.220,-0.018,0.026,-1.012
1572811496414,2019-11-03T20:04:56.414,0.240,-0.019,0.027,-1.011
1572811496434,2019-11-03T20:04:56.434,0.260,-0.018,0.026,-1.011
1572811496454,2019-11-03T20:04:56.454,0.280,-0.019,0.025,-1.012
1572811496474,2019-11-03T20:04:56.474,0.300,-0.018,0.025,-1.010
1572811496494,2019-11-03T20:04:56.494,0.320,-0.018,0.026,-1.012
1572811496514,2019-11-03T20:04:56.514,0.340,-0.017,0.026,-1.011
1572811496534,2019-11-03T20:04:56.534,0.360,-0.017,0.026,-1.013
1572811496554,2019-11-03T20:04:56.554,0.380,-0.016,0.026,-1.011
1572811496574,2019-11-03T20:04:56.574,0.400,-0.017,0.026,-1.011
1572811496594,2019-11-03T20:04:56.594,0.420,-0.017,0.027,-1.012
1572811496614,2019-11-03T20:04:56.614,0.440,-0.017,0.027,-1.012
1572811496634,2019-11-03T20:04:56.634,0.460,-0.020,0.025,-1.012
1572811496654,2019-11-03T20:04:56.654,0.480,-0.020,0.025,-1.013
1572811496674,2019-11-03T20:04:56.674,0.500,-0.018,0.025,-1.011
1572811496694,2019-11-03T20:04:56.694,0.520,-0.018,0.025,-1.010
1572811496714,2019-11-03T20:04:56.714,0.540,-0.017,0.026,-1.010
1572811496734,2019-11-03T20:04:56.734,0.560,-0.016,0.027,-1.013
1572811496754,2019-11-03T20:04:56.754,0.580,-0.016,0.027,-1.011
1572811496774,2019-11-03T20:04:56.774,0.600,-0.018,0.026,-1.012
1572811496794,2019-11-03T20:04:56.794,0.620,-0.018,0.026,-1.012
1572811496814,2019-11-03T20:04:56.814,0.640,-0.018,0.026,-1.011
1572811496834,2019-11-03T20:04:56.834,0.660,-0.019,0.027,-1.012
1572811496854,2019-11-03T20:04:56.854,0.680,-0.017,0.027,-1.012
1572811496874,2019-11-03T20:04:56.874,0.700,-0.018,0.026,-1.011
1572811496894,2019-11-03T20:04:56.894,0.720,-0.016,0.025,-1.012
1572811496914,2019-11-03T20:04:56.914,0.740,-0.018,0.025,-1.011
1572811496934,2019-11-03T20:04:56.934,0.760,-0.018,0.026,-1.011
1572811496954,2019-11-03T20:04:56.954,0.780,-0.019,0.026,-1.012
1572811496974,2019-11-03T20:04:56.974,0.800,-0.017,0.027,-1.012
1572811496994,2019-11-03T20:04:56.994,0.820,-0.017,0.026,-1.012
1572811497014,2019-11-03T20:04:57.014,0.840,-0.019,0.026,-1.010
1572811497034,2019-11-03T20:04:57.034,0.860,-0.018,0.026,-1.011
1572811497054,2019-11-03T20:04:57.054,0.880,-0.017,0.026,-1.013
1572811497074,2019-11-03T20:04:57.074,0.900,-0.019,0.027,-1.011
1572811497094,2019-11-03T20:04:57.094,0.920,-0.017,0.026,-1.011
1572811497114,2019-11-03T20:04:57.114,0.940,-0.016,0.025,-1.010
1572811497134,2019-11-03T20:04:57.134,0.960,-0.017,0.025,-1.011
1572811497154,2019-11-03T20:04:57.154,0.980,-0.017,0.026,-1.013
1572811497174,2019-11-03T20:04:57.174,1.000,-0.017,0.026,-1.011
1572811497194,2019-11-03T20:04:57.194,1.020,-0.018,0.026,-1.009
1572811497214,2019-11-03T20:04:57.214,1.040,-0.017,0.026,-1.010
1572811497234,2019-11-03T20:04:57.234,1.060,-0.018,0.026,-1.011
1572811497254,2019-11-03T20:04:57.254,1.080,-0.018,0.026,-1.010
1572811497274,2019-11-03T20:04:57.274,1.100,-0.018,0.027,-1.010
1572811497294,2019-11-03T20:04:57.294,1.120,-0.018,0.025,-1.011
1572811497314,2019-11-03T20:04:57.314,1.140,-0.019,0.026,-1.011
1572811497334,2019-11-03T20:04:57.334,1.160,-0.017,0.026,-1.010
1572811497354,2019-11-03T20:04:57.354,1.180,-0.018,0.027,-1.011
1572811497374,2019-11-03T20:04:57.374,1.200,-0.016,0.027,-1.011
1572811497394,2019-11-03T20:04:57.394,1.220,-0.018,0.026,-1.011
1572811497414,2019-11-03T20:04:57.414,1.240,-0.017,0.026,-1.012
1572811497434,2019-11-03T20:04:57.434,1.260,-0.017,0.026,-1.012
1572811497454,2019-11-03T20:04:57.454,1.280,-0.018,0.025,-1.012
1572811497474,2019-11-03T20:04:57.474,1.300,-0.018,0.026,-1.012
1572811497494,2019-11-03T20:04:57.494,1.320,-0.017,0.026,-1.012
1572811497514,2019-11-03T20:04:57.514,1.340,-0.017,0.026,-1.013
1572811497534,2019-11-03T20:04:57.534,1.360,-0.017,0.025,-1.011
1572811497554,2019-11-03T20:04:57.554,1.380,-0.016,0.026,-1.011
1572811497574,2019-11-03T20:04:57.574,1.400,-0.017,0.026,-1.011
1572811497594,2019-11-03T20:04:57.594,1.420,-0.017,0.027,-1.012
1572811497614,2019-11-03T20:04:57.614,1.440,-0.017,0.026,-1.012
1572811497634,2019-11-03T20:04:57.634,1.460,-0.017,0.026,-1.011
1572811497654,2019-11-03T20:04:57.654,1.480,-0.017,0.025,-1.012
1572811497674,2019-11-03T20:04:57.674,1.500,-0.018,0.026,-1.011
1572811497694,2019-11-03T20:04:57.694,1.520,-0.018,0.028,-1.011
1572811497714,2019-11-03T20:04:57.714,1.540,-0.017,0.027,-1.011
1572811497734,2019-11-03T20:04:57.734,1.560,-0.019,0.026,-1.011
1572811497754,2019-11-03T20:04:57.754,1.580,-0.017,0.025,-1.010
1572811497774,2019-11-03T20:04:57.774,1.600,-0.018,0.026,-1.011
1572811497794,2019-11-03T20:04:57.794,1.620,-0.017,0.026,-1.012
1572811497814,2019-11-03T20:04:57.814,1.640,-0.018,0.026,-1.011
