epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573403640327,2019-11-10T16:34:00.327,0.000,0.882,0.083,-0.465
1573403640346,2019-11-10T16:34:00.346,0.019,0.881,0.084,-0.474
1573403640366,2019-11-10T16:34:00.366,0.039,0.879,0.085,-0.473
1573403640387,2019-11-10T16:34:00.387,0.060,0.888,0.085,-0.468
1573403640406,2019-11-10T16:34:00.406,0.079,0.889,0.083,-0.467
1573403640426,2019-11-10T16:34:00.426,0.099,0.884,0.080,-0.472
1573403640447,2019-11-10T16:34:00.447,0.120,0.881,0.082,-0.473
1573403640467,2019-11-10T16:34:00.467,0.140,0.883,0.086,-0.471
1573403640486,2019-11-10T16:34:00.486,0.159,0.893,0.088,-0.466
1573403640507,2019-11-10T16:34:00.507,0.180,0.894,0.085,-0.462
1573403640527,2019-11-10T16:34:00.527,0.200,0.893,0.081,-0.464
1573403640546,2019-11-10T16:34:00.546,0.219,0.883,0.081,-0.472
1573403640567,2019-11-10T16:34:00.567,0.240,0.877,0.081,-0.477
1573403640587,2019-11-10T16:34:00.587,0.260,0.882,0.081,-0.475
1573403640606,2019-11-10T16:34:00.606,0.279,0.884,0.085,-0.473
1573403640627,2019-11-10T16:34:00.627,0.300,0.889,0.087,-0.469
1573403640647,2019-11-10T16:34:00.647,0.320,0.890,0.084,-0.468
1573403640668,2019-11-10T16:34:00.668,0.341,0.887,0.081,-0.468
1573403640687,2019-11-10T16:34:00.687,0.360,0.885,0.081,-0.470
1573403640707,2019-11-10T16:34:00.707,0.380,0.887,0.081,-0.470
1573403640728,2019-11-10T16:34:00.728,0.401,0.885,0.085,-0.469
1573403640747,2019-11-10T16:34:00.747,0.420,0.889,0.087,-0.466
1573403640767,2019-11-10T16:34:00.767,0.440,0.893,0.085,-0.462
1573403640788,2019-11-10T16:34:00.788,0.461,0.896,0.084,-0.460
1573403640808,2019-11-10T16:34:00.808,0.481,0.893,0.083,-0.462
1573403640828,2019-11-10T16:34:00.828,0.501,0.887,0.083,-0.470
1573403640848,2019-11-10T16:34:00.848,0.521,0.884,0.081,-0.471
1573403640869,2019-11-10T16:34:00.869,0.542,0.883,0.081,-0.474
1573403640888,2019-11-10T16:34:00.888,0.561,0.883,0.083,-0.472
