epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573404935730,2019-11-10T16:55:35.730,0.000,0.881,-0.133,-0.484
1573404935750,2019-11-10T16:55:35.750,0.020,0.887,-0.124,-0.475
1573404935771,2019-11-10T16:55:35.771,0.041,0.892,-0.119,-0.469
1573404935790,2019-11-10T16:55:35.790,0.060,0.882,-0.110,-0.472
1573404935810,2019-11-10T16:55:35.810,0.080,0.870,-0.090,-0.482
1573404935831,2019-11-10T16:55:35.831,0.101,0.867,-0.082,-0.493
1573404935851,2019-11-10T16:55:35.851,0.121,0.863,-0.089,-0.502
1573404935870,2019-11-10T16:55:35.870,0.140,0.871,-0.109,-0.505
1573404935891,2019-11-10T16:55:35.891,0.161,0.875,-0.119,-0.494
1573404935911,2019-11-10T16:55:35.911,0.181,0.883,-0.123,-0.484
1573404935930,2019-11-10T16:55:35.930,0.200,0.890,-0.128,-0.481
1573404935951,2019-11-10T16:55:35.951,0.221,0.891,-0.130,-0.484
1573404935971,2019-11-10T16:55:35.971,0.241,0.878,-0.128,-0.493
1573404935992,2019-11-10T16:55:35.992,0.262,0.869,-0.126,-0.502
1573404936011,2019-11-10T16:55:36.011,0.281,0.873,-0.133,-0.509
1573404936031,2019-11-10T16:55:36.031,0.301,0.888,-0.139,-0.507
1573404936052,2019-11-10T16:55:36.052,0.322,0.892,-0.132,-0.498
1573404936071,2019-11-10T16:55:36.071,0.341,0.885,-0.121,-0.489
1573404936091,2019-11-10T16:55:36.091,0.361,0.882,-0.112,-0.484
1573404936112,2019-11-10T16:55:36.112,0.382,0.879,-0.104,-0.481
1573404936131,2019-11-10T16:55:36.131,0.401,0.881,-0.103,-0.482
1573404936151,2019-11-10T16:55:36.151,0.421,0.883,-0.104,-0.482
1573404936172,2019-11-10T16:55:36.172,0.442,0.881,-0.116,-0.484
1573404936193,2019-11-10T16:55:36.193,0.463,0.869,-0.114,-0.481
1573404936212,2019-11-10T16:55:36.212,0.482,0.875,-0.114,-0.480
1573404936232,2019-11-10T16:55:36.232,0.502,0.889,-0.123,-0.485
1573404936253,2019-11-10T16:55:36.253,0.523,0.899,-0.134,-0.493
1573404936272,2019-11-10T16:55:36.272,0.542,0.897,-0.141,-0.500
1573404936292,2019-11-10T16:55:36.292,0.562,0.902,-0.133,-0.492
1573404936313,2019-11-10T16:55:36.313,0.583,0.896,-0.120,-0.482
1573404936333,2019-11-10T16:55:36.333,0.603,0.881,-0.103,-0.472
1573404936352,2019-11-10T16:55:36.352,0.622,0.882,-0.078,-0.468
1573404936373,2019-11-10T16:55:36.373,0.643,0.866,-0.066,-0.470
1573404936393,2019-11-10T16:55:36.393,0.663,0.868,-0.072,-0.476
1573404936412,2019-11-10T16:55:36.412,0.682,0.877,-0.093,-0.484
1573404936433,2019-11-10T16:55:36.433,0.703,0.883,-0.116,-0.486
1573404936453,2019-11-10T16:55:36.453,0.723,0.889,-0.122,-0.481
1573404936474,2019-11-10T16:55:36.474,0.744,0.904,-0.123,-0.479
1573404936493,2019-11-10T16:55:36.493,0.763,0.902,-0.120,-0.476
1573404936513,2019-11-10T16:55:36.513,0.783,0.886,-0.115,-0.478
1573404936534,2019-11-10T16:55:36.534,0.804,0.873,-0.090,-0.476
1573404936553,2019-11-10T16:55:36.553,0.823,0.869,-0.069,-0.475
1573404936573,2019-11-10T16:55:36.573,0.843,0.879,-0.079,-0.478
1573404936594,2019-11-10T16:55:36.594,0.864,0.896,-0.102,-0.484
1573404936613,2019-11-10T16:55:36.613,0.883,0.900,-0.115,-0.491
1573404936633,2019-11-10T16:55:36.633,0.903,0.890,-0.127,-0.492
1573404936654,2019-11-10T16:55:36.654,0.924,0.894,-0.131,-0.480
1573404936674,2019-11-10T16:55:36.674,0.944,0.886,-0.119,-0.465
1573404936693,2019-11-10T16:55:36.693,0.963,0.877,-0.113,-0.463
1573404936714,2019-11-10T16:55:36.714,0.984,0.891,-0.107,-0.472
1573404936734,2019-11-10T16:55:36.734,1.004,0.897,-0.107,-0.480
1573404936754,2019-11-10T16:55:36.754,1.024,0.880,-0.102,-0.483
1573404936774,2019-11-10T16:55:36.774,1.044,0.882,-0.100,-0.484
1573404936795,2019-11-10T16:55:36.795,1.065,0.892,-0.109,-0.483
1573404936815,2019-11-10T16:55:36.815,1.085,0.897,-0.117,-0.486
1573404936834,2019-11-10T16:55:36.834,1.104,0.893,-0.117,-0.483
1573404936855,2019-11-10T16:55:36.855,1.125,0.888,-0.108,-0.474
1573404936875,2019-11-10T16:55:36.875,1.145,0.882,-0.104,-0.468
1573404936894,2019-11-10T16:55:36.894,1.164,0.888,-0.103,-0.466
1573404936915,2019-11-10T16:55:36.915,1.185,0.891,-0.103,-0.473
1573404936935,2019-11-10T16:55:36.935,1.205,0.890,-0.104,-0.481
1573404936956,2019-11-10T16:55:36.956,1.226,0.888,-0.103,-0.486
1573404936975,2019-11-10T16:55:36.975,1.245,0.882,-0.106,-0.484
1573404936995,2019-11-10T16:55:36.995,1.265,0.877,-0.111,-0.483
