epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573404866917,2019-11-10T16:54:26.917,0.000,-0.483,-0.134,0.799
1573404866936,2019-11-10T16:54:26.936,0.019,-0.484,-0.135,0.813
1573404866957,2019-11-10T16:54:26.957,0.040,-0.471,-0.136,0.831
1573404866976,2019-11-10T16:54:26.976,0.059,-0.461,-0.134,0.846
1573404866997,2019-11-10T16:54:26.997,0.080,-0.459,-0.134,0.846
1573404867017,2019-11-10T16:54:27.017,0.100,-0.459,-0.130,0.839
1573404867036,2019-11-10T16:54:27.036,0.119,-0.456,-0.126,0.840
1573404867057,2019-11-10T16:54:27.057,0.140,-0.447,-0.126,0.861
1573404867076,2019-11-10T16:54:27.076,0.159,-0.449,-0.127,0.849
1573404867096,2019-11-10T16:54:27.096,0.179,-0.453,-0.128,0.836
1573404867115,2019-11-10T16:54:27.115,0.198,-0.447,-0.131,0.852
1573404867136,2019-11-10T16:54:27.136,0.219,-0.448,-0.130,0.853
1573404867156,2019-11-10T16:54:27.156,0.239,-0.454,-0.127,0.839
1573404867175,2019-11-10T16:54:27.175,0.258,-0.454,-0.126,0.841
1573404867196,2019-11-10T16:54:27.196,0.279,-0.449,-0.132,0.848
1573404867215,2019-11-10T16:54:27.215,0.298,-0.453,-0.129,0.853
1573404867235,2019-11-10T16:54:27.235,0.318,-0.458,-0.125,0.838
1573404867254,2019-11-10T16:54:27.254,0.337,-0.460,-0.129,0.833
1573404867275,2019-11-10T16:54:27.275,0.358,-0.460,-0.132,0.838
1573404867295,2019-11-10T16:54:27.295,0.378,-0.464,-0.129,0.837
1573404867314,2019-11-10T16:54:27.314,0.397,-0.464,-0.132,0.834
1573404867335,2019-11-10T16:54:27.335,0.418,-0.461,-0.137,0.840
1573404867354,2019-11-10T16:54:27.354,0.437,-0.464,-0.133,0.834
1573404867374,2019-11-10T16:54:27.374,0.457,-0.468,-0.129,0.831
1573404867393,2019-11-10T16:54:27.393,0.476,-0.468,-0.134,0.831
1573404867414,2019-11-10T16:54:27.414,0.497,-0.463,-0.136,0.839
1573404867434,2019-11-10T16:54:27.434,0.517,-0.463,-0.135,0.845
1573404867454,2019-11-10T16:54:27.454,0.537,-0.468,-0.135,0.835
1573404867474,2019-11-10T16:54:27.474,0.557,-0.471,-0.133,0.829
1573404867493,2019-11-10T16:54:27.493,0.576,-0.473,-0.135,0.829
1573404867514,2019-11-10T16:54:27.514,0.597,-0.472,-0.139,0.835
1573404867533,2019-11-10T16:54:27.533,0.616,-0.472,-0.141,0.836
1573404867553,2019-11-10T16:54:27.553,0.636,-0.478,-0.138,0.825
1573404867574,2019-11-10T16:54:27.574,0.657,-0.483,-0.141,0.817
1573404867593,2019-11-10T16:54:27.593,0.676,-0.483,-0.144,0.810
1573404867613,2019-11-10T16:54:27.613,0.696,-0.480,-0.142,0.823
1573404867632,2019-11-10T16:54:27.632,0.715,-0.475,-0.141,0.833
1573404867653,2019-11-10T16:54:27.653,0.736,-0.474,-0.140,0.835
1573404867672,2019-11-10T16:54:27.672,0.755,-0.478,-0.139,0.830
1573404867692,2019-11-10T16:54:27.692,0.775,-0.477,-0.137,0.821
1573404867713,2019-11-10T16:54:27.713,0.796,-0.475,-0.144,0.821
1573404867732,2019-11-10T16:54:27.732,0.815,-0.477,-0.147,0.822
1573404867752,2019-11-10T16:54:27.752,0.835,-0.476,-0.137,0.824
1573404867771,2019-11-10T16:54:27.771,0.854,-0.469,-0.132,0.836
1573404867792,2019-11-10T16:54:27.792,0.875,-0.461,-0.137,0.847
1573404867811,2019-11-10T16:54:27.811,0.894,-0.456,-0.134,0.859
1573404867831,2019-11-10T16:54:27.831,0.914,-0.459,-0.135,0.852
1573404867851,2019-11-10T16:54:27.851,0.934,-0.467,-0.136,0.836
1573404867871,2019-11-10T16:54:27.871,0.954,-0.476,-0.136,0.818
1573404867892,2019-11-10T16:54:27.892,0.975,-0.481,-0.138,0.817
1573404867911,2019-11-10T16:54:27.911,0.994,-0.483,-0.134,0.818
1573404867931,2019-11-10T16:54:27.931,1.014,-0.482,-0.132,0.817
1573404867950,2019-11-10T16:54:27.950,1.033,-0.477,-0.132,0.830
1573404867971,2019-11-10T16:54:27.971,1.054,-0.472,-0.135,0.833
1573404867990,2019-11-10T16:54:27.990,1.073,-0.472,-0.135,0.835
1573404868010,2019-11-10T16:54:28.010,1.093,-0.473,-0.134,0.832
1573404868031,2019-11-10T16:54:28.031,1.114,-0.474,-0.133,0.828
1573404868050,2019-11-10T16:54:28.050,1.133,-0.476,-0.131,0.825
1573404868070,2019-11-10T16:54:28.070,1.153,-0.473,-0.130,0.830
1573404868089,2019-11-10T16:54:28.089,1.172,-0.465,-0.140,0.840
1573404868110,2019-11-10T16:54:28.110,1.193,-0.460,-0.134,0.850
1573404868129,2019-11-10T16:54:28.129,1.212,-0.464,-0.131,0.840
1573404868149,2019-11-10T16:54:28.149,1.232,-0.471,-0.128,0.834
1573404868170,2019-11-10T16:54:28.170,1.253,-0.474,-0.126,0.827
1573404868189,2019-11-10T16:54:28.189,1.272,-0.472,-0.132,0.826
1573404868209,2019-11-10T16:54:28.209,1.292,-0.467,-0.136,0.841
1573404868228,2019-11-10T16:54:28.228,1.311,-0.467,-0.136,0.842
1573404868249,2019-11-10T16:54:28.249,1.332,-0.472,-0.134,0.828
1573404868268,2019-11-10T16:54:28.268,1.351,-0.477,-0.124,0.822
1573404868289,2019-11-10T16:54:28.289,1.372,-0.474,-0.127,0.826
1573404868309,2019-11-10T16:54:28.309,1.392,-0.467,-0.131,0.836
1573404868328,2019-11-10T16:54:28.328,1.411,-0.465,-0.135,0.843
1573404868349,2019-11-10T16:54:28.349,1.432,-0.467,-0.132,0.838
1573404868368,2019-11-10T16:54:28.368,1.451,-0.468,-0.127,0.834
1573404868388,2019-11-10T16:54:28.388,1.471,-0.466,-0.128,0.841
1573404868407,2019-11-10T16:54:28.407,1.490,-0.465,-0.133,0.845
1573404868428,2019-11-10T16:54:28.428,1.511,-0.466,-0.137,0.846
1573404868448,2019-11-10T16:54:28.448,1.531,-0.470,-0.138,0.839
1573404868467,2019-11-10T16:54:28.467,1.550,-0.478,-0.137,0.826
1573404868488,2019-11-10T16:54:28.488,1.571,-0.485,-0.136,0.811
1573404868507,2019-11-10T16:54:28.507,1.590,-0.487,-0.137,0.811
1573404868527,2019-11-10T16:54:28.527,1.610,-0.485,-0.137,0.824
1573404868546,2019-11-10T16:54:28.546,1.629,-0.487,-0.131,0.823
1573404868567,2019-11-10T16:54:28.567,1.650,-0.484,-0.132,0.823
1573404868587,2019-11-10T16:54:28.587,1.670,-0.483,-0.138,0.826
1573404868606,2019-11-10T16:54:28.606,1.689,-0.485,-0.135,0.822
1573404868627,2019-11-10T16:54:28.627,1.710,-0.484,-0.132,0.822
1573404868646,2019-11-10T16:54:28.646,1.729,-0.482,-0.133,0.829
1573404868666,2019-11-10T16:54:28.666,1.749,-0.484,-0.136,0.827
1573404868685,2019-11-10T16:54:28.685,1.768,-0.486,-0.139,0.821
1573404868706,2019-11-10T16:54:28.706,1.789,-0.489,-0.140,0.814
1573404868726,2019-11-10T16:54:28.726,1.809,-0.488,-0.135,0.819
1573404868746,2019-11-10T16:54:28.746,1.829,-0.485,-0.133,0.827
1573404868766,2019-11-10T16:54:28.766,1.849,-0.482,-0.135,0.832
1573404868785,2019-11-10T16:54:28.785,1.868,-0.484,-0.139,0.825
1573404868806,2019-11-10T16:54:28.806,1.889,-0.487,-0.138,0.819
1573404868825,2019-11-10T16:54:28.825,1.908,-0.486,-0.131,0.821
1573404868845,2019-11-10T16:54:28.845,1.928,-0.483,-0.134,0.823
1573404868866,2019-11-10T16:54:28.866,1.949,-0.483,-0.134,0.829
1573404868885,2019-11-10T16:54:28.885,1.968,-0.483,-0.139,0.826
1573404868905,2019-11-10T16:54:28.905,1.988,-0.481,-0.135,0.831
1573404868924,2019-11-10T16:54:28.924,2.007,-0.481,-0.133,0.831
1573404868945,2019-11-10T16:54:28.945,2.028,-0.480,-0.133,0.829
1573404868964,2019-11-10T16:54:28.964,2.047,-0.481,-0.134,0.828
1573404868984,2019-11-10T16:54:28.984,2.067,-0.485,-0.133,0.825
1573404869005,2019-11-10T16:54:29.005,2.088,-0.489,-0.133,0.815
1573404869024,2019-11-10T16:54:29.024,2.107,-0.488,-0.134,0.819
1573404869044,2019-11-10T16:54:29.044,2.127,-0.484,-0.137,0.825
1573404869063,2019-11-10T16:54:29.063,2.146,-0.481,-0.137,0.835
1573404869084,2019-11-10T16:54:29.084,2.167,-0.483,-0.134,0.828
1573404869103,2019-11-10T16:54:29.103,2.186,-0.486,-0.129,0.820
1573404869123,2019-11-10T16:54:29.123,2.206,-0.485,-0.131,0.819
1573404869144,2019-11-10T16:54:29.144,2.227,-0.481,-0.132,0.831
1573404869163,2019-11-10T16:54:29.163,2.246,-0.478,-0.134,0.836
1573404869184,2019-11-10T16:54:29.184,2.267,-0.483,-0.132,0.828
1573404869203,2019-11-10T16:54:29.203,2.286,-0.486,-0.133,0.818
1573404869223,2019-11-10T16:54:29.223,2.306,-0.483,-0.132,0.821
1573404869242,2019-11-10T16:54:29.242,2.325,-0.481,-0.134,0.827
1573404869263,2019-11-10T16:54:29.263,2.346,-0.479,-0.135,0.835
1573404869283,2019-11-10T16:54:29.283,2.366,-0.480,-0.132,0.829
1573404869302,2019-11-10T16:54:29.302,2.385,-0.483,-0.131,0.824
1573404869323,2019-11-10T16:54:29.323,2.406,-0.483,-0.135,0.823
1573404869342,2019-11-10T16:54:29.342,2.425,-0.482,-0.140,0.826
1573404869362,2019-11-10T16:54:29.362,2.445,-0.482,-0.140,0.827
1573404869381,2019-11-10T16:54:29.381,2.464,-0.484,-0.138,0.822
1573404869402,2019-11-10T16:54:29.402,2.485,-0.487,-0.135,0.816
1573404869422,2019-11-10T16:54:29.422,2.505,-0.485,-0.133,0.813
1573404869441,2019-11-10T16:54:29.441,2.524,-0.481,-0.131,0.823
1573404869462,2019-11-10T16:54:29.462,2.545,-0.472,-0.132,0.844
1573404869481,2019-11-10T16:54:29.481,2.564,-0.464,-0.134,0.854
1573404869501,2019-11-10T16:54:29.501,2.584,-0.467,-0.132,0.848
1573404869520,2019-11-10T16:54:29.520,2.603,-0.474,-0.128,0.833
1573404869541,2019-11-10T16:54:29.541,2.624,-0.480,-0.130,0.820
1573404869561,2019-11-10T16:54:29.561,2.644,-0.478,-0.131,0.825
1573404869580,2019-11-10T16:54:29.580,2.663,-0.478,-0.133,0.823
1573404869601,2019-11-10T16:54:29.601,2.684,-0.480,-0.131,0.823
1573404869620,2019-11-10T16:54:29.620,2.703,-0.480,-0.122,0.825
1573404869641,2019-11-10T16:54:29.641,2.724,-0.474,-0.121,0.834
1573404869660,2019-11-10T16:54:29.660,2.743,-0.467,-0.125,0.845
1573404869680,2019-11-10T16:54:29.680,2.763,-0.469,-0.127,0.838
1573404869701,2019-11-10T16:54:29.701,2.784,-0.475,-0.125,0.831
1573404869720,2019-11-10T16:54:29.720,2.803,-0.477,-0.126,0.825
1573404869740,2019-11-10T16:54:29.740,2.823,-0.474,-0.127,0.827
1573404869759,2019-11-10T16:54:29.759,2.842,-0.469,-0.125,0.834
1573404869780,2019-11-10T16:54:29.780,2.863,-0.465,-0.123,0.842
1573404869799,2019-11-10T16:54:29.799,2.882,-0.464,-0.122,0.843
1573404869819,2019-11-10T16:54:29.819,2.902,-0.462,-0.123,0.843
1573404869840,2019-11-10T16:54:29.840,2.923,-0.463,-0.126,0.846
1573404869859,2019-11-10T16:54:29.859,2.942,-0.463,-0.127,0.843
1573404869879,2019-11-10T16:54:29.879,2.962,-0.465,-0.126,0.839
1573404869898,2019-11-10T16:54:29.898,2.981,-0.468,-0.126,0.835
1573404869919,2019-11-10T16:54:29.919,3.002,-0.473,-0.127,0.830
1573404869938,2019-11-10T16:54:29.938,3.021,-0.473,-0.128,0.830
1573404869958,2019-11-10T16:54:29.958,3.041,-0.473,-0.129,0.831
1573404869979,2019-11-10T16:54:29.979,3.062,-0.476,-0.126,0.829
1573404869998,2019-11-10T16:54:29.998,3.081,-0.478,-0.125,0.830
1573404870018,2019-11-10T16:54:30.018,3.101,-0.479,-0.125,0.828
1573404870038,2019-11-10T16:54:30.038,3.121,-0.478,-0.128,0.827
1573404870058,2019-11-10T16:54:30.058,3.141,-0.477,-0.129,0.831
1573404870077,2019-11-10T16:54:30.077,3.160,-0.479,-0.129,0.834
1573404870098,2019-11-10T16:54:30.098,3.181,-0.479,-0.128,0.829
1573404870117,2019-11-10T16:54:30.117,3.200,-0.482,-0.130,0.824
1573404870137,2019-11-10T16:54:30.137,3.220,-0.482,-0.134,0.824
1573404870158,2019-11-10T16:54:30.158,3.241,-0.482,-0.136,0.828
1573404870177,2019-11-10T16:54:30.177,3.260,-0.483,-0.138,0.825
1573404870197,2019-11-10T16:54:30.197,3.280,-0.486,-0.132,0.818
1573404870216,2019-11-10T16:54:30.216,3.299,-0.488,-0.131,0.819
1573404870237,2019-11-10T16:54:30.237,3.320,-0.486,-0.131,0.827
1573404870256,2019-11-10T16:54:30.256,3.339,-0.485,-0.133,0.832
1573404870276,2019-11-10T16:54:30.276,3.359,-0.486,-0.135,0.833
1573404870297,2019-11-10T16:54:30.297,3.380,-0.489,-0.133,0.823
1573404870316,2019-11-10T16:54:30.316,3.399,-0.497,-0.135,0.810
1573404870336,2019-11-10T16:54:30.336,3.419,-0.500,-0.134,0.810
1573404870355,2019-11-10T16:54:30.355,3.438,-0.501,-0.135,0.810
1573404870376,2019-11-10T16:54:30.376,3.459,-0.504,-0.134,0.809
