epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573406444281,2019-11-10T17:20:44.281,0.000,0.339,0.019,-0.732
1573406444302,2019-11-10T17:20:44.302,0.021,0.111,-0.412,-0.865
1573406444321,2019-11-10T17:20:44.321,0.040,-0.530,-2.008,-0.232
1573406444341,2019-11-10T17:20:44.341,0.060,-0.888,-2.195,-0.244
1573406444362,2019-11-10T17:20:44.362,0.081,-0.865,-1.353,-0.377
1573406444381,2019-11-10T17:20:44.381,0.100,-0.831,-1.322,-0.248
1573406444401,2019-11-10T17:20:44.401,0.120,-1.174,-1.604,0.061
1573406444422,2019-11-10T17:20:44.422,0.141,-1.482,-1.402,0.457
1573406444442,2019-11-10T17:20:44.442,0.161,-1.284,-1.410,0.347
1573406444461,2019-11-10T17:20:44.461,0.180,-0.857,-1.185,-0.396
1573406444482,2019-11-10T17:20:44.482,0.201,-0.431,-0.111,-0.556
1573406444502,2019-11-10T17:20:44.502,0.221,-0.088,-0.522,-0.339
1573406444521,2019-11-10T17:20:44.521,0.240,-0.484,-1.040,0.278
1573406444542,2019-11-10T17:20:44.542,0.261,-0.922,-0.560,-0.072
1573406444562,2019-11-10T17:20:44.562,0.281,-0.758,0.431,-0.629
1573406444583,2019-11-10T17:20:44.583,0.302,-0.926,0.400,0.084
1573406444602,2019-11-10T17:20:44.602,0.321,-1.616,-0.248,1.124
1573406444622,2019-11-10T17:20:44.622,0.341,-2.008,-0.941,0.972
1573406444643,2019-11-10T17:20:44.643,0.362,-2.058,-0.591,0.480
1573406444662,2019-11-10T17:20:44.662,0.381,-2.569,-0.373,0.720
1573406444682,2019-11-10T17:20:44.682,0.401,-3.308,-1.307,1.280
1573406444703,2019-11-10T17:20:44.703,0.422,-3.518,-0.770,1.658
1573406444722,2019-11-10T17:20:44.722,0.441,-3.140,-0.816,0.934
1573406444742,2019-11-10T17:20:44.742,0.461,-2.923,0.301,0.107
1573406444763,2019-11-10T17:20:44.763,0.482,-2.721,1.132,-0.473
1573406444783,2019-11-10T17:20:44.783,0.502,-1.902,0.747,-0.446
1573406444803,2019-11-10T17:20:44.803,0.522,-1.353,0.755,-0.019
1573406444823,2019-11-10T17:20:44.823,0.542,-1.421,0.149,0.499
