epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572641960429,2019-11-01T20:59:20.429,0.000,0.869,3.030,-3.670
1572641960449,2019-11-01T20:59:20.449,0.020,0.880,2.492,-3.765
1572641960470,2019-11-01T20:59:20.470,0.041,0.133,0.168,-3.430
1572641960489,2019-11-01T20:59:20.489,0.060,-2.149,0.343,-2.340
1572641960509,2019-11-01T20:59:20.509,0.080,-3.544,1.917,-1.597
1572641960530,2019-11-01T20:59:20.530,0.101,-2.896,0.259,-2.306
1572641960549,2019-11-01T20:59:20.549,0.120,-1.414,-0.457,-3.060
1572641960569,2019-11-01T20:59:20.569,0.140,-0.381,0.305,-3.243
1572641960590,2019-11-01T20:59:20.590,0.161,-0.309,1.048,-3.441
1572641960609,2019-11-01T20:59:20.609,0.180,-1.162,3.045,-3.727
1572641960629,2019-11-01T20:59:20.629,0.200,-3.262,4.043,-3.704
1572641960650,2019-11-01T20:59:20.650,0.221,-5.690,5.469,-3.784
1572641960670,2019-11-01T20:59:20.670,0.241,-1.905,7.226,-6.220
1572641960689,2019-11-01T20:59:20.689,0.260,1.951,4.276,-7.809
1572641960710,2019-11-01T20:59:20.710,0.281,0.545,1.345,-7.877
1572641960730,2019-11-01T20:59:20.730,0.301,-1.841,1.185,-6.898
1572641960749,2019-11-01T20:59:20.749,0.320,-3.037,0.431,-5.343
1572641960770,2019-11-01T20:59:20.770,0.341,-4.047,-1.261,-3.758
1572641960790,2019-11-01T20:59:20.790,0.361,-4.630,-2.626,-2.957
1572641960809,2019-11-01T20:59:20.809,0.380,-2.793,-1.204,-1.913
1572641960830,2019-11-01T20:59:20.830,0.401,-0.629,0.381,-1.136
1572641960850,2019-11-01T20:59:20.850,0.421,0.130,2.656,-0.480
1572641960869,2019-11-01T20:59:20.869,0.440,0.465,2.420,-0.034
1572641960890,2019-11-01T20:59:20.890,0.461,0.758,0.088,-0.568
1572641960911,2019-11-01T20:59:20.911,0.482,-0.213,1.014,-0.633
1572641960931,2019-11-01T20:59:20.931,0.502,-1.486,2.755,-0.149
1572641960950,2019-11-01T20:59:20.950,0.521,-0.450,1.402,0.126
1572641960971,2019-11-01T20:59:20.971,0.542,1.006,0.537,0.522
1572641960991,2019-11-01T20:59:20.991,0.562,0.450,1.326,1.071
1572641961010,2019-11-01T20:59:21.010,0.581,0.091,1.509,1.341
1572641961031,2019-11-01T20:59:21.031,0.602,0.857,1.444,1.166
1572641961051,2019-11-01T20:59:21.051,0.622,1.734,1.574,1.566
1572641961070,2019-11-01T20:59:21.070,0.641,2.161,3.106,2.778
1572641961091,2019-11-01T20:59:21.091,0.662,2.325,4.379,2.732
1572641961111,2019-11-01T20:59:21.111,0.682,1.681,3.678,1.338
1572641961130,2019-11-01T20:59:21.130,0.701,-0.461,1.749,-0.221
1572641961151,2019-11-01T20:59:21.151,0.722,-2.797,0.983,-0.816
1572641961171,2019-11-01T20:59:21.171,0.742,-3.056,2.786,-0.598
1572641961190,2019-11-01T20:59:21.190,0.761,-2.515,2.550,-0.412
1572641961211,2019-11-01T20:59:21.211,0.782,-1.418,0.819,-0.648
1572641961231,2019-11-01T20:59:21.231,0.802,-0.739,-0.751,-1.593
1572641961252,2019-11-01T20:59:21.252,0.823,-0.873,-0.514,-1.681
1572641961271,2019-11-01T20:59:21.271,0.842,-0.816,-0.019,-1.018
1572641961291,2019-11-01T20:59:21.291,0.862,-1.246,-1.250,0.053
1572641961312,2019-11-01T20:59:21.312,0.883,-1.147,-3.281,-0.187
1572641961331,2019-11-01T20:59:21.331,0.902,-0.709,-4.287,-0.770
1572641961351,2019-11-01T20:59:21.351,0.922,0.617,-4.600,-1.429
1572641961372,2019-11-01T20:59:21.372,0.943,2.370,-5.145,-1.963
1572641961391,2019-11-01T20:59:21.391,0.962,2.313,-3.495,-1.947
1572641961411,2019-11-01T20:59:21.411,0.982,1.322,-0.030,-1.216
1572641961432,2019-11-01T20:59:21.432,1.003,1.189,1.048,-0.743
1572641961451,2019-11-01T20:59:21.451,1.022,2.229,-0.713,-0.983
1572641961472,2019-11-01T20:59:21.472,1.043,3.552,-3.041,-2.142
1572641961492,2019-11-01T20:59:21.492,1.063,3.986,-1.734,-2.908
1572641961513,2019-11-01T20:59:21.513,1.084,3.685,0.568,-2.374
1572641961532,2019-11-01T20:59:21.532,1.103,3.533,1.353,-2.066
1572641961552,2019-11-01T20:59:21.552,1.123,3.102,0.019,-2.603
1572641961573,2019-11-01T20:59:21.573,1.144,2.687,-1.441,-2.702
1572641961592,2019-11-01T20:59:21.592,1.163,3.357,-0.804,-1.490
1572641961612,2019-11-01T20:59:21.612,1.183,4.562,1.208,-0.701
1572641961633,2019-11-01T20:59:21.633,1.204,3.773,0.530,-1.136
1572641961652,2019-11-01T20:59:21.652,1.223,1.871,-0.621,-1.151
1572641961672,2019-11-01T20:59:21.672,1.243,1.185,-0.446,-0.907
1572641961693,2019-11-01T20:59:21.693,1.264,0.930,-2.508,-0.857
1572641961712,2019-11-01T20:59:21.712,1.283,0.164,-2.736,-0.324
1572641961732,2019-11-01T20:59:21.732,1.303,-0.633,-1.589,0.111
1572641961753,2019-11-01T20:59:21.753,1.324,-1.094,-2.889,-0.316
1572641961772,2019-11-01T20:59:21.772,1.343,-0.987,-3.491,-0.598
1572641961792,2019-11-01T20:59:21.792,1.363,-0.804,-4.436,-0.812
1572641961813,2019-11-01T20:59:21.813,1.384,-3.255,-9.253,-1.071
1572641961833,2019-11-01T20:59:21.833,1.404,-10.503,-17.031,0.217
1572641961852,2019-11-01T20:59:21.852,1.423,-15.553,-20.053,-2.721
