epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572642136030,2019-11-01T21:02:16.030,0.000,9.505,-15.979,-10.255
1572642136049,2019-11-01T21:02:16.049,0.019,8.559,-17.184,-11.860
1572642136069,2019-11-01T21:02:16.069,0.039,8.613,-14.768,-8.979
1572642136090,2019-11-01T21:02:16.090,0.060,10.358,-9.425,-9.836
1572642136109,2019-11-01T21:02:16.109,0.079,7.740,-6.654,-7.382
1572642136129,2019-11-01T21:02:16.129,0.099,7.893,-8.769,-7.226
1572642136150,2019-11-01T21:02:16.150,0.120,9.817,-2.077,-1.959
1572642136169,2019-11-01T21:02:16.169,0.139,14.177,-8.906,-3.742
1572642136189,2019-11-01T21:02:16.189,0.159,16.978,-9.558,-7.797
1572642136210,2019-11-01T21:02:16.210,0.180,16.517,-3.476,-3.700
1572642136229,2019-11-01T21:02:16.229,0.199,8.906,-4.474,-2.710
1572642136249,2019-11-01T21:02:16.249,0.219,-0.888,-6.067,-4.085
1572642136270,2019-11-01T21:02:16.270,0.240,-1.791,-2.774,-0.899
1572642136290,2019-11-01T21:02:16.290,0.260,6.399,-1.997,3.304
1572642136309,2019-11-01T21:02:16.309,0.279,12.279,-0.983,3.666
1572642136330,2019-11-01T21:02:16.330,0.300,11.719,-0.274,4.699
1572642136350,2019-11-01T21:02:16.350,0.320,13.472,-0.880,5.720
1572642136369,2019-11-01T21:02:16.369,0.339,14.364,-1.841,4.615
1572642136390,2019-11-01T21:02:16.390,0.360,10.663,-3.079,6.848
1572642136410,2019-11-01T21:02:16.410,0.380,8.697,-2.797,5.213
1572642136430,2019-11-01T21:02:16.430,0.400,8.300,0.823,2.873
1572642136450,2019-11-01T21:02:16.450,0.420,-3.438,8.319,5.549
1572642136471,2019-11-01T21:02:16.471,0.441,-21.837,10.370,9.844
1572642136490,2019-11-01T21:02:16.490,0.460,-4.657,1.029,3.281
1572642136510,2019-11-01T21:02:16.510,0.480,4.851,2.428,0.072
