epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572639265824,2019-11-01T20:14:25.824,0.000,0.022,0.132,0.993
1572639265845,2019-11-01T20:14:25.845,0.021,0.021,0.133,1.001
1572639265864,2019-11-01T20:14:25.864,0.040,0.021,0.136,0.995
1572639265884,2019-11-01T20:14:25.884,0.060,0.020,0.137,1.000
1572639265905,2019-11-01T20:14:25.905,0.081,0.021,0.140,0.998
1572639265924,2019-11-01T20:14:25.924,0.100,0.020,0.139,1.000
1572639265945,2019-11-01T20:14:25.945,0.121,0.023,0.135,0.999
1572639265965,2019-11-01T20:14:25.965,0.141,0.022,0.133,1.001
1572639265984,2019-11-01T20:14:25.984,0.160,0.020,0.132,0.997
1572639266005,2019-11-01T20:14:26.005,0.181,0.020,0.133,0.999
1572639266025,2019-11-01T20:14:26.025,0.201,0.021,0.136,1.000
1572639266044,2019-11-01T20:14:26.044,0.220,0.022,0.135,1.000
1572639266065,2019-11-01T20:14:26.065,0.241,0.022,0.133,0.998
1572639266085,2019-11-01T20:14:26.085,0.261,0.021,0.135,1.002
1572639266106,2019-11-01T20:14:26.106,0.282,0.021,0.135,1.000
1572639266125,2019-11-01T20:14:26.125,0.301,0.020,0.133,0.999
1572639266145,2019-11-01T20:14:26.145,0.321,0.024,0.132,1.000
1572639266166,2019-11-01T20:14:26.166,0.342,0.023,0.133,1.002
1572639266185,2019-11-01T20:14:26.185,0.361,0.021,0.134,0.999
1572639266205,2019-11-01T20:14:26.205,0.381,0.022,0.134,0.997
1572639266226,2019-11-01T20:14:26.226,0.402,0.020,0.131,1.001
1572639266245,2019-11-01T20:14:26.245,0.421,0.022,0.133,0.998
1572639266265,2019-11-01T20:14:26.265,0.441,0.024,0.134,1.000
1572639266286,2019-11-01T20:14:26.286,0.462,0.023,0.133,1.001
1572639266305,2019-11-01T20:14:26.305,0.481,0.021,0.131,1.001
1572639266325,2019-11-01T20:14:26.325,0.501,0.020,0.133,1.003
1572639266346,2019-11-01T20:14:26.346,0.522,0.020,0.130,1.002
1572639266366,2019-11-01T20:14:26.366,0.542,0.022,0.126,1.004
1572639266385,2019-11-01T20:14:26.385,0.561,0.020,0.128,0.998
1572639266406,2019-11-01T20:14:26.406,0.582,0.024,0.136,1.000
1572639266426,2019-11-01T20:14:26.426,0.602,0.025,0.141,1.000
1572639266446,2019-11-01T20:14:26.446,0.622,0.023,0.144,1.000
1572639266466,2019-11-01T20:14:26.466,0.642,0.027,0.139,1.004
1572639266487,2019-11-01T20:14:26.487,0.663,0.024,0.136,1.001
1572639266506,2019-11-01T20:14:26.506,0.682,0.023,0.140,0.996
1572639266526,2019-11-01T20:14:26.526,0.702,0.023,0.135,0.999
1572639266547,2019-11-01T20:14:26.547,0.723,0.023,0.133,0.999
1572639266566,2019-11-01T20:14:26.566,0.742,0.022,0.133,1.001
1572639266586,2019-11-01T20:14:26.586,0.762,0.025,0.134,0.998
1572639266607,2019-11-01T20:14:26.607,0.783,0.025,0.135,1.001
1572639266626,2019-11-01T20:14:26.626,0.802,0.020,0.137,1.001
1572639266646,2019-11-01T20:14:26.646,0.822,0.022,0.137,1.001
1572639266667,2019-11-01T20:14:26.667,0.843,0.024,0.136,1.002
1572639266687,2019-11-01T20:14:26.687,0.863,0.028,0.132,1.001
1572639266706,2019-11-01T20:14:26.706,0.882,0.028,0.132,0.999
1572639266727,2019-11-01T20:14:26.727,0.903,0.027,0.131,1.003
1572639266747,2019-11-01T20:14:26.747,0.923,0.025,0.133,1.002
1572639266766,2019-11-01T20:14:26.766,0.942,0.021,0.133,1.000
1572639266787,2019-11-01T20:14:26.787,0.963,0.022,0.130,1.000
1572639266807,2019-11-01T20:14:26.807,0.983,0.024,0.130,1.004
1572639266826,2019-11-01T20:14:26.826,1.002,0.023,0.136,1.000
1572639266847,2019-11-01T20:14:26.847,1.023,0.023,0.135,0.998
1572639266867,2019-11-01T20:14:26.867,1.043,0.023,0.133,1.001
1572639266886,2019-11-01T20:14:26.886,1.062,0.025,0.132,1.003
1572639266907,2019-11-01T20:14:26.907,1.083,0.025,0.132,1.001
1572639266927,2019-11-01T20:14:26.927,1.103,0.023,0.135,0.999
1572639266948,2019-11-01T20:14:26.948,1.124,0.022,0.132,1.001
1572639266967,2019-11-01T20:14:26.967,1.143,0.022,0.128,1.002
1572639266987,2019-11-01T20:14:26.987,1.163,0.022,0.130,1.001
1572639267008,2019-11-01T20:14:27.008,1.184,0.024,0.134,0.999
1572639267027,2019-11-01T20:14:27.027,1.203,0.023,0.133,1.000
1572639267048,2019-11-01T20:14:27.048,1.224,0.023,0.130,1.002
1572639267068,2019-11-01T20:14:27.068,1.244,0.023,0.130,1.001
1572639267087,2019-11-01T20:14:27.087,1.263,0.023,0.132,0.999
1572639267108,2019-11-01T20:14:27.108,1.284,0.022,0.137,0.997
1572639267128,2019-11-01T20:14:27.128,1.304,0.026,0.137,1.002
1572639267147,2019-11-01T20:14:27.147,1.323,0.028,0.135,1.001
1572639267168,2019-11-01T20:14:27.168,1.344,0.026,0.134,1.000
1572639267188,2019-11-01T20:14:27.188,1.364,0.023,0.136,0.999
1572639267207,2019-11-01T20:14:27.207,1.383,0.024,0.135,0.998
1572639267228,2019-11-01T20:14:27.228,1.404,0.027,0.134,1.003
1572639267248,2019-11-01T20:14:27.248,1.424,0.026,0.132,1.001
1572639267269,2019-11-01T20:14:27.269,1.445,0.025,0.133,1.002
1572639267288,2019-11-01T20:14:27.288,1.464,0.022,0.136,0.999
1572639267308,2019-11-01T20:14:27.308,1.484,0.021,0.135,1.001
1572639267329,2019-11-01T20:14:27.329,1.505,0.021,0.137,1.001
1572639267348,2019-11-01T20:14:27.348,1.524,0.022,0.138,1.001
1572639267368,2019-11-01T20:14:27.368,1.544,0.025,0.132,1.004
1572639267389,2019-11-01T20:14:27.389,1.565,0.024,0.131,1.004
1572639267408,2019-11-01T20:14:27.408,1.584,0.026,0.135,1.000
1572639267428,2019-11-01T20:14:27.428,1.604,0.024,0.138,0.996
1572639267449,2019-11-01T20:14:27.449,1.625,0.022,0.137,0.998
1572639267468,2019-11-01T20:14:27.468,1.644,0.022,0.135,1.001
