epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572639265704,2019-11-01T20:14:25.704,0.000,-1.627,-0.526,0.255
1572639265723,2019-11-01T20:14:25.723,0.019,-1.471,0.050,0.274
1572639265744,2019-11-01T20:14:25.744,0.040,-1.856,0.038,-0.511
1572639265764,2019-11-01T20:14:25.764,0.060,-1.204,0.034,-0.518
1572639265783,2019-11-01T20:14:25.783,0.079,-1.258,0.217,-0.636
1572639265804,2019-11-01T20:14:25.804,0.100,-1.482,0.301,-0.793
1572639265824,2019-11-01T20:14:25.824,0.120,-0.473,0.457,-0.918
1572639265845,2019-11-01T20:14:25.845,0.141,-0.313,0.518,-0.686
1572639265864,2019-11-01T20:14:25.864,0.160,-0.602,0.252,-0.373
1572639265884,2019-11-01T20:14:25.884,0.180,-1.482,0.156,-0.370
1572639265905,2019-11-01T20:14:25.905,0.201,-1.265,0.103,-0.370
1572639265924,2019-11-01T20:14:25.924,0.220,-1.075,-0.084,-0.427
1572639265945,2019-11-01T20:14:25.945,0.241,-0.755,-0.377,-0.358
1572639265965,2019-11-01T20:14:25.965,0.261,-0.796,-0.122,-0.511
1572639265984,2019-11-01T20:14:25.984,0.280,-1.239,0.305,-0.659
1572639266005,2019-11-01T20:14:26.005,0.301,-1.402,0.469,-0.694
1572639266025,2019-11-01T20:14:26.025,0.321,-0.694,0.133,-0.492
1572639266044,2019-11-01T20:14:26.044,0.340,-0.240,0.004,-0.328
1572639266065,2019-11-01T20:14:26.065,0.361,-0.194,-0.103,-0.278
1572639266085,2019-11-01T20:14:26.085,0.381,-0.450,-0.034,-0.343
1572639266106,2019-11-01T20:14:26.106,0.402,-0.553,-0.126,-0.457
1572639266125,2019-11-01T20:14:26.125,0.421,-0.332,-0.164,-0.495
1572639266145,2019-11-01T20:14:26.145,0.441,-0.953,-0.217,-0.484
1572639266166,2019-11-01T20:14:26.166,0.462,-0.930,-0.244,-0.419
1572639266185,2019-11-01T20:14:26.185,0.481,-0.732,-0.259,-0.248
1572639266205,2019-11-01T20:14:26.205,0.501,-0.343,-0.252,-0.252
1572639266226,2019-11-01T20:14:26.226,0.522,-0.507,-0.187,-0.396
1572639266245,2019-11-01T20:14:26.245,0.541,-0.655,-0.198,-0.438
1572639266265,2019-11-01T20:14:26.265,0.561,-0.591,-0.171,-0.476
1572639266286,2019-11-01T20:14:26.286,0.582,-0.095,-0.252,-0.526
1572639266305,2019-11-01T20:14:26.305,0.601,0.271,-0.164,-0.290
1572639266325,2019-11-01T20:14:26.325,0.621,0.324,-0.156,-0.065
1572639266346,2019-11-01T20:14:26.346,0.642,0.728,-0.282,-0.034
1572639266366,2019-11-01T20:14:26.366,0.662,1.658,-0.351,-0.164
1572639266385,2019-11-01T20:14:26.385,0.681,2.519,-0.263,-0.213
1572639266406,2019-11-01T20:14:26.406,0.702,2.431,-0.442,-0.454
1572639266426,2019-11-01T20:14:26.426,0.722,0.987,-0.457,-0.438
1572639266446,2019-11-01T20:14:26.446,0.742,-0.305,-0.556,-0.473
1572639266466,2019-11-01T20:14:26.466,0.762,-1.280,-0.469,-0.438
1572639266487,2019-11-01T20:14:26.487,0.783,-1.189,-0.259,-0.004
1572639266506,2019-11-01T20:14:26.506,0.802,-0.766,0.004,0.126
1572639266526,2019-11-01T20:14:26.526,0.822,-0.648,0.225,-0.141
1572639266547,2019-11-01T20:14:26.547,0.843,-1.101,0.232,-0.316
1572639266566,2019-11-01T20:14:26.566,0.862,-1.521,0.248,-0.415
1572639266586,2019-11-01T20:14:26.586,0.882,-1.406,-0.011,-0.457
1572639266607,2019-11-01T20:14:26.607,0.903,-0.747,-0.053,-0.484
1572639266626,2019-11-01T20:14:26.626,0.922,0.404,-0.328,-0.427
1572639266646,2019-11-01T20:14:26.646,0.942,-0.194,-0.473,-0.274
1572639266667,2019-11-01T20:14:26.667,0.963,-0.938,-0.553,-0.152
1572639266687,2019-11-01T20:14:26.687,0.983,-0.880,-0.678,-0.004
1572639266706,2019-11-01T20:14:26.706,1.002,-1.208,-0.232,-0.183
1572639266727,2019-11-01T20:14:26.727,1.023,-1.715,0.225,-0.415
1572639266747,2019-11-01T20:14:26.747,1.043,-1.059,0.549,-0.587
1572639266766,2019-11-01T20:14:26.766,1.062,0.088,0.591,-0.602
1572639266787,2019-11-01T20:14:26.787,1.083,0.377,0.427,-0.480
1572639266807,2019-11-01T20:14:26.807,1.103,-0.324,0.217,-0.316
1572639266826,2019-11-01T20:14:26.826,1.122,-0.290,-0.103,-0.320
1572639266847,2019-11-01T20:14:26.847,1.143,-0.652,-0.267,-0.290
1572639266867,2019-11-01T20:14:26.867,1.163,-0.629,-0.248,-0.252
