epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572642778650,2019-11-01T21:12:58.650,0.000,2.012,-1.764,-4.527
1572642778669,2019-11-01T21:12:58.669,0.019,2.755,-2.222,-4.653
1572642778690,2019-11-01T21:12:58.690,0.040,6.509,-2.873,-7.919
1572642778710,2019-11-01T21:12:58.710,0.060,6.193,-3.075,-7.809
1572642778729,2019-11-01T21:12:58.729,0.079,0.511,-1.029,-3.022
1572642778750,2019-11-01T21:12:58.750,0.100,-1.315,0.339,0.412
1572642778770,2019-11-01T21:12:58.770,0.120,-0.991,0.541,1.463
1572642778791,2019-11-01T21:12:58.791,0.141,-0.934,0.252,1.738
1572642778810,2019-11-01T21:12:58.810,0.160,-0.861,-0.431,1.231
1572642778830,2019-11-01T21:12:58.830,0.180,-1.928,-1.452,1.059
1572642778851,2019-11-01T21:12:58.851,0.201,-1.079,-3.030,0.896
1572642778870,2019-11-01T21:12:58.870,0.220,0.728,-3.773,0.934
1572642778890,2019-11-01T21:12:58.890,0.240,-1.608,-3.140,1.787
1572642778911,2019-11-01T21:12:58.911,0.261,-4.615,-1.482,2.938
1572642778930,2019-11-01T21:12:58.930,0.280,-4.257,-1.364,3.613
1572642778950,2019-11-01T21:12:58.950,0.300,-3.026,-1.883,3.114
1572642778971,2019-11-01T21:12:58.971,0.321,-3.666,-1.822,3.430
1572642778991,2019-11-01T21:12:58.991,0.341,-3.723,-0.896,3.655
1572642779010,2019-11-01T21:12:59.010,0.360,-4.245,1.197,3.331
1572642779031,2019-11-01T21:12:59.031,0.381,-4.573,2.736,3.205
1572642779052,2019-11-01T21:12:59.052,0.402,-4.329,3.274,2.462
1572642779071,2019-11-01T21:12:59.071,0.421,-4.070,3.075,2.835
1572642779091,2019-11-01T21:12:59.091,0.441,-3.380,2.092,4.200
1572642779112,2019-11-01T21:12:59.112,0.462,-1.197,1.627,2.317
1572642779131,2019-11-01T21:12:59.131,0.481,0.492,2.321,-0.457
1572642779151,2019-11-01T21:12:59.151,0.501,1.757,4.226,-2.729
1572642779172,2019-11-01T21:12:59.172,0.522,0.553,5.152,-3.327
1572642779191,2019-11-01T21:12:59.191,0.541,3.030,2.912,-3.190
1572642779211,2019-11-01T21:12:59.211,0.561,4.112,1.425,-1.959
1572642779232,2019-11-01T21:12:59.232,0.582,3.457,1.067,-1.216
1572642779252,2019-11-01T21:12:59.252,0.602,2.736,1.204,-1.574
1572642779271,2019-11-01T21:12:59.271,0.621,3.312,0.556,-2.203
