epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572644925076,2019-11-01T21:48:45.076,0.000,0.457,-2.957,-0.823
1572644925095,2019-11-01T21:48:45.095,0.019,0.122,-3.293,-1.463
1572644925115,2019-11-01T21:48:45.115,0.039,0.122,-4.665,-1.067
1572644925136,2019-11-01T21:48:45.136,0.060,-0.335,-5.335,-1.098
1572644925155,2019-11-01T21:48:45.155,0.079,-0.671,-4.482,-1.067
1572644925175,2019-11-01T21:48:45.175,0.099,-1.402,-4.970,-0.671
1572644925194,2019-11-01T21:48:45.194,0.118,-2.896,-5.366,-0.427
1572644925215,2019-11-01T21:48:45.215,0.139,-4.146,-3.201,-1.067
1572644925234,2019-11-01T21:48:45.234,0.158,-4.512,-1.677,-1.860
1572644925254,2019-11-01T21:48:45.254,0.178,-4.207,-2.104,-1.921
1572644925275,2019-11-01T21:48:45.275,0.199,-3.476,-1.189,-1.646
1572644925294,2019-11-01T21:48:45.294,0.218,-2.073,0.579,-1.128
1572644925314,2019-11-01T21:48:45.314,0.238,-1.189,0.701,-0.335
1572644925333,2019-11-01T21:48:45.333,0.257,-1.555,1.159,0.030
1572644925354,2019-11-01T21:48:45.354,0.278,-2.256,2.805,-0.549
1572644925373,2019-11-01T21:48:45.373,0.297,-2.073,4.024,-1.616
1572644925394,2019-11-01T21:48:45.394,0.318,-1.159,3.628,-2.165
1572644925414,2019-11-01T21:48:45.414,0.338,0.305,1.951,-2.195
1572644925433,2019-11-01T21:48:45.433,0.357,1.768,0.793,-2.012
1572644925454,2019-11-01T21:48:45.454,0.378,2.835,1.463,-1.616
1572644925473,2019-11-01T21:48:45.473,0.397,3.354,2.012,-1.037
1572644925493,2019-11-01T21:48:45.493,0.417,3.689,1.799,-0.640
1572644925512,2019-11-01T21:48:45.512,0.436,4.421,1.799,-0.488
1572644925533,2019-11-01T21:48:45.533,0.457,4.878,2.012,-0.457
1572644925553,2019-11-01T21:48:45.553,0.477,4.939,1.006,-0.579
1572644925572,2019-11-01T21:48:45.572,0.496,4.756,-0.122,-1.037
1572644925593,2019-11-01T21:48:45.593,0.517,4.451,0.305,-1.006
1572644925612,2019-11-01T21:48:45.612,0.536,4.299,1.067,-0.640
1572644925632,2019-11-01T21:48:45.632,0.556,4.024,1.616,-0.183
1572644925651,2019-11-01T21:48:45.651,0.575,3.384,2.134,-0.091
1572644925672,2019-11-01T21:48:45.672,0.596,2.805,1.707,-0.335
1572644925691,2019-11-01T21:48:45.691,0.615,2.287,0.579,-0.549
1572644925711,2019-11-01T21:48:45.711,0.635,1.524,-0.061,-0.671
1572644925732,2019-11-01T21:48:45.732,0.656,0.945,-0.671,-0.793
1572644925751,2019-11-01T21:48:45.751,0.675,0.244,-1.189,-0.793
1572644925771,2019-11-01T21:48:45.771,0.695,-0.915,-1.311,-0.396
1572644925791,2019-11-01T21:48:45.791,0.715,-1.738,-1.372,-0.335
1572644925811,2019-11-01T21:48:45.811,0.735,-1.921,-1.433,-0.640
1572644925830,2019-11-01T21:48:45.830,0.754,-2.104,-1.463,-0.671
1572644925851,2019-11-01T21:48:45.851,0.775,-2.500,-0.945,-0.549
1572644925871,2019-11-01T21:48:45.871,0.795,-2.378,-1.341,-0.244
1572644925890,2019-11-01T21:48:45.890,0.814,-1.951,-2.378,0.000
1572644925911,2019-11-01T21:48:45.911,0.835,-1.799,-2.470,-0.091
1572644925930,2019-11-01T21:48:45.930,0.854,-2.287,-1.921,-0.335
1572644925950,2019-11-01T21:48:45.950,0.874,-2.622,-2.439,-0.396
1572644925969,2019-11-01T21:48:45.969,0.893,-2.256,-3.841,-0.488
1572644925990,2019-11-01T21:48:45.990,0.914,-1.677,-4.329,-0.488
1572644926010,2019-11-01T21:48:46.010,0.934,-1.433,-3.201,-0.335
1572644926029,2019-11-01T21:48:46.029,0.953,-1.341,-2.530,-0.244
1572644926050,2019-11-01T21:48:46.050,0.974,-1.189,-2.378,-0.640
1572644926069,2019-11-01T21:48:46.069,0.993,-0.854,-0.884,-1.159
1572644926089,2019-11-01T21:48:46.089,1.013,-0.701,1.982,-1.707
1572644926108,2019-11-01T21:48:46.108,1.032,-0.213,4.055,-2.287
1572644926129,2019-11-01T21:48:46.129,1.053,0.579,3.049,-2.622
1572644926149,2019-11-01T21:48:46.149,1.073,1.128,1.799,-3.079
1572644926168,2019-11-01T21:48:46.168,1.092,0.274,7.683,-4.024
1572644926189,2019-11-01T21:48:46.189,1.113,-2.866,23.689,-4.970
1572644926208,2019-11-01T21:48:46.208,1.132,-7.165,38.018,-5.000
1572644926229,2019-11-01T21:48:46.229,1.153,-12.591,38.140,-3.780
1572644926248,2019-11-01T21:48:46.248,1.172,-16.433,40.854,0.762
1572644926268,2019-11-01T21:48:46.268,1.192,-10.061,37.165,6.646
1572644926287,2019-11-01T21:48:46.287,1.211,-0.244,14.451,8.293
1572644926308,2019-11-01T21:48:46.308,1.232,1.372,19.695,4.634
1572644926328,2019-11-01T21:48:46.328,1.252,-8.232,28.720,0.427
1572644926347,2019-11-01T21:48:46.347,1.271,-24.390,13.567,-0.091
1572644926368,2019-11-01T21:48:46.368,1.292,-36.646,-9.055,1.829
1572644926387,2019-11-01T21:48:46.387,1.311,-32.744,4.634,2.409
1572644926407,2019-11-01T21:48:46.407,1.331,-19.848,33.262,-1.159
1572644926426,2019-11-01T21:48:46.426,1.350,-10.640,35.701,-4.817
1572644926447,2019-11-01T21:48:46.447,1.371,-8.171,25.122,-3.689
1572644926467,2019-11-01T21:48:46.467,1.391,-10.366,36.890,-0.671
1572644926486,2019-11-01T21:48:46.486,1.410,-13.537,65.183,-0.152
1572644926507,2019-11-01T21:48:46.507,1.431,-14.695,75.000,-0.579
1572644926526,2019-11-01T21:48:46.526,1.450,-13.018,37.927,1.494
1572644926546,2019-11-01T21:48:46.546,1.470,-10.488,-3.079,-0.213
1572644926565,2019-11-01T21:48:46.565,1.489,-8.689,7.622,-9.543
1572644926586,2019-11-01T21:48:46.586,1.510,-5.945,37.500,-13.262
1572644926606,2019-11-01T21:48:46.606,1.530,-6.951,20.518,-5.488
1572644926625,2019-11-01T21:48:46.625,1.549,-11.433,-25.274,-0.762
1572644926646,2019-11-01T21:48:46.646,1.570,-14.604,-29.817,-8.140
1572644926665,2019-11-01T21:48:46.665,1.589,-10.213,15.457,-15.854
1572644926686,2019-11-01T21:48:46.686,1.610,-4.207,55.122,-12.073
1572644926705,2019-11-01T21:48:46.705,1.629,-2.530,44.756,-2.805
