epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572644628391,2019-11-01T21:43:48.391,0.000,0.081,-0.082,-1.038
1572644628411,2019-11-01T21:43:48.411,0.020,0.066,-0.075,-1.050
1572644628432,2019-11-01T21:43:48.432,0.041,0.063,-0.073,-1.052
1572644628451,2019-11-01T21:43:48.451,0.060,0.073,-0.078,-1.052
1572644628471,2019-11-01T21:43:48.471,0.080,0.076,-0.082,-1.040
1572644628490,2019-11-01T21:43:48.490,0.099,0.077,-0.081,-1.036
1572644628511,2019-11-01T21:43:48.511,0.120,0.084,-0.080,-1.041
1572644628530,2019-11-01T21:43:48.530,0.139,0.086,-0.084,-1.038
1572644628550,2019-11-01T21:43:48.550,0.159,0.080,-0.086,-1.032
1572644628569,2019-11-01T21:43:48.569,0.178,0.083,-0.093,-1.039
1572644628590,2019-11-01T21:43:48.590,0.199,0.088,-0.095,-1.038
1572644628610,2019-11-01T21:43:48.610,0.219,0.085,-0.091,-1.031
1572644628629,2019-11-01T21:43:48.629,0.238,0.089,-0.089,-1.038
1572644628650,2019-11-01T21:43:48.650,0.259,0.086,-0.096,-1.050
1572644628669,2019-11-01T21:43:48.669,0.278,0.082,-0.099,-1.048
1572644628689,2019-11-01T21:43:48.689,0.298,0.081,-0.096,-1.048
1572644628708,2019-11-01T21:43:48.708,0.317,0.084,-0.095,-1.062
1572644628729,2019-11-01T21:43:48.729,0.338,0.086,-0.099,-1.063
1572644628749,2019-11-01T21:43:48.749,0.358,0.083,-0.101,-1.059
1572644628768,2019-11-01T21:43:48.768,0.377,0.081,-0.102,-1.057
1572644628789,2019-11-01T21:43:48.789,0.398,0.079,-0.104,-1.054
1572644628808,2019-11-01T21:43:48.808,0.417,0.085,-0.104,-1.058
1572644628829,2019-11-01T21:43:48.829,0.438,0.089,-0.099,-1.060
1572644628848,2019-11-01T21:43:48.848,0.457,0.083,-0.100,-1.062
1572644628868,2019-11-01T21:43:48.868,0.477,0.077,-0.103,-1.057
1572644628889,2019-11-01T21:43:48.889,0.498,0.073,-0.101,-1.053
1572644628908,2019-11-01T21:43:48.908,0.517,0.076,-0.101,-1.062
1572644628928,2019-11-01T21:43:48.928,0.537,0.074,-0.097,-1.061
1572644628947,2019-11-01T21:43:48.947,0.556,0.078,-0.094,-1.059
1572644628968,2019-11-01T21:43:48.968,0.577,0.081,-0.091,-1.060
1572644628987,2019-11-01T21:43:48.987,0.596,0.080,-0.090,-1.057
1572644629007,2019-11-01T21:43:49.007,0.616,0.071,-0.094,-1.062
1572644629028,2019-11-01T21:43:49.028,0.637,0.066,-0.090,-1.053
1572644629047,2019-11-01T21:43:49.047,0.656,0.072,-0.092,-1.048
1572644629067,2019-11-01T21:43:49.067,0.676,0.075,-0.093,-1.043
1572644629086,2019-11-01T21:43:49.086,0.695,0.076,-0.086,-1.033
1572644629107,2019-11-01T21:43:49.107,0.716,0.075,-0.089,-1.033
1572644629126,2019-11-01T21:43:49.126,0.735,0.067,-0.088,-1.030
1572644629146,2019-11-01T21:43:49.146,0.755,0.063,-0.093,-1.029
1572644629167,2019-11-01T21:43:49.167,0.776,0.055,-0.099,-1.031
1572644629186,2019-11-01T21:43:49.186,0.795,0.057,-0.105,-1.032
1572644629206,2019-11-01T21:43:49.206,0.815,0.058,-0.108,-1.041
1572644629225,2019-11-01T21:43:49.225,0.834,0.054,-0.104,-1.042
1572644629246,2019-11-01T21:43:49.246,0.855,0.053,-0.102,-1.040
1572644629265,2019-11-01T21:43:49.265,0.874,0.055,-0.106,-1.044
1572644629286,2019-11-01T21:43:49.286,0.895,0.055,-0.106,-1.041
1572644629305,2019-11-01T21:43:49.305,0.914,0.066,-0.107,-1.042
1572644629325,2019-11-01T21:43:49.325,0.934,0.079,-0.109,-1.049
1572644629346,2019-11-01T21:43:49.346,0.955,0.078,-0.113,-1.058
1572644629365,2019-11-01T21:43:49.365,0.974,0.069,-0.114,-1.054
1572644629385,2019-11-01T21:43:49.385,0.994,0.069,-0.113,-1.056
1572644629404,2019-11-01T21:43:49.404,1.013,0.072,-0.108,-1.064
1572644629425,2019-11-01T21:43:49.425,1.034,0.069,-0.105,-1.060
1572644629444,2019-11-01T21:43:49.444,1.053,0.060,-0.102,-1.059
1572644629464,2019-11-01T21:43:49.464,1.073,0.064,-0.103,-1.063
1572644629485,2019-11-01T21:43:49.485,1.094,0.068,-0.107,-1.058
1572644629504,2019-11-01T21:43:49.504,1.113,0.069,-0.108,-1.052
1572644629524,2019-11-01T21:43:49.524,1.133,0.073,-0.111,-1.053
1572644629543,2019-11-01T21:43:49.543,1.152,0.076,-0.111,-1.052
1572644629564,2019-11-01T21:43:49.564,1.173,0.076,-0.106,-1.047
1572644629583,2019-11-01T21:43:49.583,1.192,0.071,-0.105,-1.049
1572644629603,2019-11-01T21:43:49.603,1.212,0.063,-0.105,-1.046
1572644629624,2019-11-01T21:43:49.624,1.233,0.060,-0.104,-1.043
1572644629643,2019-11-01T21:43:49.643,1.252,0.059,-0.107,-1.046
1572644629663,2019-11-01T21:43:49.663,1.272,0.061,-0.105,-1.038
