epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1571830283133,2019-10-23T12.31.23.133 pm,0.000,0.013,-0.060,0.996
1571830283144,2019-10-23T12.31.23.144 pm,0.011,0.012,-0.063,1.007
1571830283154,2019-10-23T12.31.23.154 pm,0.021,0.015,-0.066,1.009
1571830283164,2019-10-23T12.31.23.164 pm,0.031,0.017,-0.067,1.007
1571830283173,2019-10-23T12.31.23.173 pm,0.040,0.015,-0.066,1.003
1571830283183,2019-10-23T12.31.23.183 pm,0.050,0.011,-0.064,1.001
1571830283193,2019-10-23T12.31.23.193 pm,0.060,0.015,-0.062,1.005
1571830283204,2019-10-23T12.31.23.204 pm,0.071,0.012,-0.062,1.004
1571830283214,2019-10-23T12.31.23.214 pm,0.081,0.012,-0.061,1.003
1571830283224,2019-10-23T12.31.23.224 pm,0.091,0.012,-0.063,1.005
1571830283234,2019-10-23T12.31.23.234 pm,0.101,0.013,-0.064,1.005
1571830283243,2019-10-23T12.31.23.243 pm,0.110,0.013,-0.062,1.006
1571830283253,2019-10-23T12.31.23.253 pm,0.120,0.013,-0.064,1.004
1571830283264,2019-10-23T12.31.23.264 pm,0.131,0.014,-0.066,1.005
1571830283274,2019-10-23T12.31.23.274 pm,0.141,0.013,-0.066,1.005
1571830283284,2019-10-23T12.31.23.284 pm,0.151,0.015,-0.067,1.005
1571830283294,2019-10-23T12.31.23.294 pm,0.161,0.013,-0.066,1.005
1571830283305,2019-10-23T12.31.23.305 pm,0.172,0.012,-0.066,1.003
1571830283314,2019-10-23T12.31.23.314 pm,0.181,0.013,-0.064,1.003
1571830283324,2019-10-23T12.31.23.324 pm,0.191,0.015,-0.063,1.004
1571830283334,2019-10-23T12.31.23.334 pm,0.201,0.015,-0.064,1.004
1571830283344,2019-10-23T12.31.23.344 pm,0.211,0.014,-0.065,1.007
1571830283355,2019-10-23T12.31.23.355 pm,0.222,0.012,-0.064,1.003
1571830283365,2019-10-23T12.31.23.365 pm,0.232,0.013,-0.063,1.004
1571830283375,2019-10-23T12.31.23.375 pm,0.242,0.013,-0.062,1.003
