epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1571830279013,2019-10-23T12.31.19.013 pm,0.000,0.244,0.427,0.000
1571830279023,2019-10-23T12.31.19.023 pm,0.010,0.122,0.244,0.183
1571830279032,2019-10-23T12.31.19.032 pm,0.019,0.183,0.305,0.244
1571830279042,2019-10-23T12.31.19.042 pm,0.029,0.305,0.183,0.183
1571830279052,2019-10-23T12.31.19.052 pm,0.039,0.366,0.122,0.244
1571830279062,2019-10-23T12.31.19.062 pm,0.049,0.366,0.183,0.061
1571830279073,2019-10-23T12.31.19.073 pm,0.060,0.305,0.305,0.183
1571830279083,2019-10-23T12.31.19.083 pm,0.070,0.122,0.183,0.305
1571830279093,2019-10-23T12.31.19.093 pm,0.080,0.244,0.061,0.244
1571830279103,2019-10-23T12.31.19.103 pm,0.090,0.183,0.305,0.183
1571830279112,2019-10-23T12.31.19.112 pm,0.099,0.122,0.366,0.244
1571830279122,2019-10-23T12.31.19.122 pm,0.109,0.183,0.244,0.305
1571830279133,2019-10-23T12.31.19.133 pm,0.120,0.061,0.183,0.183
1571830279143,2019-10-23T12.31.19.143 pm,0.130,0.305,0.183,0.122
1571830279153,2019-10-23T12.31.19.153 pm,0.140,0.366,0.183,0.305
1571830279164,2019-10-23T12.31.19.164 pm,0.151,0.427,0.122,0.305
1571830279174,2019-10-23T12.31.19.174 pm,0.161,0.305,0.122,0.183
1571830279184,2019-10-23T12.31.19.184 pm,0.171,0.305,0.183,0.183
1571830279194,2019-10-23T12.31.19.194 pm,0.181,0.122,0.244,0.183
1571830279203,2019-10-23T12.31.19.203 pm,0.190,0.061,0.366,0.183
1571830279213,2019-10-23T12.31.19.213 pm,0.200,0.183,0.244,0.183
1571830279224,2019-10-23T12.31.19.224 pm,0.211,0.183,0.244,0.122
1571830279234,2019-10-23T12.31.19.234 pm,0.221,0.183,0.305,0.183
1571830279244,2019-10-23T12.31.19.244 pm,0.231,0.244,0.244,0.183
1571830279254,2019-10-23T12.31.19.254 pm,0.241,0.244,0.183,0.183
1571830279265,2019-10-23T12.31.19.265 pm,0.252,0.244,0.122,0.183
1571830279275,2019-10-23T12.31.19.275 pm,0.262,0.244,0.122,0.244
1571830279284,2019-10-23T12.31.19.284 pm,0.271,0.305,0.122,0.183
1571830279294,2019-10-23T12.31.19.294 pm,0.281,0.366,0.183,0.244
1571830279304,2019-10-23T12.31.19.304 pm,0.291,0.183,0.366,0.183
1571830279314,2019-10-23T12.31.19.314 pm,0.301,0.122,0.305,0.244
1571830279325,2019-10-23T12.31.19.325 pm,0.312,0.305,0.305,0.244
1571830279335,2019-10-23T12.31.19.335 pm,0.322,0.244,0.244,0.305
1571830279345,2019-10-23T12.31.19.345 pm,0.332,0.183,0.305,0.183
1571830279355,2019-10-23T12.31.19.355 pm,0.342,0.244,0.244,0.244
1571830279364,2019-10-23T12.31.19.364 pm,0.351,0.305,0.183,0.183
1571830279374,2019-10-23T12.31.19.374 pm,0.361,0.366,0.244,0.244
1571830279385,2019-10-23T12.31.19.385 pm,0.372,0.427,0.122,0.244
1571830279395,2019-10-23T12.31.19.395 pm,0.382,0.305,0.061,0.244
1571830279405,2019-10-23T12.31.19.405 pm,0.392,0.305,0.244,0.244
1571830279415,2019-10-23T12.31.19.415 pm,0.402,0.305,0.244,0.244
1571830279426,2019-10-23T12.31.19.426 pm,0.413,0.244,0.305,0.244
