epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572007600863,2019-10-25T13:46:40.863,0.000,7.024,-3.849,-0.884
1572007600883,2019-10-25T13:46:40.883,0.020,6.936,-4.783,-0.625
1572007600902,2019-10-25T13:46:40.902,0.039,6.555,-2.908,-0.560
1572007600923,2019-10-25T13:46:40.923,0.060,5.747,-0.747,-1.254
1572007600943,2019-10-25T13:46:40.943,0.080,7.241,-1.242,-1.269
1572007600964,2019-10-25T13:46:40.964,0.101,12.256,-1.090,-0.873
1572007600983,2019-10-25T13:46:40.983,0.120,15.091,-2.470,-2.668
1572007601003,2019-10-25T13:46:41.003,0.140,7.412,-2.984,-4.276
1572007601024,2019-10-25T13:46:41.024,0.161,-2.725,-2.607,-4.550
1572007601043,2019-10-25T13:46:41.043,0.180,-6.151,1.155,-3.754
1572007601063,2019-10-25T13:46:41.063,0.200,-2.881,-2.443,-5.907
1572007601084,2019-10-25T13:46:41.084,0.221,6.300,-2.492,-4.539
1572007601103,2019-10-25T13:46:41.103,0.240,9.059,0.476,-0.766
1572007601123,2019-10-25T13:46:41.123,0.260,0.579,3.864,0.305
1572007601144,2019-10-25T13:46:41.144,0.281,-3.152,3.643,-0.755
1572007601164,2019-10-25T13:46:41.164,0.301,2.851,0.861,-2.588
1572007601183,2019-10-25T13:46:41.183,0.320,8.243,-1.738,-4.463
1572007601204,2019-10-25T13:46:41.204,0.341,7.416,1.441,-3.994
1572007601224,2019-10-25T13:46:41.224,0.361,5.880,2.447,0.286
1572007601243,2019-10-25T13:46:41.243,0.380,0.183,3.064,1.700
1572007601264,2019-10-25T13:46:41.264,0.401,-0.297,6.730,-2.298
1572007601284,2019-10-25T13:46:41.284,0.421,9.676,5.038,-2.424
1572007601304,2019-10-25T13:46:41.304,0.441,16.631,4.680,-0.301
1572007601324,2019-10-25T13:46:41.324,0.461,13.186,8.327,-0.492
1572007601345,2019-10-25T13:46:41.345,0.482,9.257,8.929,-3.887
1572007601364,2019-10-25T13:46:41.364,0.501,14.939,9.707,-3.068
1572007601384,2019-10-25T13:46:41.384,0.521,25.549,9.783,3.072
1572007601405,2019-10-25T13:46:41.405,0.542,32.325,12.153,6.498
1572007601425,2019-10-25T13:46:41.425,0.562,29.367,9.562,4.905
1572007601444,2019-10-25T13:46:41.444,0.581,19.036,5.309,2.649
1572007601465,2019-10-25T13:46:41.465,0.602,10.347,11.856,1.757
1572007601485,2019-10-25T13:46:41.485,0.622,9.204,14.661,4.314
1572007601504,2019-10-25T13:46:41.504,0.641,14.600,6.357,4.428
1572007601525,2019-10-25T13:46:41.525,0.662,22.405,7.447,3.262
1572007601545,2019-10-25T13:46:41.545,0.682,20.892,5.922,3.441
1572007601564,2019-10-25T13:46:41.564,0.701,0.438,0.278,2.199
1572007601585,2019-10-25T13:46:41.585,0.722,-15.229,1.178,-1.928
1572007601605,2019-10-25T13:46:41.605,0.742,-8.472,1.989,-1.406
1572007601624,2019-10-25T13:46:41.624,0.761,5.728,1.582,5.164
1572007601645,2019-10-25T13:46:41.645,0.782,5.191,0.823,6.292
1572007601665,2019-10-25T13:46:41.665,0.802,-7.786,-1.311,1.543
1572007601684,2019-10-25T13:46:41.684,0.821,-14.268,0.111,0.907
1572007601705,2019-10-25T13:46:41.705,0.842,-6.143,0.762,3.617
1572007601725,2019-10-25T13:46:41.725,0.862,5.423,-2.717,4.150
1572007601746,2019-10-25T13:46:41.746,0.883,9.013,0.175,5.141
1572007601765,2019-10-25T13:46:41.765,0.902,6.303,2.492,6.265
1572007601785,2019-10-25T13:46:41.785,0.922,-1.433,0.979,5.400
1572007601806,2019-10-25T13:46:41.806,0.943,-3.201,2.980,4.116
1572007601825,2019-10-25T13:46:41.825,0.962,3.925,1.197,4.886
1572007601846,2019-10-25T13:46:41.846,0.983,12.268,-0.598,4.935
1572007601866,2019-10-25T13:46:41.866,1.003,9.848,0.042,4.436
1572007601885,2019-10-25T13:46:41.885,1.022,2.687,0.328,2.127
1572007601906,2019-10-25T13:46:41.906,1.043,-1.730,5.053,0.976
1572007601926,2019-10-25T13:46:41.926,1.063,0.069,7.168,0.991
1572007601945,2019-10-25T13:46:41.945,1.082,5.252,3.533,-0.480
1572007601966,2019-10-25T13:46:41.966,1.103,5.682,-0.259,-0.236
1572007601986,2019-10-25T13:46:41.986,1.123,-2.473,1.498,2.877
1572007602007,2019-10-25T13:46:42.007,1.144,-15.156,2.218,1.486
1572007602026,2019-10-25T13:46:42.026,1.163,-16.147,2.633,-3.255
1572007602046,2019-10-25T13:46:42.046,1.183,-6.669,-2.252,-3.445
1572007602067,2019-10-25T13:46:42.067,1.204,-3.552,-3.399,-0.434
1572007602086,2019-10-25T13:46:42.086,1.223,-2.298,1.437,2.710
1572007602106,2019-10-25T13:46:42.106,1.243,2.241,2.382,4.539
1572007602127,2019-10-25T13:46:42.127,1.264,2.873,0.191,4.177
1572007602146,2019-10-25T13:46:42.146,1.283,0.210,1.117,5.171
1572007602166,2019-10-25T13:46:42.166,1.303,1.799,2.569,6.059
1572007602187,2019-10-25T13:46:42.187,1.324,5.678,2.256,6.559
1572007602206,2019-10-25T13:46:42.206,1.343,8.354,1.818,8.487
1572007602226,2019-10-25T13:46:42.226,1.363,10.774,4.886,9.592
1572007602247,2019-10-25T13:46:42.247,1.384,11.604,2.203,6.909
1572007602267,2019-10-25T13:46:42.267,1.404,3.941,-0.164,3.194
1572007602286,2019-10-25T13:46:42.286,1.423,-2.832,6.997,2.572
1572007602307,2019-10-25T13:46:42.307,1.444,1.117,6.738,3.639
1572007602327,2019-10-25T13:46:42.327,1.464,4.714,1.395,1.513
1572007602347,2019-10-25T13:46:42.347,1.484,-4.512,0.808,-0.046
1572007602367,2019-10-25T13:46:42.367,1.504,-14.981,3.929,-0.495
1572007602388,2019-10-25T13:46:42.388,1.525,-12.675,6.643,-0.960
1572007602407,2019-10-25T13:46:42.407,1.544,-3.777,6.643,0.335
1572007602427,2019-10-25T13:46:42.427,1.564,3.289,2.938,0.804
1572007602448,2019-10-25T13:46:42.448,1.585,4.649,1.806,-0.450
1572007602467,2019-10-25T13:46:42.467,1.604,-4.280,-0.076,-2.603
1572007602487,2019-10-25T13:46:42.487,1.624,-13.525,2.214,-3.887
1572007602508,2019-10-25T13:46:42.508,1.645,-9.192,4.661,-0.659
1572007602528,2019-10-25T13:46:42.528,1.665,0.480,0.309,2.241
1572007602547,2019-10-25T13:46:42.547,1.684,5.156,-2.931,-0.682
1572007602568,2019-10-25T13:46:42.568,1.705,2.900,-1.822,-2.207
1572007602588,2019-10-25T13:46:42.588,1.725,-1.864,-0.107,-0.602
1572007602607,2019-10-25T13:46:42.607,1.744,-4.787,2.210,-1.429
1572007602628,2019-10-25T13:46:42.628,1.765,0.553,-1.810,-1.803
1572007602648,2019-10-25T13:46:42.648,1.785,9.127,-3.681,-0.415
1572007602667,2019-10-25T13:46:42.667,1.804,9.977,-0.175,-2.081
1572007602688,2019-10-25T13:46:42.688,1.825,3.678,0.320,-5.084
1572007602708,2019-10-25T13:46:42.708,1.845,0.404,1.696,-5.736
1572007602727,2019-10-25T13:46:42.727,1.864,2.027,2.176,-2.389
1572007602748,2019-10-25T13:46:42.748,1.885,2.229,0.431,0.267
1572007602768,2019-10-25T13:46:42.768,1.905,-1.482,-1.418,-0.034
1572007602787,2019-10-25T13:46:42.787,1.924,-5.316,0.896,-1.021
1572007602808,2019-10-25T13:46:42.808,1.945,-4.512,-1.258,-1.155
1572007602828,2019-10-25T13:46:42.828,1.965,0.248,-2.256,-1.475
1572007602849,2019-10-25T13:46:42.849,1.986,3.377,-1.543,-0.293
1572007602868,2019-10-25T13:46:42.868,2.005,1.806,-1.654,0.655
1572007602889,2019-10-25T13:46:42.889,2.026,-1.002,-1.913,-0.133
1572007602909,2019-10-25T13:46:42.909,2.046,-1.753,-3.304,0.133
1572007602928,2019-10-25T13:46:42.928,2.065,-3.152,-2.805,1.810
1572007602949,2019-10-25T13:46:42.949,2.086,-2.542,-1.795,2.412
1572007602969,2019-10-25T13:46:42.969,2.106,1.704,-2.511,3.323
1572007602988,2019-10-25T13:46:42.988,2.125,0.736,0.686,2.938
1572007603009,2019-10-25T13:46:43.009,2.146,-1.871,2.706,-0.629
