epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572641244116,2019-11-01T20:47:24.116,0.000,0.207,0.177,-0.988
1572641244136,2019-11-01T20:47:24.136,0.020,0.226,0.185,-0.995
1572641244155,2019-11-01T20:47:24.155,0.039,0.214,0.194,-0.984
1572641244176,2019-11-01T20:47:24.176,0.060,0.188,0.197,-0.977
1572641244197,2019-11-01T20:47:24.197,0.081,0.180,0.198,-0.967
1572641244217,2019-11-01T20:47:24.217,0.101,0.196,0.197,-0.956
1572641244236,2019-11-01T20:47:24.236,0.120,0.217,0.195,-0.948
1572641244257,2019-11-01T20:47:24.257,0.141,0.229,0.196,-0.942
1572641244277,2019-11-01T20:47:24.277,0.161,0.236,0.200,-0.940
1572641244296,2019-11-01T20:47:24.296,0.180,0.241,0.209,-0.951
1572641244317,2019-11-01T20:47:24.317,0.201,0.237,0.211,-0.962
1572641244337,2019-11-01T20:47:24.337,0.221,0.237,0.217,-0.965
1572641244356,2019-11-01T20:47:24.356,0.240,0.260,0.221,-0.962
1572641244377,2019-11-01T20:47:24.377,0.261,0.266,0.214,-0.952
1572641244397,2019-11-01T20:47:24.397,0.281,0.252,0.197,-0.948
1572641244416,2019-11-01T20:47:24.416,0.300,0.247,0.188,-0.946
1572641244437,2019-11-01T20:47:24.437,0.321,0.252,0.195,-0.955
1572641244457,2019-11-01T20:47:24.457,0.341,0.244,0.208,-0.966
1572641244478,2019-11-01T20:47:24.478,0.362,0.223,0.211,-0.978
1572641244497,2019-11-01T20:47:24.497,0.381,0.212,0.213,-0.977
1572641244517,2019-11-01T20:47:24.517,0.401,0.221,0.202,-0.968
1572641244538,2019-11-01T20:47:24.538,0.422,0.227,0.202,-0.963
1572641244557,2019-11-01T20:47:24.557,0.441,0.212,0.214,-0.968
1572641244577,2019-11-01T20:47:24.577,0.461,0.190,0.220,-0.978
1572641244598,2019-11-01T20:47:24.598,0.482,0.191,0.216,-0.986
1572641244617,2019-11-01T20:47:24.617,0.501,0.215,0.217,-0.982
1572641244637,2019-11-01T20:47:24.637,0.521,0.233,0.217,-0.966
1572641244658,2019-11-01T20:47:24.658,0.542,0.223,0.208,-0.954
1572641244677,2019-11-01T20:47:24.677,0.561,0.202,0.202,-0.948
1572641244697,2019-11-01T20:47:24.697,0.581,0.191,0.199,-0.940
1572641244718,2019-11-01T20:47:24.718,0.602,0.193,0.191,-0.934
1572641244739,2019-11-01T20:47:24.739,0.623,0.196,0.190,-0.934
1572641244758,2019-11-01T20:47:24.758,0.642,0.190,0.187,-0.941
1572641244778,2019-11-01T20:47:24.778,0.662,0.189,0.189,-0.949
1572641244799,2019-11-01T20:47:24.799,0.683,0.190,0.191,-0.960
1572641244818,2019-11-01T20:47:24.818,0.702,0.199,0.198,-0.970
1572641244838,2019-11-01T20:47:24.838,0.722,0.211,0.210,-0.983
1572641244859,2019-11-01T20:47:24.859,0.743,0.222,0.210,-0.995
1572641244878,2019-11-01T20:47:24.878,0.762,0.236,0.213,-0.992
1572641244898,2019-11-01T20:47:24.898,0.782,0.240,0.216,-0.984
1572641244919,2019-11-01T20:47:24.919,0.803,0.246,0.222,-0.979
1572641244938,2019-11-01T20:47:24.938,0.822,0.248,0.228,-0.981
1572641244958,2019-11-01T20:47:24.958,0.842,0.247,0.227,-0.985
1572641244979,2019-11-01T20:47:24.979,0.863,0.238,0.225,-0.981
1572641244999,2019-11-01T20:47:24.999,0.883,0.231,0.230,-0.978
1572641245018,2019-11-01T20:47:25.018,0.902,0.230,0.234,-0.974
1572641245039,2019-11-01T20:47:25.039,0.923,0.228,0.231,-0.963
1572641245059,2019-11-01T20:47:25.059,0.943,0.227,0.228,-0.957
1572641245078,2019-11-01T20:47:25.078,0.962,0.220,0.222,-0.956
1572641245099,2019-11-01T20:47:25.099,0.983,0.216,0.223,-0.958
1572641245119,2019-11-01T20:47:25.119,1.003,0.215,0.229,-0.960
1572641245138,2019-11-01T20:47:25.138,1.022,0.220,0.226,-0.956
1572641245159,2019-11-01T20:47:25.159,1.043,0.234,0.215,-0.951
1572641245179,2019-11-01T20:47:25.179,1.063,0.244,0.203,-0.947
1572641245198,2019-11-01T20:47:25.198,1.082,0.243,0.197,-0.944
1572641245219,2019-11-01T20:47:25.219,1.103,0.238,0.203,-0.948
1572641245239,2019-11-01T20:47:25.239,1.123,0.244,0.205,-0.955
1572641245260,2019-11-01T20:47:25.260,1.144,0.257,0.207,-0.959
1572641245279,2019-11-01T20:47:25.279,1.163,0.258,0.208,-0.961
1572641245300,2019-11-01T20:47:25.300,1.184,0.246,0.206,-0.969
1572641245320,2019-11-01T20:47:25.320,1.204,0.229,0.209,-0.980
1572641245339,2019-11-01T20:47:25.339,1.223,0.227,0.213,-0.984
1572641245360,2019-11-01T20:47:25.360,1.244,0.236,0.213,-0.978
1572641245380,2019-11-01T20:47:25.380,1.264,0.236,0.211,-0.972
1572641245399,2019-11-01T20:47:25.399,1.283,0.226,0.204,-0.976
1572641245420,2019-11-01T20:47:25.420,1.304,0.229,0.203,-0.977
1572641245440,2019-11-01T20:47:25.440,1.324,0.242,0.212,-0.970
1572641245459,2019-11-01T20:47:25.459,1.343,0.239,0.219,-0.968
1572641245480,2019-11-01T20:47:25.480,1.364,0.224,0.221,-0.973
1572641245500,2019-11-01T20:47:25.500,1.384,0.216,0.220,-0.972
1572641245521,2019-11-01T20:47:25.521,1.405,0.211,0.209,-0.960
1572641245540,2019-11-01T20:47:25.540,1.424,0.205,0.205,-0.944
1572641245560,2019-11-01T20:47:25.560,1.444,0.202,0.204,-0.939
1572641245581,2019-11-01T20:47:25.581,1.465,0.201,0.199,-0.940
1572641245600,2019-11-01T20:47:25.600,1.484,0.201,0.193,-0.947
1572641245620,2019-11-01T20:47:25.620,1.504,0.204,0.189,-0.953
1572641245641,2019-11-01T20:47:25.641,1.525,0.212,0.190,-0.955
1572641245660,2019-11-01T20:47:25.660,1.544,0.218,0.198,-0.955
1572641245680,2019-11-01T20:47:25.680,1.564,0.213,0.208,-0.955
1572641245701,2019-11-01T20:47:25.701,1.585,0.214,0.210,-0.951
1572641245720,2019-11-01T20:47:25.720,1.604,0.235,0.207,-0.951
1572641245740,2019-11-01T20:47:25.740,1.624,0.249,0.206,-0.954
1572641245761,2019-11-01T20:47:25.761,1.645,0.245,0.208,-0.952
1572641245781,2019-11-01T20:47:25.781,1.665,0.236,0.214,-0.952
1572641245801,2019-11-01T20:47:25.801,1.685,0.238,0.222,-0.949
1572641245821,2019-11-01T20:47:25.821,1.705,0.240,0.224,-0.949
1572641245842,2019-11-01T20:47:25.842,1.726,0.234,0.218,-0.950
1572641245861,2019-11-01T20:47:25.861,1.745,0.239,0.209,-0.950
