epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572643903269,2019-11-01T21:31:43.269,0.000,-0.270,-0.095,-1.005
1572643903288,2019-11-01T21:31:43.288,0.019,-0.277,-0.092,-1.013
1572643903309,2019-11-01T21:31:43.309,0.040,-0.272,-0.093,-1.006
1572643903329,2019-11-01T21:31:43.329,0.060,-0.268,-0.095,-1.008
1572643903348,2019-11-01T21:31:43.348,0.079,-0.266,-0.095,-1.009
1572643903369,2019-11-01T21:31:43.369,0.100,-0.264,-0.100,-1.006
1572643903388,2019-11-01T21:31:43.388,0.119,-0.263,-0.103,-1.004
1572643903408,2019-11-01T21:31:43.408,0.139,-0.258,-0.103,-1.001
1572643903427,2019-11-01T21:31:43.427,0.158,-0.257,-0.105,-1.001
1572643903448,2019-11-01T21:31:43.448,0.179,-0.260,-0.104,-1.008
1572643903468,2019-11-01T21:31:43.468,0.199,-0.268,-0.102,-1.015
1572643903487,2019-11-01T21:31:43.487,0.218,-0.273,-0.099,-1.013
1572643903508,2019-11-01T21:31:43.508,0.239,-0.270,-0.096,-1.008
1572643903527,2019-11-01T21:31:43.527,0.258,-0.265,-0.098,-1.005
1572643903547,2019-11-01T21:31:43.547,0.278,-0.262,-0.099,-1.002
1572643903566,2019-11-01T21:31:43.566,0.297,-0.267,-0.101,-1.006
1572643903587,2019-11-01T21:31:43.587,0.318,-0.271,-0.101,-1.010
1572643903607,2019-11-01T21:31:43.607,0.338,-0.270,-0.101,-1.015
1572643903626,2019-11-01T21:31:43.626,0.357,-0.262,-0.102,-1.016
1572643903647,2019-11-01T21:31:43.647,0.378,-0.260,-0.104,-1.017
1572643903666,2019-11-01T21:31:43.666,0.397,-0.263,-0.104,-1.019
1572643903686,2019-11-01T21:31:43.686,0.417,-0.260,-0.101,-1.021
1572643903706,2019-11-01T21:31:43.706,0.437,-0.255,-0.094,-1.018
1572643903726,2019-11-01T21:31:43.726,0.457,-0.255,-0.092,-1.016
1572643903745,2019-11-01T21:31:43.745,0.476,-0.254,-0.093,-1.012
1572643903766,2019-11-01T21:31:43.766,0.497,-0.257,-0.100,-1.012
1572643903786,2019-11-01T21:31:43.786,0.517,-0.258,-0.109,-1.005
1572643903805,2019-11-01T21:31:43.805,0.536,-0.254,-0.111,-1.003
1572643903826,2019-11-01T21:31:43.826,0.557,-0.250,-0.114,-1.009
1572643903845,2019-11-01T21:31:43.845,0.576,-0.249,-0.118,-1.012
1572643903865,2019-11-01T21:31:43.865,0.596,-0.257,-0.114,-1.016
1572643903884,2019-11-01T21:31:43.884,0.615,-0.263,-0.111,-1.015
1572643903905,2019-11-01T21:31:43.905,0.636,-0.268,-0.111,-1.013
1572643903925,2019-11-01T21:31:43.925,0.656,-0.268,-0.108,-1.015
1572643903944,2019-11-01T21:31:43.944,0.675,-0.273,-0.103,-1.018
1572643903965,2019-11-01T21:31:43.965,0.696,-0.275,-0.101,-1.025
1572643903984,2019-11-01T21:31:43.984,0.715,-0.275,-0.100,-1.029
1572643904004,2019-11-01T21:31:44.004,0.735,-0.264,-0.099,-1.028
1572643904023,2019-11-01T21:31:44.023,0.754,-0.258,-0.101,-1.029
1572643904044,2019-11-01T21:31:44.044,0.775,-0.257,-0.101,-1.026
1572643904064,2019-11-01T21:31:44.064,0.795,-0.260,-0.097,-1.025
1572643904083,2019-11-01T21:31:44.083,0.814,-0.260,-0.101,-1.019
1572643904104,2019-11-01T21:31:44.104,0.835,-0.252,-0.107,-1.014
1572643904123,2019-11-01T21:31:44.123,0.854,-0.249,-0.102,-1.011
1572643904144,2019-11-01T21:31:44.144,0.875,-0.252,-0.093,-1.011
1572643904163,2019-11-01T21:31:44.163,0.894,-0.259,-0.096,-1.012
1572643904183,2019-11-01T21:31:44.183,0.914,-0.267,-0.099,-1.012
1572643904204,2019-11-01T21:31:44.204,0.935,-0.269,-0.103,-1.009
1572643904223,2019-11-01T21:31:44.223,0.954,-0.269,-0.106,-1.006
1572643904243,2019-11-01T21:31:44.243,0.974,-0.265,-0.103,-1.005
1572643904262,2019-11-01T21:31:44.262,0.993,-0.262,-0.104,-1.002
1572643904283,2019-11-01T21:31:44.283,1.014,-0.262,-0.106,-0.999
1572643904302,2019-11-01T21:31:44.302,1.033,-0.263,-0.104,-1.002
1572643904322,2019-11-01T21:31:44.322,1.053,-0.268,-0.101,-1.002
1572643904341,2019-11-01T21:31:44.341,1.072,-0.267,-0.100,-1.001
1572643904362,2019-11-01T21:31:44.362,1.093,-0.266,-0.100,-1.000
1572643904382,2019-11-01T21:31:44.382,1.113,-0.263,-0.100,-0.994
1572643904401,2019-11-01T21:31:44.401,1.132,-0.262,-0.099,-0.993
1572643904422,2019-11-01T21:31:44.422,1.153,-0.262,-0.101,-0.991
1572643904441,2019-11-01T21:31:44.441,1.172,-0.267,-0.101,-0.998
1572643904461,2019-11-01T21:31:44.461,1.192,-0.273,-0.100,-1.009
1572643904480,2019-11-01T21:31:44.480,1.211,-0.278,-0.101,-1.018
1572643904501,2019-11-01T21:31:44.501,1.232,-0.285,-0.106,-1.024
1572643904521,2019-11-01T21:31:44.521,1.252,-0.289,-0.110,-1.024
1572643904540,2019-11-01T21:31:44.540,1.271,-0.283,-0.113,-1.026
1572643904561,2019-11-01T21:31:44.561,1.292,-0.271,-0.113,-1.022
1572643904580,2019-11-01T21:31:44.580,1.311,-0.268,-0.111,-1.016
1572643904601,2019-11-01T21:31:44.601,1.332,-0.271,-0.109,-1.013
1572643904620,2019-11-01T21:31:44.620,1.351,-0.274,-0.104,-1.011
1572643904640,2019-11-01T21:31:44.640,1.371,-0.274,-0.100,-1.010
1572643904661,2019-11-01T21:31:44.661,1.392,-0.270,-0.099,-1.010
1572643904680,2019-11-01T21:31:44.680,1.411,-0.267,-0.094,-1.008
1572643904700,2019-11-01T21:31:44.700,1.431,-0.264,-0.094,-1.006
1572643904719,2019-11-01T21:31:44.719,1.450,-0.262,-0.097,-1.008
1572643904740,2019-11-01T21:31:44.740,1.471,-0.261,-0.101,-1.010
1572643904759,2019-11-01T21:31:44.759,1.490,-0.256,-0.103,-1.013
1572643904779,2019-11-01T21:31:44.779,1.510,-0.260,-0.100,-1.011
1572643904798,2019-11-01T21:31:44.798,1.529,-0.266,-0.097,-1.014
1572643904819,2019-11-01T21:31:44.819,1.550,-0.271,-0.096,-1.020
1572643904839,2019-11-01T21:31:44.839,1.570,-0.273,-0.094,-1.015
1572643904858,2019-11-01T21:31:44.858,1.589,-0.268,-0.095,-1.011
1572643904879,2019-11-01T21:31:44.879,1.610,-0.264,-0.095,-1.011
1572643904898,2019-11-01T21:31:44.898,1.629,-0.266,-0.096,-1.013
1572643904918,2019-11-01T21:31:44.918,1.649,-0.268,-0.100,-1.012
1572643904937,2019-11-01T21:31:44.937,1.668,-0.265,-0.100,-1.012
1572643904958,2019-11-01T21:31:44.958,1.689,-0.261,-0.097,-1.004
1572643904978,2019-11-01T21:31:44.978,1.709,-0.258,-0.093,-0.999
1572643904998,2019-11-01T21:31:44.998,1.729,-0.265,-0.095,-1.006
1572643905018,2019-11-01T21:31:45.018,1.749,-0.273,-0.101,-1.008
1572643905037,2019-11-01T21:31:45.037,1.768,-0.272,-0.102,-1.012
1572643905058,2019-11-01T21:31:45.058,1.789,-0.265,-0.103,-1.016
1572643905077,2019-11-01T21:31:45.077,1.808,-0.262,-0.104,-1.011
1572643905097,2019-11-01T21:31:45.097,1.828,-0.263,-0.103,-1.011
1572643905118,2019-11-01T21:31:45.118,1.849,-0.265,-0.099,-1.009
1572643905137,2019-11-01T21:31:45.137,1.868,-0.273,-0.100,-1.007
1572643905157,2019-11-01T21:31:45.157,1.888,-0.266,-0.103,-1.005
1572643905176,2019-11-01T21:31:45.176,1.907,-0.260,-0.103,-1.005
1572643905197,2019-11-01T21:31:45.197,1.928,-0.261,-0.100,-1.004
1572643905216,2019-11-01T21:31:45.216,1.947,-0.261,-0.098,-1.006
1572643905236,2019-11-01T21:31:45.236,1.967,-0.268,-0.096,-1.009
1572643905257,2019-11-01T21:31:45.257,1.988,-0.269,-0.103,-1.013
1572643905276,2019-11-01T21:31:45.276,2.007,-0.266,-0.107,-1.015
1572643905296,2019-11-01T21:31:45.296,2.027,-0.262,-0.104,-1.012
1572643905315,2019-11-01T21:31:45.315,2.046,-0.261,-0.100,-1.010
1572643905336,2019-11-01T21:31:45.336,2.067,-0.264,-0.097,-1.009
1572643905355,2019-11-01T21:31:45.355,2.086,-0.270,-0.097,-1.009
1572643905375,2019-11-01T21:31:45.375,2.106,-0.270,-0.097,-1.011
1572643905394,2019-11-01T21:31:45.394,2.125,-0.267,-0.100,-1.011
