epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572644810755,2019-11-01T21:46:50.755,0.000,-1.555,-2.226,-1.799
1572644810774,2019-11-01T21:46:50.774,0.019,-1.494,-2.439,-1.341
1572644810794,2019-11-01T21:46:50.794,0.039,-1.463,-2.896,-1.799
1572644810815,2019-11-01T21:46:50.815,0.060,-1.372,-3.476,-2.012
1572644810834,2019-11-01T21:46:50.834,0.079,-1.250,-4.207,-1.890
1572644810854,2019-11-01T21:46:50.854,0.099,-1.280,-3.720,-1.738
1572644810873,2019-11-01T21:46:50.873,0.118,-1.341,-1.524,-1.585
1572644810894,2019-11-01T21:46:50.894,0.139,-1.341,-0.366,-1.890
1572644810913,2019-11-01T21:46:50.913,0.158,-1.463,-1.402,-2.744
1572644810934,2019-11-01T21:46:50.934,0.179,-1.860,-2.896,-3.232
1572644810953,2019-11-01T21:46:50.953,0.198,-1.982,-2.896,-3.110
1572644810973,2019-11-01T21:46:50.973,0.218,-1.494,-1.921,-2.713
1572644810994,2019-11-01T21:46:50.994,0.239,-1.098,-2.683,-2.256
1572644811013,2019-11-01T21:46:51.013,0.258,-1.159,-4.817,-2.165
1572644811033,2019-11-01T21:46:51.033,0.278,-1.372,-4.665,-2.043
1572644811052,2019-11-01T21:46:51.052,0.297,-1.372,-1.677,-1.921
1572644811073,2019-11-01T21:46:51.073,0.318,-0.976,0.274,-1.433
1572644811092,2019-11-01T21:46:51.092,0.337,-0.640,-1.280,-0.854
1572644811112,2019-11-01T21:46:51.112,0.357,-0.030,-3.537,-0.457
1572644811133,2019-11-01T21:46:51.133,0.378,0.457,-3.902,-0.183
1572644811152,2019-11-01T21:46:51.152,0.397,0.274,-3.140,-0.183
1572644811172,2019-11-01T21:46:51.172,0.417,-0.305,-1.433,-1.067
1572644811191,2019-11-01T21:46:51.191,0.436,-0.762,0.518,-2.226
1572644811212,2019-11-01T21:46:51.212,0.457,-1.311,0.030,-2.622
1572644811231,2019-11-01T21:46:51.231,0.476,-1.463,-1.555,-2.530
1572644811251,2019-11-01T21:46:51.251,0.496,-0.762,-2.317,-2.439
1572644811272,2019-11-01T21:46:51.272,0.517,0.030,-2.409,-2.378
1572644811291,2019-11-01T21:46:51.291,0.536,0.335,-3.354,-2.134
