epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572882014468,2019-11-04T15:40:14.468,0.000,-0.164,0.091,0.271
1572882014489,2019-11-04T15:40:14.489,0.021,0.438,0.030,-0.236
1572882014508,2019-11-04T15:40:14.508,0.040,0.320,0.248,0.198
1572882014528,2019-11-04T15:40:14.528,0.060,0.156,0.221,0.278
1572882014549,2019-11-04T15:40:14.549,0.081,0.206,0.232,0.252
1572882014569,2019-11-04T15:40:14.569,0.101,0.179,0.221,0.191
1572882014588,2019-11-04T15:40:14.588,0.120,0.206,0.240,0.221
1572882014609,2019-11-04T15:40:14.609,0.141,0.122,0.252,0.286
1572882014630,2019-11-04T15:40:14.630,0.162,0.164,0.225,0.175
1572882014650,2019-11-04T15:40:14.650,0.182,0.156,0.244,0.213
1572882014669,2019-11-04T15:40:14.669,0.201,0.194,0.175,0.252
1572882014690,2019-11-04T15:40:14.690,0.222,0.171,0.194,0.206
1572882014710,2019-11-04T15:40:14.710,0.242,0.191,0.225,0.232
1572882014731,2019-11-04T15:40:14.731,0.263,0.236,0.232,0.259
1572882014750,2019-11-04T15:40:14.750,0.282,0.194,0.206,0.221
1572882014770,2019-11-04T15:40:14.770,0.302,0.111,0.221,0.232
1572882014791,2019-11-04T15:40:14.791,0.323,0.152,0.210,0.305
1572882014811,2019-11-04T15:40:14.811,0.343,0.198,0.168,0.217
1572882014832,2019-11-04T15:40:14.832,0.364,0.152,0.217,0.171
1572882014851,2019-11-04T15:40:14.851,0.383,0.171,0.225,0.202
1572882014871,2019-11-04T15:40:14.871,0.403,0.221,0.191,0.221
1572882014892,2019-11-04T15:40:14.892,0.424,0.152,0.149,0.244
1572882014912,2019-11-04T15:40:14.912,0.444,0.149,0.171,0.252
1572882014931,2019-11-04T15:40:14.931,0.463,0.187,0.217,0.198
1572882014952,2019-11-04T15:40:14.952,0.484,0.229,0.202,0.252
1572882014972,2019-11-04T15:40:14.972,0.504,0.152,0.191,0.191
1572882014993,2019-11-04T15:40:14.993,0.525,0.191,0.168,0.202
1572882015012,2019-11-04T15:40:15.012,0.544,0.141,0.194,0.225
1572882015032,2019-11-04T15:40:15.032,0.564,0.225,0.229,0.221
1572882015053,2019-11-04T15:40:15.053,0.585,0.137,0.191,0.248
1572882015073,2019-11-04T15:40:15.073,0.605,0.111,0.206,0.252
1572882015092,2019-11-04T15:40:15.092,0.624,0.210,0.187,0.206
1572882015113,2019-11-04T15:40:15.113,0.645,0.168,0.164,0.202
1572882015133,2019-11-04T15:40:15.133,0.665,0.152,0.187,0.278
1572882015154,2019-11-04T15:40:15.154,0.686,0.198,0.191,0.274
1572882015173,2019-11-04T15:40:15.173,0.705,0.255,0.232,0.156
1572882015193,2019-11-04T15:40:15.193,0.725,0.130,0.217,0.202
1572882015214,2019-11-04T15:40:15.214,0.746,0.133,0.210,0.225
1572882015234,2019-11-04T15:40:15.234,0.766,0.171,0.274,0.271
1572882015254,2019-11-04T15:40:15.254,0.786,0.179,0.252,0.202
1572882015274,2019-11-04T15:40:15.274,0.806,0.194,0.244,0.179
1572882015295,2019-11-04T15:40:15.295,0.827,0.232,0.206,0.244
1572882015315,2019-11-04T15:40:15.315,0.847,0.179,0.240,0.244
1572882015334,2019-11-04T15:40:15.334,0.866,0.164,0.187,0.252
1572882015355,2019-11-04T15:40:15.355,0.887,0.206,0.187,0.240
1572882015375,2019-11-04T15:40:15.375,0.907,0.206,0.175,0.221
1572882015396,2019-11-04T15:40:15.396,0.928,0.187,0.229,0.206
1572882015415,2019-11-04T15:40:15.415,0.947,0.103,0.244,0.267
1572882015435,2019-11-04T15:40:15.435,0.967,0.133,0.183,0.236
1572882015456,2019-11-04T15:40:15.456,0.988,0.187,0.202,0.187
1572882015476,2019-11-04T15:40:15.476,1.008,0.168,0.206,0.210
1572882015497,2019-11-04T15:40:15.497,1.029,0.198,0.168,0.210
1572882015516,2019-11-04T15:40:15.516,1.048,0.168,0.175,0.164
1572882015536,2019-11-04T15:40:15.536,1.068,0.168,0.202,0.213
1572882015557,2019-11-04T15:40:15.557,1.089,0.210,0.137,0.179
1572882015577,2019-11-04T15:40:15.577,1.109,0.206,0.137,0.175
1572882015596,2019-11-04T15:40:15.596,1.128,0.194,0.191,0.255
1572882015617,2019-11-04T15:40:15.617,1.149,0.111,0.217,0.175
1572882015637,2019-11-04T15:40:15.637,1.169,0.206,0.168,0.252
1572882015658,2019-11-04T15:40:15.658,1.190,0.198,0.175,0.255
1572882015677,2019-11-04T15:40:15.677,1.209,0.149,0.221,0.225
1572882015697,2019-11-04T15:40:15.697,1.229,0.080,0.217,0.259
1572882015718,2019-11-04T15:40:15.718,1.250,0.156,0.202,0.210
1572882015738,2019-11-04T15:40:15.738,1.270,0.156,0.271,0.248
1572882015757,2019-11-04T15:40:15.757,1.289,0.191,0.221,0.244
1572882015778,2019-11-04T15:40:15.778,1.310,0.183,0.149,0.179
1572882015798,2019-11-04T15:40:15.798,1.330,0.152,0.156,0.240
1572882015819,2019-11-04T15:40:15.819,1.351,0.171,0.206,0.290
1572882015838,2019-11-04T15:40:15.838,1.370,0.206,0.232,0.229
1572882015859,2019-11-04T15:40:15.859,1.391,0.183,0.213,0.263
1572882015879,2019-11-04T15:40:15.879,1.411,0.111,0.187,0.278
1572882015900,2019-11-04T15:40:15.900,1.432,0.191,0.206,0.240
1572882015919,2019-11-04T15:40:15.919,1.451,0.206,0.229,0.278
1572882015939,2019-11-04T15:40:15.939,1.471,0.202,0.168,0.278
1572882015960,2019-11-04T15:40:15.960,1.492,0.213,0.229,0.183
1572882015980,2019-11-04T15:40:15.980,1.512,0.179,0.202,0.126
1572882015999,2019-11-04T15:40:15.999,1.531,0.171,0.244,0.191
1572882016020,2019-11-04T15:40:16.020,1.552,0.213,0.198,0.229
1572882016040,2019-11-04T15:40:16.040,1.572,0.171,0.179,0.221
1572882016061,2019-11-04T15:40:16.061,1.593,0.141,0.183,0.252
1572882016080,2019-11-04T15:40:16.080,1.612,0.107,0.232,0.252
1572882016100,2019-11-04T15:40:16.100,1.632,0.156,0.221,0.198
1572882016121,2019-11-04T15:40:16.121,1.653,0.175,0.255,0.263
1572882016141,2019-11-04T15:40:16.141,1.673,0.103,0.252,0.267
1572882016162,2019-11-04T15:40:16.162,1.694,0.091,0.221,0.293
1572882016181,2019-11-04T15:40:16.181,1.713,0.137,0.206,0.259
1572882016201,2019-11-04T15:40:16.201,1.733,0.263,0.232,0.187
1572882016222,2019-11-04T15:40:16.222,1.754,0.248,0.225,0.126
1572882016242,2019-11-04T15:40:16.242,1.774,0.229,0.187,0.175
1572882016261,2019-11-04T15:40:16.261,1.793,0.194,0.210,0.198
1572882016282,2019-11-04T15:40:16.282,1.814,0.156,0.252,0.267
1572882016302,2019-11-04T15:40:16.302,1.834,0.164,0.210,0.274
