epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1572811496074,2019-11-03T20:04:56.074,0.000,0.179,0.328,-0.042
1572811496094,2019-11-03T20:04:56.094,0.020,0.385,0.202,-0.404
1572811496114,2019-11-03T20:04:56.114,0.040,0.343,0.252,0.130
1572811496134,2019-11-03T20:04:56.134,0.060,0.305,0.240,0.168
1572811496154,2019-11-03T20:04:56.154,0.080,0.267,0.202,0.042
1572811496174,2019-11-03T20:04:56.174,0.100,0.301,0.240,0.160
1572811496194,2019-11-03T20:04:56.194,0.120,0.236,0.244,0.099
1572811496214,2019-11-03T20:04:56.214,0.140,0.168,0.267,0.107
1572811496234,2019-11-03T20:04:56.234,0.160,0.236,0.210,0.118
1572811496254,2019-11-03T20:04:56.254,0.180,0.259,0.198,0.091
1572811496274,2019-11-03T20:04:56.274,0.200,0.252,0.259,0.171
1572811496294,2019-11-03T20:04:56.294,0.220,0.267,0.255,0.126
1572811496314,2019-11-03T20:04:56.314,0.240,0.232,0.240,0.065
1572811496334,2019-11-03T20:04:56.334,0.260,0.232,0.194,0.133
1572811496354,2019-11-03T20:04:56.354,0.280,0.305,0.236,0.171
1572811496374,2019-11-03T20:04:56.374,0.300,0.244,0.267,0.175
1572811496394,2019-11-03T20:04:56.394,0.320,0.290,0.229,0.210
1572811496414,2019-11-03T20:04:56.414,0.340,0.271,0.232,0.076
1572811496434,2019-11-03T20:04:56.434,0.360,0.198,0.217,0.111
1572811496454,2019-11-03T20:04:56.454,0.380,0.259,0.248,0.107
1572811496474,2019-11-03T20:04:56.474,0.400,0.267,0.213,0.111
1572811496494,2019-11-03T20:04:56.494,0.420,0.210,0.236,0.191
1572811496514,2019-11-03T20:04:56.514,0.440,0.286,0.217,0.210
1572811496534,2019-11-03T20:04:56.534,0.460,0.309,0.229,0.171
1572811496554,2019-11-03T20:04:56.554,0.480,0.244,0.217,0.042
1572811496574,2019-11-03T20:04:56.574,0.500,0.232,0.236,0.137
1572811496594,2019-11-03T20:04:56.594,0.520,0.263,0.210,0.160
1572811496614,2019-11-03T20:04:56.614,0.540,0.305,0.259,0.122
1572811496634,2019-11-03T20:04:56.634,0.560,0.271,0.213,0.111
1572811496654,2019-11-03T20:04:56.654,0.580,0.263,0.217,0.179
1572811496674,2019-11-03T20:04:56.674,0.600,0.286,0.252,0.114
