epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1571828407369,2019-10-23T12.00.07.369 pm,0.000,0.143,0.106,0.984
1571828407378,2019-10-23T12.00.07.378 pm,0.009,0.136,0.130,0.999
1571828407388,2019-10-23T12.00.07.388 pm,0.019,0.119,0.137,1.010
1571828407398,2019-10-23T12.00.07.398 pm,0.029,0.088,0.108,0.966
1571828407408,2019-10-23T12.00.07.408 pm,0.039,0.084,0.126,0.970
1571828407419,2019-10-23T12.00.07.419 pm,0.050,0.098,0.134,0.988
1571828407429,2019-10-23T12.00.07.429 pm,0.060,0.081,0.128,0.981
1571828407438,2019-10-23T12.00.07.438 pm,0.069,0.089,0.146,0.981
1571828407448,2019-10-23T12.00.07.448 pm,0.079,0.099,0.128,0.958
1571828407458,2019-10-23T12.00.07.458 pm,0.089,0.119,0.121,0.946
1571828407468,2019-10-23T12.00.07.468 pm,0.099,0.120,0.127,0.954
1571828407479,2019-10-23T12.00.07.479 pm,0.110,0.100,0.176,1.042
1571828407489,2019-10-23T12.00.07.489 pm,0.120,0.130,0.214,1.084
1571828407499,2019-10-23T12.00.07.499 pm,0.130,0.130,0.114,0.948
1571828407508,2019-10-23T12.00.07.508 pm,0.139,0.072,0.111,0.924
1571828407518,2019-10-23T12.00.07.518 pm,0.149,0.017,0.142,0.871
1571828407529,2019-10-23T12.00.07.529 pm,0.160,0.076,0.132,0.857
1571828407539,2019-10-23T12.00.07.539 pm,0.170,0.111,0.160,0.997
1571828407549,2019-10-23T12.00.07.549 pm,0.180,0.343,0.245,1.291
1571828407559,2019-10-23T12.00.07.559 pm,0.190,0.242,0.208,0.955
1571828407568,2019-10-23T12.00.07.568 pm,0.199,0.068,0.172,0.874
1571828407578,2019-10-23T12.00.07.578 pm,0.209,0.148,0.148,0.980
1571828407589,2019-10-23T12.00.07.589 pm,0.220,0.155,0.184,1.001
1571828407599,2019-10-23T12.00.07.599 pm,0.230,0.138,0.163,0.957
1571828407609,2019-10-23T12.00.07.609 pm,0.240,0.160,0.174,0.973
1571828407619,2019-10-23T12.00.07.619 pm,0.250,0.165,0.172,0.987
1571828407630,2019-10-23T12.00.07.630 pm,0.261,0.152,0.173,0.959
1571828407638,2019-10-23T12.00.07.638 pm,0.269,0.148,0.176,0.960
1571828407649,2019-10-23T12.00.07.649 pm,0.280,0.135,0.176,0.964
1571828407659,2019-10-23T12.00.07.659 pm,0.290,0.138,0.183,0.964
