epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572007711829,2019-10-25T13:48:31.829,0.000,-0.172,-0.021,-1.027
1572007711850,2019-10-25T13:48:31.850,0.021,-0.170,-0.008,-1.012
1572007711870,2019-10-25T13:48:31.870,0.041,-0.205,0.000,-0.982
1572007711889,2019-10-25T13:48:31.889,0.060,-0.214,-0.009,-0.991
1572007711910,2019-10-25T13:48:31.910,0.081,-0.193,-0.023,-1.027
1572007711930,2019-10-25T13:48:31.930,0.101,-0.199,-0.026,-1.035
1572007711951,2019-10-25T13:48:31.951,0.122,-0.204,-0.002,-1.010
1572007711970,2019-10-25T13:48:31.970,0.141,-0.229,0.015,-0.986
1572007711990,2019-10-25T13:48:31.990,0.161,-0.224,-0.011,-1.033
1572007712011,2019-10-25T13:48:32.011,0.182,-0.213,-0.034,-1.050
1572007712030,2019-10-25T13:48:32.030,0.201,-0.196,-0.021,-1.040
1572007712051,2019-10-25T13:48:32.051,0.222,-0.189,0.006,-1.005
1572007712071,2019-10-25T13:48:32.071,0.242,-0.210,0.007,-0.991
1572007712090,2019-10-25T13:48:32.090,0.261,-0.215,-0.012,-1.009
1572007712111,2019-10-25T13:48:32.111,0.282,-0.186,-0.023,-1.023
1572007712131,2019-10-25T13:48:32.131,0.302,-0.171,-0.022,-1.021
1572007712150,2019-10-25T13:48:32.150,0.321,-0.198,-0.000,-0.988
1572007712171,2019-10-25T13:48:32.171,0.342,-0.209,0.012,-0.978
1572007712191,2019-10-25T13:48:32.191,0.362,-0.192,0.014,-0.993
1572007712212,2019-10-25T13:48:32.212,0.383,-0.196,-0.000,-1.010
1572007712231,2019-10-25T13:48:32.231,0.402,-0.201,-0.016,-1.031
1572007712251,2019-10-25T13:48:32.251,0.422,-0.205,-0.001,-1.009
1572007712272,2019-10-25T13:48:32.272,0.443,-0.226,0.002,-0.998
1572007712291,2019-10-25T13:48:32.291,0.462,-0.213,-0.009,-1.008
1572007712311,2019-10-25T13:48:32.311,0.482,-0.176,-0.012,-1.014
1572007712332,2019-10-25T13:48:32.332,0.503,-0.162,-0.019,-1.022
1572007712351,2019-10-25T13:48:32.351,0.522,-0.192,-0.014,-0.998
1572007712371,2019-10-25T13:48:32.371,0.542,-0.217,-0.000,-0.980
1572007712392,2019-10-25T13:48:32.392,0.563,-0.197,0.016,-0.988
1572007712411,2019-10-25T13:48:32.411,0.582,-0.191,0.007,-1.018
1572007712431,2019-10-25T13:48:32.431,0.602,-0.193,-0.004,-1.048
1572007712452,2019-10-25T13:48:32.452,0.623,-0.196,-0.015,-1.064
1572007712471,2019-10-25T13:48:32.471,0.642,-0.223,-0.011,-1.026
1572007712491,2019-10-25T13:48:32.491,0.662,-0.262,-0.005,-0.994
1572007712512,2019-10-25T13:48:32.512,0.683,-0.242,-0.010,-1.005
1572007712532,2019-10-25T13:48:32.532,0.703,-0.173,-0.022,-1.045
1572007712552,2019-10-25T13:48:32.552,0.723,-0.158,0.002,-1.044
1572007712572,2019-10-25T13:48:32.572,0.743,-0.217,0.010,-1.027
1572007712593,2019-10-25T13:48:32.593,0.764,-0.245,-0.007,-1.030
1572007712612,2019-10-25T13:48:32.612,0.783,-0.208,-0.008,-1.012
1572007712632,2019-10-25T13:48:32.632,0.803,-0.150,0.001,-0.993
