epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g),,decrement greater than 1,,,Peak Threshold
1.57554E+12,2019-12-05T09:44:38.283,0,0.356,0.152,0.875,,inc,0.006,,FALSE
1.57554E+12,2019-12-05T09:44:38.304,0.021,0.358,0.154,0.881,,inc,-0.008,,FALSE
1.57554E+12,2019-12-05T09:44:38.323,0.04,0.38,0.163,0.873,,inc,0.003,,FALSE
1.57554E+12,2019-12-05T09:44:38.343,0.06,0.4,0.152,0.876,,inc,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.362,0.079,0.384,0.151,0.876,,inc,0.004,,FALSE
1.57554E+12,2019-12-05T09:44:38.383,0.1,0.375,0.142,0.88,,inc,0.001,,FALSE
1.57554E+12,2019-12-05T09:44:38.403,0.12,0.373,0.14,0.881,,inc,-0.002,,FALSE
1.57554E+12,2019-12-05T09:44:38.422,0.139,0.372,0.148,0.879,,inc,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.443,0.16,0.382,0.14,0.879,,inc,-0.003,,FALSE
1.57554E+12,2019-12-05T09:44:38.462,0.179,0.386,0.135,0.876,,inc,0.002,,FALSE
1.57554E+12,2019-12-05T09:44:38.482,0.199,0.387,0.129,0.878,,inc,0.003,,FALSE
1.57554E+12,2019-12-05T09:44:38.501,0.218,0.379,0.127,0.881,,inc,0.002,,FALSE
1.57554E+12,2019-12-05T09:44:38.522,0.239,0.374,0.132,0.883,,inc,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.543,0.26,0.373,0.138,0.883,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.562,0.279,0.369,0.138,0.883,,FALSE,0.001,,FALSE
1.57554E+12,2019-12-05T09:44:38.582,0.299,0.366,0.137,0.884,,FALSE,-0.001,,FALSE
1.57554E+12,2019-12-05T09:44:38.601,0.318,0.366,0.138,0.883,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.622,0.339,0.362,0.138,0.883,,FALSE,-0.002,,FALSE
1.57554E+12,2019-12-05T09:44:38.641,0.358,0.373,0.141,0.881,,FALSE,-0.001,,FALSE
1.57554E+12,2019-12-05T09:44:38.661,0.378,0.375,0.142,0.88,,FALSE,-0.002,,FALSE
1.57554E+12,2019-12-05T09:44:38.682,0.399,0.374,0.143,0.878,,FALSE,0.002,,FALSE
1.57554E+12,2019-12-05T09:44:38.701,0.418,0.373,0.142,0.88,,FALSE,0.002,,FALSE
1.57554E+12,2019-12-05T09:44:38.721,0.438,0.366,0.14,0.882,,FALSE,0.004,,FALSE
1.57554E+12,2019-12-05T09:44:38.740,0.457,0.36,0.138,0.886,,FALSE,-0.002,,FALSE
1.57554E+12,2019-12-05T09:44:38.761,0.478,0.36,0.141,0.884,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.780,0.497,0.359,0.139,0.884,,FALSE,-0.001,,FALSE
1.57554E+12,2019-12-05T09:44:38.800,0.517,0.359,0.138,0.883,,FALSE,0.004,,FALSE
1.57554E+12,2019-12-05T09:44:38.819,0.536,0.359,0.136,0.887,,FALSE,0.001,,FALSE
1.57554E+12,2019-12-05T09:44:38.840,0.557,0.358,0.136,0.888,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.860,0.577,0.355,0.136,0.888,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.879,0.596,0.352,0.137,0.888,,FALSE,-0.001,,FALSE
1.57554E+12,2019-12-05T09:44:38.900,0.617,0.351,0.138,0.887,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.919,0.636,0.358,0.141,0.887,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.939,0.656,0.364,0.141,0.887,,FALSE,-0.002,,FALSE
1.57554E+12,2019-12-05T09:44:38.959,0.676,0.358,0.141,0.885,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:38.979,0.696,0.354,0.142,0.885,,FALSE,0.003,,FALSE
1.57554E+12,2019-12-05T09:44:39.000,0.717,0.353,0.142,0.888,,FALSE,-0.001,,FALSE
1.57554E+12,2019-12-05T09:44:39.019,0.736,0.357,0.14,0.887,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:39.039,0.756,0.36,0.14,0.887,,FALSE,0.001,,FALSE
1.57554E+12,2019-12-05T09:44:39.058,0.775,0.358,0.142,0.888,,FALSE,-0.003,,FALSE
1.57554E+12,2019-12-05T09:44:39.079,0.796,0.354,0.142,0.885,,FALSE,0.001,,FALSE
1.57554E+12,2019-12-05T09:44:39.098,0.815,0.344,0.141,0.886,,FALSE,0.004,,FALSE
1.57554E+12,2019-12-05T09:44:39.118,0.835,0.345,0.141,0.89,,FALSE,-0.003,,FALSE
1.57554E+12,2019-12-05T09:44:39.139,0.856,0.351,0.141,0.887,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:39.158,0.875,0.354,0.142,0.887,,FALSE,-0.001,,FALSE
1.57554E+12,2019-12-05T09:44:39.178,0.895,0.357,0.142,0.886,,FALSE,0.003,,FALSE
1.57554E+12,2019-12-05T09:44:39.197,0.914,0.36,0.141,0.889,,FALSE,0,,FALSE
1.57554E+12,2019-12-05T09:44:39.218,0.935,0.358,0.142,0.889,,FALSE,-0.002,,FALSE
1.57554E+12,2019-12-05T09:44:39.237,0.954,0.35,0.142,0.887,,FALSE,-0.001,,FALSE
1.57554E+12,2019-12-05T09:44:39.257,0.974,0.349,0.143,0.886,,FALSE,0.001,,FALSE
1.57554E+12,2019-12-05T09:44:39.276,0.993,0.354,0.144,0.887,,FALSE,0,,FALSE
