epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576668032553,2019-12-18T11:20:32.553,0.000,0.584,-0.127,0.749
1576668032572,2019-12-18T11:20:32.572,0.019,0.598,-0.128,0.756
1576668032592,2019-12-18T11:20:32.592,0.039,0.602,-0.124,0.759
1576668032613,2019-12-18T11:20:32.613,0.060,0.628,-0.131,0.750
1576668032632,2019-12-18T11:20:32.632,0.079,0.628,-0.118,0.779
1576668032652,2019-12-18T11:20:32.652,0.099,0.475,-0.090,0.854
1576668032672,2019-12-18T11:20:32.672,0.119,0.487,-0.126,0.806
1576668032692,2019-12-18T11:20:32.692,0.139,0.552,-0.129,0.804
1576668032711,2019-12-18T11:20:32.711,0.158,0.542,-0.138,0.810
1576668032732,2019-12-18T11:20:32.732,0.179,0.574,-0.132,0.791
1576668032752,2019-12-18T11:20:32.752,0.199,0.587,-0.128,0.768
1576668032771,2019-12-18T11:20:32.771,0.218,0.559,-0.144,0.751
1576668032792,2019-12-18T11:20:32.792,0.239,0.539,-0.156,0.770
1576668032811,2019-12-18T11:20:32.811,0.258,0.508,-0.156,0.802
1576668032831,2019-12-18T11:20:32.831,0.278,0.511,-0.155,0.796
1576668032850,2019-12-18T11:20:32.850,0.297,0.535,-0.140,0.806
1576668032871,2019-12-18T11:20:32.871,0.318,0.497,-0.146,0.802
1576668032891,2019-12-18T11:20:32.891,0.338,0.554,-0.089,0.844
1576668032910,2019-12-18T11:20:32.910,0.357,0.462,-0.114,0.842
1576668032931,2019-12-18T11:20:32.931,0.378,0.349,-0.113,0.851
1576668032950,2019-12-18T11:20:32.950,0.397,0.394,-0.106,0.851
1576668032970,2019-12-18T11:20:32.970,0.417,0.505,-0.115,0.836
1576668032989,2019-12-18T11:20:32.989,0.436,0.530,-0.125,0.822
1576668033010,2019-12-18T11:20:33.010,0.457,0.503,-0.127,0.815
1576668033030,2019-12-18T11:20:33.030,0.477,0.495,-0.121,0.827
1576668033049,2019-12-18T11:20:33.049,0.496,0.486,-0.118,0.836
1576668033070,2019-12-18T11:20:33.070,0.517,0.472,-0.121,0.833
1576668033089,2019-12-18T11:20:33.089,0.536,0.469,-0.125,0.825
1576668033110,2019-12-18T11:20:33.110,0.557,0.486,-0.119,0.829
1576668033129,2019-12-18T11:20:33.129,0.576,0.507,-0.116,0.828
1576668033149,2019-12-18T11:20:33.149,0.596,0.497,-0.124,0.819
1576668033170,2019-12-18T11:20:33.170,0.617,0.494,-0.123,0.824
1576668033189,2019-12-18T11:20:33.189,0.636,0.495,-0.123,0.830
1576668033209,2019-12-18T11:20:33.209,0.656,0.493,-0.120,0.826
1576668033228,2019-12-18T11:20:33.228,0.675,0.498,-0.123,0.818
1576668033249,2019-12-18T11:20:33.249,0.696,0.505,-0.121,0.819
1576668033268,2019-12-18T11:20:33.268,0.715,0.506,-0.124,0.821
1576668033288,2019-12-18T11:20:33.288,0.735,0.504,-0.127,0.814
1576668033307,2019-12-18T11:20:33.307,0.754,0.509,-0.130,0.813
1576668033328,2019-12-18T11:20:33.328,0.775,0.501,-0.127,0.818
1576668033348,2019-12-18T11:20:33.348,0.795,0.507,-0.129,0.819
1576668033367,2019-12-18T11:20:33.367,0.814,0.498,-0.127,0.814
1576668033388,2019-12-18T11:20:33.388,0.835,0.514,-0.130,0.812
1576668033407,2019-12-18T11:20:33.407,0.854,0.514,-0.129,0.814
1576668033427,2019-12-18T11:20:33.427,0.874,0.510,-0.126,0.814
1576668033446,2019-12-18T11:20:33.446,0.893,0.503,-0.124,0.815
1576668033467,2019-12-18T11:20:33.467,0.914,0.509,-0.126,0.816
1576668033487,2019-12-18T11:20:33.487,0.934,0.510,-0.125,0.817
1576668033506,2019-12-18T11:20:33.506,0.953,0.509,-0.124,0.819
1576668033527,2019-12-18T11:20:33.527,0.974,0.508,-0.125,0.817
1576668033546,2019-12-18T11:20:33.546,0.993,0.505,-0.125,0.815
1576668033567,2019-12-18T11:20:33.567,1.014,0.507,-0.128,0.815
1576668033586,2019-12-18T11:20:33.586,1.033,0.508,-0.131,0.816
1576668033606,2019-12-18T11:20:33.606,1.053,0.508,-0.128,0.814
1576668033627,2019-12-18T11:20:33.627,1.074,0.504,-0.126,0.815
1576668033646,2019-12-18T11:20:33.646,1.093,0.501,-0.124,0.819
1576668033666,2019-12-18T11:20:33.666,1.113,0.505,-0.125,0.820
1576668033685,2019-12-18T11:20:33.685,1.132,0.512,-0.130,0.814
1576668033706,2019-12-18T11:20:33.706,1.153,0.511,-0.128,0.818
1576668033725,2019-12-18T11:20:33.725,1.172,0.511,-0.127,0.820
1576668033745,2019-12-18T11:20:33.745,1.192,0.495,-0.126,0.816
1576668033766,2019-12-18T11:20:33.766,1.213,0.513,-0.132,0.816
1576668033785,2019-12-18T11:20:33.785,1.232,0.504,-0.127,0.814
1576668033805,2019-12-18T11:20:33.805,1.252,0.518,-0.131,0.811
1576668033824,2019-12-18T11:20:33.824,1.271,0.508,-0.131,0.813
1576668033845,2019-12-18T11:20:33.845,1.292,0.505,-0.128,0.817
1576668033864,2019-12-18T11:20:33.864,1.311,0.504,-0.127,0.816
1576668033884,2019-12-18T11:20:33.884,1.331,0.509,-0.125,0.817
1576668033905,2019-12-18T11:20:33.905,1.352,0.522,-0.126,0.812
1576668033924,2019-12-18T11:20:33.924,1.371,0.510,-0.123,0.816
1576668033944,2019-12-18T11:20:33.944,1.391,0.499,-0.127,0.817
1576668033964,2019-12-18T11:20:33.964,1.411,0.510,-0.128,0.819
1576668033984,2019-12-18T11:20:33.984,1.431,0.516,-0.128,0.813
1576668034003,2019-12-18T11:20:34.003,1.450,0.515,-0.131,0.811
1576668034024,2019-12-18T11:20:34.024,1.471,0.510,-0.129,0.814
1576668034044,2019-12-18T11:20:34.044,1.491,0.506,-0.130,0.815
1576668034063,2019-12-18T11:20:34.063,1.510,0.509,-0.131,0.811
1576668034084,2019-12-18T11:20:34.084,1.531,0.513,-0.131,0.813
1576668034103,2019-12-18T11:20:34.103,1.550,0.516,-0.130,0.815
1576668034123,2019-12-18T11:20:34.123,1.570,0.508,-0.129,0.814
1576668034142,2019-12-18T11:20:34.142,1.589,0.509,-0.129,0.811
1576668034163,2019-12-18T11:20:34.163,1.610,0.514,-0.131,0.815
1576668034182,2019-12-18T11:20:34.182,1.629,0.512,-0.130,0.814
1576668034202,2019-12-18T11:20:34.202,1.649,0.509,-0.129,0.813
1576668034223,2019-12-18T11:20:34.223,1.670,0.510,-0.130,0.813
1576668034242,2019-12-18T11:20:34.242,1.689,0.513,-0.129,0.812
1576668034262,2019-12-18T11:20:34.262,1.709,0.512,-0.128,0.813
1576668034281,2019-12-18T11:20:34.281,1.728,0.511,-0.128,0.815
1576668034302,2019-12-18T11:20:34.302,1.749,0.512,-0.128,0.814
1576668034321,2019-12-18T11:20:34.321,1.768,0.513,-0.130,0.814
1576668034341,2019-12-18T11:20:34.341,1.788,0.510,-0.130,0.813
1576668034362,2019-12-18T11:20:34.362,1.809,0.514,-0.131,0.811
1576668034381,2019-12-18T11:20:34.381,1.828,0.515,-0.130,0.812
1576668034402,2019-12-18T11:20:34.402,1.849,0.510,-0.129,0.813
1576668034421,2019-12-18T11:20:34.421,1.868,0.508,-0.126,0.818
1576668034441,2019-12-18T11:20:34.441,1.888,0.515,-0.133,0.809
1576668034460,2019-12-18T11:20:34.460,1.907,0.518,-0.126,0.812
1576668034481,2019-12-18T11:20:34.481,1.928,0.501,-0.130,0.817
1576668034501,2019-12-18T11:20:34.501,1.948,0.511,-0.130,0.811
1576668034520,2019-12-18T11:20:34.520,1.967,0.517,-0.127,0.810
1576668034541,2019-12-18T11:20:34.541,1.988,0.511,-0.129,0.815
1576668034560,2019-12-18T11:20:34.560,2.007,0.514,-0.126,0.813
1576668034580,2019-12-18T11:20:34.580,2.027,0.510,-0.131,0.810
1576668034599,2019-12-18T11:20:34.599,2.046,0.512,-0.128,0.814
1576668034620,2019-12-18T11:20:34.620,2.067,0.511,-0.126,0.815
1576668034640,2019-12-18T11:20:34.640,2.087,0.511,-0.127,0.809
1576668034659,2019-12-18T11:20:34.659,2.106,0.515,-0.128,0.813
1576668034680,2019-12-18T11:20:34.680,2.127,0.515,-0.130,0.813
1576668034699,2019-12-18T11:20:34.699,2.146,0.517,-0.130,0.810
1576668034719,2019-12-18T11:20:34.719,2.166,0.512,-0.128,0.812
1576668034738,2019-12-18T11:20:34.738,2.185,0.512,-0.125,0.814
1576668034759,2019-12-18T11:20:34.759,2.206,0.511,-0.129,0.813
1576668034779,2019-12-18T11:20:34.779,2.226,0.516,-0.130,0.811
1576668034798,2019-12-18T11:20:34.798,2.245,0.516,-0.130,0.812
1576668034819,2019-12-18T11:20:34.819,2.266,0.513,-0.130,0.812
1576668034838,2019-12-18T11:20:34.838,2.285,0.509,-0.132,0.810
1576668034859,2019-12-18T11:20:34.859,2.306,0.512,-0.132,0.812
1576668034878,2019-12-18T11:20:34.878,2.325,0.517,-0.131,0.811
1576668034898,2019-12-18T11:20:34.898,2.345,0.517,-0.129,0.810
1576668034917,2019-12-18T11:20:34.917,2.364,0.515,-0.128,0.812
1576668034938,2019-12-18T11:20:34.938,2.385,0.513,-0.128,0.814
1576668034958,2019-12-18T11:20:34.958,2.405,0.516,-0.130,0.811
1576668034977,2019-12-18T11:20:34.977,2.424,0.515,-0.130,0.810
1576668034998,2019-12-18T11:20:34.998,2.445,0.516,-0.129,0.811
1576668035017,2019-12-18T11:20:35.017,2.464,0.514,-0.129,0.813
1576668035037,2019-12-18T11:20:35.037,2.484,0.513,-0.130,0.813
1576668035056,2019-12-18T11:20:35.056,2.503,0.513,-0.129,0.813
1576668035077,2019-12-18T11:20:35.077,2.524,0.515,-0.130,0.811
1576668035097,2019-12-18T11:20:35.097,2.544,0.516,-0.131,0.810
1576668035116,2019-12-18T11:20:35.116,2.563,0.514,-0.131,0.812
1576668035137,2019-12-18T11:20:35.137,2.584,0.513,-0.128,0.812
1576668035156,2019-12-18T11:20:35.156,2.603,0.512,-0.129,0.812
1576668035176,2019-12-18T11:20:35.176,2.623,0.513,-0.130,0.812
1576668035195,2019-12-18T11:20:35.195,2.642,0.512,-0.129,0.816
1576668035216,2019-12-18T11:20:35.216,2.663,0.510,-0.130,0.811
1576668035236,2019-12-18T11:20:35.236,2.683,0.516,-0.132,0.809
1576668035256,2019-12-18T11:20:35.256,2.703,0.517,-0.129,0.810
1576668035276,2019-12-18T11:20:35.276,2.723,0.517,-0.130,0.808
1576668035295,2019-12-18T11:20:35.295,2.742,0.518,-0.132,0.807
1576668035316,2019-12-18T11:20:35.316,2.763,0.520,-0.130,0.813
1576668035335,2019-12-18T11:20:35.335,2.782,0.519,-0.130,0.812
1576668035355,2019-12-18T11:20:35.355,2.802,0.522,-0.130,0.808
1576668035374,2019-12-18T11:20:35.374,2.821,0.502,-0.126,0.816
