epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1576837461515,2019-12-20T10:24:21.515,0.000,-2.386,-3.277,-33.849
1576837461535,2019-12-20T10:24:21.535,0.020,-1.875,-2.012,-34.573
1576837461554,2019-12-20T10:24:21.554,0.039,-1.555,2.363,-34.390
1576837461575,2019-12-20T10:24:21.575,0.060,-2.782,5.617,-36.601
1576837461594,2019-12-20T10:24:21.594,0.079,-5.358,5.503,-39.878
1576837461614,2019-12-20T10:24:21.614,0.099,-7.325,6.966,-39.939
1576837461635,2019-12-20T10:24:21.635,0.120,-7.576,7.591,-38.133
1576837461654,2019-12-20T10:24:21.654,0.139,-6.258,7.660,-36.547
1576837461674,2019-12-20T10:24:21.674,0.159,-4.840,5.838,-33.857
1576837461693,2019-12-20T10:24:21.693,0.178,-3.239,4.672,-29.116
1576837461714,2019-12-20T10:24:21.714,0.199,-1.402,9.032,-25.290
1576837461733,2019-12-20T10:24:21.733,0.218,1.098,12.843,-22.614
1576837461754,2019-12-20T10:24:21.754,0.239,5.358,17.058,-21.913
1576837461774,2019-12-20T10:24:21.774,0.259,8.529,18.720,-24.543
1576837461793,2019-12-20T10:24:21.793,0.278,10.229,13.857,-25.191
1576837461814,2019-12-20T10:24:21.814,0.299,12.752,9.398,-14.322
1576837461833,2019-12-20T10:24:21.833,0.318,12.195,12.652,-4.337
1576837461853,2019-12-20T10:24:21.853,0.338,9.085,22.066,-4.680
1576837461872,2019-12-20T10:24:21.872,0.357,6.349,30.945,-3.918
1576837461893,2019-12-20T10:24:21.893,0.378,2.203,32.165,-1.220
1576837461913,2019-12-20T10:24:21.913,0.398,-2.188,30.945,0.221
1576837461932,2019-12-20T10:24:21.932,0.417,-5.892,26.113,0.930
1576837461953,2019-12-20T10:24:21.953,0.438,-8.430,20.610,1.463
1576837461972,2019-12-20T10:24:21.972,0.457,-10.518,15.030,2.012
1576837461992,2019-12-20T10:24:21.992,0.477,-10.755,8.948,2.500
1576837462011,2019-12-20T10:24:22.011,0.496,-8.277,13.102,2.111
1576837462032,2019-12-20T10:24:22.032,0.517,-5.381,18.148,1.402
1576837462051,2019-12-20T10:24:22.051,0.536,-3.407,16.341,1.136
1576837462071,2019-12-20T10:24:22.071,0.556,-1.524,12.858,0.968
1576837462092,2019-12-20T10:24:22.092,0.577,0.396,9.611,0.640
1576837462111,2019-12-20T10:24:22.111,0.596,2.104,7.538,0.534
