epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1578262399795,2020-01-05T22:13:19.795,0.000,0.249,0.926,0.197
1578262399816,2020-01-05T22:13:19.816,0.021,0.252,0.934,0.197
1578262399835,2020-01-05T22:13:19.835,0.040,0.250,0.932,0.196
1578262399855,2020-01-05T22:13:19.855,0.060,0.249,0.934,0.198
1578262399874,2020-01-05T22:13:19.874,0.079,0.249,0.932,0.198
1578262399895,2020-01-05T22:13:19.895,0.100,0.248,0.931,0.199
1578262399914,2020-01-05T22:13:19.914,0.119,0.247,0.931,0.199
1578262399934,2020-01-05T22:13:19.934,0.139,0.245,0.932,0.199
1578262399955,2020-01-05T22:13:19.955,0.160,0.244,0.934,0.199
1578262399974,2020-01-05T22:13:19.974,0.179,0.247,0.933,0.200
1578262399994,2020-01-05T22:13:19.994,0.199,0.250,0.932,0.197
1578262400013,2020-01-05T22:13:20.013,0.218,0.250,0.932,0.196
1578262400034,2020-01-05T22:13:20.034,0.239,0.250,0.932,0.198
1578262400053,2020-01-05T22:13:20.053,0.258,0.250,0.933,0.200
1578262400073,2020-01-05T22:13:20.073,0.278,0.254,0.931,0.201
1578262400092,2020-01-05T22:13:20.092,0.297,0.255,0.930,0.202
1578262400113,2020-01-05T22:13:20.113,0.318,0.253,0.928,0.205
1578262400133,2020-01-05T22:13:20.133,0.338,0.250,0.927,0.203
1578262400152,2020-01-05T22:13:20.152,0.357,0.254,0.928,0.205
1578262400173,2020-01-05T22:13:20.173,0.378,0.254,0.928,0.206
1578262400192,2020-01-05T22:13:20.192,0.397,0.263,0.925,0.204
1578262400212,2020-01-05T22:13:20.212,0.417,0.260,0.924,0.206
1578262400232,2020-01-05T22:13:20.232,0.437,0.248,0.927,0.207
1578262400252,2020-01-05T22:13:20.252,0.457,0.249,0.933,0.205
1578262400273,2020-01-05T22:13:20.273,0.478,0.250,0.932,0.204
1578262400292,2020-01-05T22:13:20.292,0.497,0.250,0.931,0.203
1578262400312,2020-01-05T22:13:20.312,0.517,0.255,0.930,0.198
1578262400331,2020-01-05T22:13:20.331,0.536,0.256,0.930,0.196
1578262400352,2020-01-05T22:13:20.352,0.557,0.252,0.931,0.197
1578262400371,2020-01-05T22:13:20.371,0.576,0.248,0.934,0.198
1578262400391,2020-01-05T22:13:20.391,0.596,0.244,0.934,0.200
1578262400412,2020-01-05T22:13:20.412,0.617,0.242,0.934,0.201
1578262400431,2020-01-05T22:13:20.431,0.636,0.246,0.936,0.201
1578262400451,2020-01-05T22:13:20.451,0.656,0.248,0.932,0.199
1578262400470,2020-01-05T22:13:20.470,0.675,0.250,0.929,0.202
1578262400491,2020-01-05T22:13:20.491,0.696,0.245,0.930,0.206
1578262400510,2020-01-05T22:13:20.510,0.715,0.246,0.928,0.205
1578262400530,2020-01-05T22:13:20.530,0.735,0.253,0.928,0.204
1578262400551,2020-01-05T22:13:20.551,0.756,0.260,0.930,0.202
1578262400570,2020-01-05T22:13:20.570,0.775,0.262,0.932,0.198
1578262400590,2020-01-05T22:13:20.590,0.795,0.259,0.932,0.198
1578262400609,2020-01-05T22:13:20.609,0.814,0.259,0.930,0.196
1578262400630,2020-01-05T22:13:20.630,0.835,0.255,0.930,0.196
1578262400649,2020-01-05T22:13:20.649,0.854,0.256,0.931,0.194
1578262400670,2020-01-05T22:13:20.670,0.875,0.260,0.931,0.193
1578262400690,2020-01-05T22:13:20.690,0.895,0.256,0.930,0.198
1578262400709,2020-01-05T22:13:20.709,0.914,0.249,0.931,0.202
1578262400730,2020-01-05T22:13:20.730,0.935,0.247,0.932,0.203
1578262400749,2020-01-05T22:13:20.749,0.954,0.248,0.930,0.205
1578262400769,2020-01-05T22:13:20.769,0.974,0.250,0.930,0.202
1578262400788,2020-01-05T22:13:20.788,0.993,0.253,0.929,0.200
1578262400809,2020-01-05T22:13:20.809,1.014,0.253,0.929,0.204
1578262400829,2020-01-05T22:13:20.829,1.034,0.251,0.929,0.204
1578262400848,2020-01-05T22:13:20.848,1.053,0.250,0.931,0.204
1578262400869,2020-01-05T22:13:20.869,1.074,0.251,0.929,0.205
1578262400888,2020-01-05T22:13:20.888,1.093,0.252,0.929,0.205
1578262400908,2020-01-05T22:13:20.908,1.113,0.255,0.930,0.204
1578262400927,2020-01-05T22:13:20.927,1.132,0.256,0.930,0.204
1578262400948,2020-01-05T22:13:20.948,1.153,0.256,0.930,0.201
1578262400967,2020-01-05T22:13:20.967,1.172,0.255,0.931,0.201
1578262400987,2020-01-05T22:13:20.987,1.192,0.255,0.930,0.200
1578262401008,2020-01-05T22:13:21.008,1.213,0.255,0.930,0.201
1578262401027,2020-01-05T22:13:21.027,1.232,0.256,0.931,0.199
1578262401047,2020-01-05T22:13:21.047,1.252,0.256,0.930,0.198
1578262401066,2020-01-05T22:13:21.066,1.271,0.256,0.928,0.200
1578262401087,2020-01-05T22:13:21.087,1.292,0.257,0.930,0.201
1578262401106,2020-01-05T22:13:21.106,1.311,0.257,0.928,0.201
1578262401127,2020-01-05T22:13:21.127,1.332,0.255,0.930,0.202
1578262401147,2020-01-05T22:13:21.147,1.352,0.255,0.930,0.203
1578262401166,2020-01-05T22:13:21.166,1.371,0.256,0.930,0.203
1578262401187,2020-01-05T22:13:21.187,1.392,0.254,0.932,0.204
1578262401206,2020-01-05T22:13:21.206,1.411,0.251,0.930,0.203
1578262401226,2020-01-05T22:13:21.226,1.431,0.252,0.930,0.204
1578262401245,2020-01-05T22:13:21.245,1.450,0.252,0.928,0.205
1578262401266,2020-01-05T22:13:21.266,1.471,0.250,0.931,0.203
1578262401286,2020-01-05T22:13:21.286,1.491,0.249,0.930,0.204
1578262401305,2020-01-05T22:13:21.305,1.510,0.249,0.929,0.205
1578262401326,2020-01-05T22:13:21.326,1.531,0.250,0.929,0.205
1578262401345,2020-01-05T22:13:21.345,1.550,0.252,0.931,0.203
1578262401365,2020-01-05T22:13:21.365,1.570,0.251,0.930,0.205
1578262401384,2020-01-05T22:13:21.384,1.589,0.251,0.930,0.204
1578262401405,2020-01-05T22:13:21.405,1.610,0.251,0.930,0.204
1578262401425,2020-01-05T22:13:21.425,1.630,0.251,0.930,0.204
1578262401444,2020-01-05T22:13:21.444,1.649,0.253,0.930,0.202
1578262401465,2020-01-05T22:13:21.465,1.670,0.254,0.930,0.203
1578262401484,2020-01-05T22:13:21.484,1.689,0.255,0.930,0.203
1578262401504,2020-01-05T22:13:21.504,1.709,0.253,0.929,0.201
1578262401524,2020-01-05T22:13:21.524,1.729,0.252,0.930,0.202
