epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1575991108872,2019-12-10T15:18:28.872,0.000,-0.568,0.172,-0.808
1575991108891,2019-12-10T15:18:28.891,0.019,-0.649,0.160,-0.818
1575991108911,2019-12-10T15:18:28.911,0.039,-0.726,0.079,-0.795
1575991108930,2019-12-10T15:18:28.930,0.058,-0.710,-0.003,-0.752
1575991108951,2019-12-10T15:18:28.951,0.079,-0.761,0.046,-0.722
1575991108970,2019-12-10T15:18:28.970,0.098,-0.831,0.124,-0.743
1575991108990,2019-12-10T15:18:28.990,0.118,-0.821,0.108,-0.680
1575991109011,2019-12-10T15:18:29.011,0.139,-0.813,0.068,-0.638
1575991109030,2019-12-10T15:18:29.030,0.158,-0.843,0.060,-0.641
1575991109050,2019-12-10T15:18:29.050,0.178,-0.855,0.069,-0.657
1575991109069,2019-12-10T15:18:29.069,0.197,-0.806,0.090,-0.664
1575991109090,2019-12-10T15:18:29.090,0.218,-0.777,0.074,-0.689
1575991109109,2019-12-10T15:18:29.109,0.237,-0.763,0.092,-0.707
1575991109129,2019-12-10T15:18:29.129,0.257,-0.705,0.095,-0.751
1575991109150,2019-12-10T15:18:29.150,0.278,-0.675,0.092,-0.757
1575991109169,2019-12-10T15:18:29.169,0.297,-0.697,0.108,-0.748
1575991109189,2019-12-10T15:18:29.189,0.317,-0.720,0.100,-0.742
1575991109208,2019-12-10T15:18:29.208,0.336,-0.731,0.090,-0.734
1575991109229,2019-12-10T15:18:29.229,0.357,-0.736,0.092,-0.718
1575991109248,2019-12-10T15:18:29.248,0.376,-0.768,0.079,-0.713
1575991109269,2019-12-10T15:18:29.269,0.397,-0.749,0.080,-0.717
1575991109289,2019-12-10T15:18:29.289,0.417,-0.736,0.085,-0.725
1575991109308,2019-12-10T15:18:29.308,0.436,-0.734,0.090,-0.731
1575991109329,2019-12-10T15:18:29.329,0.457,-0.729,0.093,-0.735
1575991109348,2019-12-10T15:18:29.348,0.476,-0.725,0.095,-0.735
1575991109368,2019-12-10T15:18:29.368,0.496,-0.730,0.093,-0.731
1575991109387,2019-12-10T15:18:29.387,0.515,-0.741,0.089,-0.723
1575991109408,2019-12-10T15:18:29.408,0.536,-0.755,0.084,-0.714
1575991109428,2019-12-10T15:18:29.428,0.556,-0.758,0.085,-0.711
1575991109447,2019-12-10T15:18:29.447,0.575,-0.754,0.085,-0.712
1575991109468,2019-12-10T15:18:29.468,0.596,-0.751,0.090,-0.716
1575991109487,2019-12-10T15:18:29.487,0.615,-0.749,0.091,-0.719
1575991109507,2019-12-10T15:18:29.507,0.635,-0.746,0.089,-0.719
1575991109526,2019-12-10T15:18:29.526,0.654,-0.743,0.089,-0.719
