epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1575991108851,2019-12-10T15:18:28.851,0.000,38.369,-5.008,3.902
1575991108872,2019-12-10T15:18:28.872,0.021,40.236,-6.280,5.305
1575991108891,2019-12-10T15:18:28.891,0.040,49.886,-15.640,9.421
1575991108911,2019-12-10T15:18:28.911,0.060,57.096,-26.479,11.905
1575991108930,2019-12-10T15:18:28.930,0.079,41.921,-35.259,13.841
1575991108951,2019-12-10T15:18:28.951,0.100,21.174,-37.538,20.648
1575991108970,2019-12-10T15:18:28.970,0.119,19.276,-37.264,22.294
1575991108990,2019-12-10T15:18:28.990,0.139,23.506,-39.916,16.128
1575991109011,2019-12-10T15:18:29.011,0.160,22.309,-30.739,11.433
1575991109030,2019-12-10T15:18:29.030,0.179,16.372,-14.444,10.823
1575991109050,2019-12-10T15:18:29.050,0.199,9.809,-2.309,7.195
1575991109069,2019-12-10T15:18:29.069,0.218,4.405,7.340,2.477
1575991109090,2019-12-10T15:18:29.090,0.239,2.081,17.515,1.433
1575991109109,2019-12-10T15:18:29.109,0.258,-0.579,25.252,2.668
1575991109129,2019-12-10T15:18:29.129,0.278,-0.694,23.841,1.212
1575991109150,2019-12-10T15:18:29.150,0.299,-0.373,13.918,1.128
1575991109169,2019-12-10T15:18:29.169,0.318,0.846,5.290,1.387
1575991109189,2019-12-10T15:18:29.189,0.338,2.973,0.503,-0.191
1575991109208,2019-12-10T15:18:29.208,0.357,3.895,-3.011,-1.098
1575991109229,2019-12-10T15:18:29.229,0.378,3.468,-4.649,-1.166
1575991109248,2019-12-10T15:18:29.248,0.397,2.759,-2.866,-1.372
1575991109269,2019-12-10T15:18:29.269,0.418,0.968,0.953,-0.899
1575991109289,2019-12-10T15:18:29.289,0.438,-0.168,3.056,-0.114
1575991109308,2019-12-10T15:18:29.308,0.457,-1.136,2.950,-0.053
1575991109329,2019-12-10T15:18:29.329,0.478,-1.235,1.555,-0.396
1575991109348,2019-12-10T15:18:29.348,0.497,-0.541,-1.250,-0.892
1575991109368,2019-12-10T15:18:29.368,0.517,0.457,-4.390,-1.563
1575991109387,2019-12-10T15:18:29.387,0.536,1.311,-6.037,-1.898
1575991109408,2019-12-10T15:18:29.408,0.557,1.700,-5.610,-1.662
1575991109428,2019-12-10T15:18:29.428,0.577,1.052,-4.108,-1.006
1575991109447,2019-12-10T15:18:29.447,0.596,0.351,-2.378,-0.358
1575991109468,2019-12-10T15:18:29.468,0.617,0.373,-0.572,0.084
1575991109487,2019-12-10T15:18:29.487,0.636,0.732,0.320,0.122
1575991109507,2019-12-10T15:18:29.507,0.656,0.945,0.495,0.107
1575991109526,2019-12-10T15:18:29.526,0.675,0.770,0.534,0.076
1575991109547,2019-12-10T15:18:29.547,0.696,0.793,0.671,-0.053
1575991109567,2019-12-10T15:18:29.567,0.716,0.823,0.061,-0.091
1575991109586,2019-12-10T15:18:29.586,0.735,0.892,-0.938,-0.229
1575991109607,2019-12-10T15:18:29.607,0.756,0.899,-0.938,-0.267
1575991109626,2019-12-10T15:18:29.626,0.775,0.838,-0.869,-0.503
1575991109646,2019-12-10T15:18:29.646,0.795,0.572,-1.181,-0.663
1575991109666,2019-12-10T15:18:29.666,0.815,0.191,-1.768,-0.450
1575991109686,2019-12-10T15:18:29.686,0.835,-0.160,-1.928,-0.145
1575991109705,2019-12-10T15:18:29.705,0.854,-0.259,-1.837,0.076
1575991109726,2019-12-10T15:18:29.726,0.875,-0.091,-1.037,0.434
1575991109746,2019-12-10T15:18:29.746,0.895,0.297,0.595,0.709
1575991109765,2019-12-10T15:18:29.765,0.914,0.724,2.325,0.541
1575991109786,2019-12-10T15:18:29.786,0.935,0.938,3.232,0.358
1575991109805,2019-12-10T15:18:29.805,0.954,1.014,3.308,0.198
1575991109825,2019-12-10T15:18:29.825,0.974,1.166,2.942,0.130
1575991109844,2019-12-10T15:18:29.844,0.993,1.334,3.079,0.069
1575991109865,2019-12-10T15:18:29.865,1.014,1.448,3.498,-0.076
1575991109885,2019-12-10T15:18:29.885,1.034,1.159,3.377,-0.114
1575991109904,2019-12-10T15:18:29.904,1.053,0.732,2.843,0.099
1575991109925,2019-12-10T15:18:29.925,1.074,0.412,2.813,0.419
1575991109944,2019-12-10T15:18:29.944,1.093,0.595,2.607,0.381
1575991109964,2019-12-10T15:18:29.964,1.113,1.098,2.363,-0.008
1575991109983,2019-12-10T15:18:29.983,1.132,1.380,2.043,-0.267
1575991110004,2019-12-10T15:18:30.004,1.153,1.471,1.524,-0.313
1575991110024,2019-12-10T15:18:30.024,1.173,1.166,0.617,-0.518
1575991110043,2019-12-10T15:18:30.043,1.192,0.861,-0.358,-0.473
1575991110064,2019-12-10T15:18:30.064,1.213,0.747,-1.189,-0.549
1575991110083,2019-12-10T15:18:30.083,1.232,0.663,-2.157,-0.793
1575991110104,2019-12-10T15:18:30.104,1.253,0.602,-2.912,-0.884
1575991110123,2019-12-10T15:18:30.123,1.272,0.678,-2.508,-0.709
1575991110143,2019-12-10T15:18:30.143,1.292,0.808,-1.784,-0.617
1575991110164,2019-12-10T15:18:30.164,1.313,0.655,-1.052,-0.473
1575991110183,2019-12-10T15:18:30.183,1.332,0.587,-0.366,-0.267
1575991110203,2019-12-10T15:18:30.203,1.352,0.701,0.419,-0.206
1575991110222,2019-12-10T15:18:30.222,1.371,0.960,1.128,-0.191
1575991110243,2019-12-10T15:18:30.243,1.392,1.174,1.890,-0.038
1575991110262,2019-12-10T15:18:30.262,1.411,1.303,2.210,0.069
1575991110282,2019-12-10T15:18:30.282,1.431,0.968,2.530,0.328
1575991110303,2019-12-10T15:18:30.303,1.452,0.602,2.668,0.518
1575991110322,2019-12-10T15:18:30.322,1.471,0.556,2.515,0.572
1575991110342,2019-12-10T15:18:30.342,1.491,0.518,1.799,0.465
1575991110361,2019-12-10T15:18:30.361,1.510,0.358,1.265,0.358
1575991110382,2019-12-10T15:18:30.382,1.531,0.358,1.120,0.320
1575991110401,2019-12-10T15:18:30.401,1.550,0.427,0.960,0.335
1575991110421,2019-12-10T15:18:30.421,1.570,0.587,0.404,0.015
1575991110440,2019-12-10T15:18:30.440,1.589,0.747,-0.076,-0.297
1575991110461,2019-12-10T15:18:30.461,1.610,0.534,-0.442,-0.259
1575991110481,2019-12-10T15:18:30.481,1.630,0.495,-0.869,-0.267
1575991110500,2019-12-10T15:18:30.500,1.649,0.572,-1.707,-0.244
1575991110521,2019-12-10T15:18:30.521,1.670,0.198,-1.204,-0.084
1575991110540,2019-12-10T15:18:30.540,1.689,0.564,-0.526,-0.267
1575991110561,2019-12-10T15:18:30.561,1.710,0.884,-0.137,-0.343
1575991110580,2019-12-10T15:18:30.580,1.729,0.747,-0.008,-0.328
1575991110600,2019-12-10T15:18:30.600,1.749,0.640,-0.358,-0.259
1575991110621,2019-12-10T15:18:30.621,1.770,0.511,-0.427,-0.160
1575991110640,2019-12-10T15:18:30.640,1.789,0.579,-0.091,-0.099
1575991110660,2019-12-10T15:18:30.660,1.809,1.021,1.098,-0.030
1575991110679,2019-12-10T15:18:30.679,1.828,1.166,2.142,-0.084
1575991110700,2019-12-10T15:18:30.700,1.849,0.808,1.905,0.030
1575991110719,2019-12-10T15:18:30.719,1.868,0.450,0.960,0.175
1575991110739,2019-12-10T15:18:30.739,1.888,0.503,0.351,0.114
1575991110760,2019-12-10T15:18:30.760,1.909,0.549,0.602,0.038
1575991110779,2019-12-10T15:18:30.779,1.928,0.869,1.128,-0.145
1575991110799,2019-12-10T15:18:30.799,1.948,1.014,1.044,-0.198
1575991110818,2019-12-10T15:18:30.818,1.967,0.823,0.861,-0.015
1575991110839,2019-12-10T15:18:30.839,1.988,0.564,0.671,-0.023
1575991110858,2019-12-10T15:18:30.858,2.007,0.480,0.305,-0.183
1575991110878,2019-12-10T15:18:30.878,2.027,0.655,0.076,-0.191
1575991110899,2019-12-10T15:18:30.899,2.048,0.694,-0.069,-0.213
1575991110918,2019-12-10T15:18:30.918,2.067,0.335,-0.587,-0.252
1575991110938,2019-12-10T15:18:30.938,2.087,0.183,-0.579,-0.122
1575991110958,2019-12-10T15:18:30.958,2.107,0.412,-0.046,-0.084
1575991110978,2019-12-10T15:18:30.978,2.127,0.617,0.213,-0.213
