epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1576842596227,2019-12-20T11:49:56.227,0.000,0.518,-0.013,0.814
1576842596248,2019-12-20T11:49:56.248,0.021,0.524,-0.013,0.820
1576842596267,2019-12-20T11:49:56.267,0.040,0.526,-0.014,0.817
1576842596288,2019-12-20T11:49:56.288,0.061,0.521,-0.014,0.816
1576842596308,2019-12-20T11:49:56.308,0.081,0.519,-0.013,0.817
1576842596327,2019-12-20T11:49:56.327,0.100,0.520,-0.013,0.818
1576842596348,2019-12-20T11:49:56.348,0.121,0.524,-0.015,0.816
1576842596367,2019-12-20T11:49:56.367,0.140,0.521,-0.015,0.817
1576842596387,2019-12-20T11:49:56.387,0.160,0.521,-0.015,0.820
1576842596406,2019-12-20T11:49:56.406,0.179,0.522,-0.014,0.820
1576842596427,2019-12-20T11:49:56.427,0.200,0.516,-0.014,0.819
1576842596447,2019-12-20T11:49:56.447,0.220,0.519,-0.014,0.816
1576842596466,2019-12-20T11:49:56.466,0.239,0.525,-0.013,0.818
1576842596487,2019-12-20T11:49:56.487,0.260,0.531,-0.013,0.818
1576842596506,2019-12-20T11:49:56.506,0.279,0.531,-0.014,0.813
1576842596526,2019-12-20T11:49:56.526,0.299,0.526,-0.016,0.813
1576842596545,2019-12-20T11:49:56.545,0.318,0.522,-0.014,0.821
1576842596566,2019-12-20T11:49:56.566,0.339,0.520,-0.014,0.821
1576842596586,2019-12-20T11:49:56.586,0.359,0.520,-0.014,0.817
1576842596605,2019-12-20T11:49:56.605,0.378,0.526,-0.014,0.815
1576842596626,2019-12-20T11:49:56.626,0.399,0.527,-0.014,0.819
1576842596645,2019-12-20T11:49:56.645,0.418,0.523,-0.015,0.819
1576842596665,2019-12-20T11:49:56.665,0.438,0.519,-0.015,0.819
1576842596685,2019-12-20T11:49:56.685,0.458,0.521,-0.014,0.819
1576842596705,2019-12-20T11:49:56.705,0.478,0.524,-0.014,0.818
1576842596726,2019-12-20T11:49:56.726,0.499,0.523,-0.015,0.818
1576842596745,2019-12-20T11:49:56.745,0.518,0.521,-0.014,0.819
1576842596765,2019-12-20T11:49:56.765,0.538,0.526,-0.013,0.817
1576842596784,2019-12-20T11:49:56.784,0.557,0.529,-0.014,0.817
1576842596805,2019-12-20T11:49:56.805,0.578,0.525,-0.016,0.817
1576842596824,2019-12-20T11:49:56.824,0.597,0.521,-0.015,0.818
1576842596844,2019-12-20T11:49:56.844,0.617,0.524,-0.014,0.819
1576842596863,2019-12-20T11:49:56.863,0.636,0.526,-0.012,0.817
1576842596884,2019-12-20T11:49:56.884,0.657,0.525,-0.012,0.815
1576842596904,2019-12-20T11:49:56.904,0.677,0.523,-0.013,0.818
1576842596923,2019-12-20T11:49:56.923,0.696,0.524,-0.014,0.818
1576842596944,2019-12-20T11:49:56.944,0.717,0.525,-0.014,0.817
1576842596963,2019-12-20T11:49:56.963,0.736,0.524,-0.014,0.817
1576842596983,2019-12-20T11:49:56.983,0.756,0.522,-0.015,0.817
1576842597002,2019-12-20T11:49:57.002,0.775,0.522,-0.012,0.817
1576842597023,2019-12-20T11:49:57.023,0.796,0.523,-0.013,0.815
1576842597043,2019-12-20T11:49:57.043,0.816,0.527,-0.014,0.817
1576842597062,2019-12-20T11:49:57.062,0.835,0.529,-0.016,0.819
1576842597083,2019-12-20T11:49:57.083,0.856,0.525,-0.016,0.817
1576842597102,2019-12-20T11:49:57.102,0.875,0.524,-0.015,0.816
1576842597122,2019-12-20T11:49:57.122,0.895,0.526,-0.013,0.815
1576842597142,2019-12-20T11:49:57.142,0.915,0.529,-0.014,0.815
