epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1578243447719,2020-01-05T16:57:27.719,0.000,0.261,0.947,0.091
1578243447738,2020-01-05T16:57:27.738,0.019,0.263,0.955,0.093
1578243447759,2020-01-05T16:57:27.759,0.040,0.262,0.953,0.092
1578243447778,2020-01-05T16:57:27.778,0.059,0.263,0.951,0.092
1578243447798,2020-01-05T16:57:27.798,0.079,0.266,0.952,0.092
1578243447817,2020-01-05T16:57:27.817,0.098,0.267,0.951,0.092
1578243447838,2020-01-05T16:57:27.838,0.119,0.266,0.950,0.091
1578243447858,2020-01-05T16:57:27.858,0.139,0.266,0.949,0.092
1578243447877,2020-01-05T16:57:27.877,0.158,0.268,0.952,0.091
1578243447898,2020-01-05T16:57:27.898,0.179,0.266,0.952,0.091
1578243447917,2020-01-05T16:57:27.917,0.198,0.266,0.950,0.090
1578243447938,2020-01-05T16:57:27.938,0.219,0.267,0.952,0.090
1578243447957,2020-01-05T16:57:27.957,0.238,0.265,0.952,0.091
1578243447977,2020-01-05T16:57:27.977,0.258,0.264,0.952,0.091
1578243447998,2020-01-05T16:57:27.998,0.279,0.264,0.951,0.090
1578243448017,2020-01-05T16:57:28.017,0.298,0.263,0.951,0.092
1578243448037,2020-01-05T16:57:28.037,0.318,0.265,0.952,0.091
1578243448056,2020-01-05T16:57:28.056,0.337,0.263,0.952,0.092
1578243448077,2020-01-05T16:57:28.077,0.358,0.263,0.951,0.092
1578243448096,2020-01-05T16:57:28.096,0.377,0.263,0.950,0.093
1578243448116,2020-01-05T16:57:28.116,0.397,0.265,0.953,0.092
1578243448137,2020-01-05T16:57:28.137,0.418,0.265,0.951,0.091
1578243448156,2020-01-05T16:57:28.156,0.437,0.264,0.952,0.090
1578243448176,2020-01-05T16:57:28.176,0.457,0.265,0.953,0.091
1578243448195,2020-01-05T16:57:28.195,0.476,0.263,0.951,0.091
1578243448216,2020-01-05T16:57:28.216,0.497,0.253,0.951,0.095
1578243448235,2020-01-05T16:57:28.235,0.516,0.256,0.951,0.095
1578243448255,2020-01-05T16:57:28.255,0.536,0.270,0.954,0.099
1578243448276,2020-01-05T16:57:28.276,0.557,0.279,0.953,0.091
1578243448295,2020-01-05T16:57:28.295,0.576,0.279,0.948,0.082
1578243448315,2020-01-05T16:57:28.315,0.596,0.276,0.948,0.083
1578243448334,2020-01-05T16:57:28.334,0.615,0.276,0.951,0.085
1578243448355,2020-01-05T16:57:28.355,0.636,0.258,0.954,0.089
1578243448374,2020-01-05T16:57:28.374,0.655,0.263,0.951,0.090
