epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1578243948612,2020-01-05T17:05:48.612,0.000,1.014,-0.168,-0.282
1578243948633,2020-01-05T17:05:48.633,0.021,0.655,0.015,0.511
1578243948652,2020-01-05T17:05:48.652,0.040,0.625,-0.191,0.168
1578243948672,2020-01-05T17:05:48.672,0.060,0.785,-0.099,0.008
1578243948691,2020-01-05T17:05:48.691,0.079,0.915,0.160,-0.107
1578243948712,2020-01-05T17:05:48.712,0.100,0.899,0.244,-0.191
1578243948732,2020-01-05T17:05:48.732,0.120,0.800,0.297,-0.236
1578243948752,2020-01-05T17:05:48.752,0.140,0.716,0.358,-0.358
1578243948772,2020-01-05T17:05:48.772,0.160,0.777,0.434,-0.457
1578243948791,2020-01-05T17:05:48.791,0.179,0.739,0.373,-0.419
1578243948812,2020-01-05T17:05:48.812,0.200,0.678,0.191,-0.221
1578243948831,2020-01-05T17:05:48.831,0.219,0.770,0.030,-0.046
1578243948851,2020-01-05T17:05:48.851,0.239,0.709,0.061,-0.015
1578243948872,2020-01-05T17:05:48.872,0.260,0.793,0.091,0.023
1578243948891,2020-01-05T17:05:48.891,0.279,0.793,0.175,0.053
1578243948911,2020-01-05T17:05:48.911,0.299,0.777,0.191,-0.038
1578243948930,2020-01-05T17:05:48.930,0.318,0.709,0.267,-0.236
1578243948951,2020-01-05T17:05:48.951,0.339,0.655,0.419,-0.427
1578243948970,2020-01-05T17:05:48.970,0.358,0.678,0.518,-0.503
1578243948990,2020-01-05T17:05:48.990,0.378,0.686,0.442,-0.503
1578243949011,2020-01-05T17:05:49.011,0.399,0.739,0.351,-0.389
1578243949030,2020-01-05T17:05:49.030,0.418,0.777,0.213,-0.252
1578243949050,2020-01-05T17:05:49.050,0.438,0.892,0.236,-0.137
1578243949069,2020-01-05T17:05:49.069,0.457,0.892,0.213,-0.091
1578243949090,2020-01-05T17:05:49.090,0.478,0.770,0.053,-0.107
1578243949109,2020-01-05T17:05:49.109,0.497,0.724,0.015,-0.091
1578243949129,2020-01-05T17:05:49.129,0.517,0.625,0.122,-0.091
1578243949150,2020-01-05T17:05:49.150,0.538,0.602,0.320,-0.175
1578243949169,2020-01-05T17:05:49.169,0.557,0.808,0.412,-0.366
1578243949190,2020-01-05T17:05:49.190,0.578,0.800,0.259,-0.396
1578243949209,2020-01-05T17:05:49.209,0.597,0.709,0.183,-0.351
1578243949229,2020-01-05T17:05:49.229,0.617,0.770,0.198,-0.313
1578243949248,2020-01-05T17:05:49.248,0.636,0.701,0.236,-0.213
1578243949269,2020-01-05T17:05:49.269,0.657,0.770,0.198,-0.191
1578243949289,2020-01-05T17:05:49.289,0.677,0.747,0.252,-0.175
1578243949308,2020-01-05T17:05:49.308,0.696,0.770,0.206,-0.122
