epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1583332756036,2020-03-04T14:39:16.036,0.000,26.593,15.503,-72.378
1583332756056,2020-03-04T14:39:16.056,0.020,25.259,16.982,-72.386
1583332756075,2020-03-04T14:39:16.075,0.039,20.976,19.970,-77.279
1583332756096,2020-03-04T14:39:16.096,0.060,15.091,12.309,-78.948
1583332756116,2020-03-04T14:39:16.116,0.080,12.035,1.936,-75.976
1583332756136,2020-03-04T14:39:16.136,0.100,10.511,-9.078,-73.354
1583332756156,2020-03-04T14:39:16.156,0.120,7.866,-14.954,-71.944
1583332756175,2020-03-04T14:39:16.175,0.139,6.067,-10.922,-70.473
1583332756196,2020-03-04T14:39:16.196,0.160,3.857,-4.306,-68.765
1583332756215,2020-03-04T14:39:16.215,0.179,2.409,4.223,-65.587
1583332756235,2020-03-04T14:39:16.235,0.199,1.936,8.742,-61.189
1583332756256,2020-03-04T14:39:16.256,0.220,1.235,5.831,-57.553
1583332756275,2020-03-04T14:39:16.275,0.239,-0.168,-0.396,-55.015
1583332756295,2020-03-04T14:39:16.295,0.259,-3.559,-49.131,-47.294
1583332756314,2020-03-04T14:39:16.314,0.278,16.395,-27.767,-29.139
1583332756335,2020-03-04T14:39:16.335,0.299,20.823,2.500,-22.332
1583332756354,2020-03-04T14:39:16.354,0.318,16.387,-12.447,-10.823
1583332756374,2020-03-04T14:39:16.374,0.338,13.262,-20.701,-6.227
1583332756395,2020-03-04T14:39:16.395,0.359,7.149,-27.973,-8.765
1583332756414,2020-03-04T14:39:16.414,0.378,1.761,-36.143,-11.890
1583332756434,2020-03-04T14:39:16.434,0.398,-2.485,-34.657,-11.128
1583332756453,2020-03-04T14:39:16.453,0.417,-6.189,-27.348,-9.123
1583332756474,2020-03-04T14:39:16.474,0.438,-6.166,-20.389,-9.726
1583332756493,2020-03-04T14:39:16.493,0.457,-0.556,-15.617,-13.041
1583332756513,2020-03-04T14:39:16.513,0.477,3.537,-14.893,-14.055
1583332756534,2020-03-04T14:39:16.534,0.498,4.223,-15.023,-7.241
1583332756553,2020-03-04T14:39:16.553,0.517,3.643,-22.614,-2.317
1583332756574,2020-03-04T14:39:16.574,0.538,3.140,-22.774,-0.595
1583332756593,2020-03-04T14:39:16.593,0.557,3.270,-18.742,-0.739
1583332756613,2020-03-04T14:39:16.613,0.577,3.407,-8.582,-0.534
1583332756632,2020-03-04T14:39:16.632,0.596,2.584,0.998,-0.503
