epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1585567236551,2020-03-30T12:20:36.551,0.000,0.077,-0.003,0.951
1585567236572,2020-03-30T12:20:36.572,0.021,0.071,-0.001,0.956
1585567236591,2020-03-30T12:20:36.591,0.040,0.070,-0.001,0.956
1585567236611,2020-03-30T12:20:36.611,0.060,0.075,-0.000,0.959
1585567236632,2020-03-30T12:20:36.632,0.081,0.083,-0.001,0.957
1585567236651,2020-03-30T12:20:36.651,0.100,0.087,-0.001,0.955
1585567236671,2020-03-30T12:20:36.671,0.120,0.088,-0.004,0.955
1585567236690,2020-03-30T12:20:36.690,0.139,0.079,-0.002,0.955
1585567236711,2020-03-30T12:20:36.711,0.160,0.070,-0.000,0.957
1585567236730,2020-03-30T12:20:36.730,0.179,0.071,-0.001,0.954
1585567236750,2020-03-30T12:20:36.750,0.199,0.077,-0.003,0.956
1585567236769,2020-03-30T12:20:36.769,0.218,0.082,-0.002,0.958
1585567236790,2020-03-30T12:20:36.790,0.239,0.085,-0.003,0.957
1585567236810,2020-03-30T12:20:36.810,0.259,0.078,-0.000,0.959
1585567236829,2020-03-30T12:20:36.829,0.278,0.077,-0.002,0.951
1585567236850,2020-03-30T12:20:36.850,0.299,0.077,-0.003,0.956
1585567236869,2020-03-30T12:20:36.869,0.318,0.076,-0.001,0.960
1585567236890,2020-03-30T12:20:36.890,0.339,0.074,0.000,0.958
1585567236909,2020-03-30T12:20:36.909,0.358,0.081,0.001,0.960
1585567236929,2020-03-30T12:20:36.929,0.378,0.091,0.002,0.960
1585567236950,2020-03-30T12:20:36.950,0.399,0.084,-0.001,0.953
1585567236969,2020-03-30T12:20:36.969,0.418,0.068,-0.002,0.954
1585567236989,2020-03-30T12:20:36.989,0.438,0.077,-0.004,0.955
1585567237008,2020-03-30T12:20:37.008,0.457,0.085,-0.001,0.961
1585567237029,2020-03-30T12:20:37.029,0.478,0.077,0.002,0.961
1585567237048,2020-03-30T12:20:37.048,0.497,0.061,0.004,0.956
1585567237068,2020-03-30T12:20:37.068,0.517,0.068,0.001,0.950
1585567237089,2020-03-30T12:20:37.089,0.538,0.076,-0.003,0.956
1585567237108,2020-03-30T12:20:37.108,0.557,0.084,-0.004,0.959
1585567237128,2020-03-30T12:20:37.128,0.577,0.088,-0.002,0.958
1585567237147,2020-03-30T12:20:37.147,0.596,0.085,0.001,0.960
1585567237168,2020-03-30T12:20:37.168,0.617,0.083,0.003,0.955
1585567237187,2020-03-30T12:20:37.187,0.636,0.083,0.002,0.958
1585567237207,2020-03-30T12:20:37.207,0.656,0.077,-0.002,0.956
1585567237228,2020-03-30T12:20:37.228,0.677,0.081,-0.004,0.955
1585567237247,2020-03-30T12:20:37.247,0.696,0.082,0.000,0.958
1585567237267,2020-03-30T12:20:37.267,0.716,0.077,0.003,0.958
1585567237286,2020-03-30T12:20:37.286,0.735,0.079,0.003,0.959
1585567237307,2020-03-30T12:20:37.307,0.756,0.083,-0.000,0.956
1585567237326,2020-03-30T12:20:37.326,0.775,0.084,-0.002,0.957
1585567237347,2020-03-30T12:20:37.347,0.796,0.071,-0.001,0.956
1585567237366,2020-03-30T12:20:37.366,0.815,0.068,0.001,0.957
1585567237386,2020-03-30T12:20:37.386,0.835,0.079,0.001,0.958
1585567237407,2020-03-30T12:20:37.407,0.856,0.088,-0.001,0.957
1585567237426,2020-03-30T12:20:37.426,0.875,0.084,-0.002,0.957
1585567237446,2020-03-30T12:20:37.446,0.895,0.081,-0.000,0.958
1585567237465,2020-03-30T12:20:37.465,0.914,0.080,0.000,0.958
1585567237486,2020-03-30T12:20:37.486,0.935,0.073,0.000,0.955
1585567237505,2020-03-30T12:20:37.505,0.954,0.066,0.000,0.956
1585567237525,2020-03-30T12:20:37.525,0.974,0.069,-0.000,0.956
1585567237546,2020-03-30T12:20:37.546,0.995,0.087,-0.002,0.957
1585567237565,2020-03-30T12:20:37.565,1.014,0.093,0.000,0.959
1585567237585,2020-03-30T12:20:37.585,1.034,0.086,0.001,0.959
1585567237604,2020-03-30T12:20:37.604,1.053,0.078,0.001,0.958
1585567237625,2020-03-30T12:20:37.625,1.074,0.078,0.001,0.956
1585567237644,2020-03-30T12:20:37.644,1.093,0.079,-0.001,0.958
1585567237664,2020-03-30T12:20:37.664,1.113,0.084,-0.001,0.959
1585567237685,2020-03-30T12:20:37.685,1.134,0.082,-0.001,0.957
1585567237704,2020-03-30T12:20:37.704,1.153,0.077,0.000,0.957
1585567237724,2020-03-30T12:20:37.724,1.173,0.081,0.002,0.957
1585567237744,2020-03-30T12:20:37.744,1.193,0.082,-0.001,0.957
1585567237764,2020-03-30T12:20:37.764,1.213,0.075,0.001,0.955
1585567237783,2020-03-30T12:20:37.783,1.232,0.078,-0.002,0.956
1585567237804,2020-03-30T12:20:37.804,1.253,0.087,-0.002,0.957
1585567237824,2020-03-30T12:20:37.824,1.273,0.085,0.001,0.959
1585567237843,2020-03-30T12:20:37.843,1.292,0.077,-0.000,0.958
1585567237864,2020-03-30T12:20:37.864,1.313,0.077,-0.003,0.957
1585567237883,2020-03-30T12:20:37.883,1.332,0.087,-0.004,0.958
1585567237903,2020-03-30T12:20:37.903,1.352,0.093,-0.003,0.961
1585567237922,2020-03-30T12:20:37.922,1.371,0.085,-0.001,0.957
1585567237943,2020-03-30T12:20:37.943,1.392,0.070,0.004,0.956
1585567237963,2020-03-30T12:20:37.963,1.412,0.070,0.002,0.956
1585567237982,2020-03-30T12:20:37.982,1.431,0.081,-0.001,0.959
1585567238003,2020-03-30T12:20:38.003,1.452,0.081,-0.002,0.959
1585567238022,2020-03-30T12:20:38.022,1.471,0.065,-0.003,0.957
1585567238042,2020-03-30T12:20:38.042,1.491,0.064,0.001,0.954
1585567238061,2020-03-30T12:20:38.061,1.510,0.080,0.000,0.957
1585567238082,2020-03-30T12:20:38.082,1.531,0.089,-0.002,0.960
1585567238101,2020-03-30T12:20:38.101,1.550,0.087,-0.002,0.959
1585567238121,2020-03-30T12:20:38.121,1.570,0.078,-0.002,0.955
1585567238142,2020-03-30T12:20:38.142,1.591,0.066,-0.001,0.956
1585567238161,2020-03-30T12:20:38.161,1.610,0.069,0.000,0.958
1585567238182,2020-03-30T12:20:38.182,1.631,0.083,0.000,0.958
1585567238201,2020-03-30T12:20:38.201,1.650,0.094,-0.001,0.958
1585567238221,2020-03-30T12:20:38.221,1.670,0.084,-0.002,0.958
1585567238240,2020-03-30T12:20:38.240,1.689,0.074,-0.002,0.958
1585567238261,2020-03-30T12:20:38.261,1.710,0.073,-0.001,0.956
1585567238281,2020-03-30T12:20:38.281,1.730,0.077,-0.002,0.956
1585567238300,2020-03-30T12:20:38.300,1.749,0.086,-0.002,0.960
1585567238321,2020-03-30T12:20:38.321,1.770,0.092,-0.001,0.963
1585567238340,2020-03-30T12:20:38.340,1.789,0.086,-0.001,0.957
1585567238360,2020-03-30T12:20:38.360,1.809,0.074,0.002,0.957
1585567238379,2020-03-30T12:20:38.379,1.828,0.074,-0.001,0.956
1585567238400,2020-03-30T12:20:38.400,1.849,0.089,-0.003,0.961
1585567238420,2020-03-30T12:20:38.420,1.869,0.087,-0.002,0.958
1585567238439,2020-03-30T12:20:38.439,1.888,0.072,-0.001,0.957
1585567238460,2020-03-30T12:20:38.460,1.909,0.071,-0.001,0.956
1585567238479,2020-03-30T12:20:38.479,1.928,0.082,-0.001,0.959
1585567238499,2020-03-30T12:20:38.499,1.948,0.087,-0.001,0.960
1585567238518,2020-03-30T12:20:38.518,1.967,0.086,-0.003,0.959
1585567238539,2020-03-30T12:20:38.539,1.988,0.073,-0.002,0.958
1585567238559,2020-03-30T12:20:38.559,2.008,0.072,-0.002,0.955
1585567238578,2020-03-30T12:20:38.578,2.027,0.084,-0.000,0.958
1585567238599,2020-03-30T12:20:38.599,2.048,0.086,-0.001,0.959
1585567238618,2020-03-30T12:20:38.618,2.067,0.080,-0.002,0.959
1585567238639,2020-03-30T12:20:38.639,2.088,0.078,-0.003,0.958
1585567238658,2020-03-30T12:20:38.658,2.107,0.077,-0.001,0.959
1585567238678,2020-03-30T12:20:38.678,2.127,0.074,-0.001,0.959
1585567238697,2020-03-30T12:20:38.697,2.146,0.082,-0.000,0.960
1585567238718,2020-03-30T12:20:38.718,2.167,0.093,-0.003,0.958
1585567238738,2020-03-30T12:20:38.738,2.187,0.086,-0.001,0.959
1585567238757,2020-03-30T12:20:38.757,2.206,0.075,-0.002,0.955
1585567238778,2020-03-30T12:20:38.778,2.227,0.073,-0.002,0.958
1585567238797,2020-03-30T12:20:38.797,2.246,0.085,-0.001,0.959
1585567238817,2020-03-30T12:20:38.817,2.266,0.088,-0.002,0.957
1585567238836,2020-03-30T12:20:38.836,2.285,0.075,-0.001,0.956
1585567238857,2020-03-30T12:20:38.857,2.306,0.068,-0.000,0.958
1585567238877,2020-03-30T12:20:38.877,2.326,0.078,-0.002,0.962
1585567238896,2020-03-30T12:20:38.896,2.345,0.090,-0.004,0.960
