epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1583850697141,2020-03-10T14:31:37.141,0.000,-0.070,-0.102,0.944
1583850697162,2020-03-10T14:31:37.162,0.021,-0.074,-0.105,0.954
1583850697181,2020-03-10T14:31:37.181,0.040,-0.060,-0.105,0.958
1583850697201,2020-03-10T14:31:37.201,0.060,-0.051,-0.102,0.956
1583850697220,2020-03-10T14:31:37.220,0.079,-0.054,-0.105,0.955
1583850697241,2020-03-10T14:31:37.241,0.100,-0.056,-0.106,0.955
1583850697260,2020-03-10T14:31:37.260,0.119,-0.059,-0.103,0.954
1583850697280,2020-03-10T14:31:37.280,0.139,-0.061,-0.104,0.954
1583850697301,2020-03-10T14:31:37.301,0.160,-0.062,-0.103,0.953
1583850697320,2020-03-10T14:31:37.320,0.179,-0.058,-0.103,0.955
1583850697340,2020-03-10T14:31:37.340,0.199,-0.050,-0.103,0.955
1583850697359,2020-03-10T14:31:37.359,0.218,-0.052,-0.105,0.956
1583850697380,2020-03-10T14:31:37.380,0.239,-0.056,-0.105,0.954
1583850697399,2020-03-10T14:31:37.399,0.258,-0.054,-0.103,0.954
1583850697419,2020-03-10T14:31:37.419,0.278,-0.048,-0.105,0.957
1583850697440,2020-03-10T14:31:37.440,0.299,-0.050,-0.104,0.956
1583850697459,2020-03-10T14:31:37.459,0.318,-0.055,-0.104,0.958
1583850697479,2020-03-10T14:31:37.479,0.338,-0.055,-0.104,0.955
1583850697498,2020-03-10T14:31:37.498,0.357,-0.056,-0.103,0.955
1583850697519,2020-03-10T14:31:37.519,0.378,-0.057,-0.103,0.954
1583850697538,2020-03-10T14:31:37.538,0.397,-0.057,-0.104,0.957
1583850697559,2020-03-10T14:31:37.559,0.418,-0.056,-0.102,0.956
1583850697578,2020-03-10T14:31:37.578,0.437,-0.052,-0.103,0.954
1583850697598,2020-03-10T14:31:37.598,0.457,-0.052,-0.108,0.954
1583850697619,2020-03-10T14:31:37.619,0.478,-0.056,-0.105,0.954
1583850697638,2020-03-10T14:31:37.638,0.497,-0.062,-0.104,0.956
1583850697658,2020-03-10T14:31:37.658,0.517,-0.066,-0.104,0.953
1583850697677,2020-03-10T14:31:37.677,0.536,-0.066,-0.104,0.954
1583850697698,2020-03-10T14:31:37.698,0.557,-0.056,-0.104,0.956
1583850697717,2020-03-10T14:31:37.717,0.576,-0.051,-0.103,0.955
1583850697737,2020-03-10T14:31:37.737,0.596,-0.057,-0.103,0.958
1583850697758,2020-03-10T14:31:37.758,0.617,-0.061,-0.102,0.957
1583850697777,2020-03-10T14:31:37.777,0.636,-0.059,-0.103,0.955
1583850697797,2020-03-10T14:31:37.797,0.656,-0.054,-0.104,0.956
1583850697816,2020-03-10T14:31:37.816,0.675,-0.052,-0.103,0.957
1583850697837,2020-03-10T14:31:37.837,0.696,-0.051,-0.103,0.954
1583850697856,2020-03-10T14:31:37.856,0.715,-0.052,-0.102,0.955
1583850697876,2020-03-10T14:31:37.876,0.735,-0.052,-0.103,0.957
1583850697897,2020-03-10T14:31:37.897,0.756,-0.052,-0.105,0.959
1583850697916,2020-03-10T14:31:37.916,0.775,-0.054,-0.103,0.955
1583850697936,2020-03-10T14:31:37.936,0.795,-0.056,-0.102,0.953
1583850697956,2020-03-10T14:31:37.956,0.815,-0.053,-0.105,0.955
1583850697976,2020-03-10T14:31:37.976,0.835,-0.052,-0.106,0.958
1583850697995,2020-03-10T14:31:37.995,0.854,-0.052,-0.104,0.957
1583850698016,2020-03-10T14:31:38.016,0.875,-0.056,-0.105,0.954
1583850698036,2020-03-10T14:31:38.036,0.895,-0.057,-0.105,0.955
1583850698055,2020-03-10T14:31:38.055,0.914,-0.055,-0.104,0.958
1583850698076,2020-03-10T14:31:38.076,0.935,-0.055,-0.105,0.955
1583850698095,2020-03-10T14:31:38.095,0.954,-0.055,-0.102,0.955
1583850698115,2020-03-10T14:31:38.115,0.974,-0.055,-0.102,0.956
1583850698134,2020-03-10T14:31:38.134,0.993,-0.055,-0.102,0.957
1583850698155,2020-03-10T14:31:38.155,1.014,-0.054,-0.102,0.955
1583850698174,2020-03-10T14:31:38.174,1.033,-0.056,-0.105,0.955
1583850698194,2020-03-10T14:31:38.194,1.053,-0.053,-0.104,0.958
1583850698215,2020-03-10T14:31:38.215,1.074,-0.052,-0.102,0.956
1583850698234,2020-03-10T14:31:38.234,1.093,-0.054,-0.104,0.956
1583850698254,2020-03-10T14:31:38.254,1.113,-0.059,-0.105,0.956
1583850698273,2020-03-10T14:31:38.273,1.132,-0.056,-0.105,0.955
1583850698294,2020-03-10T14:31:38.294,1.153,-0.049,-0.102,0.956
1583850698313,2020-03-10T14:31:38.313,1.172,-0.046,-0.102,0.958
1583850698333,2020-03-10T14:31:38.333,1.192,-0.052,-0.104,0.958
1583850698354,2020-03-10T14:31:38.354,1.213,-0.057,-0.103,0.957
1583850698373,2020-03-10T14:31:38.373,1.232,-0.058,-0.104,0.954
1583850698394,2020-03-10T14:31:38.394,1.253,-0.059,-0.104,0.956
1583850698413,2020-03-10T14:31:38.413,1.272,-0.059,-0.104,0.956
1583850698433,2020-03-10T14:31:38.433,1.292,-0.052,-0.105,0.959
1583850698452,2020-03-10T14:31:38.452,1.311,-0.050,-0.106,0.957
1583850698473,2020-03-10T14:31:38.473,1.332,-0.057,-0.105,0.957
1583850698493,2020-03-10T14:31:38.493,1.352,-0.067,-0.103,0.956
1583850698512,2020-03-10T14:31:38.512,1.371,-0.064,-0.103,0.955
1583850698533,2020-03-10T14:31:38.533,1.392,-0.053,-0.105,0.955
1583850698552,2020-03-10T14:31:38.552,1.411,-0.051,-0.104,0.957
1583850698572,2020-03-10T14:31:38.572,1.431,-0.050,-0.103,0.959
1583850698591,2020-03-10T14:31:38.591,1.450,-0.055,-0.103,0.956
1583850698612,2020-03-10T14:31:38.612,1.471,-0.062,-0.103,0.954
