epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1583926881992,2020-03-11T11:41:21.992,0.000,0.640,0.686,0.046
1583926882013,2020-03-11T11:41:22.013,0.021,0.800,0.526,0.191
1583926882032,2020-03-11T11:41:22.032,0.040,1.021,0.274,0.023
1583926882052,2020-03-11T11:41:22.052,0.060,1.273,0.320,-0.030
1583926882073,2020-03-11T11:41:22.073,0.081,1.578,0.610,-0.191
1583926882092,2020-03-11T11:41:22.092,0.100,2.027,0.922,0.206
1583926882112,2020-03-11T11:41:22.112,0.120,2.515,1.303,0.480
1583926882131,2020-03-11T11:41:22.131,0.139,2.050,1.326,0.244
1583926882152,2020-03-11T11:41:22.152,0.160,1.402,0.686,0.480
1583926882171,2020-03-11T11:41:22.171,0.179,0.716,0.221,0.495
1583926882191,2020-03-11T11:41:22.191,0.199,-0.008,0.252,-0.069
1583926882212,2020-03-11T11:41:22.212,0.220,0.107,-1.273,-0.595
1583926882231,2020-03-11T11:41:22.231,0.239,-0.313,-3.277,-1.159
1583926882252,2020-03-11T11:41:22.252,0.260,-1.181,-3.758,-1.532
1583926882271,2020-03-11T11:41:22.271,0.279,-1.288,-3.209,-1.502
1583926882291,2020-03-11T11:41:22.291,0.299,-0.549,-2.912,-1.524
1583926882310,2020-03-11T11:41:22.310,0.318,0.396,-2.790,-1.479
1583926882331,2020-03-11T11:41:22.331,0.339,1.120,-2.752,-1.623
1583926882351,2020-03-11T11:41:22.351,0.359,1.341,-2.721,-1.631
1583926882370,2020-03-11T11:41:22.370,0.378,1.585,-1.829,-1.174
1583926882391,2020-03-11T11:41:22.391,0.399,1.296,-0.640,-0.633
1583926882410,2020-03-11T11:41:22.410,0.418,0.739,0.221,-0.358
1583926882430,2020-03-11T11:41:22.430,0.438,0.015,0.526,-0.107
1583926882449,2020-03-11T11:41:22.449,0.457,-0.252,1.608,0.450
1583926882470,2020-03-11T11:41:22.470,0.478,-0.427,2.668,1.143
1583926882490,2020-03-11T11:41:22.490,0.498,-0.549,2.873,1.395
1583926882509,2020-03-11T11:41:22.509,0.517,-0.404,1.974,0.930
1583926882530,2020-03-11T11:41:22.530,0.538,-0.107,0.534,0.168
1583926882549,2020-03-11T11:41:22.549,0.557,0.473,-0.488,-0.473
1583926882569,2020-03-11T11:41:22.569,0.577,0.960,-1.082,-0.892
1583926882588,2020-03-11T11:41:22.588,0.596,1.570,-1.837,-1.448
1583926882609,2020-03-11T11:41:22.609,0.617,2.027,-2.569,-1.745
1583926882629,2020-03-11T11:41:22.629,0.637,2.088,-2.637,-1.738
1583926882648,2020-03-11T11:41:22.648,0.656,1.753,-1.905,-1.334
1583926882669,2020-03-11T11:41:22.669,0.677,1.494,-0.762,-0.755
1583926882688,2020-03-11T11:41:22.688,0.696,0.998,0.526,-0.137
1583926882709,2020-03-11T11:41:22.709,0.717,0.549,0.877,0.191
1583926882728,2020-03-11T11:41:22.728,0.736,0.473,0.236,0.030
1583926882748,2020-03-11T11:41:22.748,0.756,0.770,-0.465,-0.381
1583926882767,2020-03-11T11:41:22.767,0.775,0.892,-0.976,-0.854
1583926882788,2020-03-11T11:41:22.788,0.796,0.976,-1.700,-1.197
1583926882808,2020-03-11T11:41:22.808,0.816,0.846,-2.454,-1.364
1583926882827,2020-03-11T11:41:22.827,0.835,0.701,-2.736,-1.349
1583926882848,2020-03-11T11:41:22.848,0.856,0.564,-2.363,-1.098
1583926882867,2020-03-11T11:41:22.867,0.875,0.625,-1.578,-0.770
1583926882887,2020-03-11T11:41:22.887,0.895,0.785,-0.854,-0.617
1583926882906,2020-03-11T11:41:22.906,0.914,0.762,-0.366,-0.541
1583926882927,2020-03-11T11:41:22.927,0.935,0.846,-0.473,-0.602
1583926882947,2020-03-11T11:41:22.947,0.955,1.380,-0.998,-0.793
1583926882966,2020-03-11T11:41:22.966,0.974,1.715,-1.326,-1.113
1583926882987,2020-03-11T11:41:22.987,0.995,1.913,-1.471,-1.364
1583926883006,2020-03-11T11:41:23.006,1.014,1.928,-1.258,-1.280
1583926883026,2020-03-11T11:41:23.026,1.034,1.761,-0.998,-0.991
1583926883045,2020-03-11T11:41:23.045,1.053,1.471,-0.434,-0.564
1583926883066,2020-03-11T11:41:23.066,1.074,0.968,0.313,-0.107
1583926883086,2020-03-11T11:41:23.086,1.094,0.610,0.808,0.320
1583926883106,2020-03-11T11:41:23.106,1.114,0.457,0.915,0.389
1583926883126,2020-03-11T11:41:23.126,1.134,0.572,0.617,0.206
1583926883145,2020-03-11T11:41:23.145,1.153,0.556,0.069,-0.107
1583926883166,2020-03-11T11:41:23.166,1.174,0.915,-0.381,-0.328
1583926883185,2020-03-11T11:41:23.185,1.193,1.113,-0.549,-0.389
1583926883205,2020-03-11T11:41:23.205,1.213,1.189,-0.442,-0.434
1583926883226,2020-03-11T11:41:23.226,1.234,0.991,-0.442,-0.366
1583926883245,2020-03-11T11:41:23.245,1.253,0.595,-0.328,-0.252
1583926883265,2020-03-11T11:41:23.265,1.273,0.442,0.236,-0.038
1583926883284,2020-03-11T11:41:23.284,1.292,0.488,0.777,0.076
1583926883305,2020-03-11T11:41:23.305,1.313,0.663,0.450,-0.030
1583926883324,2020-03-11T11:41:23.324,1.332,0.854,0.053,-0.259
1583926883344,2020-03-11T11:41:23.344,1.352,0.976,-0.030,-0.396
1583926883365,2020-03-11T11:41:23.365,1.373,0.907,-0.061,-0.442
1583926883384,2020-03-11T11:41:23.384,1.392,0.846,0.008,-0.335
1583926883404,2020-03-11T11:41:23.404,1.412,0.800,0.160,-0.206
1583926883423,2020-03-11T11:41:23.423,1.431,0.366,0.008,-0.122
1583926883444,2020-03-11T11:41:23.444,1.452,0.038,-0.053,-0.099
1583926883463,2020-03-11T11:41:23.463,1.471,0.198,0.366,0.061
1583926883483,2020-03-11T11:41:23.483,1.491,0.861,0.846,0.206
1583926883502,2020-03-11T11:41:23.502,1.510,1.250,1.090,0.229
1583926883523,2020-03-11T11:41:23.523,1.531,1.113,0.877,0.107
1583926883544,2020-03-11T11:41:23.544,1.552,0.816,0.625,0.084
1583926883563,2020-03-11T11:41:23.563,1.571,0.884,0.549,0.168
1583926883583,2020-03-11T11:41:23.583,1.591,1.181,0.587,0.252
1583926883602,2020-03-11T11:41:23.602,1.610,1.227,0.534,0.107
1583926883623,2020-03-11T11:41:23.623,1.631,1.059,0.030,-0.152
1583926883642,2020-03-11T11:41:23.642,1.650,0.884,-0.373,-0.274
1583926883662,2020-03-11T11:41:23.662,1.670,0.694,-0.556,-0.320
1583926883683,2020-03-11T11:41:23.683,1.691,0.877,-0.556,-0.290
1583926883702,2020-03-11T11:41:23.702,1.710,1.037,-0.373,-0.313
1583926883722,2020-03-11T11:41:23.722,1.730,0.823,0.030,-0.206
1583926883741,2020-03-11T11:41:23.741,1.749,0.610,0.473,-0.038
1583926883762,2020-03-11T11:41:23.762,1.770,0.625,0.884,0.168
1583926883781,2020-03-11T11:41:23.781,1.789,0.572,1.014,0.198
1583926883801,2020-03-11T11:41:23.801,1.809,0.419,0.671,0.061
1583926883822,2020-03-11T11:41:23.822,1.830,0.480,0.244,-0.137
1583926883841,2020-03-11T11:41:23.841,1.849,0.564,0.198,-0.244
1583926883861,2020-03-11T11:41:23.861,1.869,0.800,0.168,-0.328
