epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1583335229096,2020-03-04T15:20:29.096,0.000,-0.181,-0.048,0.943
1583335229115,2020-03-04T15:20:29.115,0.019,-0.198,-0.046,0.943
1583335229136,2020-03-04T15:20:29.136,0.040,-0.213,-0.042,0.935
1583335229155,2020-03-04T15:20:29.155,0.059,-0.206,-0.038,0.930
1583335229175,2020-03-04T15:20:29.175,0.079,-0.208,-0.041,0.937
1583335229194,2020-03-04T15:20:29.194,0.098,-0.216,-0.043,0.929
1583335229215,2020-03-04T15:20:29.215,0.119,-0.215,-0.042,0.927
1583335229235,2020-03-04T15:20:29.235,0.139,-0.200,-0.041,0.940
1583335229254,2020-03-04T15:20:29.254,0.158,-0.196,-0.046,0.947
1583335229275,2020-03-04T15:20:29.275,0.179,-0.207,-0.050,0.940
1583335229294,2020-03-04T15:20:29.294,0.198,-0.219,-0.044,0.934
1583335229314,2020-03-04T15:20:29.314,0.218,-0.216,-0.042,0.934
1583335229333,2020-03-04T15:20:29.333,0.237,-0.206,-0.043,0.935
1583335229354,2020-03-04T15:20:29.354,0.258,-0.203,-0.043,0.934
1583335229374,2020-03-04T15:20:29.374,0.278,-0.206,-0.043,0.936
1583335229393,2020-03-04T15:20:29.393,0.297,-0.206,-0.048,0.943
1583335229414,2020-03-04T15:20:29.414,0.318,-0.201,-0.046,0.942
1583335229433,2020-03-04T15:20:29.433,0.337,-0.205,-0.046,0.937
1583335229453,2020-03-04T15:20:29.453,0.357,-0.213,-0.046,0.935
1583335229473,2020-03-04T15:20:29.473,0.377,-0.204,-0.048,0.941
1583335229493,2020-03-04T15:20:29.493,0.397,-0.196,-0.045,0.937
1583335229514,2020-03-04T15:20:29.514,0.418,-0.203,-0.045,0.934
1583335229533,2020-03-04T15:20:29.533,0.437,-0.209,-0.048,0.935
1583335229553,2020-03-04T15:20:29.553,0.457,-0.210,-0.044,0.939
