epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1583856683328,2020-03-10T16:11:23.328,0.000,0.232,0.926,0.207
1583856683347,2020-03-10T16:11:23.347,0.019,0.236,0.933,0.206
1583856683367,2020-03-10T16:11:23.367,0.039,0.234,0.932,0.207
1583856683388,2020-03-10T16:11:23.388,0.060,0.233,0.932,0.204
1583856683407,2020-03-10T16:11:23.407,0.079,0.233,0.933,0.204
1583856683427,2020-03-10T16:11:23.427,0.099,0.232,0.934,0.206
1583856683446,2020-03-10T16:11:23.446,0.118,0.232,0.934,0.206
1583856683467,2020-03-10T16:11:23.467,0.139,0.234,0.933,0.207
1583856683486,2020-03-10T16:11:23.486,0.158,0.230,0.933,0.207
1583856683506,2020-03-10T16:11:23.506,0.178,0.231,0.933,0.208
1583856683527,2020-03-10T16:11:23.527,0.199,0.233,0.932,0.208
1583856683546,2020-03-10T16:11:23.546,0.218,0.234,0.932,0.208
1583856683566,2020-03-10T16:11:23.566,0.238,0.236,0.933,0.205
1583856683585,2020-03-10T16:11:23.585,0.257,0.233,0.932,0.203
1583856683606,2020-03-10T16:11:23.606,0.278,0.235,0.931,0.206
1583856683625,2020-03-10T16:11:23.625,0.297,0.235,0.931,0.208
1583856683646,2020-03-10T16:11:23.646,0.318,0.235,0.931,0.207
1583856683666,2020-03-10T16:11:23.666,0.338,0.234,0.931,0.205
1583856683685,2020-03-10T16:11:23.685,0.357,0.236,0.933,0.206
1583856683706,2020-03-10T16:11:23.706,0.378,0.237,0.932,0.206
1583856683725,2020-03-10T16:11:23.725,0.397,0.236,0.933,0.205
1583856683745,2020-03-10T16:11:23.745,0.417,0.235,0.934,0.206
1583856683764,2020-03-10T16:11:23.764,0.436,0.237,0.933,0.206
1583856683785,2020-03-10T16:11:23.785,0.457,0.234,0.932,0.206
1583856683804,2020-03-10T16:11:23.804,0.476,0.231,0.933,0.206
1583856683824,2020-03-10T16:11:23.824,0.496,0.231,0.934,0.207
1583856683845,2020-03-10T16:11:23.845,0.517,0.233,0.934,0.207
1583856683864,2020-03-10T16:11:23.864,0.536,0.234,0.933,0.209
1583856683884,2020-03-10T16:11:23.884,0.556,0.233,0.932,0.208
1583856683903,2020-03-10T16:11:23.903,0.575,0.233,0.933,0.209
1583856683924,2020-03-10T16:11:23.924,0.596,0.233,0.932,0.208
1583856683943,2020-03-10T16:11:23.943,0.615,0.233,0.931,0.209
1583856683963,2020-03-10T16:11:23.963,0.635,0.234,0.931,0.209
1583856683984,2020-03-10T16:11:23.984,0.656,0.231,0.932,0.208
1583856684003,2020-03-10T16:11:24.003,0.675,0.229,0.935,0.208
1583856684023,2020-03-10T16:11:24.023,0.695,0.229,0.934,0.205
1583856684043,2020-03-10T16:11:24.043,0.715,0.232,0.932,0.208
1583856684063,2020-03-10T16:11:24.063,0.735,0.232,0.933,0.210
1583856684082,2020-03-10T16:11:24.082,0.754,0.233,0.932,0.210
1583856684103,2020-03-10T16:11:24.103,0.775,0.236,0.931,0.210
1583856684123,2020-03-10T16:11:24.123,0.795,0.236,0.931,0.210
1583856684142,2020-03-10T16:11:24.142,0.814,0.234,0.932,0.210
1583856684163,2020-03-10T16:11:24.163,0.835,0.233,0.932,0.207
1583856684182,2020-03-10T16:11:24.182,0.854,0.230,0.935,0.207
1583856684202,2020-03-10T16:11:24.202,0.874,0.229,0.935,0.207
1583856684221,2020-03-10T16:11:24.221,0.893,0.226,0.934,0.207
1583856684242,2020-03-10T16:11:24.242,0.914,0.225,0.933,0.208
1583856684262,2020-03-10T16:11:24.262,0.934,0.224,0.934,0.210
1583856684281,2020-03-10T16:11:24.281,0.953,0.227,0.934,0.210
1583856684302,2020-03-10T16:11:24.302,0.974,0.229,0.933,0.209
1583856684321,2020-03-10T16:11:24.321,0.993,0.230,0.932,0.210
1583856684341,2020-03-10T16:11:24.341,1.013,0.231,0.933,0.210
1583856684360,2020-03-10T16:11:24.360,1.032,0.232,0.931,0.209
1583856684381,2020-03-10T16:11:24.381,1.053,0.233,0.932,0.209
1583856684401,2020-03-10T16:11:24.401,1.073,0.233,0.931,0.211
1583856684420,2020-03-10T16:11:24.420,1.092,0.233,0.931,0.208
1583856684441,2020-03-10T16:11:24.441,1.113,0.233,0.932,0.209
1583856684460,2020-03-10T16:11:24.460,1.132,0.232,0.933,0.207
1583856684481,2020-03-10T16:11:24.481,1.153,0.232,0.934,0.208
1583856684500,2020-03-10T16:11:24.500,1.172,0.231,0.933,0.208
1583856684520,2020-03-10T16:11:24.520,1.192,0.231,0.933,0.208
1583856684539,2020-03-10T16:11:24.539,1.211,0.231,0.933,0.209
1583856684560,2020-03-10T16:11:24.560,1.232,0.232,0.934,0.208
1583856684580,2020-03-10T16:11:24.580,1.252,0.232,0.935,0.207
1583856684599,2020-03-10T16:11:24.599,1.271,0.233,0.933,0.208
1583856684620,2020-03-10T16:11:24.620,1.292,0.233,0.932,0.209
1583856684639,2020-03-10T16:11:24.639,1.311,0.234,0.931,0.208
1583856684659,2020-03-10T16:11:24.659,1.331,0.234,0.931,0.209
1583856684678,2020-03-10T16:11:24.678,1.350,0.235,0.932,0.209
1583856684699,2020-03-10T16:11:24.699,1.371,0.237,0.932,0.208
1583856684719,2020-03-10T16:11:24.719,1.391,0.239,0.930,0.208
1583856684738,2020-03-10T16:11:24.738,1.410,0.237,0.932,0.208
1583856684759,2020-03-10T16:11:24.759,1.431,0.236,0.932,0.208
1583856684778,2020-03-10T16:11:24.778,1.450,0.236,0.932,0.208
1583856684798,2020-03-10T16:11:24.798,1.470,0.234,0.933,0.208
1583856684817,2020-03-10T16:11:24.817,1.489,0.233,0.932,0.210
1583856684838,2020-03-10T16:11:24.838,1.510,0.231,0.932,0.209
1583856684858,2020-03-10T16:11:24.858,1.530,0.232,0.932,0.208
1583856684877,2020-03-10T16:11:24.877,1.549,0.230,0.934,0.209
1583856684898,2020-03-10T16:11:24.898,1.570,0.231,0.932,0.208
1583856684917,2020-03-10T16:11:24.917,1.589,0.232,0.933,0.209
1583856684938,2020-03-10T16:11:24.938,1.610,0.233,0.931,0.210
1583856684957,2020-03-10T16:11:24.957,1.629,0.234,0.931,0.210
1583856684977,2020-03-10T16:11:24.977,1.649,0.233,0.931,0.209
1583856684998,2020-03-10T16:11:24.998,1.670,0.233,0.931,0.208
1583856685017,2020-03-10T16:11:25.017,1.689,0.236,0.932,0.209
1583856685037,2020-03-10T16:11:25.037,1.709,0.234,0.934,0.208
1583856685056,2020-03-10T16:11:25.056,1.728,0.233,0.934,0.207
1583856685077,2020-03-10T16:11:25.077,1.749,0.234,0.931,0.208
1583856685096,2020-03-10T16:11:25.096,1.768,0.233,0.932,0.208
1583856685116,2020-03-10T16:11:25.116,1.788,0.234,0.932,0.208
1583856685135,2020-03-10T16:11:25.135,1.807,0.235,0.932,0.208
1583856685156,2020-03-10T16:11:25.156,1.828,0.234,0.931,0.208
1583856685176,2020-03-10T16:11:25.176,1.848,0.234,0.932,0.209
1583856685195,2020-03-10T16:11:25.195,1.867,0.232,0.931,0.209
1583856685216,2020-03-10T16:11:25.216,1.888,0.231,0.932,0.209
1583856685235,2020-03-10T16:11:25.235,1.907,0.232,0.933,0.209
1583856685255,2020-03-10T16:11:25.255,1.927,0.233,0.932,0.208
1583856685274,2020-03-10T16:11:25.274,1.946,0.233,0.933,0.208
1583856685295,2020-03-10T16:11:25.295,1.967,0.233,0.933,0.206
1583856685315,2020-03-10T16:11:25.315,1.987,0.234,0.932,0.208
1583856685335,2020-03-10T16:11:25.335,2.007,0.235,0.932,0.209
1583856685355,2020-03-10T16:11:25.355,2.027,0.233,0.933,0.208
1583856685374,2020-03-10T16:11:25.374,2.046,0.235,0.932,0.208
1583856685395,2020-03-10T16:11:25.395,2.067,0.234,0.931,0.208
1583856685414,2020-03-10T16:11:25.414,2.086,0.234,0.931,0.207
1583856685434,2020-03-10T16:11:25.434,2.106,0.232,0.933,0.208
1583856685455,2020-03-10T16:11:25.455,2.127,0.231,0.932,0.206
1583856685474,2020-03-10T16:11:25.474,2.146,0.230,0.932,0.208
1583856685494,2020-03-10T16:11:25.494,2.166,0.231,0.934,0.210
1583856685513,2020-03-10T16:11:25.513,2.185,0.230,0.934,0.211
1583856685534,2020-03-10T16:11:25.534,2.206,0.231,0.931,0.208
1583856685553,2020-03-10T16:11:25.553,2.225,0.231,0.933,0.208
1583856685573,2020-03-10T16:11:25.573,2.245,0.233,0.932,0.209
1583856685594,2020-03-10T16:11:25.594,2.266,0.232,0.932,0.209
1583856685613,2020-03-10T16:11:25.613,2.285,0.232,0.933,0.209
1583856685633,2020-03-10T16:11:25.633,2.305,0.233,0.932,0.208
1583856685652,2020-03-10T16:11:25.652,2.324,0.233,0.930,0.208
1583856685673,2020-03-10T16:11:25.673,2.345,0.233,0.932,0.209
1583856685692,2020-03-10T16:11:25.692,2.364,0.233,0.933,0.209
1583856685712,2020-03-10T16:11:25.712,2.384,0.234,0.932,0.209
1583856685733,2020-03-10T16:11:25.733,2.405,0.233,0.931,0.210
1583856685752,2020-03-10T16:11:25.752,2.424,0.232,0.934,0.209
1583856685773,2020-03-10T16:11:25.773,2.445,0.233,0.930,0.212
1583856685792,2020-03-10T16:11:25.792,2.464,0.234,0.931,0.209
1583856685812,2020-03-10T16:11:25.812,2.484,0.233,0.931,0.209
1583856685831,2020-03-10T16:11:25.831,2.503,0.233,0.931,0.210
1583856685852,2020-03-10T16:11:25.852,2.524,0.232,0.933,0.209
1583856685871,2020-03-10T16:11:25.871,2.543,0.231,0.934,0.206
1583856685891,2020-03-10T16:11:25.891,2.563,0.229,0.934,0.208
1583856685912,2020-03-10T16:11:25.912,2.584,0.227,0.933,0.208
1583856685931,2020-03-10T16:11:25.931,2.603,0.230,0.934,0.207
1583856685951,2020-03-10T16:11:25.951,2.623,0.231,0.934,0.210
1583856685970,2020-03-10T16:11:25.970,2.642,0.232,0.932,0.208
1583856685991,2020-03-10T16:11:25.991,2.663,0.234,0.931,0.208
1583856686010,2020-03-10T16:11:26.010,2.682,0.235,0.932,0.207
1583856686030,2020-03-10T16:11:26.030,2.702,0.235,0.931,0.209
1583856686051,2020-03-10T16:11:26.051,2.723,0.237,0.931,0.209
1583856686070,2020-03-10T16:11:26.070,2.742,0.236,0.930,0.209
1583856686090,2020-03-10T16:11:26.090,2.762,0.235,0.932,0.209
1583856686109,2020-03-10T16:11:26.109,2.781,0.234,0.933,0.208
1583856686130,2020-03-10T16:11:26.130,2.802,0.231,0.933,0.209
1583856686149,2020-03-10T16:11:26.149,2.821,0.232,0.933,0.208
1583856686169,2020-03-10T16:11:26.169,2.841,0.230,0.933,0.208
