epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1583835857941,2020-03-10T10:24:17.941,0.000,-0.123,-0.966,0.158
1583835857960,2020-03-10T10:24:17.960,0.019,-0.124,-0.974,0.160
1583835857980,2020-03-10T10:24:17.980,0.039,-0.124,-0.973,0.158
1583835857999,2020-03-10T10:24:17.999,0.058,-0.125,-0.973,0.161
1583835858020,2020-03-10T10:24:18.020,0.079,-0.124,-0.973,0.161
1583835858041,2020-03-10T10:24:18.041,0.100,-0.124,-0.973,0.158
1583835858060,2020-03-10T10:24:18.060,0.119,-0.122,-0.974,0.159
1583835858080,2020-03-10T10:24:18.080,0.139,-0.124,-0.973,0.158
1583835858099,2020-03-10T10:24:18.099,0.158,-0.123,-0.972,0.160
1583835858120,2020-03-10T10:24:18.120,0.179,-0.124,-0.973,0.159
1583835858139,2020-03-10T10:24:18.139,0.198,-0.125,-0.974,0.158
1583835858159,2020-03-10T10:24:18.159,0.218,-0.125,-0.974,0.158
1583835858178,2020-03-10T10:24:18.178,0.237,-0.125,-0.974,0.160
1583835858199,2020-03-10T10:24:18.199,0.258,-0.124,-0.974,0.159
1583835858219,2020-03-10T10:24:18.219,0.278,-0.124,-0.972,0.158
1583835858238,2020-03-10T10:24:18.238,0.297,-0.124,-0.972,0.159
1583835858259,2020-03-10T10:24:18.259,0.318,-0.124,-0.972,0.159
1583835858278,2020-03-10T10:24:18.278,0.337,-0.123,-0.974,0.159
1583835858298,2020-03-10T10:24:18.298,0.357,-0.122,-0.973,0.160
1583835858317,2020-03-10T10:24:18.317,0.376,-0.123,-0.972,0.159
1583835858338,2020-03-10T10:24:18.338,0.397,-0.124,-0.972,0.161
1583835858358,2020-03-10T10:24:18.358,0.417,-0.125,-0.972,0.162
1583835858377,2020-03-10T10:24:18.377,0.436,-0.124,-0.973,0.160
1583835858398,2020-03-10T10:24:18.398,0.457,-0.123,-0.973,0.158
1583835858417,2020-03-10T10:24:18.417,0.476,-0.125,-0.973,0.161
1583835858437,2020-03-10T10:24:18.437,0.496,-0.123,-0.974,0.159
1583835858457,2020-03-10T10:24:18.457,0.516,-0.123,-0.974,0.159
1583835858477,2020-03-10T10:24:18.477,0.536,-0.125,-0.973,0.160
1583835858498,2020-03-10T10:24:18.498,0.557,-0.124,-0.974,0.158
1583835858517,2020-03-10T10:24:18.517,0.576,-0.123,-0.973,0.160
1583835858537,2020-03-10T10:24:18.537,0.596,-0.125,-0.971,0.161
1583835858556,2020-03-10T10:24:18.556,0.615,-0.124,-0.972,0.160
1583835858577,2020-03-10T10:24:18.577,0.636,-0.125,-0.975,0.160
1583835858596,2020-03-10T10:24:18.596,0.655,-0.124,-0.973,0.159
1583835858616,2020-03-10T10:24:18.616,0.675,-0.123,-0.974,0.160
1583835858637,2020-03-10T10:24:18.637,0.696,-0.125,-0.973,0.159
1583835858656,2020-03-10T10:24:18.656,0.715,-0.123,-0.972,0.159
1583835858676,2020-03-10T10:24:18.676,0.735,-0.124,-0.974,0.162
1583835858695,2020-03-10T10:24:18.695,0.754,-0.124,-0.974,0.159
1583835858716,2020-03-10T10:24:18.716,0.775,-0.124,-0.974,0.160
1583835858735,2020-03-10T10:24:18.735,0.794,-0.124,-0.973,0.160
1583835858755,2020-03-10T10:24:18.755,0.814,-0.123,-0.973,0.160
1583835858774,2020-03-10T10:24:18.774,0.833,-0.125,-0.973,0.159
1583835858795,2020-03-10T10:24:18.795,0.854,-0.124,-0.973,0.160
1583835858815,2020-03-10T10:24:18.815,0.874,-0.125,-0.974,0.161
1583835858834,2020-03-10T10:24:18.834,0.893,-0.124,-0.973,0.160
1583835858855,2020-03-10T10:24:18.855,0.914,-0.124,-0.974,0.160
1583835858874,2020-03-10T10:24:18.874,0.933,-0.124,-0.974,0.159
1583835858895,2020-03-10T10:24:18.895,0.954,-0.124,-0.973,0.161
1583835858914,2020-03-10T10:24:18.914,0.973,-0.124,-0.972,0.160
1583835858934,2020-03-10T10:24:18.934,0.993,-0.124,-0.973,0.159
1583835858955,2020-03-10T10:24:18.955,1.014,-0.123,-0.974,0.161
1583835858974,2020-03-10T10:24:18.974,1.033,-0.124,-0.973,0.159
1583835858994,2020-03-10T10:24:18.994,1.053,-0.125,-0.973,0.161
1583835859013,2020-03-10T10:24:19.013,1.072,-0.124,-0.972,0.160
1583835859034,2020-03-10T10:24:19.034,1.093,-0.124,-0.972,0.160
1583835859053,2020-03-10T10:24:19.053,1.112,-0.125,-0.973,0.162
1583835859073,2020-03-10T10:24:19.073,1.132,-0.123,-0.974,0.161
1583835859094,2020-03-10T10:24:19.094,1.153,-0.124,-0.973,0.159
1583835859113,2020-03-10T10:24:19.113,1.172,-0.124,-0.973,0.160
