epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573404353859,2019-11-10T16:45:53.859,0.000,-0.057,-0.602,-0.644
1573404353879,2019-11-10T16:45:53.879,0.020,0.267,-0.709,-0.671
1573404353900,2019-11-10T16:45:53.900,0.041,-0.114,-1.410,-0.633
1573404353920,2019-11-10T16:45:53.920,0.061,-0.373,-1.559,-0.675
1573404353939,2019-11-10T16:45:53.939,0.080,-0.339,-1.536,-0.614
1573404353960,2019-11-10T16:45:53.960,0.101,-0.461,-1.056,-0.476
1573404353980,2019-11-10T16:45:53.980,0.121,-0.572,-0.495,-0.400
1573404353999,2019-11-10T16:45:53.999,0.140,-0.575,-0.217,-0.469
1573404354020,2019-11-10T16:45:54.020,0.161,-0.454,-0.636,-0.499
1573404354040,2019-11-10T16:45:54.040,0.181,-0.335,-1.048,-0.454
1573404354059,2019-11-10T16:45:54.059,0.200,-0.313,-1.406,-0.534
1573404354080,2019-11-10T16:45:54.080,0.221,-0.438,-1.334,-0.522
1573404354100,2019-11-10T16:45:54.100,0.241,-0.473,-1.094,-0.274
1573404354121,2019-11-10T16:45:54.121,0.262,-0.602,-0.667,-0.198
1573404354140,2019-11-10T16:45:54.140,0.281,-0.587,-0.518,-0.370
1573404354160,2019-11-10T16:45:54.160,0.301,-0.404,-0.385,-0.526
1573404354181,2019-11-10T16:45:54.181,0.322,-0.343,-0.236,-0.377
1573404354200,2019-11-10T16:45:54.200,0.341,-0.377,-0.175,-0.126
1573404354220,2019-11-10T16:45:54.220,0.361,-0.492,-0.328,-0.274
1573404354241,2019-11-10T16:45:54.241,0.382,-0.568,-0.393,-0.434
1573404354261,2019-11-10T16:45:54.261,0.402,-0.541,-0.263,-0.514
1573404354280,2019-11-10T16:45:54.280,0.421,-0.564,-0.236,-0.587
1573404354301,2019-11-10T16:45:54.301,0.442,-0.587,-0.069,-0.396
1573404354322,2019-11-10T16:45:54.322,0.463,-0.484,0.065,-0.324
1573404354341,2019-11-10T16:45:54.341,0.482,-0.434,-0.259,-0.434
1573404354361,2019-11-10T16:45:54.361,0.502,-0.408,-0.659,-0.393
1573404354382,2019-11-10T16:45:54.382,0.523,-0.431,-1.280,-0.393
1573404354402,2019-11-10T16:45:54.402,0.543,-0.537,-1.159,-0.351
1573404354421,2019-11-10T16:45:54.421,0.562,-0.507,-0.484,-0.248
1573404354442,2019-11-10T16:45:54.442,0.583,-0.522,-0.111,-0.255
1573404354462,2019-11-10T16:45:54.462,0.603,-0.522,-0.347,-0.259
1573404354481,2019-11-10T16:45:54.481,0.622,-0.793,-0.640,-0.267
1573404354502,2019-11-10T16:45:54.502,0.643,-1.025,-0.572,-0.377
1573404354522,2019-11-10T16:45:54.522,0.663,-1.288,0.236,-0.697
1573404354541,2019-11-10T16:45:54.541,0.682,-1.250,0.884,-0.907
1573404354562,2019-11-10T16:45:54.562,0.703,-1.014,0.796,-0.739
1573404354582,2019-11-10T16:45:54.582,0.723,-0.766,0.145,-0.370
1573404354603,2019-11-10T16:45:54.603,0.744,-0.545,-0.522,-0.252
1573404354622,2019-11-10T16:45:54.622,0.763,-0.358,-0.983,-0.320
1573404354642,2019-11-10T16:45:54.642,0.783,-0.408,-1.143,-0.339
1573404354663,2019-11-10T16:45:54.663,0.804,-0.591,-1.090,-0.393
1573404354682,2019-11-10T16:45:54.682,0.823,-0.671,-0.949,-0.438
1573404354702,2019-11-10T16:45:54.702,0.843,-0.713,-0.671,-0.442
1573404354723,2019-11-10T16:45:54.723,0.864,-0.469,-0.644,-0.450
1573404354743,2019-11-10T16:45:54.743,0.884,-0.480,-0.838,-0.347
1573404354762,2019-11-10T16:45:54.762,0.903,-0.518,-1.132,-0.305
1573404354783,2019-11-10T16:45:54.783,0.924,-0.579,-0.888,-0.583
1573404354803,2019-11-10T16:45:54.803,0.944,-0.648,-0.293,-0.720
1573404354822,2019-11-10T16:45:54.822,0.963,-0.785,0.133,-0.583
1573404354843,2019-11-10T16:45:54.843,0.984,-0.736,0.198,-0.297
1573404354863,2019-11-10T16:45:54.863,1.004,-0.728,-0.011,-0.137
1573404354884,2019-11-10T16:45:54.884,1.025,-0.758,-0.175,-0.191
1573404354903,2019-11-10T16:45:54.903,1.044,-0.671,-0.366,-0.358
1573404354924,2019-11-10T16:45:54.924,1.065,-0.625,-0.267,-0.499
1573404354944,2019-11-10T16:45:54.944,1.085,-0.488,-0.373,-0.484
1573404354963,2019-11-10T16:45:54.963,1.104,-0.450,-0.537,-0.423
1573404354984,2019-11-10T16:45:54.984,1.125,-0.545,-0.903,-0.393
1573404355004,2019-11-10T16:45:55.004,1.145,-0.556,-0.957,-0.343
1573404355025,2019-11-10T16:45:55.025,1.166,-0.476,-0.888,-0.282
1573404355044,2019-11-10T16:45:55.044,1.185,-0.438,-0.800,-0.358
1573404355064,2019-11-10T16:45:55.064,1.205,-0.362,-0.697,-0.602
1573404355085,2019-11-10T16:45:55.085,1.226,-0.259,-0.918,-0.579
1573404355104,2019-11-10T16:45:55.104,1.245,-0.408,-1.570,-0.495
1573404355124,2019-11-10T16:45:55.124,1.265,-0.335,-1.814,-0.518
1573404355145,2019-11-10T16:45:55.145,1.286,-0.343,-1.662,-0.503
1573404355164,2019-11-10T16:45:55.164,1.305,-0.347,-1.502,-0.488
1573404355184,2019-11-10T16:45:55.184,1.325,-0.457,-1.269,-0.465
1573404355205,2019-11-10T16:45:55.205,1.346,-0.495,-1.216,-0.427
1573404355225,2019-11-10T16:45:55.225,1.366,-0.408,-1.288,-0.309
1573404355244,2019-11-10T16:45:55.244,1.385,-0.282,-1.200,-0.175
1573404355265,2019-11-10T16:45:55.265,1.406,-0.434,-0.572,-0.335
