epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573402177761,2019-11-10T16:09:37.761,0.000,0.791,0.121,-0.610
1573402177782,2019-11-10T16:09:37.782,0.021,0.802,0.122,-0.614
1573402177802,2019-11-10T16:09:37.802,0.041,0.799,0.120,-0.610
1573402177821,2019-11-10T16:09:37.821,0.060,0.798,0.115,-0.612
1573402177842,2019-11-10T16:09:37.842,0.081,0.796,0.117,-0.611
1573402177862,2019-11-10T16:09:37.862,0.101,0.799,0.121,-0.607
1573402177881,2019-11-10T16:09:37.881,0.120,0.805,0.123,-0.606
1573402177902,2019-11-10T16:09:37.902,0.141,0.802,0.120,-0.609
1573402177922,2019-11-10T16:09:37.922,0.161,0.796,0.118,-0.613
1573402177941,2019-11-10T16:09:37.941,0.180,0.796,0.118,-0.615
1573402177962,2019-11-10T16:09:37.962,0.201,0.797,0.119,-0.611
1573402177982,2019-11-10T16:09:37.982,0.221,0.800,0.121,-0.608
1573402178003,2019-11-10T16:09:38.003,0.242,0.798,0.121,-0.609
1573402178022,2019-11-10T16:09:38.022,0.261,0.801,0.119,-0.610
1573402178042,2019-11-10T16:09:38.042,0.281,0.806,0.119,-0.606
1573402178063,2019-11-10T16:09:38.063,0.302,0.799,0.119,-0.608
1573402178082,2019-11-10T16:09:38.082,0.321,0.795,0.117,-0.611
1573402178102,2019-11-10T16:09:38.102,0.341,0.799,0.121,-0.607
1573402178123,2019-11-10T16:09:38.123,0.362,0.805,0.124,-0.603
1573402178143,2019-11-10T16:09:38.143,0.382,0.805,0.121,-0.602
1573402178162,2019-11-10T16:09:38.162,0.401,0.805,0.120,-0.606
1573402178183,2019-11-10T16:09:38.183,0.422,0.803,0.119,-0.603
1573402178203,2019-11-10T16:09:38.203,0.442,0.806,0.122,-0.601
1573402178222,2019-11-10T16:09:38.222,0.461,0.809,0.122,-0.598
1573402178243,2019-11-10T16:09:38.243,0.482,0.811,0.121,-0.597
1573402178263,2019-11-10T16:09:38.263,0.502,0.810,0.119,-0.595
1573402178284,2019-11-10T16:09:38.284,0.523,0.811,0.121,-0.597
1573402178303,2019-11-10T16:09:38.303,0.542,0.812,0.123,-0.596
1573402178324,2019-11-10T16:09:38.324,0.563,0.811,0.123,-0.596
1573402178344,2019-11-10T16:09:38.344,0.583,0.811,0.123,-0.595
1573402178363,2019-11-10T16:09:38.363,0.602,0.817,0.124,-0.594
1573402178384,2019-11-10T16:09:38.384,0.623,0.814,0.123,-0.596
1573402178404,2019-11-10T16:09:38.404,0.643,0.805,0.121,-0.601
1573402178423,2019-11-10T16:09:38.423,0.662,0.789,0.114,-0.611
1573402178444,2019-11-10T16:09:38.444,0.683,0.786,0.115,-0.615
1573402178464,2019-11-10T16:09:38.464,0.703,0.798,0.120,-0.606
1573402178485,2019-11-10T16:09:38.485,0.724,0.808,0.122,-0.599
1573402178504,2019-11-10T16:09:38.504,0.743,0.812,0.121,-0.597
1573402178524,2019-11-10T16:09:38.524,0.763,0.807,0.120,-0.598
1573402178545,2019-11-10T16:09:38.545,0.784,0.804,0.117,-0.602
1573402178564,2019-11-10T16:09:38.564,0.803,0.805,0.118,-0.603
1573402178584,2019-11-10T16:09:38.584,0.823,0.803,0.120,-0.603
1573402178605,2019-11-10T16:09:38.605,0.844,0.799,0.116,-0.605
1573402178625,2019-11-10T16:09:38.625,0.864,0.800,0.116,-0.606
1573402178644,2019-11-10T16:09:38.644,0.883,0.807,0.121,-0.599
1573402178665,2019-11-10T16:09:38.665,0.904,0.814,0.123,-0.594
1573402178685,2019-11-10T16:09:38.685,0.924,0.811,0.121,-0.596
1573402178704,2019-11-10T16:09:38.704,0.943,0.806,0.118,-0.599
1573402178725,2019-11-10T16:09:38.725,0.964,0.802,0.119,-0.599
1573402178745,2019-11-10T16:09:38.745,0.984,0.802,0.120,-0.599
1573402178764,2019-11-10T16:09:38.764,1.003,0.804,0.119,-0.599
1573402178785,2019-11-10T16:09:38.785,1.024,0.807,0.120,-0.598
1573402178805,2019-11-10T16:09:38.805,1.044,0.810,0.124,-0.595
1573402178826,2019-11-10T16:09:38.826,1.065,0.814,0.126,-0.592
1573402178845,2019-11-10T16:09:38.845,1.084,0.816,0.126,-0.591
1573402178866,2019-11-10T16:09:38.866,1.105,0.814,0.120,-0.592
1573402178886,2019-11-10T16:09:38.886,1.125,0.813,0.114,-0.593
1573402178905,2019-11-10T16:09:38.905,1.144,0.807,0.115,-0.596
1573402178926,2019-11-10T16:09:38.926,1.165,0.803,0.117,-0.600
1573402178946,2019-11-10T16:09:38.946,1.185,0.804,0.119,-0.599
1573402178967,2019-11-10T16:09:38.967,1.206,0.807,0.122,-0.597
1573402178986,2019-11-10T16:09:38.986,1.225,0.816,0.121,-0.592
1573402179006,2019-11-10T16:09:39.006,1.245,0.819,0.119,-0.589
1573402179027,2019-11-10T16:09:39.027,1.266,0.810,0.117,-0.594
1573402179046,2019-11-10T16:09:39.046,1.285,0.802,0.116,-0.598
1573402179066,2019-11-10T16:09:39.066,1.305,0.800,0.117,-0.602
1573402179087,2019-11-10T16:09:39.087,1.326,0.804,0.118,-0.597
1573402179107,2019-11-10T16:09:39.107,1.346,0.812,0.124,-0.592
1573402179126,2019-11-10T16:09:39.126,1.365,0.818,0.120,-0.592
1573402179147,2019-11-10T16:09:39.147,1.386,0.808,0.126,-0.589
1573402179167,2019-11-10T16:09:39.167,1.406,0.815,0.122,-0.588
1573402179186,2019-11-10T16:09:39.186,1.425,0.814,0.118,-0.589
1573402179207,2019-11-10T16:09:39.207,1.446,0.817,0.120,-0.588
1573402179227,2019-11-10T16:09:39.227,1.466,0.814,0.121,-0.589
1573402179246,2019-11-10T16:09:39.246,1.485,0.810,0.118,-0.592
