epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573404002522,2019-11-10T16:40:02.522,0.000,0.518,1.669,2.973
1573404002542,2019-11-10T16:40:02.542,0.020,0.595,2.279,3.544
1573404002561,2019-11-10T16:40:02.561,0.039,2.203,1.460,2.241
1573404002582,2019-11-10T16:40:02.582,0.060,3.338,-0.945,1.444
1573404002602,2019-11-10T16:40:02.602,0.080,3.830,-2.005,0.526
1573404002621,2019-11-10T16:40:02.621,0.099,4.040,-1.646,-0.587
1573404002642,2019-11-10T16:40:02.642,0.120,4.280,0.072,-1.444
1573404002661,2019-11-10T16:40:02.661,0.139,4.684,0.244,-2.363
1573404002681,2019-11-10T16:40:02.681,0.159,5.232,-3.910,-4.352
1573404002700,2019-11-10T16:40:02.700,0.178,5.389,-6.867,-5.518
1573404002721,2019-11-10T16:40:02.721,0.199,4.707,-5.248,-5.061
1573404002741,2019-11-10T16:40:02.741,0.219,3.598,-2.698,-3.758
1573404002760,2019-11-10T16:40:02.760,0.238,2.828,-2.450,-2.569
1573404002781,2019-11-10T16:40:02.781,0.259,2.984,-1.132,-1.555
1573404002800,2019-11-10T16:40:02.800,0.278,3.952,0.972,-1.292
1573404002821,2019-11-10T16:40:02.821,0.299,4.280,2.203,-1.608
1573404002840,2019-11-10T16:40:02.840,0.318,3.167,3.316,-2.207
1573404002860,2019-11-10T16:40:02.860,0.338,1.627,5.111,-3.171
1573404002881,2019-11-10T16:40:02.881,0.359,0.175,5.610,-4.253
1573404002900,2019-11-10T16:40:02.900,0.378,-1.364,4.154,-5.221
1573404002920,2019-11-10T16:40:02.920,0.398,-2.195,3.495,-5.583
1573404002939,2019-11-10T16:40:02.939,0.417,-1.780,6.075,-5.183
1573404002960,2019-11-10T16:40:02.960,0.438,-0.621,12.058,-4.958
1573404002979,2019-11-10T16:40:02.979,0.457,0.720,13.952,-4.306
1573404002999,2019-11-10T16:40:02.999,0.477,2.050,6.951,-2.999
1573404003020,2019-11-10T16:40:03.020,0.498,3.670,1.486,-1.372
1573404003039,2019-11-10T16:40:03.039,0.517,5.415,2.976,0.423
1573404003059,2019-11-10T16:40:03.059,0.537,6.517,5.381,1.242
1573404003078,2019-11-10T16:40:03.078,0.556,6.143,4.867,1.536
1573404003099,2019-11-10T16:40:03.099,0.577,4.691,3.403,0.964
1573404003118,2019-11-10T16:40:03.118,0.596,2.790,1.086,-0.412
1573404003138,2019-11-10T16:40:03.138,0.616,1.048,0.335,-1.079
1573404003159,2019-11-10T16:40:03.159,0.637,-0.701,0.248,-1.704
1573404003178,2019-11-10T16:40:03.178,0.656,-2.012,0.835,-2.317
1573404003198,2019-11-10T16:40:03.198,0.676,-2.637,1.921,-2.325
1573404003217,2019-11-10T16:40:03.217,0.695,-2.534,3.091,-1.761
1573404003238,2019-11-10T16:40:03.238,0.716,-1.928,2.992,-0.873
1573404003257,2019-11-10T16:40:03.257,0.735,-0.526,2.671,0.156
1573404003278,2019-11-10T16:40:03.278,0.756,0.419,2.995,1.113
1573404003298,2019-11-10T16:40:03.298,0.776,0.713,1.936,1.639
1573404003317,2019-11-10T16:40:03.317,0.795,1.006,0.808,1.867
1573404003338,2019-11-10T16:40:03.338,0.816,1.700,0.095,1.639
1573404003357,2019-11-10T16:40:03.357,0.835,2.359,-0.149,1.258
1573404003377,2019-11-10T16:40:03.377,0.855,2.626,-0.202,0.877
1573404003396,2019-11-10T16:40:03.396,0.874,2.363,-0.107,0.324
1573404003417,2019-11-10T16:40:03.417,0.895,1.715,-0.373,-0.248
1573404003437,2019-11-10T16:40:03.437,0.915,1.189,0.069,-0.495
1573404003456,2019-11-10T16:40:03.456,0.934,0.465,0.579,-0.846
1573404003477,2019-11-10T16:40:03.477,0.955,0.156,0.252,-1.101
1573404003496,2019-11-10T16:40:03.496,0.974,-0.019,-1.037,-1.128
1573404003516,2019-11-10T16:40:03.516,0.994,-0.137,-1.917,-0.903
1573404003535,2019-11-10T16:40:03.535,1.013,0.419,0.202,-0.236
1573404003556,2019-11-10T16:40:03.556,1.034,0.995,1.463,0.107
1573404003576,2019-11-10T16:40:03.576,1.054,1.018,-0.126,-0.069
1573404003595,2019-11-10T16:40:03.595,1.073,1.101,-0.534,-0.065
1573404003616,2019-11-10T16:40:03.616,1.094,1.166,0.995,0.179
1573404003635,2019-11-10T16:40:03.635,1.113,0.766,0.838,0.545
1573404003655,2019-11-10T16:40:03.655,1.133,0.400,0.880,0.633
1573404003675,2019-11-10T16:40:03.675,1.153,0.335,2.801,0.473
1573404003695,2019-11-10T16:40:03.695,1.173,0.301,3.712,0.328
1573404003716,2019-11-10T16:40:03.716,1.194,0.274,3.403,0.141
1573404003735,2019-11-10T16:40:03.735,1.213,0.236,3.445,0.057
1573404003755,2019-11-10T16:40:03.755,1.233,0.175,1.913,-0.053
1573404003774,2019-11-10T16:40:03.774,1.252,0.373,0.286,-0.210
1573404003795,2019-11-10T16:40:03.795,1.273,1.063,0.663,-0.534
1573404003814,2019-11-10T16:40:03.814,1.292,1.852,1.010,-0.846
1573404003834,2019-11-10T16:40:03.834,1.312,2.344,0.328,-1.048
1573404003855,2019-11-10T16:40:03.855,1.333,2.287,-0.259,-1.197
1573404003874,2019-11-10T16:40:03.874,1.352,2.226,-0.697,-1.216
1573404003894,2019-11-10T16:40:03.894,1.372,1.917,-1.334,-1.132
1573404003913,2019-11-10T16:40:03.913,1.391,1.669,-0.907,-0.964
1573404003934,2019-11-10T16:40:03.934,1.412,1.784,0.114,-0.938
1573404003953,2019-11-10T16:40:03.953,1.431,2.321,1.044,-0.766
1573404003973,2019-11-10T16:40:03.973,1.451,2.687,1.612,-0.526
1573404003992,2019-11-10T16:40:03.992,1.470,2.790,2.229,-0.210
1573404004013,2019-11-10T16:40:04.013,1.491,2.420,2.988,-0.008
1573404004033,2019-11-10T16:40:04.033,1.511,2.024,2.081,-0.156
1573404004052,2019-11-10T16:40:04.052,1.530,1.726,0.953,-0.499
