epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573404629558,2019-11-10T16:50:29.558,0.000,-0.607,-0.162,0.723
1573404629577,2019-11-10T16:50:29.577,0.019,-0.616,-0.165,0.729
1573404629597,2019-11-10T16:50:29.597,0.039,-0.614,-0.168,0.725
1573404629616,2019-11-10T16:50:29.616,0.058,-0.611,-0.167,0.724
1573404629637,2019-11-10T16:50:29.637,0.079,-0.611,-0.162,0.724
1573404629657,2019-11-10T16:50:29.657,0.099,-0.609,-0.160,0.726
1573404629676,2019-11-10T16:50:29.676,0.118,-0.609,-0.166,0.727
1573404629697,2019-11-10T16:50:29.697,0.139,-0.609,-0.172,0.731
1573404629716,2019-11-10T16:50:29.716,0.158,-0.607,-0.174,0.726
1573404629737,2019-11-10T16:50:29.737,0.179,-0.609,-0.170,0.724
1573404629756,2019-11-10T16:50:29.756,0.198,-0.612,-0.166,0.716
1573404629776,2019-11-10T16:50:29.776,0.218,-0.617,-0.161,0.714
1573404629797,2019-11-10T16:50:29.797,0.239,-0.625,-0.156,0.716
1573404629816,2019-11-10T16:50:29.816,0.258,-0.623,-0.157,0.725
1573404629836,2019-11-10T16:50:29.836,0.278,-0.616,-0.164,0.732
1573404629855,2019-11-10T16:50:29.855,0.297,-0.606,-0.165,0.731
1573404629876,2019-11-10T16:50:29.876,0.318,-0.607,-0.163,0.731
1573404629895,2019-11-10T16:50:29.895,0.337,-0.610,-0.163,0.729
1573404629915,2019-11-10T16:50:29.915,0.357,-0.615,-0.163,0.733
1573404629936,2019-11-10T16:50:29.936,0.378,-0.615,-0.166,0.726
1573404629955,2019-11-10T16:50:29.955,0.397,-0.607,-0.170,0.725
1573404629975,2019-11-10T16:50:29.975,0.417,-0.606,-0.170,0.730
1573404629994,2019-11-10T16:50:29.994,0.436,-0.609,-0.163,0.728
1573404630015,2019-11-10T16:50:30.015,0.457,-0.613,-0.159,0.725
1573404630034,2019-11-10T16:50:30.034,0.476,-0.618,-0.158,0.721
1573404630054,2019-11-10T16:50:30.054,0.496,-0.619,-0.161,0.717
1573404630075,2019-11-10T16:50:30.075,0.517,-0.617,-0.162,0.714
1573404630094,2019-11-10T16:50:30.094,0.536,-0.614,-0.162,0.714
1573404630114,2019-11-10T16:50:30.114,0.556,-0.615,-0.161,0.741
1573404630133,2019-11-10T16:50:30.133,0.575,-0.612,-0.165,0.735
1573404630154,2019-11-10T16:50:30.154,0.596,-0.609,-0.166,0.725
1573404630173,2019-11-10T16:50:30.173,0.615,-0.614,-0.165,0.717
1573404630194,2019-11-10T16:50:30.194,0.636,-0.609,-0.167,0.724
1573404630214,2019-11-10T16:50:30.214,0.656,-0.609,-0.164,0.729
1573404630233,2019-11-10T16:50:30.233,0.675,-0.608,-0.167,0.735
1573404630254,2019-11-10T16:50:30.254,0.696,-0.612,-0.168,0.727
1573404630273,2019-11-10T16:50:30.273,0.715,-0.611,-0.165,0.724
1573404630293,2019-11-10T16:50:30.293,0.735,-0.616,-0.165,0.725
1573404630312,2019-11-10T16:50:30.312,0.754,-0.611,-0.167,0.726
1573404630333,2019-11-10T16:50:30.333,0.775,-0.614,-0.165,0.727
1573404630353,2019-11-10T16:50:30.353,0.795,-0.614,-0.160,0.728
1573404630372,2019-11-10T16:50:30.372,0.814,-0.611,-0.162,0.726
1573404630393,2019-11-10T16:50:30.393,0.835,-0.612,-0.165,0.726
1573404630412,2019-11-10T16:50:30.412,0.854,-0.616,-0.165,0.725
1573404630432,2019-11-10T16:50:30.432,0.874,-0.612,-0.165,0.728
1573404630451,2019-11-10T16:50:30.451,0.893,-0.611,-0.166,0.730
1573404630472,2019-11-10T16:50:30.472,0.914,-0.613,-0.164,0.727
1573404630492,2019-11-10T16:50:30.492,0.934,-0.610,-0.164,0.726
1573404630511,2019-11-10T16:50:30.511,0.953,-0.610,-0.161,0.724
1573404630532,2019-11-10T16:50:30.532,0.974,-0.616,-0.160,0.726
1573404630551,2019-11-10T16:50:30.551,0.993,-0.616,-0.165,0.725
1573404630571,2019-11-10T16:50:30.571,1.013,-0.612,-0.166,0.726
1573404630591,2019-11-10T16:50:30.591,1.033,-0.607,-0.167,0.728
1573404630611,2019-11-10T16:50:30.611,1.053,-0.610,-0.165,0.727
1573404630632,2019-11-10T16:50:30.632,1.074,-0.614,-0.160,0.724
1573404630651,2019-11-10T16:50:30.651,1.093,-0.617,-0.158,0.724
1573404630671,2019-11-10T16:50:30.671,1.113,-0.615,-0.163,0.721
1573404630690,2019-11-10T16:50:30.690,1.132,-0.613,-0.167,0.724
1573404630711,2019-11-10T16:50:30.711,1.153,-0.612,-0.165,0.732
1573404630730,2019-11-10T16:50:30.730,1.172,-0.610,-0.163,0.724
1573404630750,2019-11-10T16:50:30.750,1.192,-0.614,-0.164,0.724
1573404630769,2019-11-10T16:50:30.769,1.211,-0.615,-0.166,0.724
1573404630790,2019-11-10T16:50:30.790,1.232,-0.609,-0.164,0.729
1573404630810,2019-11-10T16:50:30.810,1.252,-0.612,-0.161,0.734
1573404630829,2019-11-10T16:50:30.829,1.271,-0.613,-0.165,0.729
1573404630850,2019-11-10T16:50:30.850,1.292,-0.611,-0.165,0.726
1573404630869,2019-11-10T16:50:30.869,1.311,-0.611,-0.165,0.725
1573404630889,2019-11-10T16:50:30.889,1.331,-0.615,-0.162,0.727
1573404630908,2019-11-10T16:50:30.908,1.350,-0.612,-0.163,0.728
1573404630929,2019-11-10T16:50:30.929,1.371,-0.611,-0.165,0.727
1573404630949,2019-11-10T16:50:30.949,1.391,-0.612,-0.165,0.726
1573404630968,2019-11-10T16:50:30.968,1.410,-0.604,-0.170,0.729
1573404630989,2019-11-10T16:50:30.989,1.431,-0.605,-0.173,0.735
1573404631008,2019-11-10T16:50:31.008,1.450,-0.610,-0.165,0.731
1573404631029,2019-11-10T16:50:31.029,1.471,-0.609,-0.161,0.719
1573404631048,2019-11-10T16:50:31.048,1.490,-0.616,-0.162,0.725
1573404631068,2019-11-10T16:50:31.068,1.510,-0.615,-0.164,0.728
1573404631089,2019-11-10T16:50:31.089,1.531,-0.606,-0.173,0.732
1573404631108,2019-11-10T16:50:31.108,1.550,-0.611,-0.177,0.724
1573404631128,2019-11-10T16:50:31.128,1.570,-0.612,-0.167,0.720
1573404631147,2019-11-10T16:50:31.147,1.589,-0.611,-0.161,0.724
1573404631168,2019-11-10T16:50:31.168,1.610,-0.617,-0.161,0.727
1573404631187,2019-11-10T16:50:31.187,1.629,-0.616,-0.163,0.725
1573404631207,2019-11-10T16:50:31.207,1.649,-0.609,-0.162,0.721
1573404631228,2019-11-10T16:50:31.228,1.670,-0.605,-0.166,0.723
1573404631247,2019-11-10T16:50:31.247,1.689,-0.607,-0.168,0.730
1573404631267,2019-11-10T16:50:31.267,1.709,-0.610,-0.166,0.734
1573404631286,2019-11-10T16:50:31.286,1.728,-0.620,-0.156,0.742
1573404631307,2019-11-10T16:50:31.307,1.749,-0.613,-0.155,0.732
1573404631326,2019-11-10T16:50:31.326,1.768,-0.612,-0.161,0.718
1573404631346,2019-11-10T16:50:31.346,1.788,-0.614,-0.155,0.716
