epoch (ms),time (-00:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1573405959335,2019-11-10T17:12:39.335,0.000,0.171,-1.837,0.328
1573405959355,2019-11-10T17:12:39.355,0.020,0.633,-1.909,-0.011
1573405959376,2019-11-10T17:12:39.376,0.041,-0.137,-1.502,-0.141
1573405959396,2019-11-10T17:12:39.396,0.061,-0.713,-1.399,-0.465
1573405959415,2019-11-10T17:12:39.415,0.080,-0.667,-1.856,-1.120
1573405959436,2019-11-10T17:12:39.436,0.101,-0.823,-1.296,-1.631
1573405959456,2019-11-10T17:12:39.456,0.121,-0.724,-1.559,-1.799
1573405959477,2019-11-10T17:12:39.477,0.142,-0.442,-1.825,-1.319
1573405959496,2019-11-10T17:12:39.496,0.161,-0.088,-1.322,-0.537
1573405959516,2019-11-10T17:12:39.516,0.181,0.225,-0.979,0.381
1573405959537,2019-11-10T17:12:39.537,0.202,0.030,-0.732,0.682
1573405959556,2019-11-10T17:12:39.556,0.221,-0.324,-0.606,0.389
1573405959576,2019-11-10T17:12:39.576,0.241,-0.671,-0.724,-0.206
1573405959597,2019-11-10T17:12:39.597,0.262,-0.739,-0.541,-1.109
1573405959616,2019-11-10T17:12:39.616,0.281,-0.629,-0.206,-2.085
1573405959637,2019-11-10T17:12:39.637,0.302,-0.549,-0.934,-2.607
1573405959657,2019-11-10T17:12:39.657,0.322,-0.412,-1.521,-1.955
1573405959678,2019-11-10T17:12:39.678,0.343,-0.191,-1.261,-0.629
1573405959697,2019-11-10T17:12:39.697,0.362,0.377,-0.747,0.556
1573405959717,2019-11-10T17:12:39.717,0.382,0.511,0.061,1.113
1573405959738,2019-11-10T17:12:39.738,0.403,-0.027,0.621,1.208
1573405959757,2019-11-10T17:12:39.757,0.422,-0.617,0.164,0.549
1573405959777,2019-11-10T17:12:39.777,0.442,-1.067,-0.766,-0.438
1573405959798,2019-11-10T17:12:39.798,0.463,-1.399,-0.766,-1.303
1573405959818,2019-11-10T17:12:39.818,0.483,-1.269,-0.549,-1.951
1573405959837,2019-11-10T17:12:39.837,0.502,-0.877,-0.335,-2.008
1573405959858,2019-11-10T17:12:39.858,0.523,-0.701,-0.408,-1.494
1573405959878,2019-11-10T17:12:39.878,0.543,-0.259,-0.865,-0.191
1573405959897,2019-11-10T17:12:39.897,0.562,-0.042,-0.896,1.395
1573405959918,2019-11-10T17:12:39.918,0.583,-0.232,-0.522,2.066
1573405959938,2019-11-10T17:12:39.938,0.603,-0.606,-0.145,1.959
1573405959959,2019-11-10T17:12:39.959,0.624,-1.059,-0.816,1.502
1573405959978,2019-11-10T17:12:39.978,0.643,-1.242,-0.755,0.274
1573405959998,2019-11-10T17:12:39.998,0.663,-1.014,0.625,-1.349
1573405960019,2019-11-10T17:12:40.019,0.684,-0.610,0.530,-2.237
1573405960038,2019-11-10T17:12:40.038,0.703,-0.175,-1.021,-1.947
1573405960058,2019-11-10T17:12:40.058,0.723,0.107,-1.684,-0.915
1573405960079,2019-11-10T17:12:40.079,0.744,0.381,-1.448,-0.076
1573405960099,2019-11-10T17:12:40.099,0.764,0.682,-0.716,-0.145
1573405960118,2019-11-10T17:12:40.118,0.783,0.556,-0.202,-1.174
1573405960139,2019-11-10T17:12:40.139,0.804,-0.171,-0.705,-1.764
1573405960159,2019-11-10T17:12:40.159,0.824,-0.530,-1.810,-1.814
1573405960179,2019-11-10T17:12:40.179,0.844,-0.564,-1.528,-2.027
1573405960199,2019-11-10T17:12:40.199,0.864,-0.263,-0.614,-2.382
1573405960220,2019-11-10T17:12:40.220,0.885,0.240,-0.328,-2.119
1573405960239,2019-11-10T17:12:40.239,0.904,0.431,-0.271,-0.926
1573405960259,2019-11-10T17:12:40.259,0.924,0.549,-1.033,0.568
1573405960280,2019-11-10T17:12:40.280,0.945,0.271,-1.120,1.471
1573405960300,2019-11-10T17:12:40.300,0.965,-0.213,-0.564,1.124
1573405960319,2019-11-10T17:12:40.319,0.984,-0.575,-0.011,0.240
1573405960340,2019-11-10T17:12:40.340,1.005,-1.010,-0.621,-0.339
1573405960360,2019-11-10T17:12:40.360,1.025,-0.934,-1.623,-0.739
1573405960379,2019-11-10T17:12:40.379,1.044,-0.655,-1.425,-1.216
1573405960400,2019-11-10T17:12:40.400,1.065,-0.290,-0.598,-1.700
1573405960420,2019-11-10T17:12:40.420,1.085,-0.050,-0.484,-1.357
1573405960441,2019-11-10T17:12:40.441,1.106,0.084,-1.147,-0.114
1573405960460,2019-11-10T17:12:40.460,1.125,0.198,-1.239,1.265
1573405960480,2019-11-10T17:12:40.480,1.145,0.057,-0.854,1.429
1573405960501,2019-11-10T17:12:40.501,1.166,-0.313,-0.560,0.522
1573405960520,2019-11-10T17:12:40.520,1.185,-0.682,-0.808,-0.347
1573405960540,2019-11-10T17:12:40.540,1.205,-0.655,-1.372,-0.865
1573405960561,2019-11-10T17:12:40.561,1.226,-0.503,-1.555,-1.090
1573405960581,2019-11-10T17:12:40.581,1.246,-0.419,-0.713,-1.223
1573405960600,2019-11-10T17:12:40.600,1.265,-0.232,-0.484,-0.751
1573405960621,2019-11-10T17:12:40.621,1.286,-0.111,-1.105,0.415
1573405960641,2019-11-10T17:12:40.641,1.306,-0.198,-0.614,1.292
1573405960660,2019-11-10T17:12:40.660,1.325,-0.473,-0.305,1.349
1573405960681,2019-11-10T17:12:40.681,1.346,-0.713,-0.076,0.545
1573405960701,2019-11-10T17:12:40.701,1.366,-1.185,0.286,-0.655
1573405960722,2019-11-10T17:12:40.722,1.387,-1.486,-0.232,-1.749
1573405960741,2019-11-10T17:12:40.741,1.406,-1.322,-0.777,-2.767
1573405960762,2019-11-10T17:12:40.762,1.427,-1.273,-1.082,-3.525
1573405960782,2019-11-10T17:12:40.782,1.447,-0.873,-1.482,-3.457
1573405960801,2019-11-10T17:12:40.801,1.466,-0.351,-1.456,-2.641
1573405960822,2019-11-10T17:12:40.822,1.487,0.263,-2.046,-1.482
1573405960842,2019-11-10T17:12:40.842,1.507,0.534,-1.376,0.023
1573405960863,2019-11-10T17:12:40.863,1.528,0.534,-0.446,1.463
1573405960882,2019-11-10T17:12:40.882,1.547,0.137,-0.240,1.886
1573405960902,2019-11-10T17:12:40.902,1.567,-0.522,-0.179,1.543
1573405960923,2019-11-10T17:12:40.923,1.588,-1.139,-0.175,0.614
1573405960942,2019-11-10T17:12:40.942,1.607,-1.486,-0.488,-0.682
1573405960962,2019-11-10T17:12:40.962,1.627,-0.884,-0.480,-1.178
1573405960983,2019-11-10T17:12:40.983,1.648,-0.236,-0.339,-0.381
1573405961002,2019-11-10T17:12:41.002,1.667,-0.133,-0.766,0.781
1573405961022,2019-11-10T17:12:41.022,1.687,-0.332,-0.995,1.810
1573405961043,2019-11-10T17:12:41.043,1.708,-0.575,-0.461,1.822
1573405961063,2019-11-10T17:12:41.063,1.728,-0.781,-0.080,0.888
1573405961082,2019-11-10T17:12:41.082,1.747,-1.025,-0.179,0.328
1573405961103,2019-11-10T17:12:41.103,1.768,-1.159,-0.602,0.370
1573405961123,2019-11-10T17:12:41.123,1.788,-1.139,-0.728,-0.061
1573405961142,2019-11-10T17:12:41.142,1.807,-0.884,-0.514,-0.903
1573405961163,2019-11-10T17:12:41.163,1.828,-0.633,0.187,-1.254
1573405961183,2019-11-10T17:12:41.183,1.848,-0.511,-0.160,-0.263
1573405961204,2019-11-10T17:12:41.204,1.869,-0.625,-0.903,1.380
1573405961223,2019-11-10T17:12:41.223,1.888,-0.758,-0.339,2.119
1573405961243,2019-11-10T17:12:41.243,1.908,-0.854,0.553,1.799
1573405961264,2019-11-10T17:12:41.264,1.929,-0.972,0.553,0.716
1573405961283,2019-11-10T17:12:41.283,1.948,-1.048,-0.278,-0.556
1573405961304,2019-11-10T17:12:41.304,1.969,-0.854,-0.640,-1.559
1573405961324,2019-11-10T17:12:41.324,1.989,-0.804,-0.564,-2.123
1573405961345,2019-11-10T17:12:41.345,2.010,-0.633,-0.686,-2.180
1573405961364,2019-11-10T17:12:41.364,2.029,-0.332,-0.339,-1.303
1573405961384,2019-11-10T17:12:41.384,2.049,0.061,-0.373,-0.027
1573405961405,2019-11-10T17:12:41.405,2.070,-0.050,-0.431,1.147
1573405961424,2019-11-10T17:12:41.424,2.089,-0.373,0.080,1.509
1573405961444,2019-11-10T17:12:41.444,2.109,-0.583,0.133,0.671
1573405961465,2019-11-10T17:12:41.465,2.130,-0.861,-0.534,-0.396
1573405961485,2019-11-10T17:12:41.485,2.150,-0.896,-1.090,-0.949
1573405961504,2019-11-10T17:12:41.504,2.169,-0.930,-1.090,-1.940
1573405961525,2019-11-10T17:12:41.525,2.190,-0.774,-1.063,-2.782
1573405961545,2019-11-10T17:12:41.545,2.210,-0.175,-2.191,-0.713
1573405961564,2019-11-10T17:12:41.564,2.229,0.004,-0.149,-1.925
1573405961585,2019-11-10T17:12:41.585,2.250,0.145,-0.328,0.454
1573405961605,2019-11-10T17:12:41.605,2.270,0.854,-1.768,2.001
1573405961626,2019-11-10T17:12:41.626,2.291,-0.694,0.587,1.566
1573405961645,2019-11-10T17:12:41.645,2.310,-0.861,-0.598,0.480
1573405961665,2019-11-10T17:12:41.665,2.330,-0.633,-0.213,-0.747
1573405961686,2019-11-10T17:12:41.686,2.351,-1.338,0.354,-1.502
1573405961705,2019-11-10T17:12:41.705,2.370,-0.979,-1.021,-2.096
1573405961725,2019-11-10T17:12:41.725,2.390,-0.922,-0.259,-1.955
1573405961746,2019-11-10T17:12:41.746,2.411,-0.701,-0.636,-0.934
1573405961765,2019-11-10T17:12:41.765,2.430,-0.514,-0.808,0.575
1573405961785,2019-11-10T17:12:41.785,2.450,-0.511,-0.427,1.623
1573405961806,2019-11-10T17:12:41.806,2.471,-0.705,-0.232,1.402
1573405961826,2019-11-10T17:12:41.826,2.491,-0.850,-0.297,0.381
1573405961846,2019-11-10T17:12:41.846,2.511,-1.090,-0.488,-0.537
1573405961866,2019-11-10T17:12:41.866,2.531,-1.254,-1.604,-1.292
1573405961887,2019-11-10T17:12:41.887,2.552,-1.151,-2.005,-1.966
1573405961906,2019-11-10T17:12:41.906,2.571,-0.804,-0.915,-2.309
1573405961926,2019-11-10T17:12:41.926,2.591,-0.404,-0.591,-2.176
1573405961947,2019-11-10T17:12:41.947,2.612,-0.095,-0.716,-0.816
1573405961967,2019-11-10T17:12:41.967,2.632,-0.053,-0.964,0.522
1573405961986,2019-11-10T17:12:41.986,2.651,-0.069,-0.522,0.945
1573405962007,2019-11-10T17:12:42.007,2.672,-0.328,-0.069,0.633
1573405962027,2019-11-10T17:12:42.027,2.692,-0.644,-0.332,-0.335
1573405962046,2019-11-10T17:12:42.046,2.711,-1.067,-0.762,-0.899
1573405962067,2019-11-10T17:12:42.067,2.732,-0.968,-1.254,-1.147
1573405962087,2019-11-10T17:12:42.087,2.752,-0.640,-0.434,-1.635
1573405962108,2019-11-10T17:12:42.108,2.773,-0.434,0.011,-1.265
1573405962127,2019-11-10T17:12:42.127,2.792,-0.313,-0.476,-0.461
1573405962147,2019-11-10T17:12:42.147,2.812,-0.373,-0.625,0.526
1573405962168,2019-11-10T17:12:42.168,2.833,-0.495,-0.511,0.930
1573405962187,2019-11-10T17:12:42.187,2.852,-0.583,0.495,0.591
1573405962207,2019-11-10T17:12:42.207,2.872,-0.777,0.171,0.084
1573405962228,2019-11-10T17:12:42.228,2.893,-0.941,-1.120,-0.130
1573405962248,2019-11-10T17:12:42.248,2.913,-0.995,-0.972,-0.442
1573405962267,2019-11-10T17:12:42.267,2.932,-0.968,0.152,-1.132
1573405962288,2019-11-10T17:12:42.288,2.953,-0.835,0.476,-1.540
1573405962308,2019-11-10T17:12:42.308,2.973,-0.610,0.057,-1.391
1573405962327,2019-11-10T17:12:42.327,2.992,-0.408,-0.652,-0.415
1573405962348,2019-11-10T17:12:42.348,3.013,0.206,-1.056,0.568
1573405962368,2019-11-10T17:12:42.368,3.033,0.476,-0.191,0.686
1573405962387,2019-11-10T17:12:42.387,3.052,0.225,0.160,-0.206
1573405962408,2019-11-10T17:12:42.408,3.073,-0.236,-0.480,-1.242
1573405962429,2019-11-10T17:12:42.429,3.094,-0.648,-1.071,-1.444
1573405962449,2019-11-10T17:12:42.449,3.114,-0.785,-1.216,-0.438
1573405962468,2019-11-10T17:12:42.468,3.133,-0.808,-0.713,0.316
1573405962489,2019-11-10T17:12:42.489,3.154,-0.918,0.461,0.111
1573405962509,2019-11-10T17:12:42.509,3.174,-0.736,0.575,-0.846
1573405962528,2019-11-10T17:12:42.528,3.193,-0.114,0.278,-1.494
1573405962549,2019-11-10T17:12:42.549,3.214,0.164,-0.263,-1.113
1573405962569,2019-11-10T17:12:42.569,3.234,0.324,-1.761,-0.229
1573405962590,2019-11-10T17:12:42.590,3.255,0.446,-1.604,0.389
1573405962609,2019-11-10T17:12:42.609,3.274,0.450,-0.549,0.560
1573405962629,2019-11-10T17:12:42.629,3.294,0.004,-0.126,0.278
1573405962650,2019-11-10T17:12:42.650,3.315,-0.514,-0.568,-0.454
1573405962669,2019-11-10T17:12:42.669,3.334,-0.884,-1.296,-1.048
1573405962689,2019-11-10T17:12:42.689,3.354,-0.835,-0.610,-0.968
1573405962710,2019-11-10T17:12:42.710,3.375,-0.663,0.396,-0.454
1573405962730,2019-11-10T17:12:42.730,3.395,-0.781,0.210,-0.282
1573405962749,2019-11-10T17:12:42.749,3.414,-0.808,-0.069,-0.057
1573405962770,2019-11-10T17:12:42.770,3.435,-0.751,0.042,-0.069
1573405962790,2019-11-10T17:12:42.790,3.455,-0.701,-0.587,-0.488
1573405962809,2019-11-10T17:12:42.809,3.474,-0.514,-0.385,-0.457
1573405962830,2019-11-10T17:12:42.830,3.495,-0.732,-0.225,-0.332
1573405962850,2019-11-10T17:12:42.850,3.515,-0.655,-1.063,-0.431
1573405962871,2019-11-10T17:12:42.871,3.536,-0.503,-0.697,-0.575
1573405962890,2019-11-10T17:12:42.890,3.555,-0.473,-0.465,-0.686
1573405962910,2019-11-10T17:12:42.910,3.575,-0.507,-0.633,-0.804
1573405962931,2019-11-10T17:12:42.931,3.596,-0.301,-0.732,-0.671
