epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1573406148287,2019-11-10T17:15:48.287,0.000,-0.675,-0.069,0.672
1573406148308,2019-11-10T17:15:48.308,0.021,-0.677,-0.070,0.678
1573406148328,2019-11-10T17:15:48.328,0.041,-0.675,-0.076,0.670
1573406148348,2019-11-10T17:15:48.348,0.061,-0.682,-0.080,0.678
1573406148368,2019-11-10T17:15:48.368,0.081,-0.685,-0.086,0.682
1573406148387,2019-11-10T17:15:48.387,0.100,-0.678,-0.081,0.683
1573406148408,2019-11-10T17:15:48.408,0.121,-0.673,-0.073,0.676
1573406148427,2019-11-10T17:15:48.427,0.140,-0.679,-0.070,0.667
1573406148447,2019-11-10T17:15:48.447,0.160,-0.690,-0.072,0.666
1573406148468,2019-11-10T17:15:48.468,0.181,-0.682,-0.081,0.666
1573406148487,2019-11-10T17:15:48.487,0.200,-0.674,-0.080,0.684
1573406148507,2019-11-10T17:15:48.507,0.220,-0.674,-0.072,0.693
1573406148526,2019-11-10T17:15:48.526,0.239,-0.676,-0.070,0.685
1573406148547,2019-11-10T17:15:48.547,0.260,-0.685,-0.078,0.670
1573406148566,2019-11-10T17:15:48.566,0.279,-0.686,-0.077,0.663
1573406148586,2019-11-10T17:15:48.586,0.299,-0.675,-0.074,0.672
1573406148607,2019-11-10T17:15:48.607,0.320,-0.669,-0.071,0.686
1573406148626,2019-11-10T17:15:48.626,0.339,-0.676,-0.075,0.694
1573406148646,2019-11-10T17:15:48.646,0.359,-0.680,-0.081,0.684
1573406148665,2019-11-10T17:15:48.665,0.378,-0.687,-0.080,0.672
1573406148686,2019-11-10T17:15:48.686,0.399,-0.683,-0.076,0.675
1573406148705,2019-11-10T17:15:48.705,0.418,-0.672,-0.071,0.679
1573406148725,2019-11-10T17:15:48.725,0.438,-0.678,-0.077,0.681
1573406148746,2019-11-10T17:15:48.746,0.459,-0.681,-0.083,0.671
1573406148765,2019-11-10T17:15:48.765,0.478,-0.684,-0.075,0.669
