epoch (ms),time (-00:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1575539078283,2019-12-05T09:44:38.283,0.000,0.356,0.152,0.875
1575539078304,2019-12-05T09:44:38.304,0.021,0.358,0.154,0.881
1575539078323,2019-12-05T09:44:38.323,0.040,0.380,0.163,0.873
1575539078343,2019-12-05T09:44:38.343,0.060,0.400,0.152,0.876
1575539078362,2019-12-05T09:44:38.362,0.079,0.384,0.151,0.876
1575539078383,2019-12-05T09:44:38.383,0.100,0.375,0.142,0.880
1575539078403,2019-12-05T09:44:38.403,0.120,0.373,0.140,0.881
1575539078422,2019-12-05T09:44:38.422,0.139,0.372,0.148,0.879
1575539078443,2019-12-05T09:44:38.443,0.160,0.382,0.140,0.879
1575539078462,2019-12-05T09:44:38.462,0.179,0.386,0.135,0.876
1575539078482,2019-12-05T09:44:38.482,0.199,0.387,0.129,0.878
1575539078501,2019-12-05T09:44:38.501,0.218,0.379,0.127,0.881
1575539078522,2019-12-05T09:44:38.522,0.239,0.374,0.132,0.883
1575539078543,2019-12-05T09:44:38.543,0.260,0.373,0.138,0.883
1575539078562,2019-12-05T09:44:38.562,0.279,0.369,0.138,0.883
1575539078582,2019-12-05T09:44:38.582,0.299,0.366,0.137,0.884
1575539078601,2019-12-05T09:44:38.601,0.318,0.366,0.138,0.883
1575539078622,2019-12-05T09:44:38.622,0.339,0.362,0.138,0.883
1575539078641,2019-12-05T09:44:38.641,0.358,0.373,0.141,0.881
1575539078661,2019-12-05T09:44:38.661,0.378,0.375,0.142,0.880
1575539078682,2019-12-05T09:44:38.682,0.399,0.374,0.143,0.878
1575539078701,2019-12-05T09:44:38.701,0.418,0.373,0.142,0.880
1575539078721,2019-12-05T09:44:38.721,0.438,0.366,0.140,0.882
1575539078740,2019-12-05T09:44:38.740,0.457,0.360,0.138,0.886
1575539078761,2019-12-05T09:44:38.761,0.478,0.360,0.141,0.884
1575539078780,2019-12-05T09:44:38.780,0.497,0.359,0.139,0.884
